date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,26.45,26.45,26.45,26.45,6875
2008-01-02 00:00:00+05:30,27.75,27.75,25.25,27.75,50864
2008-01-03 00:00:00+05:30,26.5,29.1,26.5,28.35,15078
2008-01-04 00:00:00+05:30,29.7,29.75,26.95,26.95,20825
2008-01-07 00:00:00+05:30,25.65,25.65,25.65,25.65,351
2008-01-08 00:00:00+05:30,24.4,24.4,24.4,24.4,1901
2008-01-09 00:00:00+05:30,23.2,23.2,23.2,23.2,700
2008-01-10 00:00:00+05:30,22.05,22.05,22.05,22.05,650
2008-01-11 00:00:00+05:30,20.95,20.95,20.95,20.95,1000
2008-01-14 00:00:00+05:30,19.95,19.95,19.95,19.95,100
2008-01-15 00:00:00+05:30,19.0,19.0,19.0,19.0,4000
2008-01-16 00:00:00+05:30,18.1,18.1,18.1,18.1,100
2008-01-17 00:00:00+05:30,17.2,19.0,17.2,18.64,30385
2008-01-18 00:00:00+05:30,19.0,19.0,17.75,17.75,1650
2008-01-21 00:00:00+05:30,16.89,17.0,16.89,17.0,1000
2008-01-23 00:00:00+05:30,16.2,16.2,16.2,16.2,75
2008-01-24 00:00:00+05:30,15.4,15.4,15.4,15.4,100
2008-01-28 00:00:00+05:30,14.65,14.65,14.65,14.65,100
2008-01-29 00:00:00+05:30,13.95,13.95,13.95,13.95,500
2008-01-30 00:00:00+05:30,13.3,13.3,13.3,13.3,50
2008-01-31 00:00:00+05:30,12.65,13.95,12.65,13.95,13438
2008-02-01 00:00:00+05:30,14.63,14.64,13.3,13.3,2503
2008-02-04 00:00:00+05:30,13.8,13.96,12.64,13.96,2300
2008-02-05 00:00:00+05:30,14.6,14.65,13.27,13.27,8195
2008-02-06 00:00:00+05:30,12.61,13.93,12.61,13.93,4600
2008-02-07 00:00:00+05:30,13.9,13.9,13.9,13.9,50
2008-02-08 00:00:00+05:30,14.0,14.0,14.0,14.0,1000
2008-02-13 00:00:00+05:30,13.31,14.0,13.31,13.35,17500
2008-02-14 00:00:00+05:30,13.5,13.75,13.5,13.75,210
2008-02-15 00:00:00+05:30,13.07,14.0,13.07,13.1,601
2008-02-18 00:00:00+05:30,13.75,13.75,12.45,12.45,1710
2008-02-19 00:00:00+05:30,11.85,12.0,11.85,12.0,1000
2008-02-20 00:00:00+05:30,11.5,12.6,11.5,11.5,1101
2008-02-21 00:00:00+05:30,11.0,11.05,11.0,11.05,13408
2008-02-22 00:00:00+05:30,10.5,11.5,10.5,10.7,270
2008-02-25 00:00:00+05:30,10.17,11.0,10.17,10.59,2620
2008-02-26 00:00:00+05:30,10.5,11.1,10.09,10.09,1203
2008-02-27 00:00:00+05:30,10.0,10.0,9.91,9.91,885
2008-02-28 00:00:00+05:30,10.0,10.4,9.6,10.11,3100
2008-02-29 00:00:00+05:30,9.97,9.97,9.97,9.97,103
2008-03-03 00:00:00+05:30,9.48,9.57,9.48,9.57,210
2008-03-04 00:00:00+05:30,9.15,9.16,9.15,9.16,610
2008-03-05 00:00:00+05:30,8.75,9.02,8.75,9.02,300
2008-03-07 00:00:00+05:30,8.8,9.19,8.57,8.57,3760
2008-03-10 00:00:00+05:30,8.19,8.19,8.15,8.15,1210
2008-03-11 00:00:00+05:30,8.55,8.55,7.85,7.85,19130
2008-03-12 00:00:00+05:30,8.24,8.24,8.24,8.24,3544
2008-03-13 00:00:00+05:30,8.65,8.65,8.07,8.47,599
2008-03-14 00:00:00+05:30,8.1,8.89,8.1,8.3,2302
2008-03-17 00:00:00+05:30,7.89,7.89,7.89,7.89,100
2008-03-18 00:00:00+05:30,7.55,8.0,7.5,7.52,1301
2008-03-19 00:00:00+05:30,7.15,7.89,7.15,7.15,510
2008-03-24 00:00:00+05:30,7.0,7.5,6.82,6.84,2450
2008-03-25 00:00:00+05:30,6.55,7.0,6.55,6.65,375
2008-03-26 00:00:00+05:30,6.98,6.98,6.98,6.98,5
2008-03-27 00:00:00+05:30,6.65,7.32,6.65,6.68,2151
