date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,146.5,150.75,138.0,144.9,63436
2008-01-02 00:00:00+05:30,148.9,149.0,137.8,147.15,29660
2008-01-03 00:00:00+05:30,147.0,148.5,142.5,143.25,20312
2008-01-04 00:00:00+05:30,140.7,145.0,136.1,138.2,25316
2008-01-07 00:00:00+05:30,139.0,139.0,132.5,136.7,21672
2008-01-08 00:00:00+05:30,133.5,137.6,129.9,129.9,32924
2008-01-09 00:00:00+05:30,125.0,130.0,125.0,128.0,13664
2008-01-10 00:00:00+05:30,130.0,130.0,122.0,122.5,20456
2008-01-11 00:00:00+05:30,127.0,127.0,116.4,116.95,32578
2008-01-14 00:00:00+05:30,119.5,122.8,119.5,122.8,7142
2008-01-15 00:00:00+05:30,128.9,128.9,125.1,127.6,9780
2008-01-16 00:00:00+05:30,125.0,125.0,121.25,124.3,16708
2008-01-17 00:00:00+05:30,125.0,130.0,122.5,126.8,10496
2008-01-18 00:00:00+05:30,126.0,126.0,120.5,122.1,6102
2008-01-21 00:00:00+05:30,121.0,121.0,116.0,116.0,7202
2008-01-22 00:00:00+05:30,110.2,110.2,110.2,110.2,310
2008-01-23 00:00:00+05:30,104.7,113.5,104.7,110.2,21202
2008-01-24 00:00:00+05:30,110.0,110.5,104.7,104.7,3944
2008-01-25 00:00:00+05:30,109.5,109.5,99.5,105.95,29176
2008-01-28 00:00:00+05:30,105.0,105.0,101.05,104.15,2018
2008-01-29 00:00:00+05:30,107.5,107.5,102.5,105.0,6334
2008-01-30 00:00:00+05:30,103.1,106.5,100.0,102.4,14050
2008-01-31 00:00:00+05:30,102.75,106.5,101.5,105.5,4832
2008-02-01 00:00:00+05:30,105.0,106.5,102.5,105.0,14090
2008-02-04 00:00:00+05:30,110.3,110.3,110.3,110.3,1038
2008-02-05 00:00:00+05:30,115.8,115.8,114.1,115.4,34720
2008-02-06 00:00:00+05:30,114.5,115.95,113.0,114.8,17126
2008-02-07 00:00:00+05:30,115.5,115.5,109.1,109.15,23664
2008-02-08 00:00:00+05:30,111.0,111.0,103.7,105.0,24514
2008-02-11 00:00:00+05:30,104.5,105.0,99.8,99.8,8254
2008-02-12 00:00:00+05:30,94.8,104.5,94.8,96.5,18480
2008-02-13 00:00:00+05:30,100.0,100.0,95.0,97.6,14930
2008-02-14 00:00:00+05:30,100.5,101.5,93.55,100.7,12854
2008-02-15 00:00:00+05:30,100.0,105.7,100.0,104.1,4430
2008-02-18 00:00:00+05:30,106.7,106.7,101.0,102.5,25720
2008-02-19 00:00:00+05:30,105.0,107.0,101.0,102.0,44958
2008-02-20 00:00:00+05:30,101.75,101.75,99.0,99.95,10838
2008-02-21 00:00:00+05:30,101.0,102.0,98.75,100.25,11836
2008-02-22 00:00:00+05:30,98.0,100.0,98.0,99.5,738
2008-02-25 00:00:00+05:30,99.5,102.0,97.5,102.0,1596
2008-02-26 00:00:00+05:30,99.0,100.9,98.5,99.5,1342
2008-02-27 00:00:00+05:30,99.0,102.5,99.0,99.9,16084
2008-02-28 00:00:00+05:30,98.0,104.5,98.0,101.5,1444
2008-02-29 00:00:00+05:30,100.5,100.5,98.0,98.8,936
2008-03-03 00:00:00+05:30,97.0,97.9,94.05,94.7,12260
2008-03-04 00:00:00+05:30,99.0,99.0,90.25,92.4,7668
