date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,14.1,15.21,14.1,14.83,21155
2008-01-02 00:00:00+05:30,15.0,15.0,14.15,14.92,27936
2008-01-03 00:00:00+05:30,14.5,15.4,14.5,15.0,40550
2008-01-04 00:00:00+05:30,15.5,15.5,14.55,15.27,29495
2008-01-07 00:00:00+05:30,15.1,15.4,14.55,15.11,29807
2008-01-08 00:00:00+05:30,14.65,15.0,14.36,14.7,12672
2008-01-09 00:00:00+05:30,14.05,14.69,13.97,14.4,12150
2008-01-10 00:00:00+05:30,13.8,14.0,13.69,14.0,5686
2008-01-11 00:00:00+05:30,13.35,13.35,13.31,13.31,5250
2008-01-14 00:00:00+05:30,12.66,13.35,12.65,13.1,8860
2008-01-15 00:00:00+05:30,12.55,13.75,12.45,12.55,8000
2008-01-16 00:00:00+05:30,12.1,12.1,11.93,11.93,4426
2008-01-17 00:00:00+05:30,12.0,12.52,11.8,11.81,2091
2008-01-18 00:00:00+05:30,11.65,12.4,11.65,11.75,4100
2008-01-21 00:00:00+05:30,11.17,11.17,11.17,11.17,20401
2008-01-22 00:00:00+05:30,10.62,10.62,10.62,10.62,501
2008-01-24 00:00:00+05:30,10.5,10.5,10.09,10.09,1100
2008-01-25 00:00:00+05:30,10.59,10.59,9.85,9.85,1050
2008-01-28 00:00:00+05:30,9.5,9.5,9.4,9.41,2400
2008-01-29 00:00:00+05:30,9.86,9.88,9.86,9.86,1450
2008-01-31 00:00:00+05:30,9.5,9.52,9.5,9.52,20100
2008-02-01 00:00:00+05:30,9.35,9.35,9.05,9.05,2600
2008-02-04 00:00:00+05:30,9.5,9.5,9.5,9.5,6500
2008-02-05 00:00:00+05:30,9.9,9.97,9.5,9.92,4050
2008-02-06 00:00:00+05:30,9.67,10.41,9.5,10.4,9250
2008-02-07 00:00:00+05:30,10.92,10.92,10.5,10.88,5751
2008-02-08 00:00:00+05:30,10.35,11.3,10.35,10.35,751
2008-02-11 00:00:00+05:30,10.05,10.05,9.84,9.84,5000
2008-02-12 00:00:00+05:30,9.4,9.4,9.35,9.35,6750
2008-02-13 00:00:00+05:30,8.9,8.94,8.9,8.94,420
2008-02-14 00:00:00+05:30,9.39,9.39,9.39,9.39,500
2008-02-15 00:00:00+05:30,8.96,9.5,8.94,9.5,21124
2008-02-18 00:00:00+05:30,9.18,9.9,9.18,9.89,20136
2008-02-19 00:00:00+05:30,9.41,9.94,9.41,9.94,6824
2008-02-20 00:00:00+05:30,10.25,10.25,9.55,9.55,26
2008-02-21 00:00:00+05:30,9.33,9.41,9.33,9.41,390
2008-02-22 00:00:00+05:30,9.1,9.75,9.1,9.75,5500
2008-02-25 00:00:00+05:30,9.27,9.3,9.27,9.3,1150
2008-02-26 00:00:00+05:30,9.5,9.73,9.5,9.69,3075
2008-02-27 00:00:00+05:30,9.56,9.56,9.55,9.55,10100
2008-02-28 00:00:00+05:30,9.15,9.69,9.15,9.65,800
2008-02-29 00:00:00+05:30,9.51,9.51,9.3,9.5,2576
2008-03-03 00:00:00+05:30,9.94,9.96,9.3,9.3,2642
2008-03-04 00:00:00+05:30,9.11,9.15,9.11,9.15,7020
2008-03-05 00:00:00+05:30,9.0,9.0,9.0,9.0,162
2008-03-07 00:00:00+05:30,9.05,9.44,9.05,9.1,683
2008-03-10 00:00:00+05:30,9.0,9.0,9.0,9.0,1835
2008-03-11 00:00:00+05:30,9.25,9.5,9.05,9.5,5900
2008-03-12 00:00:00+05:30,10.45,10.45,9.06,9.36,1070
2008-03-13 00:00:00+05:30,9.5,10.0,9.5,9.51,550
2008-03-14 00:00:00+05:30,9.01,10.0,9.0,9.9,4680
2008-03-17 00:00:00+05:30,10.0,10.0,10.0,10.0,500
2008-03-18 00:00:00+05:30,9.69,9.69,9.01,9.01,1900
2008-03-19 00:00:00+05:30,8.81,9.0,8.75,8.94,6240
2008-03-24 00:00:00+05:30,8.85,8.9,8.75,8.75,5050
2008-03-25 00:00:00+05:30,8.0,8.25,7.89,8.11,1537
2008-03-26 00:00:00+05:30,8.9,8.93,7.66,8.93,2901
2008-03-27 00:00:00+05:30,8.5,9.82,8.5,9.82,2480
2008-03-28 00:00:00+05:30,9.69,9.81,9.69,9.8,2951
2008-04-01 00:00:00+05:30,10.5,10.55,10.5,10.55,500
2008-04-02 00:00:00+05:30,11.05,11.05,10.02,10.02,700
2008-04-03 00:00:00+05:30,9.6,9.6,9.52,9.52,3000
2008-04-04 00:00:00+05:30,9.5,9.5,9.5,9.5,1000
2008-04-08 00:00:00+05:30,9.02,9.55,9.02,9.15,5150
2008-04-09 00:00:00+05:30,9.0,9.15,9.0,9.08,5382
2008-04-10 00:00:00+05:30,9.1,9.1,9.1,9.1,400
2008-04-11 00:00:00+05:30,9.5,9.55,9.0,9.53,2401
2008-04-15 00:00:00+05:30,9.15,9.35,9.07,9.11,19300
2008-04-16 00:00:00+05:30,8.69,8.69,8.69,8.69,500
2008-04-17 00:00:00+05:30,9.1,9.13,9.0,9.1,1200
2008-04-21 00:00:00+05:30,9.07,9.07,9.07,9.07,1000
2008-04-22 00:00:00+05:30,9.52,9.52,9.15,9.49,850
2008-04-23 00:00:00+05:30,9.3,9.3,9.3,9.3,100
2008-04-24 00:00:00+05:30,9.07,9.76,9.07,9.75,2789
2008-04-25 00:00:00+05:30,9.4,9.4,9.3,9.3,4820
2008-04-28 00:00:00+05:30,9.0,9.25,9.0,9.05,3100
2008-04-29 00:00:00+05:30,9.44,9.44,9.06,9.06,1300
2008-04-30 00:00:00+05:30,8.91,8.91,8.65,8.77,2675
2008-05-02 00:00:00+05:30,8.55,9.19,8.5,9.19,675
2008-05-06 00:00:00+05:30,9.3,9.4,9.3,9.4,1650
2008-05-08 00:00:00+05:30,9.75,9.75,8.94,9.16,601
2008-05-09 00:00:00+05:30,8.85,8.85,8.85,8.85,600
2008-05-12 00:00:00+05:30,8.85,8.9,8.85,8.9,1956
2008-05-14 00:00:00+05:30,8.51,9.0,8.5,8.84,1626
2008-05-15 00:00:00+05:30,8.76,8.76,8.76,8.76,100
2008-05-16 00:00:00+05:30,8.51,8.51,8.51,8.51,110
2008-05-20 00:00:00+05:30,8.92,8.92,8.92,8.92,500
2008-05-21 00:00:00+05:30,9.35,9.35,8.65,9.35,2125
2008-05-22 00:00:00+05:30,9.74,9.8,9.15,9.15,5712
2008-05-23 00:00:00+05:30,9.55,9.55,9.55,9.55,200
2008-05-26 00:00:00+05:30,9.65,9.65,9.1,9.1,500
2008-05-27 00:00:00+05:30,9.5,9.55,9.5,9.55,4440
2008-05-28 00:00:00+05:30,9.55,9.55,9.1,9.1,1000
2008-05-29 00:00:00+05:30,9.0,9.5,8.72,9.5,1700
2008-05-30 00:00:00+05:30,9.05,9.05,9.05,9.05,200
2008-06-02 00:00:00+05:30,8.71,8.75,8.71,8.75,300
2008-06-04 00:00:00+05:30,8.75,9.16,8.32,8.75,2600
2008-06-05 00:00:00+05:30,8.75,9.15,8.75,9.15,2210
2008-06-06 00:00:00+05:30,8.69,9.0,8.69,9.0,600
2008-06-09 00:00:00+05:30,8.75,8.94,8.75,8.94,800
2008-06-10 00:00:00+05:30,8.75,9.0,8.75,9.0,900
2008-06-11 00:00:00+05:30,8.76,9.0,8.76,9.0,2719
2008-06-12 00:00:00+05:30,9.3,9.4,8.77,8.98,1800
2008-06-16 00:00:00+05:30,8.61,9.0,8.6,9.0,1809
2008-06-17 00:00:00+05:30,9.0,9.0,9.0,9.0,1100
2008-06-18 00:00:00+05:30,9.0,9.0,9.0,9.0,2400
2008-06-19 00:00:00+05:30,9.01,9.1,8.61,9.1,602
2008-06-20 00:00:00+05:30,9.4,9.49,9.4,9.4,500
2008-06-24 00:00:00+05:30,9.38,9.38,9.38,9.38,8
2008-06-26 00:00:00+05:30,9.38,9.38,9.38,9.38,10
2008-06-27 00:00:00+05:30,8.92,8.92,8.92,8.92,527
2008-06-30 00:00:00+05:30,8.48,8.49,8.48,8.49,710
2008-07-01 00:00:00+05:30,8.07,8.07,8.07,8.07,400
2008-07-02 00:00:00+05:30,8.44,8.47,8.44,8.47,36000
2008-07-03 00:00:00+05:30,8.88,8.89,8.88,8.88,3400
2008-07-09 00:00:00+05:30,9.3,9.3,9.3,9.3,500
2008-07-11 00:00:00+05:30,9.0,9.75,9.0,9.75,15050
2008-07-17 00:00:00+05:30,9.99,9.99,9.5,9.5,350
2008-07-18 00:00:00+05:30,9.97,9.97,9.97,9.97,155
2008-07-23 00:00:00+05:30,9.5,9.5,9.48,9.5,6136
2008-07-24 00:00:00+05:30,9.5,9.5,9.1,9.11,237
2008-07-25 00:00:00+05:30,8.85,8.85,8.85,8.85,100
2008-07-28 00:00:00+05:30,9.27,9.28,9.27,9.28,845
2008-07-30 00:00:00+05:30,9.01,9.75,9.01,9.75,7450
2008-07-31 00:00:00+05:30,9.36,10.0,9.36,9.99,6750
2008-08-01 00:00:00+05:30,10.0,10.48,9.52,9.59,7700
2008-08-04 00:00:00+05:30,9.94,10.06,9.94,10.06,8200
2008-08-05 00:00:00+05:30,10.0,10.0,9.97,9.99,4550
2008-08-06 00:00:00+05:30,10.0,10.1,9.52,9.91,2200
2008-08-07 00:00:00+05:30,10.0,10.0,10.0,10.0,1000
2008-08-08 00:00:00+05:30,10.49,10.5,10.49,10.5,3355
2008-08-11 00:00:00+05:30,10.02,10.02,9.99,9.99,2443
2008-08-12 00:00:00+05:30,9.55,9.55,9.55,9.55,350
2008-08-14 00:00:00+05:30,10.0,10.0,9.97,9.97,2
2008-08-20 00:00:00+05:30,9.5,9.5,9.5,9.5,1200
2008-08-22 00:00:00+05:30,9.02,9.02,9.02,9.02,50
2008-08-25 00:00:00+05:30,9.44,9.44,8.69,8.69,400
2008-08-26 00:00:00+05:30,9.13,9.13,9.13,9.13,200
2008-08-28 00:00:00+05:30,9.0,9.0,9.0,9.0,104
2008-08-29 00:00:00+05:30,8.69,9.3,8.68,9.23,3999
2008-09-01 00:00:00+05:30,8.77,9.66,8.77,9.66,2300
2008-09-02 00:00:00+05:30,9.19,10.0,9.19,9.5,7200
2008-09-04 00:00:00+05:30,9.31,9.97,9.31,9.94,4300
2008-09-05 00:00:00+05:30,9.9,9.99,9.52,9.98,3210
2008-09-08 00:00:00+05:30,10.0,10.19,9.55,9.66,3103
2008-09-09 00:00:00+05:30,10.1,10.1,10.09,10.09,2
2008-09-10 00:00:00+05:30,9.61,10.11,9.6,9.6,3102
2008-09-12 00:00:00+05:30,9.61,9.61,9.6,9.6,600
2008-09-15 00:00:00+05:30,9.13,9.13,9.13,9.13,100
2008-09-16 00:00:00+05:30,8.71,9.49,8.68,8.76,1100
2008-09-17 00:00:00+05:30,8.41,8.41,8.41,8.41,300
2008-09-18 00:00:00+05:30,8.02,8.8,8.02,8.13,578
2008-09-19 00:00:00+05:30,8.0,8.52,8.0,8.52,1889
2008-09-22 00:00:00+05:30,8.19,8.19,8.19,8.19,1
2008-09-23 00:00:00+05:30,8.0,8.61,8.0,8.61,1600
2008-09-29 00:00:00+05:30,8.19,8.19,8.18,8.18,500
2008-09-30 00:00:00+05:30,8.0,8.0,7.78,7.78,2370
2008-10-01 00:00:00+05:30,8.16,8.16,8.16,8.16,2000
2008-10-03 00:00:00+05:30,8.01,8.5,7.82,8.5,1090
2008-10-06 00:00:00+05:30,8.1,8.1,8.08,8.08,800
2008-10-07 00:00:00+05:30,7.7,7.7,7.7,7.7,100
2008-10-08 00:00:00+05:30,7.32,7.32,7.32,7.32,701
2008-10-13 00:00:00+05:30,6.96,7.05,6.96,7.05,1999
2008-10-14 00:00:00+05:30,7.05,7.05,7.0,7.03,1800
2008-10-15 00:00:00+05:30,7.05,7.05,7.05,7.05,100
2008-10-16 00:00:00+05:30,7.0,7.05,7.0,7.05,600
2008-10-17 00:00:00+05:30,6.7,6.7,6.7,6.7,200
2008-10-21 00:00:00+05:30,7.02,7.03,7.02,7.03,200
2008-10-22 00:00:00+05:30,6.98,7.0,6.68,6.68,10170
2008-10-23 00:00:00+05:30,6.35,6.35,6.35,6.35,4750
2008-10-24 00:00:00+05:30,6.04,6.04,6.04,6.04,1600
2008-10-31 00:00:00+05:30,5.75,5.75,5.75,5.75,2
2008-11-03 00:00:00+05:30,6.03,6.03,6.03,6.03,270
2008-11-07 00:00:00+05:30,6.33,6.33,5.75,5.75,444
2008-11-11 00:00:00+05:30,5.95,6.03,5.6,5.6,1100
2008-11-20 00:00:00+05:30,5.85,5.85,5.85,5.85,200
2008-12-02 00:00:00+05:30,6.14,6.14,5.85,5.9,1000
2008-12-03 00:00:00+05:30,5.61,5.61,5.61,5.61,300
2008-12-10 00:00:00+05:30,5.89,5.89,5.89,5.89,100
2008-12-12 00:00:00+05:30,6.0,6.0,6.0,6.0,500
2008-12-18 00:00:00+05:30,6.0,6.0,6.0,6.0,1000
2008-12-22 00:00:00+05:30,6.25,6.25,6.25,6.25,10
2008-12-24 00:00:00+05:30,6.24,6.25,6.24,6.24,700
2009-01-01 00:00:00+05:30,5.95,5.95,5.95,5.95,1
2009-01-02 00:00:00+05:30,6.24,6.24,5.68,5.68,1394
2009-01-06 00:00:00+05:30,5.4,5.4,5.4,5.4,100
2009-01-12 00:00:00+05:30,5.15,5.15,5.14,5.14,405
2009-01-14 00:00:00+05:30,4.88,4.9,4.88,4.88,1500
2009-01-16 00:00:00+05:30,5.0,5.0,5.0,5.0,4
2009-01-20 00:00:00+05:30,5.25,5.25,5.25,5.25,1000
2009-01-21 00:00:00+05:30,5.0,5.0,4.99,4.99,600
2009-01-28 00:00:00+05:30,4.75,4.75,4.75,4.75,100
2009-01-30 00:00:00+05:30,4.98,4.98,4.98,4.98,200
2009-02-02 00:00:00+05:30,4.76,5.15,4.76,5.15,1000
2009-02-03 00:00:00+05:30,5.4,5.4,5.4,5.4,500
2009-02-04 00:00:00+05:30,5.4,5.4,5.4,5.4,1746
2009-02-05 00:00:00+05:30,5.5,5.5,5.5,5.5,300
2009-02-10 00:00:00+05:30,5.3,5.3,5.23,5.23,1000
2009-02-12 00:00:00+05:30,5.45,5.45,5.45,5.45,500
2009-02-18 00:00:00+05:30,5.18,5.18,5.18,5.18,300
2009-02-19 00:00:00+05:30,5.42,5.42,5.42,5.42,111
2009-02-25 00:00:00+05:30,5.69,5.69,5.42,5.42,600
2009-03-02 00:00:00+05:30,5.69,5.69,5.69,5.69,100
2009-03-03 00:00:00+05:30,5.96,5.96,5.95,5.95,550
2009-03-04 00:00:00+05:30,5.66,6.24,5.66,6.24,794
2009-03-06 00:00:00+05:30,6.55,6.55,5.93,5.93,1150
2009-03-12 00:00:00+05:30,6.22,6.22,5.64,5.64,235
2009-03-18 00:00:00+05:30,5.09,5.6,5.09,5.2,701
2009-03-19 00:00:00+05:30,5.0,5.45,4.95,4.95,1600
2009-03-20 00:00:00+05:30,4.95,4.95,4.95,4.95,1400
2009-03-24 00:00:00+05:30,4.71,5.19,4.71,4.84,205
2009-03-26 00:00:00+05:30,5.34,5.34,5.32,5.32,4
2009-03-27 00:00:00+05:30,5.05,5.05,5.05,5.05,1100
2009-03-30 00:00:00+05:30,4.8,4.8,4.8,4.8,200
2009-04-01 00:00:00+05:30,4.59,4.8,4.59,4.8,200
2009-04-02 00:00:00+05:30,4.61,5.0,4.61,5.0,3000
2009-04-06 00:00:00+05:30,5.25,5.25,5.24,5.24,2
2009-04-08 00:00:00+05:30,5.49,5.49,4.98,4.98,505
2009-04-09 00:00:00+05:30,5.0,5.22,4.83,5.22,52
2009-04-15 00:00:00+05:30,5.48,5.48,5.0,5.48,512
2009-04-16 00:00:00+05:30,5.25,5.31,5.25,5.31,1900
2009-04-17 00:00:00+05:30,5.57,5.57,5.57,5.57,500
2009-04-20 00:00:00+05:30,5.3,5.8,5.3,5.8,570
2009-04-21 00:00:00+05:30,5.9,5.9,5.9,5.9,1
2009-04-23 00:00:00+05:30,5.61,5.61,5.61,5.61,600
2009-04-24 00:00:00+05:30,5.61,5.61,5.34,5.34,198
2009-04-28 00:00:00+05:30,5.6,5.6,5.19,5.19,650
2009-04-29 00:00:00+05:30,5.04,5.04,5.01,5.01,1000
2009-05-04 00:00:00+05:30,5.03,5.09,5.03,5.09,400
2009-05-05 00:00:00+05:30,4.9,4.9,4.9,4.9,500
2009-05-06 00:00:00+05:30,5.14,5.14,5.14,5.14,302
2009-05-07 00:00:00+05:30,5.25,5.25,5.25,5.25,200
2009-05-08 00:00:00+05:30,5.05,5.05,5.05,5.05,50
2009-05-12 00:00:00+05:30,4.93,4.93,4.93,4.93,100
2009-05-14 00:00:00+05:30,5.16,5.16,4.8,4.8,1500
2009-05-19 00:00:00+05:30,4.5,4.5,4.5,4.5,1000
2009-05-27 00:00:00+05:30,4.72,4.72,4.72,4.72,1
2009-05-29 00:00:00+05:30,4.95,4.95,4.95,4.95,100
2009-06-01 00:00:00+05:30,5.19,5.19,5.19,5.19,748
2009-06-02 00:00:00+05:30,5.44,5.44,5.44,5.44,1
2009-06-03 00:00:00+05:30,5.71,5.71,5.71,5.71,240
2009-06-04 00:00:00+05:30,5.99,5.99,5.99,5.99,889
2009-06-05 00:00:00+05:30,6.0,6.28,6.0,6.28,1901
2009-06-08 00:00:00+05:30,6.59,6.59,6.58,6.58,1534
2009-06-09 00:00:00+05:30,6.89,6.9,6.89,6.9,300
2009-06-10 00:00:00+05:30,7.23,7.23,6.62,6.65,1730
2009-06-11 00:00:00+05:30,6.35,6.98,6.35,6.39,1931
2009-06-12 00:00:00+05:30,6.5,6.7,6.5,6.7,250
2009-06-15 00:00:00+05:30,6.99,6.99,6.37,6.37,369
2009-06-16 00:00:00+05:30,6.08,6.68,6.07,6.68,1500
2009-06-19 00:00:00+05:30,6.68,7.01,6.68,7.01,3943
2009-06-24 00:00:00+05:30,6.67,7.3,6.66,7.3,2020
2009-06-25 00:00:00+05:30,6.94,6.95,6.94,6.94,900
2009-06-26 00:00:00+05:30,7.25,7.25,6.65,6.65,401
2009-06-30 00:00:00+05:30,6.33,6.33,6.33,6.33,100
2009-07-01 00:00:00+05:30,6.06,6.06,6.06,6.06,50
2009-07-10 00:00:00+05:30,6.36,6.36,6.36,6.36,175
2009-07-13 00:00:00+05:30,6.05,6.05,6.05,6.05,100
2009-07-14 00:00:00+05:30,5.76,5.76,5.75,5.75,600
2009-07-15 00:00:00+05:30,5.56,5.56,5.56,5.56,100
2009-07-16 00:00:00+05:30,5.31,5.82,5.3,5.82,241
2009-07-17 00:00:00+05:30,5.6,6.1,5.55,5.93,1300
2009-07-21 00:00:00+05:30,5.66,5.66,5.66,5.66,100
2009-07-22 00:00:00+05:30,5.38,5.38,5.38,5.38,100
2009-07-23 00:00:00+05:30,5.64,5.64,5.21,5.31,725
2009-07-28 00:00:00+05:30,5.57,5.57,5.57,5.57,100
2009-07-29 00:00:00+05:30,5.84,5.84,5.57,5.57,458
2009-08-04 00:00:00+05:30,5.51,5.6,5.51,5.6,250
2009-08-06 00:00:00+05:30,5.52,5.52,5.52,5.52,100
2009-08-07 00:00:00+05:30,5.31,5.31,5.31,5.31,500
2009-08-10 00:00:00+05:30,5.57,5.57,5.09,5.57,1864
2009-08-11 00:00:00+05:30,5.84,5.84,5.84,5.84,1101
2009-08-12 00:00:00+05:30,6.0,6.12,6.0,6.12,400
2009-08-13 00:00:00+05:30,5.82,5.82,5.82,5.82,4100
2009-08-14 00:00:00+05:30,5.55,6.11,5.55,6.11,243
2009-08-17 00:00:00+05:30,6.0,6.41,5.85,5.85,1100
2009-08-18 00:00:00+05:30,6.0,6.0,6.0,6.0,11
2009-08-19 00:00:00+05:30,5.71,5.71,5.71,5.71,100
2009-08-21 00:00:00+05:30,5.71,6.28,5.7,6.1,5808
2009-08-25 00:00:00+05:30,6.0,6.26,6.0,6.26,500
2009-08-27 00:00:00+05:30,6.3,6.3,6.07,6.07,3064
2009-08-31 00:00:00+05:30,6.52,6.52,6.22,6.22,600
2009-09-02 00:00:00+05:30,6.32,6.32,5.95,5.95,700
2009-09-04 00:00:00+05:30,6.55,6.55,6.55,6.55,1100
2009-09-07 00:00:00+05:30,6.87,6.87,6.87,6.87,2651
2009-09-09 00:00:00+05:30,7.56,7.57,6.85,7.14,7945
2009-09-10 00:00:00+05:30,6.8,7.0,6.79,6.79,2349
2009-09-14 00:00:00+05:30,6.15,6.75,6.14,6.2,4907
2009-09-15 00:00:00+05:30,6.25,6.51,6.25,6.25,1200
2009-09-16 00:00:00+05:30,6.16,6.56,6.0,6.56,2428
2009-09-17 00:00:00+05:30,6.24,6.25,6.24,6.24,15848
2009-09-18 00:00:00+05:30,5.95,6.24,5.94,5.94,1292
2009-09-22 00:00:00+05:30,5.65,5.8,5.65,5.8,900
2009-09-24 00:00:00+05:30,6.09,6.09,6.09,6.09,2800
2009-09-25 00:00:00+05:30,6.39,6.39,6.39,6.39,2200
2009-09-29 00:00:00+05:30,6.69,6.7,6.69,6.7,2200
2009-09-30 00:00:00+05:30,7.0,7.03,6.41,6.6,3710
2009-10-06 00:00:00+05:30,6.31,6.31,6.28,6.28,910
2009-10-07 00:00:00+05:30,6.03,6.5,6.03,6.5,1100
2009-10-08 00:00:00+05:30,6.2,6.2,6.2,6.2,100
2009-10-09 00:00:00+05:30,5.97,5.97,5.96,5.96,1500
2009-10-15 00:00:00+05:30,5.85,5.85,5.85,5.85,399
2009-10-16 00:00:00+05:30,5.6,5.6,5.56,5.56,901
2009-10-21 00:00:00+05:30,5.56,5.56,5.56,5.56,300
2009-10-22 00:00:00+05:30,5.83,5.83,5.83,5.83,400
2009-10-26 00:00:00+05:30,6.12,6.12,6.12,6.12,200
2009-10-27 00:00:00+05:30,6.0,6.42,5.83,6.42,3400
2009-10-28 00:00:00+05:30,6.74,6.74,6.55,6.74,12185
2009-10-29 00:00:00+05:30,7.07,7.07,6.66,7.05,20251
2009-10-30 00:00:00+05:30,7.35,7.4,7.35,7.39,4100
2009-11-03 00:00:00+05:30,7.75,7.75,7.5,7.73,11962
2009-11-04 00:00:00+05:30,8.11,8.11,7.76,8.11,16600
2009-11-05 00:00:00+05:30,8.51,8.51,7.99,8.51,12027
2009-11-06 00:00:00+05:30,8.21,8.92,8.21,8.92,6646
2009-11-09 00:00:00+05:30,9.36,9.36,9.3,9.36,2602
2009-11-10 00:00:00+05:30,9.82,9.82,9.36,9.78,9252
2009-11-11 00:00:00+05:30,10.0,10.26,10.0,10.01,12500
2009-11-12 00:00:00+05:30,10.05,10.51,10.0,10.51,16185
2009-11-13 00:00:00+05:30,10.5,11.03,10.5,11.03,8825
2009-11-16 00:00:00+05:30,11.05,11.58,11.03,11.58,9645
2009-11-17 00:00:00+05:30,11.95,12.15,11.6,12.15,7650
2009-11-18 00:00:00+05:30,12.75,12.75,12.6,12.61,17161
2009-11-19 00:00:00+05:30,13.24,13.24,12.2,12.45,15313
2009-11-20 00:00:00+05:30,13.0,13.07,11.83,12.57,20287
2009-11-23 00:00:00+05:30,13.19,13.19,11.96,12.05,10000
2009-11-24 00:00:00+05:30,11.45,11.6,11.45,11.57,2925
2009-11-25 00:00:00+05:30,12.0,12.0,11.5,11.5,12837
2009-11-26 00:00:00+05:30,11.05,11.9,10.93,10.93,4125
2009-11-27 00:00:00+05:30,10.39,10.6,10.39,10.39,4080
2009-12-01 00:00:00+05:30,11.24,11.25,10.66,11.05,1220
2009-12-02 00:00:00+05:30,11.3,11.3,10.7,11.25,1150
2009-12-03 00:00:00+05:30,11.01,11.75,11.0,11.5,2445
2009-12-04 00:00:00+05:30,11.2,11.2,10.95,10.95,1200
2009-12-07 00:00:00+05:30,10.55,10.61,10.55,10.58,1320
2009-12-08 00:00:00+05:30,10.5,10.5,10.3,10.32,755
2009-12-09 00:00:00+05:30,10.22,10.25,10.19,10.25,1850
2009-12-10 00:00:00+05:30,10.7,10.7,10.15,10.19,1049
2009-12-11 00:00:00+05:30,10.15,10.5,10.15,10.19,700
2009-12-14 00:00:00+05:30,10.11,10.45,10.01,10.21,2510
2009-12-15 00:00:00+05:30,10.0,10.0,9.8,9.82,14100
2009-12-16 00:00:00+05:30,10.0,10.0,9.55,9.55,1500
2009-12-17 00:00:00+05:30,9.55,10.02,9.55,9.97,2600
2009-12-18 00:00:00+05:30,9.56,9.56,9.56,9.56,100
2009-12-21 00:00:00+05:30,9.16,10.0,9.16,10.0,1550
2009-12-22 00:00:00+05:30,10.0,10.5,10.0,10.5,2050
2009-12-23 00:00:00+05:30,10.9,10.9,10.19,10.86,950
2009-12-24 00:00:00+05:30,10.6,10.65,10.35,10.4,2061
2009-12-29 00:00:00+05:30,10.6,10.85,10.19,10.26,2550
2009-12-30 00:00:00+05:30,10.25,10.7,10.25,10.32,2300
2009-12-31 00:00:00+05:30,10.83,10.83,10.19,10.79,9050
2010-01-04 00:00:00+05:30,10.31,11.1,10.3,11.07,5800
2010-01-05 00:00:00+05:30,11.5,11.62,11.4,11.62,6653
2010-01-06 00:00:00+05:30,11.15,12.2,11.15,12.08,8350
2010-01-07 00:00:00+05:30,11.6,12.0,11.48,11.48,2501
2010-01-08 00:00:00+05:30,12.04,12.05,11.3,11.4,6669
2010-01-11 00:00:00+05:30,11.5,11.5,11.0,11.05,3415
2010-01-12 00:00:00+05:30,10.75,11.4,10.7,11.27,2252
2010-01-13 00:00:00+05:30,10.85,11.05,10.85,11.05,1015
2010-01-14 00:00:00+05:30,11.55,11.6,11.15,11.15,5459
2010-01-15 00:00:00+05:30,10.9,11.15,10.9,11.15,2002
2010-01-18 00:00:00+05:30,10.61,11.65,10.61,11.43,5080
2010-01-19 00:00:00+05:30,11.15,12.0,11.05,11.25,6868
2010-01-20 00:00:00+05:30,11.7,11.7,10.85,11.04,4400
2010-01-21 00:00:00+05:30,11.58,11.58,11.0,11.0,3400
2010-01-22 00:00:00+05:30,10.5,10.55,10.5,10.5,12500
2010-01-25 00:00:00+05:30,10.0,10.5,9.98,10.5,10550
2010-01-27 00:00:00+05:30,10.9,10.9,9.98,10.0,3400
2010-01-29 00:00:00+05:30,10.75,10.75,9.94,10.0,9615
2010-02-01 00:00:00+05:30,10.5,10.5,10.01,10.5,1750
2010-02-02 00:00:00+05:30,10.05,11.02,10.05,10.84,3497
2010-02-03 00:00:00+05:30,11.02,11.38,10.3,11.36,6360
2010-02-04 00:00:00+05:30,11.5,11.5,10.85,10.85,500
2010-02-05 00:00:00+05:30,10.31,11.37,10.31,10.95,3300
2010-02-08 00:00:00+05:30,10.55,11.07,10.55,11.07,5085
2010-02-09 00:00:00+05:30,11.55,11.6,10.6,11.5,2750
2010-02-10 00:00:00+05:30,11.05,12.07,10.93,11.92,18368
2010-02-11 00:00:00+05:30,12.2,12.2,11.6,11.65,7400
2010-02-15 00:00:00+05:30,12.0,12.2,12.0,12.2,5100
2010-02-16 00:00:00+05:30,11.72,12.25,11.72,12.21,6210
