date,open,high,low,close,volume
2025-08-04 00:00:00+05:30,1059900,1061100,1050000,1061100,12
2025-08-05 00:00:00+05:30,1051000,1060000,1050000,1059550,20
2025-08-06 00:00:00+05:30,1051000,1060000,1051000,1060000,10
2025-08-07 00:00:00+05:30,1069400,1069400,1069400,1069400,1
2025-08-08 00:00:00+05:30,1070000,1070000,1070000,1070000,1
2025-08-11 00:00:00+05:30,1050000,1050000,1050000,1050000,1
2025-08-12 00:00:00+05:30,1050000,1050000,1050000,1050000,1
2025-08-18 00:00:00+05:30,1055000,1055000,1051000,1052000,3
2025-08-22 00:00:00+05:30,1052000,1056000,1052000,1056000,2
2025-08-25 00:00:00+05:30,1050000,1050000,1050000,1050000,1
2025-08-26 00:00:00+05:30,1055000,1055000,1055000,1055000,1
2025-08-28 00:00:00+05:30,1068800,1068800,1068800,1068800,1
2025-08-29 00:00:00+05:30,1068800,1068800,1068800,1068800,1
2025-09-03 00:00:00+05:30,1068800,1068800,1068800,1068800,1
2025-09-09 00:00:00+05:30,1068000,1068000,1068000,1068000,1
2025-09-10 00:00:00+05:30,1068000,1068000,1068000,1068000,1
2025-09-11 00:00:00+05:30,1068800,1068800,1050000,1050000,2
