date,open,high,low,close,volume
2019-03-13 00:00:00+05:30,0.09,0.09,0.09,0.09,1100
2019-04-08 00:00:00+05:30,0.09,0.09,0.09,0.09,1100
2019-08-20 00:00:00+05:30,0.09,0.09,0.09,0.09,1100
2019-10-03 00:00:00+05:30,0.1,0.1,0.1,0.1,1100
2019-10-25 00:00:00+05:30,0.11,0.11,0.11,0.11,6600
2020-03-02 00:00:00+05:30,0.11,0.11,0.11,0.11,9900
2020-05-22 00:00:00+05:30,0.12,0.12,0.12,0.12,11000
2020-06-11 00:00:00+05:30,0.12,0.12,0.12,0.12,6600
2020-08-27 00:00:00+05:30,0.13,0.13,0.13,0.13,1100
2020-10-13 00:00:00+05:30,0.13,0.13,0.13,0.13,1100
2021-02-04 00:00:00+05:30,0.13,0.14,0.13,0.14,38500
2021-03-18 00:00:00+05:30,0.14,0.14,0.14,0.14,12100
2021-05-04 00:00:00+05:30,0.15,0.15,0.15,0.15,11000
2021-06-17 00:00:00+05:30,0.15,0.15,0.15,0.15,1100
2021-07-05 00:00:00+05:30,0.15,0.15,0.15,0.15,1100
2021-07-15 00:00:00+05:30,0.16,0.16,0.16,0.16,1100
2021-08-13 00:00:00+05:30,0.17,0.17,0.17,0.17,11000
2021-09-20 00:00:00+05:30,0.18,0.18,0.18,0.18,1100
2022-05-05 00:00:00+05:30,0.19,0.19,0.19,0.19,1100
2022-08-12 00:00:00+05:30,0.2,0.2,0.2,0.2,1487200
2022-09-27 00:00:00+05:30,0.21,0.21,0.21,0.21,1100
2022-11-15 00:00:00+05:30,0.22,0.22,0.22,0.22,1100
2022-11-28 00:00:00+05:30,0.23,0.23,0.23,0.23,1100
2022-12-19 00:00:00+05:30,0.24,0.24,0.24,0.24,550
2022-12-20 00:00:00+05:30,0.25,0.25,0.25,0.25,550
2022-12-21 00:00:00+05:30,0.26,0.26,0.26,0.26,550
2022-12-23 00:00:00+05:30,0.27,0.27,0.27,0.27,550
2022-12-26 00:00:00+05:30,0.29,0.29,0.29,0.29,275
2022-12-27 00:00:00+05:30,0.3,0.3,0.3,0.3,330
2022-12-28 00:00:00+05:30,0.32,0.32,0.32,0.32,550
2022-12-29 00:00:00+05:30,0.33,0.33,0.33,0.33,330
2022-12-30 00:00:00+05:30,0.35,0.35,0.35,0.35,440
2023-01-03 00:00:00+05:30,0.36,0.36,0.36,0.36,55
2023-01-04 00:00:00+05:30,0.38,0.38,0.38,0.38,550
2023-01-05 00:00:00+05:30,0.4,0.4,0.4,0.4,550
2023-01-06 00:00:00+05:30,0.42,0.42,0.42,0.42,550
2023-01-09 00:00:00+05:30,0.45,0.45,0.45,0.45,550
2023-01-10 00:00:00+05:30,0.46,0.46,0.46,0.46,550
2023-01-11 00:00:00+05:30,0.49,0.49,0.49,0.49,550
2023-01-12 00:00:00+05:30,0.51,0.51,0.51,0.51,550
2023-01-13 00:00:00+05:30,0.54,0.54,0.54,0.54,2200
2023-01-16 00:00:00+05:30,0.56,0.56,0.56,0.56,550
2023-01-17 00:00:00+05:30,0.59,0.59,0.59,0.59,550
2023-01-18 00:00:00+05:30,0.62,0.62,0.62,0.62,1485
2023-01-19 00:00:00+05:30,0.65,0.65,0.65,0.65,550
2023-01-20 00:00:00+05:30,0.68,0.68,0.68,0.68,550
2023-01-23 00:00:00+05:30,0.72,0.72,0.72,0.72,550
2023-01-24 00:00:00+05:30,0.75,0.75,0.75,0.75,550
2023-01-25 00:00:00+05:30,0.79,0.79,0.79,0.79,5775
2023-01-27 00:00:00+05:30,0.83,0.83,0.83,0.83,550
2023-01-30 00:00:00+05:30,0.87,0.87,0.87,0.87,550
2023-01-31 00:00:00+05:30,0.91,0.91,0.91,0.91,550
