date,open,high,low,close,volume
2023-08-10 00:00:00+05:30,16.28,16.28,15.95,15.95,580
2023-08-11 00:00:00+05:30,15.88,15.88,15.88,15.88,30
2023-08-16 00:00:00+05:30,16.13,16.13,16.13,16.13,10
2023-08-18 00:00:00+05:30,15.85,15.9,15.73,15.9,280
2023-08-23 00:00:00+05:30,16.1,16.1,16.1,16.1,1000
2023-08-24 00:00:00+05:30,16.0,16.0,15.85,15.85,20
2023-08-25 00:00:00+05:30,15.9,15.9,15.9,15.9,1030
2023-08-28 00:00:00+05:30,15.9,15.9,15.82,15.82,110
2023-08-30 00:00:00+05:30,16.0,16.05,16.0,16.05,20
2023-09-05 00:00:00+05:30,16.2,16.27,16.2,16.27,40
2023-09-06 00:00:00+05:30,16.21,16.3,16.21,16.3,360
2023-09-07 00:00:00+05:30,16.3,16.45,16.3,16.45,40
2023-09-08 00:00:00+05:30,16.5,16.55,16.5,16.55,30
2023-09-11 00:00:00+05:30,16.55,16.55,16.55,16.55,310
2023-09-14 00:00:00+05:30,16.6,16.6,16.58,16.58,20
2023-09-15 00:00:00+05:30,16.6,16.76,16.6,16.76,650
2023-09-21 00:00:00+05:30,16.61,16.61,16.5,16.5,200
2023-09-25 00:00:00+05:30,16.5,16.5,16.5,16.5,6210
2023-09-28 00:00:00+05:30,16.41,16.41,16.25,16.28,1020
2023-10-05 00:00:00+05:30,16.4,16.4,16.4,16.4,150
2023-10-10 00:00:00+05:30,16.5,16.56,16.5,16.56,20
2023-10-17 00:00:00+05:30,16.68,16.68,16.68,16.68,1000
2023-10-19 00:00:00+05:30,16.51,16.69,16.51,16.69,440
2023-10-23 00:00:00+05:30,16.41,16.41,15.96,15.97,430
2023-10-25 00:00:00+05:30,16.21,16.21,16.13,16.13,20
2023-10-30 00:00:00+05:30,16.11,16.11,16.06,16.06,20
2023-10-31 00:00:00+05:30,16.11,16.2,16.09,16.2,1280
2023-11-06 00:00:00+05:30,16.35,16.39,16.35,16.39,20
2023-11-08 00:00:00+05:30,16.51,16.51,16.41,16.41,230
