date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,33.75,39.45,32.25,39.04,156710
2008-01-02 00:00:00+05:30,40.0,42.9,35.6,39.04,170750
2008-01-03 00:00:00+05:30,39.1,42.95,38.0,42.7,231796
2008-01-04 00:00:00+05:30,45.0,45.5,40.0,41.5,181600
2008-01-07 00:00:00+05:30,40.0,42.5,38.54,39.9,102492
2008-01-08 00:00:00+05:30,40.9,40.9,35.95,35.95,41643
2008-01-09 00:00:00+05:30,33.0,35.0,32.4,32.45,44717
2008-01-10 00:00:00+05:30,30.7,35.5,30.7,32.15,118388
2008-01-11 00:00:00+05:30,30.25,33.5,30.25,32.04,16013
2008-01-14 00:00:00+05:30,30.25,35.25,30.25,35.25,27761
2008-01-15 00:00:00+05:30,36.75,38.75,35.25,37.35,59648
2008-01-16 00:00:00+05:30,35.54,35.54,33.65,33.75,30890
2008-01-17 00:00:00+05:30,33.15,34.54,30.4,32.95,65112
2008-01-18 00:00:00+05:30,32.04,33.0,32.0,32.0,8653
2008-01-21 00:00:00+05:30,29.35,30.75,28.85,28.85,20610
2008-01-22 00:00:00+05:30,27.4,27.4,26.0,26.0,1320
2008-01-23 00:00:00+05:30,24.75,24.75,24.75,24.75,5460
2008-01-24 00:00:00+05:30,23.55,25.45,23.55,23.55,11501
2008-01-25 00:00:00+05:30,22.4,23.4,22.4,22.4,12526
2008-01-28 00:00:00+05:30,21.55,23.2,21.3,21.3,66882
2008-01-29 00:00:00+05:30,21.1,22.35,20.25,21.2,94573
2008-01-30 00:00:00+05:30,21.3,21.95,20.3,20.7,67647
2008-01-31 00:00:00+05:30,21.3,21.3,19.7,19.8,51676
2008-02-01 00:00:00+05:30,19.75,20.2,19.0,19.64,30647
2008-02-04 00:00:00+05:30,20.1,20.6,20.0,20.5,26959
2008-02-05 00:00:00+05:30,21.0,21.0,19.5,19.55,31200
2008-02-06 00:00:00+05:30,20.39,20.39,19.25,20.0,16591
2008-02-07 00:00:00+05:30,20.7,21.0,19.14,19.5,36474
2008-02-08 00:00:00+05:30,20.2,20.39,19.39,20.05,32840
2008-02-11 00:00:00+05:30,20.5,20.5,19.14,19.25,3800
2008-02-12 00:00:00+05:30,18.45,19.2,18.45,18.64,10275
2008-02-13 00:00:00+05:30,18.75,19.1,18.5,18.5,3025
2008-02-14 00:00:00+05:30,19.0,19.39,18.85,19.1,2032
2008-02-15 00:00:00+05:30,18.6,19.39,18.39,18.8,5859
2008-02-18 00:00:00+05:30,19.64,19.64,18.6,18.75,11150
2008-02-19 00:00:00+05:30,19.5,19.6,18.75,18.75,7368
2008-02-20 00:00:00+05:30,19.0,19.5,19.0,19.0,4050
2008-02-21 00:00:00+05:30,19.0,19.0,18.75,18.75,2550
2008-02-22 00:00:00+05:30,19.2,19.2,18.6,18.6,3520
2008-02-25 00:00:00+05:30,19.39,19.5,18.5,18.95,2850
2008-02-26 00:00:00+05:30,18.5,19.45,18.5,18.7,3926
2008-02-27 00:00:00+05:30,19.5,19.6,18.75,19.05,5330
2008-02-28 00:00:00+05:30,18.75,19.2,18.75,19.2,750
2008-02-29 00:00:00+05:30,18.55,19.5,18.55,18.95,2050
2008-03-03 00:00:00+05:30,19.0,19.55,18.14,18.3,9480
2008-03-04 00:00:00+05:30,18.6,19.0,18.5,19.0,6900
2008-03-05 00:00:00+05:30,19.45,19.45,18.5,18.5,2150
2008-03-07 00:00:00+05:30,18.7,19.0,18.05,18.45,12263
2008-03-10 00:00:00+05:30,17.6,19.85,17.55,18.0,3672
2008-03-11 00:00:00+05:30,17.5,18.7,17.5,18.45,1700
2008-03-12 00:00:00+05:30,18.2,18.2,18.14,18.14,500
2008-03-13 00:00:00+05:30,17.5,19.0,17.5,17.89,2104
2008-03-14 00:00:00+05:30,16.35,18.3,16.35,17.45,4125
2008-03-17 00:00:00+05:30,17.05,18.7,16.35,16.85,2709
2008-03-18 00:00:00+05:30,17.05,17.8,15.65,16.55,1835
2008-03-19 00:00:00+05:30,16.5,16.5,15.1,15.3,13052
2008-03-24 00:00:00+05:30,15.0,16.2,15.0,15.9,3500
2008-03-25 00:00:00+05:30,15.0,16.39,15.0,16.39,9690
2008-03-26 00:00:00+05:30,16.89,16.89,15.8,16.45,3525
2008-03-27 00:00:00+05:30,15.2,16.0,14.85,15.75,6671
2008-03-28 00:00:00+05:30,15.2,16.2,15.0,16.14,5505
2008-03-31 00:00:00+05:30,15.7,16.85,15.05,15.45,3400
2008-04-01 00:00:00+05:30,16.39,16.7,15.5,16.35,3650
2008-04-02 00:00:00+05:30,16.0,17.39,16.0,17.35,2705
2008-04-03 00:00:00+05:30,17.0,18.64,17.0,18.64,1870
2008-04-04 00:00:00+05:30,16.8,18.89,16.8,17.3,2177
2008-04-07 00:00:00+05:30,16.3,17.75,16.3,16.64,451
2008-04-08 00:00:00+05:30,17.0,17.35,17.0,17.35,1754
2008-04-09 00:00:00+05:30,18.0,18.5,17.0,17.45,765
2008-04-10 00:00:00+05:30,18.0,18.85,16.5,18.39,3355
2008-04-11 00:00:00+05:30,19.95,19.95,18.0,18.55,1611
2008-04-15 00:00:00+05:30,19.0,19.45,17.89,18.55,1477
2008-04-16 00:00:00+05:30,19.0,19.39,17.6,19.25,1332
2008-04-17 00:00:00+05:30,19.95,21.15,19.3,20.1,11741
2008-04-21 00:00:00+05:30,19.89,21.0,19.2,20.5,4312
2008-04-22 00:00:00+05:30,18.75,21.0,18.75,20.05,5678
2008-04-23 00:00:00+05:30,20.45,20.7,19.35,20.2,2960
2008-04-24 00:00:00+05:30,20.95,20.95,19.85,19.85,3329
2008-04-25 00:00:00+05:30,20.5,21.8,18.85,19.2,1624
2008-04-28 00:00:00+05:30,19.8,20.85,19.55,19.55,715
2008-04-29 00:00:00+05:30,19.0,19.45,18.5,18.6,4302
2008-04-30 00:00:00+05:30,19.5,19.95,18.6,18.6,6052
2008-05-02 00:00:00+05:30,18.89,19.0,18.3,18.75,2652
2008-05-05 00:00:00+05:30,18.5,19.25,17.75,19.1,3446
2008-05-06 00:00:00+05:30,19.2,20.0,18.35,18.75,4853
2008-05-07 00:00:00+05:30,19.0,20.5,18.55,19.5,23821
2008-05-08 00:00:00+05:30,18.7,19.75,18.2,19.3,9358
2008-05-09 00:00:00+05:30,19.85,19.85,18.25,18.45,2955
2008-05-12 00:00:00+05:30,18.85,20.5,18.85,19.45,7002
2008-05-13 00:00:00+05:30,20.0,20.0,19.0,19.89,2859
2008-05-14 00:00:00+05:30,19.0,19.05,19.0,19.0,1706
2008-05-15 00:00:00+05:30,19.64,20.0,19.05,20.0,3441
2008-05-16 00:00:00+05:30,20.0,20.8,19.1,19.25,2500
