date,open,high,low,close,volume
2023-12-27 00:00:00+05:30,100.0,104.99,95.0,104.99,126524
2023-12-28 00:00:00+05:30,110.23,110.23,110.23,110.23,8790
2023-12-29 00:00:00+05:30,115.74,115.74,115.74,115.74,15971
2024-01-01 00:00:00+05:30,116.0,121.5,110.0,121.5,102306
2024-01-02 00:00:00+05:30,127.55,127.55,127.55,127.55,24184
2024-01-03 00:00:00+05:30,133.9,133.9,133.9,133.9,80148
2024-01-04 00:00:00+05:30,140.55,140.55,128.1,139.8,174541
2024-01-05 00:00:00+05:30,132.85,146.75,132.85,146.75,320134
2024-01-08 00:00:00+05:30,150.0,150.0,139.45,139.65,156023
2024-01-09 00:00:00+05:30,137.3,146.6,133.0,146.6,130787
2024-01-10 00:00:00+05:30,169.95,175.9,162.6,175.9,1052938
2024-01-11 00:00:00+05:30,193.95,211.05,190.0,211.05,592847
2024-01-12 00:00:00+05:30,227.95,232.15,212.0,232.15,815578
2024-01-15 00:00:00+05:30,241.95,255.35,225.0,250.0,821631
2024-01-16 00:00:00+05:30,250.05,250.05,225.0,230.45,574360
2024-01-17 00:00:00+05:30,226.15,230.0,215.0,219.4,280532
2024-01-18 00:00:00+05:30,219.5,225.0,205.0,215.15,98700
2024-01-19 00:00:00+05:30,220.35,224.95,201.05,204.9,99076
2024-01-20 00:00:00+05:30,206.8,214.9,200.0,200.7,113844
2024-01-23 00:00:00+05:30,205.15,206.05,180.65,180.7,91132
2024-01-24 00:00:00+05:30,175.25,189.7,175.25,189.7,53388
2024-01-25 00:00:00+05:30,199.15,199.15,199.15,199.15,1142
2024-01-29 00:00:00+05:30,209.1,209.1,192.6,196.0,155142
2024-01-30 00:00:00+05:30,196.75,198.6,186.75,188.55,118035
2024-01-31 00:00:00+05:30,192.25,197.95,187.6,194.4,206459
2024-02-01 00:00:00+05:30,194.9,194.9,187.0,190.2,35323
2024-02-02 00:00:00+05:30,191.85,195.9,187.85,188.95,24025
2024-02-05 00:00:00+05:30,190.5,198.35,182.35,189.25,213672
2024-02-06 00:00:00+05:30,185.35,189.15,179.8,180.2,45210
2024-02-07 00:00:00+05:30,179.8,187.85,175.65,180.9,52467
2024-02-08 00:00:00+05:30,183.5,187.35,180.0,181.95,16762
2024-02-09 00:00:00+05:30,182.65,185.35,173.25,174.4,26520
2024-02-12 00:00:00+05:30,174.25,174.25,165.7,165.95,63138
2024-02-13 00:00:00+05:30,158.05,170.15,157.7,160.2,14769
2024-02-14 00:00:00+05:30,159.35,168.2,156.5,168.2,43510
2024-02-15 00:00:00+05:30,171.3,176.6,170.0,176.6,68796
2024-02-16 00:00:00+05:30,179.7,185.3,176.35,180.0,75844
2024-02-19 00:00:00+05:30,180.35,186.35,177.1,178.55,46917
2024-02-20 00:00:00+05:30,178.3,179.0,169.65,170.4,60587
2024-02-21 00:00:00+05:30,170.5,174.95,167.25,170.6,36187
2024-02-22 00:00:00+05:30,171.15,172.1,166.0,168.45,9860
2024-02-23 00:00:00+05:30,171.45,171.6,163.1,164.35,46030
2024-02-26 00:00:00+05:30,164.6,172.55,163.3,172.55,48968
2024-02-27 00:00:00+05:30,175.05,178.0,166.35,167.75,42621
2024-02-28 00:00:00+05:30,164.4,170.55,160.05,160.95,11140
2024-02-29 00:00:00+05:30,162.05,164.75,160.5,163.6,13885
2024-03-01 00:00:00+05:30,163.05,168.0,163.05,163.9,18859
2024-03-02 00:00:00+05:30,160.1,167.7,160.05,165.45,6990
2024-03-04 00:00:00+05:30,166.8,166.8,161.1,162.55,14067
2024-03-05 00:00:00+05:30,161.75,162.0,156.65,159.1,24595
2024-03-06 00:00:00+05:30,152.45,160.15,152.45,154.4,6964
2024-03-07 00:00:00+05:30,154.45,162.1,154.45,162.1,30656
2024-03-11 00:00:00+05:30,161.7,161.7,155.6,156.15,15105
2024-03-12 00:00:00+05:30,159.9,159.9,148.35,151.65,34595
2024-03-13 00:00:00+05:30,146.0,150.0,144.1,144.1,9413
2024-03-14 00:00:00+05:30,136.9,151.3,136.9,151.3,13078
2024-03-15 00:00:00+05:30,157.45,157.45,146.75,148.6,5131
2024-03-18 00:00:00+05:30,144.1,155.8,144.1,151.55,16567
2024-03-19 00:00:00+05:30,152.0,158.05,149.45,151.0,2698
2024-03-20 00:00:00+05:30,148.55,152.6,148.55,149.25,2299
2024-03-21 00:00:00+05:30,145.0,156.7,145.0,154.9,40385
2024-03-22 00:00:00+05:30,159.7,159.7,152.5,153.55,14083
2024-03-26 00:00:00+05:30,154.5,154.75,145.95,151.15,29984
2024-03-27 00:00:00+05:30,152.0,153.15,147.0,147.7,10281
2024-03-28 00:00:00+05:30,149.0,155.05,148.2,150.15,49675
2024-04-01 00:00:00+05:30,152.0,157.65,152.0,157.65,8248
2024-04-02 00:00:00+05:30,162.8,165.0,155.05,161.25,11788
2024-04-03 00:00:00+05:30,161.5,162.9,158.0,158.9,21355
2024-04-04 00:00:00+05:30,165.0,165.55,161.3,163.75,5136
2024-04-05 00:00:00+05:30,164.0,168.95,162.15,166.3,10428
2024-04-08 00:00:00+05:30,168.0,169.75,161.25,163.15,15886
2024-04-09 00:00:00+05:30,160.65,163.45,159.15,159.3,4408
