date,open,high,low,close,volume
2014-10-17 00:00:00+05:30,29.95,31.4,29.95,31.4,211
2014-10-20 00:00:00+05:30,32.95,32.95,32.95,32.95,30
2014-10-21 00:00:00+05:30,34.54,34.54,34.54,34.54,100
2014-10-22 00:00:00+05:30,36.25,36.25,36.25,36.25,125
2014-10-27 00:00:00+05:30,38.04,38.04,38.04,38.04,51
2014-10-28 00:00:00+05:30,39.95,39.95,38.04,39.0,2641
2014-10-29 00:00:00+05:30,40.95,40.95,37.04,39.9,6390
2014-10-30 00:00:00+05:30,39.79,39.79,39.79,39.79,25
2014-10-31 00:00:00+05:30,41.0,41.0,37.9,37.9,119
2014-11-03 00:00:00+05:30,33.0,36.5,30.35,30.35,8524
2014-11-05 00:00:00+05:30,29.8,31.0,24.85,26.85,13668
2014-11-07 00:00:00+05:30,29.0,29.5,29.0,29.5,634
2014-11-10 00:00:00+05:30,32.25,32.25,28.0,28.7,329
2014-11-11 00:00:00+05:30,30.0,30.0,28.55,28.55,655
2014-11-12 00:00:00+05:30,27.05,30.45,26.0,26.4,1934
2014-11-13 00:00:00+05:30,25.0,28.6,25.0,28.6,2100
2014-11-14 00:00:00+05:30,26.55,30.2,25.75,28.35,24547
2014-11-17 00:00:00+05:30,29.6,29.6,25.55,25.55,340
2014-11-18 00:00:00+05:30,23.55,27.7,23.1,25.35,559
2014-11-19 00:00:00+05:30,25.05,26.8,25.0,26.8,251
2014-11-20 00:00:00+05:30,24.25,28.95,24.15,26.25,16163
2014-11-21 00:00:00+05:30,24.05,27.9,24.0,27.75,1425
2014-11-24 00:00:00+05:30,29.15,29.15,25.1,26.5,190
2014-11-25 00:00:00+05:30,27.8,27.8,24.3,24.3,1076
2014-11-26 00:00:00+05:30,24.0,25.95,24.0,25.95,10025
2014-11-27 00:00:00+05:30,27.95,27.95,24.1,24.45,210
2014-11-28 00:00:00+05:30,22.6,25.0,22.55,22.65,1074
2014-12-01 00:00:00+05:30,24.7,24.75,24.7,24.75,1600
2014-12-02 00:00:00+05:30,24.0,24.05,22.65,24.05,10002
2014-12-03 00:00:00+05:30,24.75,24.75,23.5,23.5,35
2014-12-04 00:00:00+05:30,24.8,24.8,24.8,24.8,220
2014-12-05 00:00:00+05:30,26.95,26.95,22.0,25.0,203
2014-12-08 00:00:00+05:30,22.2,22.5,22.2,22.35,100
2014-12-09 00:00:00+05:30,18.55,26.8,18.55,23.35,207
2014-12-10 00:00:00+05:30,26.5,26.5,26.5,26.5,5
2014-12-11 00:00:00+05:30,25.0,25.0,23.5,24.5,230
2014-12-12 00:00:00+05:30,25.0,25.0,25.0,25.0,30
2014-12-16 00:00:00+05:30,23.0,25.0,20.0,24.9,39
2014-12-18 00:00:00+05:30,25.0,25.0,20.3,25.0,150
2014-12-22 00:00:00+05:30,22.05,27.5,21.0,23.9,655
2014-12-24 00:00:00+05:30,21.1,24.8,20.9,21.4,851
2014-12-26 00:00:00+05:30,25.0,25.0,25.0,25.0,20
2014-12-29 00:00:00+05:30,24.0,24.0,24.0,24.0,5
2014-12-30 00:00:00+05:30,23.0,23.0,21.55,21.55,225
2014-12-31 00:00:00+05:30,20.05,20.05,20.05,20.05,94
2015-01-01 00:00:00+05:30,23.05,23.05,23.0,23.0,350
2015-01-02 00:00:00+05:30,24.95,25.0,24.95,25.0,10
2015-01-05 00:00:00+05:30,24.5,24.5,24.5,24.5,5
2015-01-06 00:00:00+05:30,21.0,25.0,20.55,24.5,565
2015-01-07 00:00:00+05:30,28.85,29.35,20.65,22.0,13623
2015-01-08 00:00:00+05:30,22.05,22.05,21.1,21.95,261
2015-01-09 00:00:00+05:30,21.55,24.95,21.55,22.35,165
2015-01-12 00:00:00+05:30,25.0,25.0,22.1,25.0,181
2015-01-13 00:00:00+05:30,26.9,27.0,24.5,24.5,335
2015-01-14 00:00:00+05:30,23.05,25.0,23.0,25.0,225
2015-01-16 00:00:00+05:30,26.0,26.0,26.0,26.0,5
2015-01-19 00:00:00+05:30,25.8,25.85,21.1,25.5,8502
2015-01-20 00:00:00+05:30,25.5,25.5,25.5,25.5,1
2015-01-21 00:00:00+05:30,25.0,25.0,21.0,24.95,30
2015-01-22 00:00:00+05:30,26.0,29.8,23.1,27.55,12525
2015-01-23 00:00:00+05:30,27.0,27.45,23.15,26.45,29912
2015-01-27 00:00:00+05:30,29.9,29.9,29.9,29.9,99
2015-01-28 00:00:00+05:30,29.95,29.95,27.0,27.8,2505
2015-01-29 00:00:00+05:30,28.0,29.9,27.5,28.85,401
2015-01-30 00:00:00+05:30,29.0,29.0,29.0,29.0,1
2015-02-02 00:00:00+05:30,24.6,27.95,24.55,27.9,6400
2015-02-03 00:00:00+05:30,23.6,27.5,23.5,26.95,10481
2015-02-04 00:00:00+05:30,23.65,26.5,23.4,23.5,1060
2015-02-05 00:00:00+05:30,26.0,26.0,26.0,26.0,2
2015-02-06 00:00:00+05:30,25.0,30.4,24.1,25.0,15502
2015-02-10 00:00:00+05:30,27.95,27.95,24.0,24.0,70
2015-02-12 00:00:00+05:30,22.55,25.5,22.55,25.5,102
2015-02-13 00:00:00+05:30,21.45,25.5,21.45,24.3,9004
2015-02-20 00:00:00+05:30,25.0,26.85,22.0,22.25,16275
2015-02-25 00:00:00+05:30,19.0,26.7,19.0,23.05,23333
2015-03-02 00:00:00+05:30,20.05,26.8,20.05,23.15,18341
2015-03-04 00:00:00+05:30,25.0,25.0,22.8,22.8,501
2015-03-05 00:00:00+05:30,23.0,24.95,18.75,23.55,330
2015-03-09 00:00:00+05:30,23.0,24.8,22.05,22.05,1004
2015-03-11 00:00:00+05:30,24.5,24.5,18.2,19.85,637
2015-03-12 00:00:00+05:30,22.0,22.0,19.55,19.6,182
2015-03-16 00:00:00+05:30,18.2,22.75,16.35,21.7,31044
2015-03-17 00:00:00+05:30,19.14,25.0,19.14,23.15,36233
2015-03-18 00:00:00+05:30,27.0,27.0,19.55,22.5,40143
2015-03-19 00:00:00+05:30,22.5,22.8,22.4,22.45,15201
2015-03-20 00:00:00+05:30,23.2,25.0,21.2,22.5,1340
2015-03-23 00:00:00+05:30,18.64,20.0,18.64,18.95,1963
2015-03-25 00:00:00+05:30,16.5,22.65,16.3,19.5,21027
2015-03-26 00:00:00+05:30,16.3,23.25,16.14,20.35,34229
2015-04-06 00:00:00+05:30,20.8,20.8,18.45,19.05,20
2015-04-07 00:00:00+05:30,20.05,20.05,19.39,19.39,275
2015-04-08 00:00:00+05:30,18.1,21.5,16.39,21.5,3008
2015-04-09 00:00:00+05:30,20.8,21.5,20.8,21.5,220
2015-04-10 00:00:00+05:30,21.5,22.0,18.35,22.0,8101
2015-04-13 00:00:00+05:30,19.55,19.55,19.55,19.55,100
2015-04-16 00:00:00+05:30,20.0,22.0,20.0,21.75,670
2015-04-17 00:00:00+05:30,22.0,22.0,22.0,22.0,20
2015-04-20 00:00:00+05:30,24.0,25.9,21.65,24.85,42561
2015-04-21 00:00:00+05:30,22.6,28.0,22.6,25.9,5320
2015-04-22 00:00:00+05:30,23.2,26.5,22.05,22.65,2302
2015-04-23 00:00:00+05:30,22.0,27.15,22.0,25.85,13575
2015-04-24 00:00:00+05:30,26.95,26.95,22.3,24.3,7892
2015-04-27 00:00:00+05:30,25.0,27.5,21.0,24.45,19034
2015-04-28 00:00:00+05:30,21.15,26.0,21.15,23.55,165
2015-04-29 00:00:00+05:30,20.2,25.9,20.2,22.4,462
2015-04-30 00:00:00+05:30,19.05,26.0,19.05,25.1,23239
2015-05-04 00:00:00+05:30,24.0,24.0,22.35,23.2,2
2015-05-05 00:00:00+05:30,20.25,25.0,20.14,22.1,5937
2015-05-06 00:00:00+05:30,25.5,25.5,20.05,21.25,2382
2015-05-07 00:00:00+05:30,20.0,24.0,19.14,20.7,217
2015-05-08 00:00:00+05:30,24.0,24.0,20.65,22.85,151
2015-05-11 00:00:00+05:30,24.0,25.0,19.35,20.9,27607
2015-05-12 00:00:00+05:30,24.65,24.65,20.0,23.65,2146
2015-05-13 00:00:00+05:30,27.9,27.9,22.5,23.35,869
2015-05-14 00:00:00+05:30,22.95,22.95,22.0,22.5,10
2015-05-15 00:00:00+05:30,23.95,23.95,20.0,23.15,1585
2015-05-18 00:00:00+05:30,20.5,23.5,20.0,23.5,502
2015-05-19 00:00:00+05:30,27.0,27.0,20.0,21.6,2243
2015-05-20 00:00:00+05:30,20.0,23.95,19.2,23.55,9100
2015-05-21 00:00:00+05:30,21.0,23.75,20.95,21.1,470
2015-05-22 00:00:00+05:30,21.05,23.9,19.6,20.05,928
2015-05-25 00:00:00+05:30,23.65,23.65,23.5,23.5,4
2015-05-26 00:00:00+05:30,27.5,27.5,20.0,22.4,9973
2015-05-27 00:00:00+05:30,23.45,26.2,21.0,24.1,23536
2015-05-28 00:00:00+05:30,24.0,26.0,22.2,25.0,17240
2015-05-29 00:00:00+05:30,21.2,27.5,21.2,23.65,18705
2015-06-01 00:00:00+05:30,21.2,28.0,21.0,27.85,28828
2015-06-02 00:00:00+05:30,24.05,31.0,24.05,29.05,6011
2015-06-03 00:00:00+05:30,25.0,32.9,23.4,27.65,21095
2015-06-04 00:00:00+05:30,24.95,29.0,24.7,27.5,6974
2015-06-05 00:00:00+05:30,28.25,28.5,26.2,28.2,2752
2015-06-08 00:00:00+05:30,28.5,28.5,26.0,26.0,160
2015-06-09 00:00:00+05:30,26.0,26.0,26.0,26.0,300
2015-06-10 00:00:00+05:30,22.5,31.2,22.5,25.25,18639
2015-06-11 00:00:00+05:30,28.25,30.0,24.55,29.15,20179
2015-06-12 00:00:00+05:30,32.95,34.95,32.95,34.95,15385
