date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,43.7,43.7,42.1,42.4,195500
2008-01-02 00:00:00+05:30,43.5,43.5,41.4,41.75,179910
2008-01-03 00:00:00+05:30,41.5,45.8,41.5,44.35,2252880
2008-01-04 00:00:00+05:30,44.9,44.9,42.05,42.5,438310
2008-01-07 00:00:00+05:30,42.0,43.1,41.2,41.5,236960
2008-01-08 00:00:00+05:30,41.8,42.7,40.0,40.4,294190
2008-01-09 00:00:00+05:30,41.0,42.0,40.0,40.2,287270
2008-01-10 00:00:00+05:30,41.2,41.2,37.6,38.05,241360
2008-01-11 00:00:00+05:30,38.4,39.1,36.7,37.55,166490
2008-01-14 00:00:00+05:30,38.85,39.5,38.1,39.0,289470
2008-01-15 00:00:00+05:30,40.0,40.5,39.2,40.05,360750
2008-01-16 00:00:00+05:30,40.5,40.5,38.5,39.3,261780
2008-01-17 00:00:00+05:30,40.2,40.9,39.0,39.05,127190
2008-01-18 00:00:00+05:30,39.2,39.2,35.45,36.75,318020
2008-01-21 00:00:00+05:30,35.5,37.0,35.0,36.0,513910
2008-01-22 00:00:00+05:30,34.2,35.5,32.0,33.25,403910
2008-01-23 00:00:00+05:30,34.5,36.5,32.0,35.5,116560
2008-01-24 00:00:00+05:30,35.1,36.9,33.1,34.95,294760
2008-01-25 00:00:00+05:30,35.0,37.5,35.0,36.85,111040
2008-01-28 00:00:00+05:30,35.3,35.85,35.0,35.25,18390
2008-01-29 00:00:00+05:30,35.0,36.65,34.0,35.3,76800
2008-01-30 00:00:00+05:30,36.3,36.3,34.1,34.7,123830
2008-01-31 00:00:00+05:30,34.5,35.5,31.7,32.2,399230
2008-02-01 00:00:00+05:30,33.55,33.55,33.0,33.25,55370
2008-02-04 00:00:00+05:30,34.8,34.8,33.7,34.05,48350
2008-02-05 00:00:00+05:30,34.2,40.7,34.2,39.3,324570
2008-02-06 00:00:00+05:30,38.0,41.0,36.0,40.15,556620
2008-02-07 00:00:00+05:30,39.5,41.2,37.5,38.05,364700
2008-02-08 00:00:00+05:30,38.7,39.4,35.1,35.85,193820
2008-02-11 00:00:00+05:30,35.0,36.0,32.6,34.6,136480
2008-02-12 00:00:00+05:30,33.55,35.95,33.5,34.1,103080
2008-02-13 00:00:00+05:30,35.2,36.0,33.5,34.5,110900
2008-02-14 00:00:00+05:30,35.8,36.6,34.5,36.2,60160
2008-02-15 00:00:00+05:30,35.2,36.5,35.1,35.9,49560
2008-02-18 00:00:00+05:30,36.85,36.9,35.3,35.8,52660
2008-02-19 00:00:00+05:30,36.5,36.8,35.4,36.0,2672850
2008-02-20 00:00:00+05:30,35.7,36.8,35.3,36.2,71510
2008-02-21 00:00:00+05:30,36.55,36.65,35.0,36.0,5713480
2008-02-22 00:00:00+05:30,35.9,35.95,33.35,34.05,114890
2008-02-25 00:00:00+05:30,34.6,34.95,34.0,34.75,44600
2008-02-26 00:00:00+05:30,34.9,35.8,34.6,35.2,32370
2008-02-27 00:00:00+05:30,35.4,36.4,34.65,35.05,66010
2008-02-28 00:00:00+05:30,35.5,35.6,34.5,34.9,136760
2008-02-29 00:00:00+05:30,34.7,36.0,34.3,35.6,66130
2008-03-03 00:00:00+05:30,34.5,34.8,33.8,34.0,2590570
2008-03-04 00:00:00+05:30,33.5,35.0,32.65,34.15,107560
2008-03-05 00:00:00+05:30,34.8,34.8,33.3,33.45,262350
2008-03-07 00:00:00+05:30,33.0,33.3,30.7,31.05,136370
2008-03-10 00:00:00+05:30,29.5,31.5,27.5,31.05,112930
2008-03-11 00:00:00+05:30,30.6,32.4,29.9,30.8,85080
2008-03-12 00:00:00+05:30,31.4,33.1,31.0,32.1,109900
2008-03-13 00:00:00+05:30,30.5,32.2,30.5,31.65,152480
2008-03-14 00:00:00+05:30,31.05,31.7,30.5,31.05,54390
2008-03-17 00:00:00+05:30,28.0,30.0,27.2,29.45,163950
2008-03-18 00:00:00+05:30,29.4,31.2,28.35,30.25,148090
2008-03-19 00:00:00+05:30,31.8,32.4,28.6,28.7,1093890
2008-03-24 00:00:00+05:30,29.0,30.4,27.6,29.9,212840
2008-03-25 00:00:00+05:30,30.2,31.5,29.8,31.3,100530
2008-03-26 00:00:00+05:30,31.0,31.7,30.3,31.35,84430
2008-03-27 00:00:00+05:30,31.0,32.9,30.7,31.9,134170
2008-03-28 00:00:00+05:30,32.05,36.0,31.7,34.3,186880
2008-03-31 00:00:00+05:30,33.75,37.45,32.65,36.15,126720
2008-04-01 00:00:00+05:30,36.3,36.3,34.0,34.4,71840
2008-04-02 00:00:00+05:30,35.9,35.9,33.6,34.0,50150
2008-04-03 00:00:00+05:30,34.0,34.0,33.1,34.0,3790790
2008-04-04 00:00:00+05:30,33.9,34.5,33.3,34.0,200410
2008-04-07 00:00:00+05:30,34.4,34.4,33.6,34.0,35450
2008-04-08 00:00:00+05:30,32.8,35.15,32.8,34.0,76850
2008-04-09 00:00:00+05:30,34.0,34.6,33.0,33.65,492490
2008-04-10 00:00:00+05:30,33.9,34.0,32.7,33.05,31120
2008-04-11 00:00:00+05:30,33.4,33.7,32.7,33.5,44740
2008-04-15 00:00:00+05:30,33.75,34.5,33.0,34.3,43730
2008-04-16 00:00:00+05:30,34.0,34.9,34.0,34.0,18720
2008-04-17 00:00:00+05:30,34.6,35.5,34.0,34.35,25070
2008-04-21 00:00:00+05:30,34.85,36.3,33.7,35.15,119750
2008-04-22 00:00:00+05:30,35.5,35.5,34.0,34.8,75260
2008-04-23 00:00:00+05:30,35.1,35.2,34.25,34.65,21940
2008-04-24 00:00:00+05:30,33.65,35.75,33.65,34.65,53580
2008-04-25 00:00:00+05:30,35.0,35.4,34.1,34.5,39170
2008-04-28 00:00:00+05:30,35.3,35.3,34.2,34.6,9570
2008-04-29 00:00:00+05:30,34.6,35.0,34.4,34.6,17740
2008-04-30 00:00:00+05:30,35.1,35.5,34.55,35.0,47580
2008-05-02 00:00:00+05:30,35.7,35.7,34.8,35.05,18720
2008-05-05 00:00:00+05:30,35.0,35.3,34.7,35.1,8970
2008-05-06 00:00:00+05:30,34.7,34.8,34.0,34.35,24850
2008-05-07 00:00:00+05:30,33.8,34.8,33.5,34.5,9200
2008-05-08 00:00:00+05:30,34.5,35.0,33.6,34.7,27400
2008-05-09 00:00:00+05:30,34.7,35.1,34.3,34.45,32830
2008-05-12 00:00:00+05:30,34.6,34.6,33.2,34.0,12940
2008-05-13 00:00:00+05:30,34.7,36.5,34.6,35.15,156120
2008-05-14 00:00:00+05:30,35.4,35.9,34.55,34.9,26330
2008-05-15 00:00:00+05:30,34.7,36.3,34.7,35.45,33510
2008-05-16 00:00:00+05:30,36.0,38.7,35.7,36.95,809030
