date,open,high,low,close,volume
2011-11-14 00:00:00+05:30,5.55,5.55,5.55,5.55,100
2019-03-20 00:00:00+05:30,5.82,5.82,5.82,5.82,2
2019-10-24 00:00:00+05:30,6.11,6.11,6.11,6.11,1
2019-11-15 00:00:00+05:30,6.41,6.41,6.41,6.41,9
2019-11-18 00:00:00+05:30,6.73,6.73,6.73,6.73,5
2019-11-20 00:00:00+05:30,7.06,7.06,7.06,7.06,2
2020-02-10 00:00:00+05:30,7.41,7.41,7.41,7.41,200
2020-02-18 00:00:00+05:30,7.78,7.78,7.78,7.78,117
2020-03-25 00:00:00+05:30,8.16,8.16,8.16,8.16,1
2020-05-12 00:00:00+05:30,8.56,8.56,8.56,8.56,2
2020-05-26 00:00:00+05:30,8.98,8.98,8.98,8.98,1
2020-08-18 00:00:00+05:30,9.42,9.42,9.42,9.42,6
2020-08-24 00:00:00+05:30,9.89,9.89,9.89,9.89,217
2020-09-14 00:00:00+05:30,10.38,10.38,10.38,10.38,3500
2020-09-15 00:00:00+05:30,10.89,10.89,10.89,10.89,60001
2020-09-16 00:00:00+05:30,11.43,11.43,11.43,11.43,9700
2020-09-17 00:00:00+05:30,12.0,12.0,12.0,12.0,100
2020-09-18 00:00:00+05:30,12.6,12.6,12.6,12.6,100
2020-09-21 00:00:00+05:30,13.23,13.23,13.23,13.23,100
2020-09-22 00:00:00+05:30,13.89,13.89,13.89,13.89,100
2020-09-24 00:00:00+05:30,14.58,14.58,14.58,14.58,50
2020-09-25 00:00:00+05:30,15.3,15.3,15.3,15.3,21
2020-09-28 00:00:00+05:30,16.06,16.06,16.06,16.06,26
2020-10-05 00:00:00+05:30,16.85,16.85,16.85,16.85,50
2020-10-07 00:00:00+05:30,17.65,17.65,17.65,17.65,1
2020-10-08 00:00:00+05:30,18.5,18.5,18.5,18.5,25
2020-10-12 00:00:00+05:30,19.4,19.4,19.4,19.4,200
2020-10-16 00:00:00+05:30,20.35,20.35,20.35,20.35,50
2020-10-19 00:00:00+05:30,21.35,21.35,21.35,21.35,200
2020-10-22 00:00:00+05:30,22.4,22.4,22.4,22.4,1
2020-10-23 00:00:00+05:30,23.5,23.5,23.5,23.5,1
2020-10-26 00:00:00+05:30,24.65,24.65,24.65,24.65,76
2020-10-27 00:00:00+05:30,25.85,25.85,25.85,25.85,1
2020-10-28 00:00:00+05:30,27.1,27.1,27.1,27.1,8796
2020-10-29 00:00:00+05:30,25.75,28.45,25.75,28.45,28137
2020-10-30 00:00:00+05:30,29.85,29.85,29.85,29.85,550
2020-11-02 00:00:00+05:30,31.3,31.3,31.3,31.3,110
2020-11-03 00:00:00+05:30,32.85,32.85,32.8,32.85,7961
2020-11-04 00:00:00+05:30,34.45,34.45,34.45,34.45,28
2020-11-05 00:00:00+05:30,36.15,36.15,32.75,36.15,16162
2020-11-06 00:00:00+05:30,36.85,36.85,35.45,36.85,21119
2020-11-09 00:00:00+05:30,37.55,37.55,36.15,36.15,1253
2020-11-10 00:00:00+05:30,35.45,35.45,35.45,35.45,1109
2020-11-11 00:00:00+05:30,34.75,34.75,34.75,34.75,45
2020-11-12 00:00:00+05:30,34.1,34.1,34.1,34.1,303
2020-11-13 00:00:00+05:30,33.45,33.45,33.45,33.45,4161
2020-11-14 00:00:00+05:30,32.8,32.8,32.8,32.8,9526
2020-11-17 00:00:00+05:30,32.15,32.15,32.15,32.15,10414
2020-11-18 00:00:00+05:30,31.55,31.55,31.55,31.55,212
2020-11-19 00:00:00+05:30,30.95,32.15,30.95,32.15,47518
2020-11-20 00:00:00+05:30,32.75,32.75,32.75,32.75,30
2020-11-23 00:00:00+05:30,33.4,33.4,33.4,33.4,80
2020-11-24 00:00:00+05:30,34.05,34.05,34.0,34.05,10426
2020-11-25 00:00:00+05:30,34.7,34.7,34.7,34.7,2620
2020-11-26 00:00:00+05:30,35.35,35.35,35.35,35.35,3000
2020-11-27 00:00:00+05:30,36.05,36.05,36.05,36.05,3990
2020-12-01 00:00:00+05:30,36.65,36.75,36.65,36.75,5173
2020-12-02 00:00:00+05:30,37.45,37.45,37.45,37.45,2550
2020-12-03 00:00:00+05:30,38.15,38.15,37.9,38.1,5589
2020-12-04 00:00:00+05:30,38.85,38.85,37.35,37.35,3417
2020-12-07 00:00:00+05:30,35.5,35.5,35.5,35.5,213
2020-12-08 00:00:00+05:30,33.75,37.2,33.75,36.65,20907
2020-12-09 00:00:00+05:30,37.5,38.45,34.85,35.75,5242
2020-12-10 00:00:00+05:30,36.0,37.5,34.0,37.5,499
2020-12-11 00:00:00+05:30,37.5,39.35,35.85,38.95,2320
2020-12-14 00:00:00+05:30,37.5,40.85,37.05,39.45,11119
2020-12-15 00:00:00+05:30,39.8,41.4,37.5,38.55,9909
2020-12-16 00:00:00+05:30,40.0,40.45,37.5,37.65,7646
2020-12-17 00:00:00+05:30,39.5,39.5,35.8,37.35,7475
2020-12-18 00:00:00+05:30,37.35,38.75,35.5,38.0,5606
2020-12-21 00:00:00+05:30,38.0,39.9,36.15,38.7,8218
2020-12-22 00:00:00+05:30,38.95,40.6,36.8,40.5,9310
2020-12-23 00:00:00+05:30,42.4,42.5,38.5,42.0,16371
2020-12-24 00:00:00+05:30,44.1,44.1,41.5,42.55,9683
2020-12-28 00:00:00+05:30,44.65,44.65,42.0,44.65,5091
2020-12-29 00:00:00+05:30,46.75,46.85,44.25,46.85,1728
2020-12-30 00:00:00+05:30,49.15,49.15,49.15,49.15,1270
2020-12-31 00:00:00+05:30,51.6,51.6,51.6,51.6,202
2021-01-01 00:00:00+05:30,54.15,54.15,54.15,54.15,83
2021-01-04 00:00:00+05:30,56.85,56.85,55.25,56.85,13052
2021-01-05 00:00:00+05:30,59.65,59.65,59.65,59.65,2096
2021-01-06 00:00:00+05:30,62.6,62.6,62.6,62.6,1222
2021-01-07 00:00:00+05:30,65.7,65.7,65.7,65.7,73
2021-01-08 00:00:00+05:30,68.95,68.95,68.95,68.95,537
2021-01-11 00:00:00+05:30,70.3,70.3,70.3,70.3,2351
2021-01-12 00:00:00+05:30,71.7,71.7,68.9,68.9,14979
2021-01-13 00:00:00+05:30,67.55,67.55,67.55,67.55,836
2021-01-14 00:00:00+05:30,66.2,68.9,66.2,68.9,15740
2021-01-15 00:00:00+05:30,70.25,70.25,70.25,70.25,2020
2021-01-18 00:00:00+05:30,71.65,71.65,70.0,71.65,3597
2021-01-19 00:00:00+05:30,73.05,73.05,73.05,73.05,658
2021-01-20 00:00:00+05:30,74.5,74.5,74.5,74.5,2487
2021-01-21 00:00:00+05:30,75.95,75.95,75.95,75.95,1774
2021-01-22 00:00:00+05:30,77.45,77.45,75.95,77.45,5423
2021-01-25 00:00:00+05:30,78.95,78.95,75.95,76.8,7613
2021-01-27 00:00:00+05:30,78.3,78.3,78.3,78.3,2852
2021-01-28 00:00:00+05:30,79.85,79.85,79.25,79.85,7715
2021-01-29 00:00:00+05:30,81.4,81.4,81.4,81.4,3499
2021-02-01 00:00:00+05:30,83.0,83.0,83.0,83.0,3000
2021-02-02 00:00:00+05:30,84.65,84.65,84.65,84.65,2751
2021-02-03 00:00:00+05:30,86.3,86.3,86.3,86.3,335
2021-02-04 00:00:00+05:30,88.0,88.0,88.0,88.0,303
2021-02-05 00:00:00+05:30,92.4,92.4,92.4,92.4,570
2021-02-08 00:00:00+05:30,97.0,97.0,94.25,97.0,2984
2021-02-09 00:00:00+05:30,101.85,101.85,100.0,101.85,3852
2021-02-10 00:00:00+05:30,106.9,106.9,106.9,106.9,454
2021-02-11 00:00:00+05:30,112.2,112.2,112.2,112.2,257
2021-02-12 00:00:00+05:30,117.8,117.8,117.8,117.8,2064
2021-02-15 00:00:00+05:30,123.65,123.65,123.65,123.65,290
2021-02-16 00:00:00+05:30,117.5,117.5,117.5,117.5,5673
2021-02-17 00:00:00+05:30,111.65,111.65,111.65,111.65,356
2021-02-18 00:00:00+05:30,106.1,106.1,106.1,106.1,166
2021-02-19 00:00:00+05:30,100.8,100.8,100.8,100.8,1105
2021-02-22 00:00:00+05:30,95.8,95.8,95.8,95.8,1113
2021-02-23 00:00:00+05:30,91.05,91.05,91.05,91.05,42
2021-02-24 00:00:00+05:30,86.5,86.5,86.5,86.5,248
2021-02-25 00:00:00+05:30,82.2,82.2,82.2,82.2,351
2021-02-26 00:00:00+05:30,78.1,84.5,78.1,78.1,36016
2021-03-01 00:00:00+05:30,74.2,74.2,74.2,74.2,1174
2021-03-02 00:00:00+05:30,70.5,70.5,70.5,70.5,4989
2021-03-03 00:00:00+05:30,67.0,67.0,67.0,67.0,224
