date,open,high,low,close,volume
2025-08-20 00:00:00+05:30,141.8,145.7,130.25,131.65,6626924
2025-08-21 00:00:00+05:30,132.55,137.1,126.05,126.85,1903120
2025-08-22 00:00:00+05:30,126.9,129.75,122.75,124.15,1043971
2025-08-25 00:00:00+05:30,125.05,126.0,118.7,119.55,899263
2025-08-26 00:00:00+05:30,119.0,119.15,110.55,112.35,517407
2025-08-28 00:00:00+05:30,112.55,118.1,108.9,115.9,976272
2025-08-29 00:00:00+05:30,117.55,119.2,111.75,114.3,437959
2025-09-01 00:00:00+05:30,116.45,116.45,110.2,110.85,332988
2025-09-02 00:00:00+05:30,111.25,112.9,109.4,110.0,379276
2025-09-03 00:00:00+05:30,109.65,111.8,108.0,110.15,380213
2025-09-04 00:00:00+05:30,111.65,112.0,107.4,108.3,133060
2025-09-05 00:00:00+05:30,107.25,108.75,105.0,105.55,305725
2025-09-08 00:00:00+05:30,105.05,113.75,104.5,110.85,544385
2025-09-09 00:00:00+05:30,111.3,112.15,108.15,109.45,362110
2025-09-10 00:00:00+05:30,108.35,109.05,106.0,106.8,154227
2025-09-11 00:00:00+05:30,106.65,111.8,106.5,107.9,276564
2025-09-12 00:00:00+05:30,107.5,109.0,106.25,106.8,241997
2025-09-15 00:00:00+05:30,108.05,108.05,106.0,106.15,192077
2025-09-16 00:00:00+05:30,106.1,107.3,105.65,106.05,63843
2025-09-17 00:00:00+05:30,106.15,106.25,104.25,104.9,199447
2025-09-18 00:00:00+05:30,104.9,105.55,102.5,103.15,204885
2025-09-19 00:00:00+05:30,102.95,105.55,102.4,104.65,189025
