date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,30.7,30.7,30.0,30.7,267623
2008-01-02 00:00:00+05:30,33.75,33.75,31.5,33.75,598123
2008-01-03 00:00:00+05:30,34.9,37.0,32.0,32.79,241796
2008-01-04 00:00:00+05:30,30.0,33.0,30.0,30.7,93190
2008-01-07 00:00:00+05:30,30.0,32.0,28.75,29.45,77893
2008-01-08 00:00:00+05:30,30.7,30.7,26.55,26.6,61994
2008-01-09 00:00:00+05:30,25.6,27.3,24.05,24.55,54877
2008-01-10 00:00:00+05:30,24.05,25.75,23.55,25.5,77684
2008-01-11 00:00:00+05:30,26.7,26.7,24.25,24.4,14224
2008-01-14 00:00:00+05:30,23.2,24.95,23.2,23.5,13769
2008-01-15 00:00:00+05:30,23.55,23.9,22.75,23.05,8105
2008-01-16 00:00:00+05:30,22.5,22.75,22.1,22.2,5975
2008-01-17 00:00:00+05:30,22.2,23.3,21.35,22.0,20937
2008-01-18 00:00:00+05:30,22.0,22.95,20.95,21.05,16236
2008-01-21 00:00:00+05:30,20.5,21.15,20.0,20.0,11567
2008-01-22 00:00:00+05:30,20.9,20.9,19.05,19.25,4304
2008-01-23 00:00:00+05:30,18.3,19.75,18.3,19.75,31166
2008-01-24 00:00:00+05:30,18.85,19.95,18.8,18.8,13614
2008-01-25 00:00:00+05:30,17.89,18.5,17.89,18.35,16260
2008-01-28 00:00:00+05:30,17.45,17.75,17.45,17.64,15872
2008-01-29 00:00:00+05:30,17.1,18.5,17.0,17.45,4568
2008-01-30 00:00:00+05:30,18.2,18.2,16.64,16.7,12302
2008-01-31 00:00:00+05:30,16.6,17.25,16.05,16.2,19215
2008-02-01 00:00:00+05:30,16.0,16.95,16.0,16.0,5654
2008-02-04 00:00:00+05:30,16.5,16.8,16.25,16.8,2356
2008-02-05 00:00:00+05:30,16.5,17.6,16.5,17.6,7151
2008-02-06 00:00:00+05:30,17.75,18.45,17.0,18.45,11116
2008-02-07 00:00:00+05:30,19.2,19.35,18.1,18.25,10271
2008-02-08 00:00:00+05:30,18.0,18.89,17.35,17.35,2198
2008-02-11 00:00:00+05:30,16.55,17.35,16.5,16.5,1610
2008-02-12 00:00:00+05:30,16.5,16.5,15.7,15.7,5373
2008-02-13 00:00:00+05:30,16.0,16.3,14.95,15.0,17715
2008-02-14 00:00:00+05:30,14.7,15.65,14.7,15.65,7615
2008-02-15 00:00:00+05:30,15.15,16.39,15.15,16.39,6228
2008-02-18 00:00:00+05:30,17.2,17.2,16.1,16.5,14834
2008-02-19 00:00:00+05:30,16.14,16.8,16.14,16.2,5975
2008-02-20 00:00:00+05:30,16.0,16.55,15.5,15.55,4492
2008-02-21 00:00:00+05:30,15.25,16.0,15.0,15.5,13130
2008-02-22 00:00:00+05:30,15.0,16.05,15.0,15.85,3246
2008-02-25 00:00:00+05:30,15.35,15.9,15.25,15.45,2478
2008-02-26 00:00:00+05:30,15.5,16.1,15.5,15.6,8164
2008-02-27 00:00:00+05:30,16.05,16.05,15.8,15.8,950
2008-02-28 00:00:00+05:30,16.0,16.5,15.8,15.8,5730
2008-02-29 00:00:00+05:30,15.65,16.1,15.55,15.7,2232
2008-03-03 00:00:00+05:30,15.1,15.5,14.95,15.0,9416
2008-03-04 00:00:00+05:30,15.0,15.0,14.35,14.65,7625
