date,open,high,low,close,volume
2010-07-19 00:00:00+05:30,11.35,11.35,11.35,11.35,50
2010-07-20 00:00:00+05:30,11.91,11.91,11.91,11.91,50
2012-05-14 00:00:00+05:30,12.5,12.5,12.5,12.5,2500
2012-09-25 00:00:00+05:30,12.07,12.07,12.07,12.07,100
2013-03-21 00:00:00+05:30,12.67,12.67,12.67,12.67,50
2013-05-21 00:00:00+05:30,13.3,13.3,13.3,13.3,100
2014-03-04 00:00:00+05:30,12.64,13.96,12.64,13.96,8501
2014-03-06 00:00:00+05:30,14.65,14.65,14.65,14.65,25
2014-05-23 00:00:00+05:30,15.38,15.38,15.38,15.38,200
2015-01-20 00:00:00+05:30,16.1,16.1,16.1,16.1,150
2015-02-05 00:00:00+05:30,16.89,16.89,16.89,16.89,50
2015-02-06 00:00:00+05:30,17.7,17.7,17.7,17.7,30
2015-02-09 00:00:00+05:30,18.55,18.55,18.55,18.55,20
2015-02-10 00:00:00+05:30,19.45,19.45,19.45,19.45,15
2015-02-11 00:00:00+05:30,20.39,20.39,20.39,20.39,20
2015-02-12 00:00:00+05:30,21.4,21.4,21.4,21.4,15
2015-02-13 00:00:00+05:30,22.45,22.45,22.45,22.45,10
2015-02-16 00:00:00+05:30,23.55,23.55,23.55,23.55,12
2015-02-18 00:00:00+05:30,24.7,24.7,24.7,24.7,200
2015-02-19 00:00:00+05:30,25.9,25.9,25.9,25.9,10
2015-02-20 00:00:00+05:30,27.15,27.15,27.15,27.15,8
2015-02-23 00:00:00+05:30,28.5,28.5,28.5,28.5,5
2015-02-24 00:00:00+05:30,29.9,29.9,29.9,29.9,10
2015-02-25 00:00:00+05:30,30.45,30.45,30.45,30.45,8
2015-02-26 00:00:00+05:30,31.05,31.05,31.05,31.05,6
2015-02-27 00:00:00+05:30,31.65,31.65,31.65,31.65,5
2015-03-02 00:00:00+05:30,32.85,32.85,32.85,32.85,5
2015-03-03 00:00:00+05:30,33.5,33.5,33.5,33.5,2
2015-03-04 00:00:00+05:30,34.15,34.15,34.15,34.15,3
