date,open,high,low,close,volume
2010-04-29 00:00:00+05:30,11.0,15.0,11.0,15.0,300
2010-07-06 00:00:00+05:30,15.75,15.75,15.75,15.75,100
2010-07-07 00:00:00+05:30,15.0,15.0,15.0,15.0,100
2010-07-09 00:00:00+05:30,15.0,15.0,15.0,15.0,100
2010-07-16 00:00:00+05:30,15.25,15.25,15.25,15.25,500
2010-08-27 00:00:00+05:30,14.5,14.5,14.5,14.5,200
2010-10-14 00:00:00+05:30,13.8,13.8,13.8,13.8,300
2010-10-15 00:00:00+05:30,13.8,13.8,13.8,13.8,300
2012-07-23 00:00:00+05:30,13.12,13.12,13.12,13.12,200
2012-07-27 00:00:00+05:30,12.47,12.47,12.47,12.47,100
2013-12-24 00:00:00+05:30,11.85,11.85,11.85,11.85,1
2013-12-27 00:00:00+05:30,11.26,11.26,11.26,11.26,1
2013-12-30 00:00:00+05:30,10.7,10.7,10.7,10.7,1
2013-12-31 00:00:00+05:30,10.17,10.17,10.17,10.17,1
2014-01-01 00:00:00+05:30,9.67,9.67,9.67,9.67,1
2014-01-02 00:00:00+05:30,9.19,9.19,9.19,9.19,1
2014-01-03 00:00:00+05:30,8.74,8.74,8.74,8.74,1
2014-01-06 00:00:00+05:30,8.31,8.31,8.31,8.31,1
2014-01-07 00:00:00+05:30,7.9,7.9,7.9,7.9,1
2014-01-08 00:00:00+05:30,7.51,7.51,7.51,7.51,1
2014-01-09 00:00:00+05:30,7.14,7.14,7.14,7.14,1
2014-01-10 00:00:00+05:30,6.79,6.79,6.79,6.79,1
2014-01-16 00:00:00+05:30,6.66,6.66,6.66,6.66,1
2014-01-17 00:00:00+05:30,6.53,6.53,6.53,6.53,1
2014-01-28 00:00:00+05:30,6.4,6.4,6.4,6.4,1
2014-02-05 00:00:00+05:30,6.28,6.28,6.28,6.28,1
2014-02-20 00:00:00+05:30,6.16,6.16,6.16,6.16,1
2014-02-24 00:00:00+05:30,6.04,6.04,6.04,6.04,1
2014-02-26 00:00:00+05:30,5.92,5.92,5.92,5.92,1
2014-03-03 00:00:00+05:30,5.81,5.81,5.81,5.81,1
2014-03-06 00:00:00+05:30,5.7,5.7,5.7,5.7,11
2014-03-13 00:00:00+05:30,5.42,5.42,5.42,5.42,1
2014-03-19 00:00:00+05:30,5.15,5.15,5.15,5.15,1
2014-03-20 00:00:00+05:30,4.9,4.9,4.9,4.9,1
2014-03-21 00:00:00+05:30,4.66,4.66,4.66,4.66,1
2014-03-24 00:00:00+05:30,4.43,4.43,4.43,4.43,50
2014-03-25 00:00:00+05:30,4.21,4.5,4.21,4.5,446
2014-03-26 00:00:00+05:30,4.5,4.5,4.5,4.5,300
2014-03-27 00:00:00+05:30,4.72,4.72,4.72,4.72,186
2014-03-31 00:00:00+05:30,4.95,4.95,4.95,4.95,1098
2014-04-03 00:00:00+05:30,4.71,4.71,4.71,4.71,193
2014-04-17 00:00:00+05:30,4.71,4.71,4.71,4.71,200
2014-04-21 00:00:00+05:30,4.48,4.48,4.48,4.48,500
2014-04-22 00:00:00+05:30,4.5,4.5,4.5,4.5,500
2014-04-28 00:00:00+05:30,4.5,4.5,4.5,4.5,500
2014-05-08 00:00:00+05:30,4.7,4.72,4.7,4.72,125
2014-05-12 00:00:00+05:30,4.95,4.95,4.95,4.95,200
2014-05-13 00:00:00+05:30,5.19,5.19,5.19,5.19,205
2014-05-16 00:00:00+05:30,5.4,5.4,5.4,5.4,300
2014-05-21 00:00:00+05:30,5.67,5.67,5.67,5.67,605
2014-06-09 00:00:00+05:30,5.4,5.4,5.4,5.4,500
2014-06-10 00:00:00+05:30,5.4,5.4,5.4,5.4,200
2014-06-30 00:00:00+05:30,5.6,5.6,5.6,5.6,25
2014-07-15 00:00:00+05:30,5.32,5.5,5.32,5.5,300
2014-07-23 00:00:00+05:30,5.77,5.77,5.77,5.77,1
2014-09-02 00:00:00+05:30,6.05,6.05,6.05,6.05,20
2014-09-15 00:00:00+05:30,6.35,6.35,6.35,6.35,10
2014-10-13 00:00:00+05:30,6.66,6.66,6.66,6.66,405
2014-10-14 00:00:00+05:30,6.99,6.99,6.99,6.99,5
2014-10-16 00:00:00+05:30,7.33,7.33,7.33,7.33,1
2014-10-17 00:00:00+05:30,7.69,7.69,7.69,7.69,1
2014-10-20 00:00:00+05:30,8.07,8.07,8.07,8.07,401
2014-10-21 00:00:00+05:30,8.0,8.47,8.0,8.47,701
2014-10-23 00:00:00+05:30,8.89,8.89,8.89,8.89,1
2014-10-29 00:00:00+05:30,9.33,9.33,9.33,9.33,1
2014-10-31 00:00:00+05:30,9.78,9.78,9.78,9.78,1
2014-11-05 00:00:00+05:30,10.27,10.27,10.27,10.27,1
2014-11-07 00:00:00+05:30,10.78,10.78,10.0,10.0,701
2014-11-10 00:00:00+05:30,10.0,10.0,10.0,10.0,398
2014-11-12 00:00:00+05:30,10.0,10.0,10.0,10.0,101
2014-11-13 00:00:00+05:30,10.5,10.5,10.5,10.5,23
2014-11-18 00:00:00+05:30,11.0,11.0,11.0,11.0,1
2014-11-19 00:00:00+05:30,11.54,11.54,11.54,11.54,700
2014-11-20 00:00:00+05:30,12.06,12.07,12.06,12.07,800
2014-11-24 00:00:00+05:30,11.47,12.67,11.47,12.67,400
2014-11-25 00:00:00+05:30,13.3,13.3,12.7,12.7,810
2014-11-27 00:00:00+05:30,13.33,13.33,13.33,13.33,1
2014-12-04 00:00:00+05:30,13.0,13.99,12.67,12.67,297
2014-12-10 00:00:00+05:30,12.8,12.8,12.07,12.07,50
2014-12-11 00:00:00+05:30,12.67,12.67,11.5,12.67,253
2015-01-02 00:00:00+05:30,12.04,13.3,12.04,13.3,1050
2015-01-14 00:00:00+05:30,13.96,13.96,13.96,13.96,1
2015-01-23 00:00:00+05:30,13.27,13.27,13.27,13.27,600
2015-02-10 00:00:00+05:30,12.61,12.61,12.61,12.61,700
2015-02-12 00:00:00+05:30,11.98,11.98,11.98,11.98,100
2015-02-13 00:00:00+05:30,11.39,11.39,11.39,11.39,100
2015-02-18 00:00:00+05:30,10.83,10.83,10.83,10.83,100
2015-02-25 00:00:00+05:30,10.83,10.83,10.29,10.3,260
2015-02-26 00:00:00+05:30,10.81,10.81,10.81,10.81,438
2015-03-04 00:00:00+05:30,10.19,10.19,9.76,9.76,1700
2015-03-05 00:00:00+05:30,9.27,9.27,9.27,9.27,200
2015-03-09 00:00:00+05:30,8.82,8.82,8.82,8.82,200
2015-03-24 00:00:00+05:30,9.22,9.22,9.22,9.22,1
2015-03-25 00:00:00+05:30,8.76,8.77,8.76,8.77,1519
2015-03-26 00:00:00+05:30,8.34,8.34,8.34,8.34,200
2015-03-30 00:00:00+05:30,8.0,8.75,7.93,8.75,1719
2015-03-31 00:00:00+05:30,9.18,9.18,9.18,9.18,1
2015-04-09 00:00:00+05:30,9.63,9.63,9.63,9.63,400
2015-04-15 00:00:00+05:30,9.15,9.15,9.15,9.15,150
2015-04-23 00:00:00+05:30,9.6,9.6,9.6,9.6,1
2015-04-30 00:00:00+05:30,9.11,9.11,9.11,9.11,400
