date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,7.15,7.15,6.6,7.15,18222
2008-01-02 00:00:00+05:30,7.5,7.5,7.5,7.5,35570
2008-01-03 00:00:00+05:30,7.85,7.87,7.5,7.87,27924
2008-01-04 00:00:00+05:30,8.25,8.26,7.5,8.26,55120
2008-01-07 00:00:00+05:30,8.5,8.67,8.5,8.67,20851
2008-01-08 00:00:00+05:30,9.1,9.1,8.24,8.24,31816
2008-01-09 00:00:00+05:30,7.83,7.83,7.83,7.83,200
2008-01-10 00:00:00+05:30,7.44,7.44,7.44,7.44,3450
2008-01-11 00:00:00+05:30,7.07,7.07,7.07,7.07,500
2008-01-14 00:00:00+05:30,6.8,6.8,6.72,6.72,2710
2008-01-15 00:00:00+05:30,6.39,6.39,6.39,6.39,1000
2008-01-17 00:00:00+05:30,6.1,6.39,6.08,6.08,3760
2008-01-18 00:00:00+05:30,6.0,6.0,5.78,5.78,3550
2008-01-21 00:00:00+05:30,5.78,6.06,5.78,5.78,1601
2008-01-22 00:00:00+05:30,5.75,5.75,5.75,5.75,800
2008-01-24 00:00:00+05:30,5.5,5.5,5.5,5.5,1200
2008-01-29 00:00:00+05:30,5.23,5.24,5.23,5.23,2798
2008-01-30 00:00:00+05:30,5.05,5.05,4.97,4.97,1201
2008-01-31 00:00:00+05:30,4.74,4.74,4.74,4.74,1200
2008-02-01 00:00:00+05:30,4.51,4.51,4.51,4.51,1325
2008-02-04 00:00:00+05:30,4.73,4.73,4.3,4.38,6770
2008-02-05 00:00:00+05:30,4.58,4.58,4.58,4.58,300
2008-02-06 00:00:00+05:30,4.8,4.8,4.8,4.8,1440
2008-02-07 00:00:00+05:30,5.04,5.04,4.59,5.04,3420
2008-02-08 00:00:00+05:30,4.79,4.79,4.79,4.79,2500
2008-02-11 00:00:00+05:30,4.8,4.8,4.8,4.8,1800
2008-02-12 00:00:00+05:30,4.57,4.57,4.57,4.57,500
2008-02-13 00:00:00+05:30,4.55,4.55,4.34,4.34,600
2008-02-14 00:00:00+05:30,4.13,4.55,4.13,4.13,10219
2008-02-15 00:00:00+05:30,4.34,4.34,3.95,3.98,1505
2008-02-18 00:00:00+05:30,3.98,4.17,3.98,4.17,2500
2008-02-19 00:00:00+05:30,4.34,4.34,4.34,4.34,150
2008-02-20 00:00:00+05:30,4.15,4.15,4.13,4.13,2049
2008-02-21 00:00:00+05:30,4.25,4.34,3.97,4.34,7264
