date,open,high,low,close,volume
2014-04-22 00:00:00+05:30,2.1,2.2,2.1,2.2,5850000
2014-04-23 00:00:00+05:30,2.3,2.3,2.3,2.3,1650000
2014-04-25 00:00:00+05:30,2.45,2.45,2.45,2.45,150000
2014-04-28 00:00:00+05:30,2.55,2.55,2.55,2.55,50000
2014-04-29 00:00:00+05:30,2.65,2.65,2.65,2.65,50000
2014-04-30 00:00:00+05:30,2.8,2.8,2.8,2.8,50000
2014-05-02 00:00:00+05:30,2.95,2.95,2.95,2.95,50000
2014-05-05 00:00:00+05:30,3.1,3.1,2.8,2.8,500000
2014-05-08 00:00:00+05:30,2.25,2.5,2.25,2.25,950000
2014-05-09 00:00:00+05:30,2.2,2.2,2.2,2.2,5050000
2014-05-12 00:00:00+05:30,2.35,2.35,2.2,2.2,150000
2014-05-16 00:00:00+05:30,2.25,2.25,2.25,2.25,50000
2014-05-19 00:00:00+05:30,2.35,2.35,2.35,2.35,100000
2014-05-21 00:00:00+05:30,2.2,2.4,2.2,2.4,150000
2014-05-23 00:00:00+05:30,2.5,2.5,2.5,2.5,50000
2014-06-04 00:00:00+05:30,2.5,2.5,2.5,2.5,50000
2014-06-09 00:00:00+05:30,2.7,2.9,2.7,2.85,150000
2014-06-13 00:00:00+05:30,2.7,2.7,2.6,2.6,100000
2014-06-16 00:00:00+05:30,2.6,2.6,2.6,2.6,50000
2014-06-18 00:00:00+05:30,2.6,2.6,2.6,2.6,50000
2014-06-19 00:00:00+05:30,2.4,2.4,2.35,2.35,100000
2014-06-26 00:00:00+05:30,2.4,2.4,2.4,2.4,50000
2014-07-18 00:00:00+05:30,2.2,2.2,2.15,2.15,100000
2014-07-31 00:00:00+05:30,2.15,2.15,2.15,2.15,50000
2014-08-08 00:00:00+05:30,2.15,2.15,2.15,2.15,50000
2014-08-13 00:00:00+05:30,2.05,2.05,2.05,2.05,950000
2014-08-27 00:00:00+05:30,2.35,2.35,2.2,2.2,100000
2014-08-28 00:00:00+05:30,2.5,2.5,2.45,2.45,950000
2014-09-25 00:00:00+05:30,2.35,2.35,2.35,2.35,50000
2014-10-08 00:00:00+05:30,2.15,2.15,2.15,2.15,50000
2014-10-09 00:00:00+05:30,2.1,2.1,2.1,2.1,50000
2014-10-13 00:00:00+05:30,2.15,2.15,2.15,2.15,50000
2014-10-23 00:00:00+05:30,2.25,2.25,2.2,2.2,100000
2014-11-13 00:00:00+05:30,2.25,2.25,2.25,2.25,50000
2014-11-20 00:00:00+05:30,2.2,2.2,2.2,2.2,50000
2014-12-11 00:00:00+05:30,2.2,2.2,2.1,2.1,100000
2014-12-19 00:00:00+05:30,2.2,2.2,2.2,2.2,50000
2015-01-06 00:00:00+05:30,2.0,2.0,2.0,2.0,200000
2015-03-02 00:00:00+05:30,2.0,2.0,2.0,2.0,50000
2015-03-13 00:00:00+05:30,1.8,2.0,1.8,2.0,100000
2015-03-16 00:00:00+05:30,2.0,2.0,2.0,2.0,100000
2015-03-31 00:00:00+05:30,2.2,2.2,2.2,2.2,50000
2015-04-07 00:00:00+05:30,2.2,2.2,2.2,2.2,50000
2015-04-09 00:00:00+05:30,2.15,2.2,2.15,2.2,1500000
2015-06-02 00:00:00+05:30,2.1,2.1,2.1,2.1,1100000
2015-09-07 00:00:00+05:30,2.05,2.05,2.05,2.05,550000
2015-09-08 00:00:00+05:30,2.0,2.0,2.0,2.0,750000
2015-09-09 00:00:00+05:30,2.1,2.1,2.1,2.1,550000
2015-09-10 00:00:00+05:30,2.15,2.15,2.15,2.15,50000
2015-09-14 00:00:00+05:30,2.0,2.0,1.75,1.75,1000000
2015-09-15 00:00:00+05:30,1.6,1.6,1.4,1.6,800000
2015-09-24 00:00:00+05:30,1.7,1.85,1.45,1.45,500000
2015-10-07 00:00:00+05:30,1.6,1.6,1.55,1.55,1600000
2015-10-16 00:00:00+05:30,1.7,1.7,1.7,1.7,1250000
2015-10-21 00:00:00+05:30,1.85,2.0,1.85,1.95,800000
2015-10-26 00:00:00+05:30,2.0,2.0,2.0,2.0,50000
2015-10-27 00:00:00+05:30,2.0,2.0,2.0,2.0,50000
2015-10-29 00:00:00+05:30,2.0,2.0,2.0,2.0,50000
2015-11-09 00:00:00+05:30,2.0,2.0,2.0,2.0,1500000
2015-11-30 00:00:00+05:30,1.9,1.9,1.9,1.9,50000
2015-12-02 00:00:00+05:30,1.85,1.85,1.85,1.85,50000
2015-12-07 00:00:00+05:30,1.85,1.85,1.85,1.85,50000
2015-12-10 00:00:00+05:30,1.95,1.95,1.95,1.95,50000
2015-12-11 00:00:00+05:30,1.85,1.85,1.6,1.8,1150000
2015-12-14 00:00:00+05:30,1.85,2.0,1.85,2.0,800000
2015-12-15 00:00:00+05:30,2.0,2.0,1.95,1.95,1800000
2015-12-16 00:00:00+05:30,2.0,2.05,2.0,2.05,200000
2015-12-17 00:00:00+05:30,1.95,1.95,1.85,1.85,1100000
2015-12-18 00:00:00+05:30,2.0,2.0,1.95,1.95,1000000
2015-12-21 00:00:00+05:30,2.0,2.0,2.0,2.0,50000
