date,open,high,low,close,volume
2008-02-11 00:00:00+05:30,342.37,374.94,221.91,232.81,102212754
2008-02-12 00:00:00+05:30,236.88,247.75,211.94,221.59,36907523
2008-02-13 00:00:00+05:30,225.03,229.22,207.81,219.62,24274075
2008-02-14 00:00:00+05:30,224.97,234.25,222.62,231.28,13304013
2008-02-15 00:00:00+05:30,228.16,243.25,223.75,240.44,18829778
2008-02-18 00:00:00+05:30,261.66,268.5,256.31,258.53,18022864
2008-02-19 00:00:00+05:30,261.25,262.38,255.62,258.31,10023579
2008-02-20 00:00:00+05:30,258.75,258.75,253.5,255.12,5572965
2008-02-21 00:00:00+05:30,257.5,265.62,256.88,263.72,9211838
2008-02-22 00:00:00+05:30,259.38,270.62,254.44,260.53,20041150
2008-02-25 00:00:00+05:30,265.62,285.0,263.38,281.5,28358874
2008-02-26 00:00:00+05:30,285.0,286.25,276.88,279.97,10682984
2008-02-27 00:00:00+05:30,281.59,283.41,278.22,279.31,4106597
2008-02-28 00:00:00+05:30,278.06,279.94,273.0,276.66,4584245
2008-02-29 00:00:00+05:30,275.56,279.88,265.78,269.12,5173966
2008-03-03 00:00:00+05:30,261.88,264.97,254.69,257.5,2498912
2008-03-04 00:00:00+05:30,258.69,258.69,243.16,245.22,3960744
2008-03-05 00:00:00+05:30,243.75,245.62,233.78,235.16,4083872
2008-03-07 00:00:00+05:30,231.25,232.5,206.88,211.38,7780264
2008-03-10 00:00:00+05:30,209.16,213.66,193.84,209.38,7330680
2008-03-11 00:00:00+05:30,206.19,227.75,203.16,223.81,8852029
2008-03-12 00:00:00+05:30,230.31,235.94,212.56,215.41,6421056
2008-03-13 00:00:00+05:30,209.25,210.62,200.0,201.44,4948669
2008-03-14 00:00:00+05:30,203.21,214.25,198.75,210.91,5142656
2008-03-17 00:00:00+05:30,205.0,208.81,196.96,198.09,4993542
2008-03-18 00:00:00+05:30,198.09,204.25,195.81,198.56,3527776
2008-03-19 00:00:00+05:30,206.25,208.41,195.62,196.72,2343190
2008-03-24 00:00:00+05:30,198.81,199.15,189.66,191.56,2295528
2008-03-25 00:00:00+05:30,195.62,201.56,192.81,199.72,3187966
2008-03-26 00:00:00+05:30,200.94,206.75,198.19,201.56,3549027
2008-03-27 00:00:00+05:30,199.44,206.81,198.25,205.16,3084506
2008-03-28 00:00:00+05:30,208.12,210.62,204.38,208.69,2626294
2008-03-31 00:00:00+05:30,206.25,208.75,196.96,198.47,4681126
2008-04-01 00:00:00+05:30,200.62,202.5,195.06,199.88,2152195
2008-04-02 00:00:00+05:30,199.88,207.47,199.88,203.84,1574334
2008-04-03 00:00:00+05:30,206.22,207.72,202.5,206.0,1853683
2008-04-04 00:00:00+05:30,205.0,206.88,200.09,201.18,1000784
2008-04-07 00:00:00+05:30,201.25,209.81,198.88,207.84,2227363
