date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,82.8,84.0,81.6,82.65,105895
2008-01-02 00:00:00+05:30,82.0,85.8,79.2,80.45,96335
2008-01-03 00:00:00+05:30,81.8,85.0,77.0,80.45,306910
2008-01-04 00:00:00+05:30,88.5,88.5,80.5,81.1,156880
2008-01-07 00:00:00+05:30,80.0,83.4,79.05,82.25,143770
2008-01-08 00:00:00+05:30,84.0,84.0,77.8,78.25,71290
2008-01-09 00:00:00+05:30,82.0,82.0,76.25,78.35,255575
2008-01-10 00:00:00+05:30,80.8,81.0,72.0,72.5,203150
2008-01-11 00:00:00+05:30,72.0,79.0,72.0,73.45,95030
2008-01-14 00:00:00+05:30,74.6,75.55,68.4,69.4,98600
2008-01-15 00:00:00+05:30,73.0,75.0,71.0,72.7,163715
2008-01-16 00:00:00+05:30,66.6,73.0,66.6,69.2,86430
2008-01-17 00:00:00+05:30,73.0,73.0,70.0,71.15,51370
2008-01-18 00:00:00+05:30,72.4,72.4,64.05,65.45,62445
2008-01-21 00:00:00+05:30,65.0,65.0,58.9,60.2,277680
2008-01-22 00:00:00+05:30,58.0,58.0,54.2,54.2,81145
2008-01-23 00:00:00+05:30,55.75,56.85,51.5,55.8,115140
2008-01-24 00:00:00+05:30,55.8,57.8,53.8,54.05,114195
2008-01-25 00:00:00+05:30,53.0,55.0,51.35,53.9,58155
2008-01-28 00:00:00+05:30,54.4,54.4,52.0,53.0,29885
2008-01-29 00:00:00+05:30,53.0,54.4,52.1,53.35,40920
2008-01-30 00:00:00+05:30,51.0,55.85,51.0,55.7,17075
2008-01-31 00:00:00+05:30,56.0,58.5,52.95,58.5,112975
2008-02-01 00:00:00+05:30,61.2,61.4,60.0,61.35,121810
2008-02-04 00:00:00+05:30,64.0,64.4,62.0,63.5,267335
2008-02-05 00:00:00+05:30,64.2,66.65,62.5,66.65,85735
2008-02-06 00:00:00+05:30,66.7,70.0,63.8,70.0,157915
2008-02-07 00:00:00+05:30,73.0,73.4,68.0,69.45,152125
2008-02-08 00:00:00+05:30,66.0,72.0,65.95,71.1,131345
2008-02-11 00:00:00+05:30,67.6,71.6,67.55,68.8,235015
2008-02-12 00:00:00+05:30,67.05,71.35,66.4,69.75,232615
2008-02-13 00:00:00+05:30,68.4,73.2,68.2,71.8,174565
2008-02-14 00:00:00+05:30,74.2,74.6,72.2,72.6,37815
2008-02-15 00:00:00+05:30,72.2,76.25,69.0,75.5,124960
2008-02-18 00:00:00+05:30,76.0,77.0,73.0,73.1,47440
2008-02-19 00:00:00+05:30,75.0,75.4,70.0,71.1,11370
2008-02-20 00:00:00+05:30,70.4,74.65,70.05,74.0,194535
2008-02-21 00:00:00+05:30,74.4,77.65,72.6,77.15,78675
2008-02-22 00:00:00+05:30,77.8,78.0,73.3,73.65,17715
2008-02-25 00:00:00+05:30,75.35,77.35,71.4,77.35,120500
2008-02-26 00:00:00+05:30,74.95,78.85,74.95,75.3,18615
2008-02-27 00:00:00+05:30,74.9,76.9,72.0,72.2,17200
2008-02-28 00:00:00+05:30,72.6,74.95,71.7,72.85,18130
2008-02-29 00:00:00+05:30,72.0,72.6,69.2,69.2,12835
2008-03-03 00:00:00+05:30,66.2,69.5,65.75,65.75,23670
2008-03-04 00:00:00+05:30,66.0,66.0,62.45,62.5,15895
2008-03-05 00:00:00+05:30,60.0,63.0,59.4,59.4,13605
2008-03-07 00:00:00+05:30,59.6,59.6,56.4,56.4,10060
2008-03-10 00:00:00+05:30,53.6,59.25,53.6,57.9,58065
2008-03-11 00:00:00+05:30,60.4,60.8,59.0,60.8,25220
2008-03-12 00:00:00+05:30,61.0,63.85,61.0,63.85,77535
2008-03-13 00:00:00+05:30,61.0,65.0,61.0,64.2,64405
2008-03-14 00:00:00+05:30,62.0,67.45,62.0,66.75,186275
2008-03-17 00:00:00+05:30,66.6,69.6,63.45,67.45,109485
2008-03-18 00:00:00+05:30,64.45,70.85,64.45,70.7,154855
2008-03-19 00:00:00+05:30,71.2,74.25,71.0,74.25,60275
2008-03-24 00:00:00+05:30,77.95,77.95,71.8,77.65,129115
2008-03-25 00:00:00+05:30,80.4,81.4,75.8,79.4,189525
2008-03-26 00:00:00+05:30,78.0,83.4,78.0,83.0,168270
2008-03-27 00:00:00+05:30,84.0,87.15,80.8,84.6,396875
2008-03-28 00:00:00+05:30,88.2,88.75,80.35,80.85,1842115
2008-03-31 00:00:00+05:30,78.0,79.0,76.8,76.8,16875
2008-04-01 00:00:00+05:30,73.0,73.0,73.0,73.0,17215
2008-04-02 00:00:00+05:30,69.35,73.35,69.35,69.5,45445
2008-04-03 00:00:00+05:30,66.8,69.0,66.05,66.05,13225
2008-04-04 00:00:00+05:30,64.0,65.6,62.7,64.65,39735
2008-04-07 00:00:00+05:30,65.0,65.0,62.4,63.85,10590
2008-04-08 00:00:00+05:30,63.6,67.05,62.0,66.7,39605
2008-04-09 00:00:00+05:30,68.6,70.0,68.2,69.4,52635
2008-04-10 00:00:00+05:30,71.0,72.6,69.45,69.95,20375
2008-04-11 00:00:00+05:30,66.8,73.0,66.8,72.35,56230
2008-04-15 00:00:00+05:30,72.0,75.8,71.05,74.05,72190
2008-04-16 00:00:00+05:30,76.0,77.75,74.65,77.55,56470
2008-04-17 00:00:00+05:30,78.0,78.0,73.65,73.65,56590
2008-04-21 00:00:00+05:30,74.8,74.8,70.0,70.0,23025
2008-04-22 00:00:00+05:30,66.8,69.0,66.5,68.6,11370
2008-04-23 00:00:00+05:30,68.45,69.2,65.35,68.0,48000
2008-04-24 00:00:00+05:30,69.0,71.4,68.1,70.05,16335
2008-04-25 00:00:00+05:30,69.2,70.0,66.55,66.55,24960
2008-04-28 00:00:00+05:30,68.0,69.85,66.4,68.25,32470
2008-04-29 00:00:00+05:30,68.0,71.65,67.65,71.4,35635
2008-04-30 00:00:00+05:30,72.0,74.95,71.6,74.8,38400
2008-05-02 00:00:00+05:30,76.35,78.5,74.25,77.95,68440
2008-05-05 00:00:00+05:30,78.0,80.2,76.8,78.1,52165
2008-05-06 00:00:00+05:30,79.8,81.8,76.0,79.35,49980
2008-05-07 00:00:00+05:30,80.8,83.0,76.4,76.6,179065
2008-05-08 00:00:00+05:30,74.2,80.2,74.2,77.95,30155
2008-05-09 00:00:00+05:30,78.45,81.5,77.65,78.75,54965
2008-05-12 00:00:00+05:30,75.05,79.0,74.85,76.7,71600
2008-05-13 00:00:00+05:30,75.2,77.2,75.2,75.2,4835
2008-05-14 00:00:00+05:30,73.2,77.2,73.2,75.95,4885
2008-05-15 00:00:00+05:30,78.4,78.4,74.4,74.95,3685
2008-05-16 00:00:00+05:30,74.7,74.8,71.2,71.55,7485
2008-05-20 00:00:00+05:30,70.0,71.8,68.0,70.75,46390
2008-05-21 00:00:00+05:30,70.0,72.0,67.6,70.0,23360
2008-05-22 00:00:00+05:30,70.8,70.8,69.55,69.8,3690
2008-05-23 00:00:00+05:30,71.8,71.8,69.0,70.05,10665
2008-05-26 00:00:00+05:30,68.0,70.2,67.0,70.0,17705
2008-05-27 00:00:00+05:30,72.0,72.0,68.25,68.3,4935
2008-05-28 00:00:00+05:30,69.95,71.0,68.5,70.95,9785
2008-05-29 00:00:00+05:30,70.25,70.25,69.55,69.6,5240
2008-05-30 00:00:00+05:30,71.95,71.95,69.05,70.95,7395
2008-06-02 00:00:00+05:30,71.6,73.0,70.45,72.0,18190
2008-06-03 00:00:00+05:30,70.05,72.0,69.0,70.6,6980
2008-06-04 00:00:00+05:30,69.0,72.4,69.0,71.55,11940
2008-06-05 00:00:00+05:30,72.2,75.1,70.0,74.9,56505
2008-06-06 00:00:00+05:30,77.5,78.65,75.2,78.45,60765
2008-06-09 00:00:00+05:30,76.4,81.8,74.55,80.4,85175
2008-06-10 00:00:00+05:30,78.65,82.6,77.0,79.4,32385
2008-06-11 00:00:00+05:30,78.0,80.2,78.0,79.0,11810
2008-06-12 00:00:00+05:30,77.5,80.0,77.4,79.4,7380
2008-06-13 00:00:00+05:30,80.0,81.0,78.0,79.1,10970
2008-06-16 00:00:00+05:30,80.95,82.2,80.0,81.9,40340
2008-06-17 00:00:00+05:30,80.45,81.8,79.3,81.4,22960
2008-06-18 00:00:00+05:30,84.3,84.3,79.8,79.85,7265
2008-06-19 00:00:00+05:30,80.0,81.0,78.25,78.6,8735
2008-06-20 00:00:00+05:30,79.0,80.0,77.0,78.3,18685
2008-06-23 00:00:00+05:30,79.0,79.0,74.8,75.2,19435
2008-06-24 00:00:00+05:30,76.0,78.95,75.0,77.6,560250
2008-06-26 00:00:00+05:30,74.0,75.55,73.2,74.9,73300
2008-06-27 00:00:00+05:30,72.4,74.0,72.3,73.2,41125
2008-06-30 00:00:00+05:30,72.6,74.8,72.6,73.4,113485
2008-07-01 00:00:00+05:30,72.2,73.8,71.2,71.8,54545
2008-07-02 00:00:00+05:30,74.0,74.0,70.6,72.9,28995
2008-07-03 00:00:00+05:30,72.0,73.0,71.2,71.55,4495
2008-07-04 00:00:00+05:30,70.0,73.95,70.0,72.0,11045
2008-07-07 00:00:00+05:30,72.4,73.2,69.0,70.15,17875
2008-07-08 00:00:00+05:30,71.75,72.75,68.8,72.35,48365
2008-07-09 00:00:00+05:30,74.6,74.8,71.6,72.0,65935
2008-07-10 00:00:00+05:30,71.0,72.3,70.8,71.2,13480
2008-07-11 00:00:00+05:30,71.0,71.6,70.0,70.45,610
2008-07-14 00:00:00+05:30,68.4,71.75,65.25,70.05,9050
2008-07-15 00:00:00+05:30,68.0,70.95,67.0,69.0,29170
2008-07-16 00:00:00+05:30,68.0,68.0,64.4,67.1,39700
2008-07-17 00:00:00+05:30,66.0,67.4,66.0,66.3,410
2008-07-18 00:00:00+05:30,66.45,66.45,66.0,66.05,4285
2008-07-21 00:00:00+05:30,68.4,68.4,65.0,67.4,16890
2008-07-22 00:00:00+05:30,68.0,68.0,66.0,66.2,3480
2008-07-23 00:00:00+05:30,68.1,71.8,67.8,68.4,6185
2008-07-24 00:00:00+05:30,68.6,70.95,66.6,66.65,1990
2008-07-25 00:00:00+05:30,68.2,68.4,66.4,67.95,490
2008-07-28 00:00:00+05:30,66.2,67.4,66.2,66.3,555
2008-07-29 00:00:00+05:30,65.0,69.0,64.0,68.5,5350
2008-07-30 00:00:00+05:30,69.8,69.8,66.4,68.6,2185
2008-07-31 00:00:00+05:30,66.05,68.0,66.05,68.0,11370
2008-08-01 00:00:00+05:30,65.4,68.4,65.4,66.6,200
2008-08-04 00:00:00+05:30,69.6,69.6,67.2,69.3,1540
2008-08-05 00:00:00+05:30,73.2,73.2,67.4,67.6,1615
2008-08-06 00:00:00+05:30,68.8,68.8,66.3,67.1,2180
2008-08-07 00:00:00+05:30,70.0,71.8,67.0,67.1,3160
2008-08-08 00:00:00+05:30,66.0,68.0,66.0,67.1,3935
2008-08-11 00:00:00+05:30,66.0,67.6,66.0,66.8,2935
2008-08-12 00:00:00+05:30,66.8,69.6,65.25,69.6,9805
2008-08-13 00:00:00+05:30,66.8,69.2,65.8,67.9,17520
2008-08-14 00:00:00+05:30,68.0,68.0,66.4,66.6,1920
2008-08-18 00:00:00+05:30,69.0,70.0,67.0,69.9,10535
2008-08-19 00:00:00+05:30,73.0,73.0,68.0,70.55,6935
2008-08-20 00:00:00+05:30,68.45,71.0,68.45,70.0,7825
2008-08-21 00:00:00+05:30,68.4,70.2,68.2,68.4,3530
2008-08-22 00:00:00+05:30,66.1,71.0,66.1,70.4,7715
2008-08-25 00:00:00+05:30,69.0,71.2,68.85,69.8,37730
2008-08-26 00:00:00+05:30,68.2,69.95,67.55,69.55,875
