date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,24.55,24.55,24.5,24.55,5488
2008-01-02 00:00:00+05:30,24.05,24.85,23.4,24.5,2695
2008-01-03 00:00:00+05:30,25.0,25.0,23.5,23.75,3969
2008-01-04 00:00:00+05:30,23.55,24.4,23.55,24.15,7980
2008-01-07 00:00:00+05:30,24.05,24.4,23.85,23.95,7588
2008-01-08 00:00:00+05:30,23.85,24.35,22.65,22.7,9475
2008-01-09 00:00:00+05:30,22.0,22.45,20.75,21.95,13490
2008-01-10 00:00:00+05:30,22.35,22.75,21.6,22.6,1605
2008-01-11 00:00:00+05:30,22.4,22.5,21.0,21.7,3151
2008-01-14 00:00:00+05:30,21.1,22.2,21.1,22.05,1100
2008-01-15 00:00:00+05:30,21.8,22.45,21.8,22.45,700
2008-01-16 00:00:00+05:30,21.5,22.4,21.15,22.0,2503
2008-01-17 00:00:00+05:30,21.9,22.5,21.15,22.0,1404
2008-01-18 00:00:00+05:30,21.65,21.65,20.5,21.6,1101
2008-01-21 00:00:00+05:30,20.1,20.8,19.45,19.45,2750
2008-01-22 00:00:00+05:30,20.0,20.0,17.55,17.75,952
2008-01-23 00:00:00+05:30,19.5,19.5,17.14,17.7,1941
2008-01-24 00:00:00+05:30,18.0,18.55,17.5,18.55,574
2008-01-25 00:00:00+05:30,18.85,18.85,17.14,18.64,891
2008-01-28 00:00:00+05:30,18.0,18.89,18.0,18.89,650
2008-01-29 00:00:00+05:30,18.25,19.0,18.2,18.25,800
2008-01-30 00:00:00+05:30,18.1,18.6,17.6,18.1,2151
2008-01-31 00:00:00+05:30,18.1,18.89,18.1,18.89,1119
2008-02-01 00:00:00+05:30,18.1,18.6,17.55,18.25,801
2008-02-04 00:00:00+05:30,18.0,18.89,18.0,18.7,2154
2008-02-05 00:00:00+05:30,18.89,18.89,17.89,17.89,1006
2008-02-06 00:00:00+05:30,18.0,18.55,17.25,18.55,610
2008-02-07 00:00:00+05:30,18.55,18.55,18.0,18.35,1766
2008-02-08 00:00:00+05:30,17.05,18.05,17.05,18.05,222
2008-02-11 00:00:00+05:30,17.1,17.7,16.39,16.5,321
2008-02-12 00:00:00+05:30,15.6,15.6,15.6,15.6,65
2008-02-13 00:00:00+05:30,15.25,16.25,15.0,15.1,1103
2008-02-14 00:00:00+05:30,16.6,16.6,16.3,16.3,200
2008-02-15 00:00:00+05:30,15.5,17.0,15.4,16.75,901
2008-02-18 00:00:00+05:30,16.0,18.0,16.0,17.95,1682
2008-02-19 00:00:00+05:30,17.75,18.35,17.14,18.25,3300
2008-02-20 00:00:00+05:30,18.05,20.05,18.05,18.05,7400
2008-02-21 00:00:00+05:30,18.0,18.0,16.5,17.75,1226
2008-02-22 00:00:00+05:30,17.0,17.6,17.0,17.0,1326
2008-02-27 00:00:00+05:30,17.7,17.7,16.8,17.1,1700
2008-02-28 00:00:00+05:30,17.0,17.7,17.0,17.7,150
2008-03-03 00:00:00+05:30,16.7,17.55,16.14,17.2,605
2008-03-04 00:00:00+05:30,16.5,17.2,15.7,16.2,1906
2008-03-05 00:00:00+05:30,14.65,16.89,14.65,15.75,751
2008-03-07 00:00:00+05:30,14.3,14.95,14.3,14.8,300
2008-03-10 00:00:00+05:30,13.05,14.0,13.05,13.15,5193
2008-03-11 00:00:00+05:30,15.7,15.75,15.7,15.75,10
2008-03-12 00:00:00+05:30,17.0,18.89,13.4,18.7,26716
2008-03-13 00:00:00+05:30,19.85,19.85,15.5,16.8,4463
