date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,30.35,31.45,30.0,31.45,93450
2008-01-02 00:00:00+05:30,33.0,33.0,32.45,33.0,288617
2008-01-03 00:00:00+05:30,34.7,34.7,34.7,34.7,118402
2008-01-04 00:00:00+05:30,36.35,36.35,33.0,34.95,510785
2008-01-07 00:00:00+05:30,35.15,35.15,33.3,34.0,110241
2008-01-08 00:00:00+05:30,34.75,35.65,32.3,32.3,255024
2008-01-09 00:00:00+05:30,32.8,32.8,30.7,30.7,223576
2008-01-10 00:00:00+05:30,31.7,31.7,29.15,29.15,166716
2008-01-11 00:00:00+05:30,27.7,29.2,27.7,27.7,95114
2008-01-14 00:00:00+05:30,26.75,27.7,26.35,26.35,176445
2008-01-15 00:00:00+05:30,25.8,26.45,25.05,25.4,474984
2008-01-16 00:00:00+05:30,24.35,26.15,24.35,25.85,131566
2008-01-17 00:00:00+05:30,25.8,26.9,25.8,26.05,120589
2008-01-18 00:00:00+05:30,25.05,26.05,24.75,24.75,85918
2008-01-21 00:00:00+05:30,23.65,24.7,23.55,23.55,191540
2008-01-22 00:00:00+05:30,22.35,22.35,22.35,22.35,11479
2008-01-23 00:00:00+05:30,22.35,23.25,21.25,21.3,109526
2008-01-24 00:00:00+05:30,21.55,22.3,20.2,20.2,73405
2008-01-25 00:00:00+05:30,20.4,21.25,19.2,20.45,76339
2008-01-28 00:00:00+05:30,20.15,21.0,19.85,20.75,43311
2008-01-29 00:00:00+05:30,20.7,21.75,20.7,21.35,19917
2008-01-30 00:00:00+05:30,22.4,22.4,20.3,20.3,52102
2008-01-31 00:00:00+05:30,19.7,20.15,19.3,19.3,62417
2008-02-01 00:00:00+05:30,18.75,19.1,18.4,18.55,32867
2008-02-04 00:00:00+05:30,19.1,19.45,18.45,18.5,79774
2008-02-05 00:00:00+05:30,18.45,19.45,18.45,19.4,316119
2008-02-06 00:00:00+05:30,19.2,19.5,18.65,19.2,25581
2008-02-07 00:00:00+05:30,19.35,20.1,18.45,18.8,196512
2008-02-08 00:00:00+05:30,18.3,18.75,18.0,18.35,13089
2008-02-11 00:00:00+05:30,17.95,18.65,17.5,17.5,16439
2008-02-12 00:00:00+05:30,17.45,18.35,16.6,17.85,39823
2008-02-13 00:00:00+05:30,17.65,18.6,16.95,17.4,113527
2008-02-14 00:00:00+05:30,17.8,18.3,17.8,18.3,104331
2008-02-15 00:00:00+05:30,18.65,19.15,18.3,18.85,35012
2008-02-18 00:00:00+05:30,18.6,18.95,18.2,18.45,20504
2008-02-19 00:00:00+05:30,18.65,18.95,17.9,18.35,12407
2008-02-20 00:00:00+05:30,18.7,18.75,17.8,17.85,15468
2008-02-21 00:00:00+05:30,17.9,18.0,17.25,17.5,19127
2008-02-22 00:00:00+05:30,17.45,17.6,17.15,17.15,14999
2008-02-25 00:00:00+05:30,17.0,17.6,16.85,16.95,14636
2008-02-26 00:00:00+05:30,17.75,17.75,16.7,16.75,19906
2008-02-27 00:00:00+05:30,16.85,17.35,16.85,16.85,12343
2008-02-28 00:00:00+05:30,16.95,16.95,16.3,16.35,57713
2008-02-29 00:00:00+05:30,16.8,16.8,15.95,16.15,113292
2008-03-03 00:00:00+05:30,16.7,16.7,15.65,15.85,20365
2008-03-04 00:00:00+05:30,15.95,15.95,15.05,15.1,31171
2008-03-05 00:00:00+05:30,15.3,15.55,14.55,14.8,49264
2008-03-07 00:00:00+05:30,14.35,14.55,14.05,14.05,23704
2008-03-10 00:00:00+05:30,13.3,13.6,13.1,13.2,98421
2008-03-11 00:00:00+05:30,14.0,14.4,13.6,13.85,77971
2008-03-12 00:00:00+05:30,14.7,14.7,13.3,13.7,75517
2008-03-13 00:00:00+05:30,13.6,13.95,12.85,12.85,78547
2008-03-14 00:00:00+05:30,13.1,13.1,11.7,12.5,479518
2008-03-17 00:00:00+05:30,12.35,12.65,11.4,11.75,213633
2008-03-18 00:00:00+05:30,11.7,12.0,10.85,11.6,128696
2008-03-19 00:00:00+05:30,11.4,12.1,10.5,10.55,38255
2008-03-24 00:00:00+05:30,9.5,11.1,9.5,9.65,124291
2008-03-25 00:00:00+05:30,10.1,10.1,9.65,10.1,120962
2008-03-26 00:00:00+05:30,10.6,10.65,9.75,10.65,155515
