date,open,high,low,close,volume
2022-09-20 00:00:00+05:30,3.45,3.45,3.45,3.45,100
2022-09-28 00:00:00+05:30,3.62,3.62,3.62,3.62,50
2022-09-29 00:00:00+05:30,3.8,3.8,3.8,3.8,50
2022-09-30 00:00:00+05:30,3.99,3.99,3.99,3.99,25
2022-10-03 00:00:00+05:30,4.18,4.18,4.18,4.18,5
2022-10-04 00:00:00+05:30,4.38,4.38,4.38,4.38,5
2022-10-06 00:00:00+05:30,4.59,4.59,4.59,4.59,205
2022-10-07 00:00:00+05:30,4.81,4.81,4.81,4.81,5
2022-10-10 00:00:00+05:30,5.05,5.05,5.05,5.05,205
2022-10-11 00:00:00+05:30,5.3,5.3,5.3,5.3,5
2022-10-12 00:00:00+05:30,5.56,5.56,5.56,5.56,5
2022-10-13 00:00:00+05:30,5.83,5.83,5.83,5.83,5
2022-10-14 00:00:00+05:30,6.12,6.12,6.12,6.12,5
2022-10-17 00:00:00+05:30,6.42,6.42,6.42,6.42,5
2022-10-19 00:00:00+05:30,6.74,6.74,6.74,6.74,10
2022-10-20 00:00:00+05:30,7.07,7.07,7.07,7.07,5
2022-10-21 00:00:00+05:30,7.42,7.42,7.42,7.42,5
2022-10-24 00:00:00+05:30,7.79,7.79,7.79,7.79,5
2022-10-25 00:00:00+05:30,8.17,8.17,8.17,8.17,9
2022-10-27 00:00:00+05:30,8.57,8.57,8.57,8.57,60
2022-10-28 00:00:00+05:30,8.99,8.99,8.99,8.99,9
2022-10-31 00:00:00+05:30,9.43,9.43,9.43,9.43,115
2022-11-01 00:00:00+05:30,9.9,9.9,9.9,9.9,15
2022-11-02 00:00:00+05:30,10.39,10.39,10.39,10.39,42
2022-11-03 00:00:00+05:30,10.9,10.9,10.9,10.9,65
2022-11-04 00:00:00+05:30,11.44,11.44,11.44,11.44,40
2022-11-07 00:00:00+05:30,12.01,12.01,12.01,12.01,50
2022-11-09 00:00:00+05:30,12.61,12.61,12.61,12.61,25
2022-11-10 00:00:00+05:30,13.24,13.24,13.24,13.24,125
2022-11-11 00:00:00+05:30,13.9,13.9,13.9,13.9,125
2022-11-14 00:00:00+05:30,14.59,14.59,14.59,14.59,225
2022-11-15 00:00:00+05:30,15.31,15.31,15.31,15.31,250
2022-11-16 00:00:00+05:30,16.07,16.07,16.07,16.07,450
2022-11-17 00:00:00+05:30,16.87,16.87,16.87,16.87,350
2022-11-18 00:00:00+05:30,17.71,17.71,17.71,17.71,1200
2022-11-21 00:00:00+05:30,18.59,18.59,18.59,18.59,400
2022-11-22 00:00:00+05:30,19.51,19.51,19.51,19.51,1450
2022-11-23 00:00:00+05:30,20.48,20.48,20.48,20.48,75
2022-11-24 00:00:00+05:30,21.5,21.5,21.5,21.5,300
2022-11-25 00:00:00+05:30,22.57,22.57,22.57,22.57,50
2022-11-28 00:00:00+05:30,23.69,23.69,23.69,23.69,650
2022-11-29 00:00:00+05:30,24.87,24.87,24.87,24.87,525
2022-11-30 00:00:00+05:30,26.11,26.11,26.11,26.11,150
2022-12-01 00:00:00+05:30,27.4,27.4,27.4,27.4,959
2022-12-02 00:00:00+05:30,28.75,28.75,28.75,28.75,809
2022-12-05 00:00:00+05:30,30.15,30.15,30.15,30.15,1759
2022-12-06 00:00:00+05:30,31.65,31.65,31.65,31.65,19563
2022-12-07 00:00:00+05:30,33.2,33.2,33.2,33.2,1100
2022-12-08 00:00:00+05:30,34.85,34.85,34.85,34.85,320
2022-12-09 00:00:00+05:30,36.55,36.55,36.55,36.55,1409
2022-12-12 00:00:00+05:30,38.35,38.35,38.35,38.35,300
2022-12-13 00:00:00+05:30,40.25,40.25,40.25,40.25,1613
2022-12-14 00:00:00+05:30,42.25,42.25,42.25,42.25,870
2022-12-15 00:00:00+05:30,44.35,44.35,44.35,44.35,2210
2022-12-16 00:00:00+05:30,46.55,46.55,46.55,46.55,19047
2022-12-19 00:00:00+05:30,48.85,48.85,48.85,48.85,2609
2022-12-20 00:00:00+05:30,51.25,51.25,49.85,51.25,16730
2022-12-21 00:00:00+05:30,53.8,53.8,53.8,53.8,2824
2022-12-22 00:00:00+05:30,56.45,56.45,56.45,56.45,11129
