date,open,high,low,close,volume
2023-03-01 00:00:00+05:30,225.0,236.25,216.0,236.25,963600
2023-03-02 00:00:00+05:30,248.05,248.05,248.05,248.05,89400
2023-03-03 00:00:00+05:30,260.45,260.45,239.0,256.1,504600
2023-03-06 00:00:00+05:30,255.0,264.0,248.0,258.05,123600
2023-03-08 00:00:00+05:30,258.05,260.95,245.15,245.15,66600
2023-03-09 00:00:00+05:30,235.0,245.0,232.9,234.7,117000
2023-03-10 00:00:00+05:30,231.0,244.95,224.1,244.3,61200
2023-03-13 00:00:00+05:30,239.9,244.95,232.1,232.1,69000
2023-03-14 00:00:00+05:30,223.25,236.0,223.25,231.75,20400
2023-03-15 00:00:00+05:30,238.9,238.9,229.0,229.65,15600
2023-03-16 00:00:00+05:30,232.0,238.0,220.5,227.6,49200
2023-03-17 00:00:00+05:30,228.25,232.5,226.0,230.6,15600
2023-03-20 00:00:00+05:30,232.0,234.0,225.0,230.3,43200
2023-03-21 00:00:00+05:30,233.45,234.6,229.0,231.5,39600
2023-03-22 00:00:00+05:30,231.0,235.0,227.0,230.05,65400
2023-03-23 00:00:00+05:30,232.95,232.95,226.6,227.25,34200
2023-03-24 00:00:00+05:30,231.0,231.0,220.0,220.25,34200
2023-03-27 00:00:00+05:30,223.95,224.0,204.0,210.75,46200
2023-03-28 00:00:00+05:30,213.7,213.7,202.0,203.95,75600
2023-03-29 00:00:00+05:30,205.0,215.8,203.1,210.95,94800
2023-03-31 00:00:00+05:30,207.0,216.0,200.0,203.65,124800
2023-04-03 00:00:00+05:30,206.0,217.5,205.9,214.55,13800
2023-04-05 00:00:00+05:30,212.0,237.5,212.0,233.0,85800
2023-04-06 00:00:00+05:30,235.0,239.0,232.0,232.4,29400
2023-04-10 00:00:00+05:30,235.0,249.7,235.0,244.8,99000
2023-04-11 00:00:00+05:30,250.0,250.0,238.8,248.25,52200
2023-04-12 00:00:00+05:30,250.0,256.9,250.0,253.65,43800
2023-04-13 00:00:00+05:30,257.9,257.9,249.0,252.95,35400
2023-04-17 00:00:00+05:30,252.95,303.5,249.0,303.5,239400
2023-04-18 00:00:00+05:30,309.95,322.0,299.0,308.55,118200
