date,open,high,low,close,volume
2016-06-14 00:00:00+05:30,9.0,9.2,8.75,9.1,1728000
2016-06-15 00:00:00+05:30,9.1,9.25,9.0,9.05,3008000
2016-06-16 00:00:00+05:30,9.0,9.25,9.0,9.2,3280000
2016-06-17 00:00:00+05:30,9.1,9.15,9.1,9.15,256000
2016-06-20 00:00:00+05:30,9.2,9.25,9.2,9.25,3312000
2016-06-21 00:00:00+05:30,9.3,9.4,9.3,9.3,1776000
2016-06-29 00:00:00+05:30,9.0,9.0,9.0,9.0,32000
2016-07-07 00:00:00+05:30,9.2,9.2,9.2,9.2,32000
2016-07-08 00:00:00+05:30,9.2,9.3,9.2,9.3,192000
2016-07-11 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-12 00:00:00+05:30,9.3,9.3,9.3,9.3,48000
2016-07-13 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-14 00:00:00+05:30,9.3,9.3,9.3,9.3,64000
2016-07-15 00:00:00+05:30,9.3,9.3,9.3,9.3,64000
2016-07-18 00:00:00+05:30,9.3,9.3,9.3,9.3,48000
2016-07-19 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-21 00:00:00+05:30,9.3,9.3,9.3,9.3,48000
2016-07-22 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-25 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-26 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-27 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-07-28 00:00:00+05:30,9.3,9.3,9.3,9.3,16000
2016-07-29 00:00:00+05:30,9.3,9.3,9.3,9.3,32000
2016-08-01 00:00:00+05:30,9.3,9.3,9.3,9.3,16000
2016-08-04 00:00:00+05:30,9.3,9.3,9.3,9.3,64000
2016-08-10 00:00:00+05:30,9.2,9.2,9.2,9.2,16000
2016-08-12 00:00:00+05:30,9.2,9.2,9.2,9.2,16000
2016-08-18 00:00:00+05:30,9.2,9.2,9.2,9.2,16000
2016-08-31 00:00:00+05:30,9.5,9.5,9.5,9.5,16000
2016-09-14 00:00:00+05:30,9.3,9.3,9.3,9.3,48000
2016-09-15 00:00:00+05:30,9.2,9.2,9.2,9.2,16000
2016-09-19 00:00:00+05:30,9.3,9.3,9.3,9.3,16000
2016-09-29 00:00:00+05:30,9.4,9.4,9.4,9.4,16000
2016-09-30 00:00:00+05:30,9.3,9.3,9.3,9.3,16000
2016-10-21 00:00:00+05:30,9.5,9.5,9.5,9.5,16000
2016-10-28 00:00:00+05:30,9.5,9.5,9.5,9.5,32000
2016-11-07 00:00:00+05:30,9.65,9.65,9.65,9.65,16000
2017-01-05 00:00:00+05:30,9.95,9.95,9.95,9.95,16000
2017-01-17 00:00:00+05:30,10.2,11.95,10.2,11.95,144000
2017-01-18 00:00:00+05:30,12.45,14.1,12.45,14.0,5280000
2017-01-19 00:00:00+05:30,13.6,13.6,12.95,13.0,48000
2017-01-20 00:00:00+05:30,12.95,12.95,12.95,12.95,16000
2017-01-24 00:00:00+05:30,13.0,13.0,12.95,13.0,48000
2017-01-30 00:00:00+05:30,12.95,12.95,12.95,12.95,16000
2017-01-31 00:00:00+05:30,12.35,13.0,12.35,13.0,48000
2017-03-10 00:00:00+05:30,12.5,13.0,12.5,13.0,1024000
2017-03-16 00:00:00+05:30,12.95,12.95,12.95,12.95,1248000
2017-03-28 00:00:00+05:30,12.35,12.35,12.35,12.35,16000
2017-03-29 00:00:00+05:30,11.8,11.8,11.8,11.8,32000
2017-04-03 00:00:00+05:30,11.8,11.8,11.8,11.8,16000
2017-04-07 00:00:00+05:30,11.8,11.8,11.5,11.5,48000
2017-04-12 00:00:00+05:30,11.8,11.8,11.8,11.8,48000
2017-04-17 00:00:00+05:30,11.8,11.8,11.5,11.5,48000
2017-04-20 00:00:00+05:30,11.8,11.8,11.8,11.8,16000
2017-04-21 00:00:00+05:30,11.8,11.8,11.8,11.8,32000
2017-04-24 00:00:00+05:30,11.8,11.8,11.8,11.8,16000
2017-04-28 00:00:00+05:30,11.8,11.8,11.8,11.8,16000
2017-05-31 00:00:00+05:30,11.4,11.4,11.4,11.4,16000
