date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,4.07,4.07,4.07,4.07,454526
2008-01-02 00:00:00+05:30,4.26,4.26,4.26,4.26,1421602
2008-01-03 00:00:00+05:30,4.48,4.48,4.48,4.48,1137542
2008-01-04 00:00:00+05:30,4.7,4.7,4.7,4.7,614085
2008-01-07 00:00:00+05:30,4.93,4.93,4.93,4.93,633779
2008-01-08 00:00:00+05:30,5.17,5.17,4.69,4.69,8232080
2008-01-09 00:00:00+05:30,4.46,4.5,4.46,4.46,439180
2008-01-10 00:00:00+05:30,4.24,4.24,4.24,4.24,226823
2008-01-11 00:00:00+05:30,4.03,4.03,4.03,4.03,95504
2008-01-14 00:00:00+05:30,3.83,3.83,3.83,3.83,116578
2008-01-15 00:00:00+05:30,3.64,3.64,3.64,3.64,182840
2008-01-16 00:00:00+05:30,3.46,3.46,3.46,3.46,58061
2008-01-17 00:00:00+05:30,3.29,3.63,3.29,3.5,2300008
2008-01-18 00:00:00+05:30,3.67,3.67,3.33,3.33,979475
2008-01-21 00:00:00+05:30,3.17,3.17,3.17,3.17,86692
2008-01-22 00:00:00+05:30,3.02,3.02,3.02,3.02,5694
2008-01-23 00:00:00+05:30,2.87,2.87,2.87,2.87,42296
2008-01-24 00:00:00+05:30,2.73,2.73,2.73,2.73,82281
2008-01-25 00:00:00+05:30,2.6,2.6,2.6,2.6,34472
2008-01-28 00:00:00+05:30,2.48,2.48,2.48,2.48,52015
2008-01-29 00:00:00+05:30,2.36,2.36,2.36,2.36,47550
2008-01-30 00:00:00+05:30,2.25,2.25,2.25,2.25,35912
2008-01-31 00:00:00+05:30,2.14,2.14,2.14,2.14,56733
2008-02-01 00:00:00+05:30,2.04,2.04,2.04,2.04,23421
2008-02-04 00:00:00+05:30,1.94,2.14,1.94,2.02,965275
2008-02-05 00:00:00+05:30,1.92,2.12,1.92,2.12,501052
2008-02-06 00:00:00+05:30,2.02,2.22,2.02,2.22,151231
2008-02-07 00:00:00+05:30,2.33,2.33,2.33,2.33,536295
2008-02-08 00:00:00+05:30,2.44,2.44,2.22,2.23,408289
2008-02-11 00:00:00+05:30,2.12,2.15,2.12,2.12,98277
2008-02-12 00:00:00+05:30,2.02,2.02,2.02,2.02,33004
2008-02-13 00:00:00+05:30,1.92,1.92,1.92,1.92,42121
2008-02-14 00:00:00+05:30,1.83,1.83,1.83,1.83,179516
2008-02-15 00:00:00+05:30,1.74,1.92,1.74,1.86,240040
2008-02-18 00:00:00+05:30,1.77,1.95,1.77,1.92,230621
2008-02-19 00:00:00+05:30,2.0,2.0,1.83,1.83,309066
