date,open,high,low,close,volume
2009-10-16 00:00:00+05:30,7.15,7.15,7.15,7.15,5
2009-11-06 00:00:00+05:30,7.5,7.5,7.5,7.5,1000
2010-08-26 00:00:00+05:30,7.85,7.85,7.85,7.85,100000
2010-09-01 00:00:00+05:30,8.25,8.25,8.25,8.25,25
2010-09-02 00:00:00+05:30,8.65,8.65,8.65,8.65,25
2010-09-03 00:00:00+05:30,9.1,9.1,9.1,9.1,25
2010-09-15 00:00:00+05:30,9.55,9.55,9.55,9.55,1500
2010-09-20 00:00:00+05:30,10.0,10.0,10.0,10.0,5
2010-09-21 00:00:00+05:30,10.5,10.5,10.5,10.5,5
2010-10-06 00:00:00+05:30,11.05,11.05,11.05,11.05,35
2010-10-15 00:00:00+05:30,11.6,11.6,11.6,11.6,1250
2010-10-21 00:00:00+05:30,12.15,12.15,12.15,12.15,5
2010-11-04 00:00:00+05:30,12.75,12.75,12.75,12.75,1250
2010-11-09 00:00:00+05:30,13.4,13.4,13.4,13.4,5
2010-11-10 00:00:00+05:30,14.05,14.05,14.05,14.05,5
2010-11-11 00:00:00+05:30,14.75,14.75,14.75,14.75,5
2010-11-12 00:00:00+05:30,15.45,15.45,15.45,15.45,5
2010-11-15 00:00:00+05:30,16.25,16.25,16.25,16.25,5
2010-11-16 00:00:00+05:30,17.05,17.05,17.05,17.05,5
2010-11-18 00:00:00+05:30,17.9,17.9,17.9,17.9,5
2010-11-19 00:00:00+05:30,18.8,18.8,18.8,18.8,5
2010-11-22 00:00:00+05:30,19.7,19.7,19.7,19.7,5
2010-11-23 00:00:00+05:30,20.7,20.7,20.7,20.7,5
2010-11-24 00:00:00+05:30,21.75,21.75,21.75,21.75,5
2010-11-25 00:00:00+05:30,22.8,22.8,22.8,22.8,5
2010-11-26 00:00:00+05:30,23.95,23.95,23.95,23.95,375
2010-11-29 00:00:00+05:30,25.15,25.15,25.15,25.15,20
2010-11-30 00:00:00+05:30,26.4,26.4,26.4,26.4,5
2010-12-01 00:00:00+05:30,27.7,27.7,27.7,27.7,5
2010-12-02 00:00:00+05:30,29.1,29.1,29.1,29.1,1000
2010-12-03 00:00:00+05:30,30.55,30.55,30.55,30.55,410
2010-12-06 00:00:00+05:30,32.05,32.05,32.05,32.05,5
2010-12-07 00:00:00+05:30,33.65,33.65,33.65,33.65,5
2010-12-08 00:00:00+05:30,35.35,35.35,35.35,35.35,355
2010-12-09 00:00:00+05:30,37.1,37.1,37.1,37.1,125
2010-12-10 00:00:00+05:30,38.95,38.95,38.95,38.95,250
2010-12-13 00:00:00+05:30,40.9,40.9,40.9,40.9,500
2010-12-14 00:00:00+05:30,42.9,42.9,42.9,42.9,5
2010-12-15 00:00:00+05:30,45.05,45.05,45.05,45.05,205
2010-12-16 00:00:00+05:30,47.3,47.3,47.3,47.3,315
2010-12-20 00:00:00+05:30,49.65,49.65,49.65,49.65,5
2010-12-21 00:00:00+05:30,52.15,52.15,52.15,52.15,5
2010-12-22 00:00:00+05:30,54.75,54.75,54.75,54.75,5
2010-12-23 00:00:00+05:30,57.5,57.5,57.5,57.5,5
2010-12-24 00:00:00+05:30,60.35,60.35,60.0,60.0,1500
2010-12-27 00:00:00+05:30,62.8,62.8,62.8,62.8,5
2010-12-28 00:00:00+05:30,65.8,65.95,60.0,63.25,4765
2010-12-29 00:00:00+05:30,66.4,66.4,66.0,66.1,20
2010-12-30 00:00:00+05:30,69.0,69.0,69.0,69.0,25
2010-12-31 00:00:00+05:30,65.55,65.55,65.55,65.55,55
2011-01-03 00:00:00+05:30,62.3,62.3,62.3,62.3,10
2011-01-04 00:00:00+05:30,59.2,59.2,59.2,59.2,10
2011-01-06 00:00:00+05:30,56.25,56.25,56.25,56.25,5
2011-01-13 00:00:00+05:30,53.4,53.4,53.4,53.4,25
2011-01-27 00:00:00+05:30,50.75,50.75,50.75,50.75,25
2011-03-03 00:00:00+05:30,48.2,48.2,48.2,48.2,5
2011-03-07 00:00:00+05:30,45.8,45.8,45.8,45.8,25
2011-03-09 00:00:00+05:30,43.5,43.5,43.5,43.5,5
2011-03-18 00:00:00+05:30,41.35,41.35,41.35,41.35,10
2011-03-21 00:00:00+05:30,39.3,39.3,39.3,39.3,10
2011-03-22 00:00:00+05:30,39.3,41.2,39.3,41.2,15
2011-03-23 00:00:00+05:30,43.2,43.2,43.2,43.2,5
2011-03-24 00:00:00+05:30,45.2,45.2,45.2,45.2,5
2011-03-25 00:00:00+05:30,47.45,47.45,47.0,47.0,80
2011-03-28 00:00:00+05:30,49.35,49.35,49.35,49.35,5
2011-03-29 00:00:00+05:30,51.8,51.8,51.8,51.8,5
2011-03-30 00:00:00+05:30,54.35,54.35,54.35,54.35,5
2011-03-31 00:00:00+05:30,56.8,56.8,56.8,56.8,5
2011-04-04 00:00:00+05:30,53.95,53.95,53.95,53.95,570
2011-04-05 00:00:00+05:30,56.4,56.4,55.6,55.6,15
2011-04-07 00:00:00+05:30,54.75,54.75,54.75,54.75,15
2011-06-27 00:00:00+05:30,52.0,52.0,52.0,52.0,150
2011-07-01 00:00:00+05:30,49.4,49.4,49.4,49.4,25
2011-07-04 00:00:00+05:30,51.9,51.9,51.9,51.9,25
2011-07-08 00:00:00+05:30,49.3,54.45,49.3,54.45,170
2011-07-11 00:00:00+05:30,57.2,57.2,51.75,57.2,5415
2011-07-13 00:00:00+05:30,54.35,57.15,54.35,54.35,300
2011-07-14 00:00:00+05:30,51.65,51.65,51.65,51.65,665
2011-07-15 00:00:00+05:30,49.05,49.05,49.05,49.05,95
2011-07-18 00:00:00+05:30,46.6,47.8,46.6,46.6,4115
2011-07-19 00:00:00+05:30,44.35,44.35,44.3,44.3,295
2011-07-20 00:00:00+05:30,42.1,42.1,42.1,42.1,5135
2011-07-21 00:00:00+05:30,40.0,40.0,40.0,40.0,45
2011-07-22 00:00:00+05:30,38.0,38.15,38.0,38.0,2420
2011-07-25 00:00:00+05:30,36.1,39.65,36.1,39.5,1835
2011-07-26 00:00:00+05:30,38.0,38.0,37.5,37.5,215
2011-07-27 00:00:00+05:30,35.65,35.65,35.65,35.65,410
2011-07-28 00:00:00+05:30,33.95,33.95,33.95,33.95,45
2011-08-01 00:00:00+05:30,33.95,33.95,33.95,33.95,5
2011-08-04 00:00:00+05:30,35.45,35.45,35.45,35.45,25
2011-08-05 00:00:00+05:30,33.7,33.7,33.7,33.7,5
2011-08-10 00:00:00+05:30,33.7,33.7,33.7,33.7,5
2011-08-12 00:00:00+05:30,33.7,33.7,33.7,33.7,5
2011-08-17 00:00:00+05:30,33.7,33.7,33.7,33.7,5
2011-08-19 00:00:00+05:30,35.25,35.25,35.25,35.25,10
2011-08-22 00:00:00+05:30,36.15,37.0,33.65,33.65,2725
2011-08-23 00:00:00+05:30,33.6,33.6,33.6,33.6,10
2011-08-24 00:00:00+05:30,35.25,35.25,35.25,35.25,25
2011-08-26 00:00:00+05:30,35.2,35.2,35.2,35.2,5
2011-09-02 00:00:00+05:30,35.2,35.2,35.2,35.2,5
2011-09-05 00:00:00+05:30,36.75,36.75,33.45,35.7,585
2011-09-12 00:00:00+05:30,35.2,37.0,35.2,35.95,1450
2011-09-13 00:00:00+05:30,36.2,36.2,36.2,36.2,10
2011-09-19 00:00:00+05:30,37.7,37.7,35.6,35.6,10
2011-09-22 00:00:00+05:30,37.0,37.0,37.0,37.0,10
2011-09-23 00:00:00+05:30,38.85,38.85,38.85,38.85,10
2011-10-19 00:00:00+05:30,36.9,36.9,36.9,36.9,25
2011-10-20 00:00:00+05:30,35.1,35.1,35.1,35.1,25
2011-10-26 00:00:00+05:30,36.0,36.0,36.0,36.0,5
2011-11-04 00:00:00+05:30,37.6,37.6,37.6,37.6,10
2011-11-09 00:00:00+05:30,36.0,39.35,35.75,35.75,770
2011-11-14 00:00:00+05:30,34.0,34.0,33.95,33.95,425
2011-11-15 00:00:00+05:30,35.65,35.65,35.6,35.6,40
2011-11-16 00:00:00+05:30,36.2,37.4,34.05,34.05,105
2011-11-17 00:00:00+05:30,32.4,35.0,32.4,35.0,60
2011-11-18 00:00:00+05:30,33.25,33.25,33.25,33.25,125
2011-11-21 00:00:00+05:30,31.6,31.6,31.6,31.6,175
2011-11-22 00:00:00+05:30,30.0,30.0,30.0,30.0,25
2011-11-23 00:00:00+05:30,28.5,31.0,28.5,28.5,665
2011-11-24 00:00:00+05:30,27.1,27.1,27.1,27.1,225
2011-12-02 00:00:00+05:30,27.1,28.45,25.75,25.75,570
2011-12-07 00:00:00+05:30,24.45,24.45,24.45,24.45,90
2011-12-22 00:00:00+05:30,25.6,25.6,25.6,25.6,1500
2012-01-05 00:00:00+05:30,24.35,24.35,24.35,24.35,100
2012-01-09 00:00:00+05:30,23.15,23.15,23.15,23.15,125
2012-01-10 00:00:00+05:30,24.2,24.2,24.0,24.0,70
2012-01-11 00:00:00+05:30,22.8,22.8,22.8,22.8,125
2012-01-12 00:00:00+05:30,21.75,22.9,21.75,22.9,350
2012-01-17 00:00:00+05:30,21.75,21.75,21.75,21.75,60
2012-01-18 00:00:00+05:30,20.7,20.7,20.7,20.7,100
2012-01-19 00:00:00+05:30,19.8,19.8,19.65,19.65,95
2012-01-20 00:00:00+05:30,18.7,20.6,18.7,18.7,260
2012-01-23 00:00:00+05:30,17.8,17.8,17.8,17.8,190
2012-01-24 00:00:00+05:30,16.9,16.9,16.9,16.9,145
2012-01-25 00:00:00+05:30,16.1,16.1,16.1,16.1,45
2012-01-30 00:00:00+05:30,16.1,16.1,16.1,16.1,75
2012-01-31 00:00:00+05:30,15.3,15.3,15.3,15.3,345
2012-02-01 00:00:00+05:30,14.6,15.15,14.55,15.15,170
2012-02-02 00:00:00+05:30,15.9,15.9,14.6,15.0,415
2012-02-03 00:00:00+05:30,14.3,15.75,14.3,15.75,170
2012-02-06 00:00:00+05:30,16.55,16.55,16.55,16.55,135
2012-02-07 00:00:00+05:30,17.35,17.35,17.35,17.35,125
2012-02-08 00:00:00+05:30,18.2,18.2,18.2,18.2,5
2012-02-09 00:00:00+05:30,19.1,19.1,18.4,19.1,175
2012-02-10 00:00:00+05:30,20.05,20.05,20.05,20.05,25
2012-02-13 00:00:00+05:30,21.05,21.05,21.05,21.05,140
2012-02-14 00:00:00+05:30,22.1,22.1,22.1,22.1,10
2012-02-15 00:00:00+05:30,23.2,23.2,23.2,23.2,365
2012-02-16 00:00:00+05:30,24.4,24.4,22.05,22.6,4845
2012-02-17 00:00:00+05:30,21.45,23.65,21.45,23.5,3715
2012-02-21 00:00:00+05:30,24.35,24.35,24.35,24.35,50
2012-02-22 00:00:00+05:30,25.0,25.0,23.6,25.0,255
2012-02-23 00:00:00+05:30,25.7,25.7,25.7,25.7,5
2012-02-24 00:00:00+05:30,24.45,25.5,24.45,25.5,15
2012-02-27 00:00:00+05:30,26.2,26.2,25.0,25.0,2660
2012-02-28 00:00:00+05:30,24.05,26.05,23.75,25.5,1010
2012-02-29 00:00:00+05:30,26.6,26.6,24.2,25.0,70
2012-03-01 00:00:00+05:30,23.75,26.0,23.75,26.0,55
2012-03-02 00:00:00+05:30,26.8,26.8,26.8,26.8,5
2012-03-05 00:00:00+05:30,26.25,28.6,26.25,28.6,55
2012-03-06 00:00:00+05:30,27.2,28.8,27.2,28.8,45
2012-03-07 00:00:00+05:30,29.95,30.05,29.95,30.05,10
2012-03-12 00:00:00+05:30,30.95,30.95,30.95,30.95,25
2012-03-13 00:00:00+05:30,29.4,29.4,29.4,29.4,15
2012-03-14 00:00:00+05:30,30.4,30.4,30.4,30.4,10
2012-03-19 00:00:00+05:30,28.9,28.9,28.9,28.9,75
2012-03-20 00:00:00+05:30,27.45,27.45,27.45,27.45,15
2012-03-21 00:00:00+05:30,26.1,26.1,26.1,26.1,115
2012-03-22 00:00:00+05:30,24.85,24.85,24.85,24.85,25
2012-03-23 00:00:00+05:30,23.6,23.6,23.6,23.6,5
2012-03-27 00:00:00+05:30,23.6,23.6,23.6,23.6,5
2012-03-28 00:00:00+05:30,23.6,23.6,22.5,22.5,30
2012-03-29 00:00:00+05:30,21.4,22.9,21.4,22.9,125
2012-03-30 00:00:00+05:30,22.75,22.75,22.75,22.75,5
2012-04-02 00:00:00+05:30,21.65,21.65,21.65,21.65,545
2012-04-03 00:00:00+05:30,20.7,22.55,20.55,20.7,155
2012-04-04 00:00:00+05:30,21.7,21.7,21.7,21.7,10
2012-04-13 00:00:00+05:30,20.6,20.6,20.6,20.6,10
2012-04-16 00:00:00+05:30,19.6,21.5,19.6,21.5,30
2012-04-17 00:00:00+05:30,20.45,21.95,20.45,21.95,30
2012-04-18 00:00:00+05:30,22.4,22.4,22.4,22.4,5
2012-04-23 00:00:00+05:30,21.3,23.3,21.3,23.3,10
2012-04-24 00:00:00+05:30,24.0,24.0,24.0,24.0,5
2012-04-26 00:00:00+05:30,24.0,24.0,22.8,22.8,275
2012-04-27 00:00:00+05:30,21.7,23.85,21.7,23.85,30
2012-05-18 00:00:00+05:30,22.8,22.8,22.8,22.8,5
2012-06-04 00:00:00+05:30,21.65,21.65,21.65,21.65,10
2012-06-11 00:00:00+05:30,21.0,21.0,20.6,20.6,20
2012-06-14 00:00:00+05:30,19.55,19.55,19.55,19.55,15
2012-06-18 00:00:00+05:30,20.5,20.5,20.5,20.5,5
2012-06-19 00:00:00+05:30,19.5,19.5,19.5,19.5,5
2012-06-25 00:00:00+05:30,20.4,20.4,20.4,20.4,5
2012-06-28 00:00:00+05:30,21.4,21.4,21.4,21.4,5
2012-07-03 00:00:00+05:30,20.35,20.35,20.35,20.35,1225
2012-07-04 00:00:00+05:30,21.35,21.35,21.35,21.35,135
2012-07-05 00:00:00+05:30,20.3,22.15,20.3,22.15,120
2012-07-13 00:00:00+05:30,23.2,23.2,23.2,23.2,25
2012-07-16 00:00:00+05:30,23.55,23.55,23.55,23.55,870
2012-07-17 00:00:00+05:30,22.4,22.4,22.4,22.4,25
2012-07-19 00:00:00+05:30,23.15,23.15,23.15,23.15,25
2012-07-20 00:00:00+05:30,23.35,23.35,23.35,23.35,25
2012-07-24 00:00:00+05:30,22.2,22.2,22.2,22.2,310
2012-08-06 00:00:00+05:30,21.1,21.1,21.1,21.1,5
2012-08-07 00:00:00+05:30,21.95,21.95,21.95,21.95,125
2012-08-13 00:00:00+05:30,22.35,22.35,22.35,22.35,5
2012-08-17 00:00:00+05:30,22.55,22.55,22.55,22.55,5
2012-08-23 00:00:00+05:30,23.0,23.0,23.0,23.0,125
2012-08-29 00:00:00+05:30,22.0,22.0,22.0,22.0,50
2012-09-03 00:00:00+05:30,22.8,22.8,22.8,22.8,280
2012-09-04 00:00:00+05:30,22.7,22.7,22.7,22.7,50
2012-09-06 00:00:00+05:30,22.7,22.7,21.6,21.75,35
2012-09-14 00:00:00+05:30,22.8,22.85,22.8,22.85,50
2012-10-09 00:00:00+05:30,21.7,21.7,21.7,21.7,125
2012-10-12 00:00:00+05:30,20.6,20.6,20.6,20.6,50
2012-10-16 00:00:00+05:30,19.6,19.6,19.6,19.6,145
2012-10-17 00:00:00+05:30,18.8,18.8,18.65,18.65,110
2012-10-18 00:00:00+05:30,17.7,17.7,17.7,17.7,160
2012-10-19 00:00:00+05:30,16.8,16.8,16.8,16.8,100
2012-10-22 00:00:00+05:30,16.2,16.2,16.2,16.2,25
2012-10-23 00:00:00+05:30,15.5,15.5,15.4,15.4,150
2012-10-30 00:00:00+05:30,15.0,15.0,15.0,15.0,5
2012-10-31 00:00:00+05:30,14.4,14.5,14.25,14.3,265
2012-11-01 00:00:00+05:30,14.7,14.8,14.0,14.0,130
2012-11-02 00:00:00+05:30,13.6,14.7,13.6,14.7,330
2012-11-05 00:00:00+05:30,15.45,15.45,15.4,15.45,310
2012-11-06 00:00:00+05:30,16.0,16.0,16.0,16.0,100
2012-11-07 00:00:00+05:30,15.3,16.0,15.3,15.45,75
2012-11-09 00:00:00+05:30,14.65,14.65,14.65,14.65,25
2012-11-12 00:00:00+05:30,13.95,13.95,13.95,13.95,320
2012-11-13 00:00:00+05:30,14.6,14.6,14.6,14.6,25
2012-11-15 00:00:00+05:30,14.05,14.05,13.9,13.9,230
2012-11-16 00:00:00+05:30,14.6,14.6,14.6,14.6,25
2012-11-20 00:00:00+05:30,14.6,14.6,14.6,14.6,5
2012-11-22 00:00:00+05:30,15.3,15.3,14.0,14.0,40
2012-11-27 00:00:00+05:30,13.3,13.3,13.3,13.3,25
2012-11-30 00:00:00+05:30,13.8,13.8,13.8,13.8,5
2012-12-03 00:00:00+05:30,14.0,14.0,13.1,13.35,55
2012-12-04 00:00:00+05:30,12.7,12.7,12.7,12.7,25
2012-12-10 00:00:00+05:30,13.3,13.3,12.05,12.1,280
2012-12-12 00:00:00+05:30,11.5,11.5,11.5,11.5,685
2012-12-18 00:00:00+05:30,10.95,10.95,10.95,10.95,250
2012-12-21 00:00:00+05:30,10.5,10.5,10.5,10.5,50
2012-12-24 00:00:00+05:30,10.0,10.0,10.0,10.0,130
2012-12-31 00:00:00+05:30,9.55,9.55,9.55,9.55,175
2013-01-16 00:00:00+05:30,10.0,10.0,10.0,10.0,115
2013-01-17 00:00:00+05:30,10.35,10.4,10.35,10.4,165
2013-01-25 00:00:00+05:30,9.9,9.9,9.9,9.9,40
2013-02-04 00:00:00+05:30,10.4,10.4,10.4,10.4,150
2013-02-05 00:00:00+05:30,10.9,10.9,10.9,10.9,450
2013-02-06 00:00:00+05:30,11.2,11.2,11.2,11.2,5
2013-02-08 00:00:00+05:30,10.8,10.8,10.8,10.8,500
2013-02-19 00:00:00+05:30,10.3,10.3,10.3,10.3,430
2013-03-01 00:00:00+05:30,9.75,9.75,9.75,9.75,275
2013-12-06 00:00:00+05:30,9.8,9.8,9.8,9.8,485
2014-01-01 00:00:00+05:30,9.8,9.8,9.8,9.8,245
2014-03-11 00:00:00+05:30,9.8,9.8,9.8,9.8,150
2014-03-25 00:00:00+05:30,9.8,10.3,9.6,10.3,5050
2014-03-28 00:00:00+05:30,10.8,10.8,10.8,10.8,495
2014-04-03 00:00:00+05:30,11.35,11.35,11.35,11.35,25
2014-04-15 00:00:00+05:30,11.9,11.9,11.9,11.9,45
2014-04-17 00:00:00+05:30,12.5,12.5,12.5,12.5,25
2014-04-22 00:00:00+05:30,13.1,13.1,13.1,13.1,25
2014-05-07 00:00:00+05:30,13.75,13.75,13.75,13.75,25
2014-05-20 00:00:00+05:30,13.1,14.45,13.1,14.45,150
2014-05-21 00:00:00+05:30,13.8,13.8,13.8,13.8,1995
2014-05-23 00:00:00+05:30,13.15,13.15,13.15,13.15,600
2014-05-27 00:00:00+05:30,13.8,13.8,13.8,13.8,25
2014-05-28 00:00:00+05:30,13.1,13.1,13.1,13.1,400
2014-06-18 00:00:00+05:30,13.75,13.75,13.75,13.75,125
2014-06-19 00:00:00+05:30,13.75,14.0,13.75,14.0,250
2014-07-02 00:00:00+05:30,14.7,14.7,14.7,14.7,50
2014-07-08 00:00:00+05:30,15.45,15.45,15.45,15.45,50
2014-07-09 00:00:00+05:30,16.2,16.2,16.2,16.2,50
2014-07-11 00:00:00+05:30,17.0,17.0,17.0,17.0,1500
2014-07-14 00:00:00+05:30,17.85,17.85,17.85,17.85,1500
2014-07-17 00:00:00+05:30,17.85,18.7,17.85,18.7,3895
2014-07-25 00:00:00+05:30,17.8,17.8,17.8,17.8,25
2014-07-28 00:00:00+05:30,16.9,16.9,16.9,16.9,25
2014-07-30 00:00:00+05:30,16.1,16.1,16.1,16.1,430
2014-08-01 00:00:00+05:30,15.3,15.3,15.3,15.3,50
2014-08-04 00:00:00+05:30,14.5,14.5,14.5,14.5,10
2014-08-05 00:00:00+05:30,14.5,14.5,14.5,14.5,25
2014-08-06 00:00:00+05:30,13.8,13.8,13.8,13.8,25
2014-08-07 00:00:00+05:30,13.1,13.1,13.1,13.1,25
2014-08-11 00:00:00+05:30,12.45,12.45,12.45,12.45,15
2014-08-12 00:00:00+05:30,11.85,11.85,11.85,11.85,20
2014-08-13 00:00:00+05:30,11.3,11.3,11.3,11.3,15
2014-08-14 00:00:00+05:30,10.75,10.75,10.75,10.75,500
2014-08-28 00:00:00+05:30,10.2,10.2,10.2,10.2,25
2014-09-03 00:00:00+05:30,9.7,9.7,9.7,9.7,25
2014-09-05 00:00:00+05:30,9.4,9.4,9.4,9.4,325
2014-09-16 00:00:00+05:30,9.85,9.85,9.85,9.85,1000
2014-09-22 00:00:00+05:30,10.35,10.35,10.35,10.35,150
2014-10-07 00:00:00+05:30,10.85,10.85,10.85,10.85,5
2014-10-16 00:00:00+05:30,11.4,11.4,11.4,11.4,150
2014-10-30 00:00:00+05:30,12.0,12.0,12.0,12.0,15
2014-10-31 00:00:00+05:30,12.55,12.55,12.55,12.55,25
2014-11-07 00:00:00+05:30,13.2,13.2,13.2,13.2,25
2014-11-11 00:00:00+05:30,13.85,13.85,13.85,13.85,25
2014-11-12 00:00:00+05:30,14.55,14.55,14.55,14.55,25
2014-11-13 00:00:00+05:30,15.25,15.25,15.25,15.25,25
2014-11-19 00:00:00+05:30,16.0,16.0,16.0,16.0,300
2014-11-24 00:00:00+05:30,16.8,16.8,16.8,16.8,50
2014-11-28 00:00:00+05:30,17.65,17.65,17.65,17.65,20
2014-12-02 00:00:00+05:30,18.55,18.55,18.55,18.55,20
2014-12-03 00:00:00+05:30,19.45,19.45,19.45,19.45,60
2014-12-04 00:00:00+05:30,20.4,20.4,20.4,20.4,50
2014-12-08 00:00:00+05:30,21.45,21.45,21.45,21.45,50
2014-12-09 00:00:00+05:30,22.5,22.5,22.5,22.5,50
2014-12-10 00:00:00+05:30,23.65,23.65,23.65,23.65,125
2014-12-11 00:00:00+05:30,24.8,24.8,24.8,24.8,75
2014-12-12 00:00:00+05:30,26.05,26.05,26.05,26.05,150
2014-12-15 00:00:00+05:30,27.35,27.35,27.35,27.35,125
2014-12-16 00:00:00+05:30,28.7,28.7,28.7,28.7,175
2014-12-17 00:00:00+05:30,30.15,30.15,30.15,30.15,325
2014-12-18 00:00:00+05:30,31.65,31.65,31.65,31.65,1125
2014-12-19 00:00:00+05:30,32.25,32.25,32.25,32.25,50
2014-12-22 00:00:00+05:30,32.9,32.9,32.9,32.9,50
2014-12-23 00:00:00+05:30,33.55,33.55,33.55,33.55,50
2014-12-29 00:00:00+05:30,34.25,34.25,34.25,34.25,50
2014-12-30 00:00:00+05:30,34.9,34.9,34.9,34.9,50
2014-12-31 00:00:00+05:30,35.6,35.6,35.6,35.6,75
2015-01-01 00:00:00+05:30,36.3,36.3,36.3,36.3,75
2015-01-02 00:00:00+05:30,37.05,37.05,37.05,37.05,90
2015-01-06 00:00:00+05:30,37.75,37.75,37.75,37.75,50
2015-01-07 00:00:00+05:30,38.5,38.5,38.5,38.5,235
2015-01-08 00:00:00+05:30,39.3,39.3,39.3,39.3,125
2015-01-12 00:00:00+05:30,40.05,40.05,40.05,40.05,200
2015-01-13 00:00:00+05:30,40.85,40.85,40.85,40.85,1000
2015-01-16 00:00:00+05:30,41.7,41.7,41.7,41.7,50
2015-01-19 00:00:00+05:30,42.5,42.5,42.5,42.5,200
2015-01-27 00:00:00+05:30,43.35,43.35,43.35,43.35,25
2015-01-28 00:00:00+05:30,44.2,44.2,44.2,44.2,375
2015-01-29 00:00:00+05:30,45.1,45.1,45.1,45.1,5
2015-02-02 00:00:00+05:30,46.0,46.0,46.0,46.0,120
2015-02-03 00:00:00+05:30,46.9,46.9,46.9,46.9,5
2015-02-04 00:00:00+05:30,47.8,47.8,47.8,47.8,120
2015-02-05 00:00:00+05:30,48.75,48.75,48.75,48.75,375
2015-02-06 00:00:00+05:30,51.15,51.15,51.15,51.15,3015
2015-02-09 00:00:00+05:30,53.7,53.7,50.0,50.6,3176610
2015-02-10 00:00:00+05:30,51.0,53.1,48.25,53.1,340965
2015-02-11 00:00:00+05:30,54.4,55.7,54.05,55.7,114945
2015-02-12 00:00:00+05:30,58.5,58.5,55.3,58.5,1001830
2015-02-13 00:00:00+05:30,61.4,61.4,61.4,61.4,3215
2015-02-16 00:00:00+05:30,64.5,64.5,64.5,64.5,2050
2015-02-18 00:00:00+05:30,67.7,67.7,67.7,67.7,6515
2015-02-19 00:00:00+05:30,71.1,71.1,71.1,71.1,5755
2015-02-20 00:00:00+05:30,74.6,74.6,74.6,74.6,219610
2015-02-23 00:00:00+05:30,74.8,78.35,70.9,78.35,98150
2015-02-24 00:00:00+05:30,80.8,82.25,80.6,82.25,40670
2015-02-25 00:00:00+05:30,86.35,86.35,80.4,86.1,186385
2015-02-26 00:00:00+05:30,84.6,84.6,81.8,81.8,6960
2015-02-27 00:00:00+05:30,77.7,77.7,77.7,77.7,7500
2015-03-02 00:00:00+05:30,70.15,77.2,70.15,72.65,129225
2015-03-03 00:00:00+05:30,76.2,76.3,70.2,76.3,64175
2015-03-04 00:00:00+05:30,80.1,80.1,74.2,74.2,42440
2015-03-05 00:00:00+05:30,72.0,76.0,70.7,74.15,14540
2015-03-09 00:00:00+05:30,70.45,72.8,70.45,72.5,17525
2015-03-10 00:00:00+05:30,71.0,74.6,71.0,71.8,7115
2015-03-11 00:00:00+05:30,71.6,72.8,68.2,68.25,24025
2015-03-12 00:00:00+05:30,70.0,70.0,65.6,65.75,4820
