date,open,high,low,close,volume
2013-01-03 00:00:00+05:30,2.54,2.54,2.54,2.54,100
2013-12-16 00:00:00+05:30,2.67,2.67,2.67,2.67,100
2013-12-23 00:00:00+05:30,2.8,2.8,2.8,2.8,100
2013-12-24 00:00:00+05:30,2.94,2.94,2.94,2.94,100
2014-01-14 00:00:00+05:30,3.08,3.08,3.08,3.08,100
2014-01-15 00:00:00+05:30,3.23,3.23,3.23,3.23,100
2014-01-30 00:00:00+05:30,3.39,3.39,3.39,3.39,1000
2014-01-31 00:00:00+05:30,3.55,3.55,3.55,3.55,10
2014-02-11 00:00:00+05:30,3.72,3.72,3.72,3.72,10
2014-02-14 00:00:00+05:30,3.9,3.9,3.9,3.9,10
2014-02-17 00:00:00+05:30,4.09,4.09,4.09,4.09,10
2014-02-19 00:00:00+05:30,4.29,4.29,4.29,4.29,10
2014-02-24 00:00:00+05:30,4.5,4.5,4.5,4.5,10
2014-02-28 00:00:00+05:30,4.72,4.72,4.72,4.72,10
2014-03-03 00:00:00+05:30,4.95,4.95,4.95,4.95,10
2014-03-10 00:00:00+05:30,5.19,5.19,5.19,5.19,10
2014-03-14 00:00:00+05:30,5.44,5.44,5.44,5.44,2
2014-03-18 00:00:00+05:30,5.71,5.71,5.71,5.71,2
2014-03-19 00:00:00+05:30,5.99,5.99,5.99,5.99,2
2014-03-20 00:00:00+05:30,6.28,6.28,6.28,6.28,2
2014-03-21 00:00:00+05:30,6.59,6.59,6.59,6.59,2
2014-03-24 00:00:00+05:30,6.91,6.91,6.91,6.91,2
2014-03-25 00:00:00+05:30,7.25,7.25,7.25,7.25,2
2014-03-26 00:00:00+05:30,7.61,7.61,7.61,7.61,2
2014-03-28 00:00:00+05:30,7.99,7.99,7.99,7.99,2
2014-03-31 00:00:00+05:30,8.38,8.38,8.38,8.38,2
2014-04-01 00:00:00+05:30,8.78,8.78,8.78,8.78,2
2014-04-02 00:00:00+05:30,9.22,9.22,9.22,9.22,100
2014-04-04 00:00:00+05:30,9.68,9.68,9.68,9.68,2
2014-04-07 00:00:00+05:30,10.16,10.16,10.16,10.16,2
2014-04-10 00:00:00+05:30,10.66,10.66,10.66,10.66,5
2014-04-11 00:00:00+05:30,11.19,11.19,11.19,11.19,3
2014-04-16 00:00:00+05:30,11.74,11.74,11.74,11.74,600
2014-04-17 00:00:00+05:30,12.32,12.32,12.32,12.32,344003
2014-04-21 00:00:00+05:30,12.93,12.93,12.93,12.93,8004
2014-04-22 00:00:00+05:30,13.18,13.18,13.18,13.18,25003
2014-04-23 00:00:00+05:30,13.44,13.44,13.44,13.44,2
2014-04-28 00:00:00+05:30,13.7,13.7,13.7,13.7,2
2014-04-29 00:00:00+05:30,13.97,13.97,13.97,13.97,5
2014-05-02 00:00:00+05:30,14.24,14.24,14.24,14.24,2
2014-05-05 00:00:00+05:30,14.52,14.52,14.52,14.52,1
2014-05-06 00:00:00+05:30,14.81,14.81,14.81,14.81,2
2014-05-07 00:00:00+05:30,15.1,15.1,15.1,15.1,1
2014-05-13 00:00:00+05:30,15.4,15.4,15.4,15.4,5
2014-05-14 00:00:00+05:30,15.7,15.7,15.7,15.7,1
2014-05-15 00:00:00+05:30,16.01,16.01,16.01,16.01,2
2014-05-16 00:00:00+05:30,16.32,16.32,16.32,16.32,1
2014-05-20 00:00:00+05:30,16.64,16.64,16.64,16.64,1
2014-05-26 00:00:00+05:30,16.98,16.98,16.98,16.98,1
2014-05-27 00:00:00+05:30,17.3,17.3,17.3,17.3,2
2014-05-29 00:00:00+05:30,17.64,17.64,17.64,17.64,1
2014-06-02 00:00:00+05:30,18.0,18.0,18.0,18.0,2
2014-06-04 00:00:00+05:30,18.35,18.35,18.35,18.35,5
2014-06-06 00:00:00+05:30,18.7,18.7,18.7,18.7,5
2014-06-09 00:00:00+05:30,19.05,19.05,19.05,19.05,1
2014-06-10 00:00:00+05:30,19.39,19.39,19.39,19.39,5
2014-06-11 00:00:00+05:30,19.75,19.75,19.75,19.75,5
2014-06-12 00:00:00+05:30,20.1,20.1,20.1,20.1,2
2014-06-13 00:00:00+05:30,20.5,20.5,20.5,20.5,5
2014-06-30 00:00:00+05:30,20.9,20.9,20.9,20.9,1
2014-07-07 00:00:00+05:30,21.9,21.9,21.9,21.9,5
2014-07-11 00:00:00+05:30,22.95,22.95,22.95,22.95,2
2014-07-14 00:00:00+05:30,24.05,24.05,24.05,24.05,1
2014-07-31 00:00:00+05:30,25.25,25.25,25.25,25.25,23368
2014-08-06 00:00:00+05:30,26.5,26.5,26.5,26.5,93000
2014-08-27 00:00:00+05:30,27.8,27.8,27.8,27.8,100
2014-09-01 00:00:00+05:30,29.15,29.15,29.15,29.15,81290
2014-09-02 00:00:00+05:30,30.6,30.6,30.6,30.6,10
2014-09-03 00:00:00+05:30,32.1,32.1,32.1,32.1,10
2014-09-05 00:00:00+05:30,33.7,33.7,33.7,33.7,1
2014-09-09 00:00:00+05:30,35.35,35.35,35.35,35.35,10
2014-09-10 00:00:00+05:30,37.1,37.1,37.1,37.1,1
2014-09-11 00:00:00+05:30,38.95,38.95,38.95,38.95,4
2014-09-16 00:00:00+05:30,40.85,40.85,40.85,40.85,4
2014-09-19 00:00:00+05:30,42.85,42.85,42.85,42.85,5
2014-09-22 00:00:00+05:30,44.95,44.95,44.95,44.95,4995
2014-09-23 00:00:00+05:30,47.15,47.15,47.15,47.15,10
2014-09-24 00:00:00+05:30,49.5,49.5,49.5,49.5,2
2014-09-25 00:00:00+05:30,51.95,51.95,51.95,51.95,6
2014-09-29 00:00:00+05:30,54.5,54.5,54.5,54.5,5
2014-09-30 00:00:00+05:30,57.2,57.2,57.2,57.2,60
2014-10-01 00:00:00+05:30,60.05,60.05,60.05,60.05,4
2014-10-07 00:00:00+05:30,63.05,63.05,63.05,63.05,5
2014-10-10 00:00:00+05:30,66.2,66.2,66.2,66.2,5
2014-10-13 00:00:00+05:30,69.5,69.5,69.5,69.5,5
2014-10-14 00:00:00+05:30,70.84,70.84,70.84,70.84,5
2014-10-16 00:00:00+05:30,72.25,72.25,72.25,72.25,5
2014-10-21 00:00:00+05:30,73.65,73.65,73.65,73.65,5
2014-10-23 00:00:00+05:30,75.09,75.09,75.09,75.09,5
2014-10-27 00:00:00+05:30,76.59,76.59,76.59,76.59,10
2014-10-28 00:00:00+05:30,78.09,78.09,78.09,78.09,5
2014-10-29 00:00:00+05:30,79.65,79.65,79.65,79.65,5
2014-10-31 00:00:00+05:30,81.2,81.2,81.2,81.2,10
2014-11-03 00:00:00+05:30,82.8,82.8,82.8,82.8,5
2014-11-10 00:00:00+05:30,84.45,84.45,84.45,84.45,5
2014-11-11 00:00:00+05:30,86.1,86.1,86.1,86.1,20
2014-11-12 00:00:00+05:30,87.8,87.8,87.8,87.8,5
2014-11-13 00:00:00+05:30,89.55,89.55,89.55,89.55,20
2014-11-14 00:00:00+05:30,91.3,91.3,91.3,91.3,5
2014-11-17 00:00:00+05:30,93.1,93.1,93.1,93.1,5
2014-11-18 00:00:00+05:30,94.95,94.95,94.95,94.95,5
2014-11-19 00:00:00+05:30,96.8,96.8,96.8,96.8,5
2014-11-20 00:00:00+05:30,98.7,98.7,98.7,98.7,5
2014-11-21 00:00:00+05:30,100.65,100.65,100.65,100.65,10
2014-11-24 00:00:00+05:30,102.65,102.65,102.65,102.65,5
2014-11-25 00:00:00+05:30,104.7,104.7,104.7,104.7,5
2014-11-26 00:00:00+05:30,106.75,106.75,106.75,106.75,5
2014-11-27 00:00:00+05:30,108.85,108.85,108.85,108.85,2005
2014-11-28 00:00:00+05:30,111.0,111.0,111.0,111.0,5
2014-12-01 00:00:00+05:30,113.2,113.2,113.2,113.2,5
2014-12-02 00:00:00+05:30,115.45,115.45,115.45,115.45,5
2014-12-03 00:00:00+05:30,117.75,117.75,117.75,117.75,5
2014-12-04 00:00:00+05:30,120.1,120.1,120.1,120.1,5
2014-12-05 00:00:00+05:30,122.5,122.5,122.5,122.5,2000
2014-12-10 00:00:00+05:30,124.95,124.95,124.95,124.95,9
2014-12-11 00:00:00+05:30,127.4,127.4,127.4,127.4,2000
2014-12-15 00:00:00+05:30,129.9,129.9,129.9,129.9,14011
2014-12-16 00:00:00+05:30,132.44,132.44,132.44,132.44,7
2014-12-18 00:00:00+05:30,135.05,135.05,135.05,135.05,15
2014-12-19 00:00:00+05:30,137.75,137.75,137.75,137.75,860
2014-12-23 00:00:00+05:30,140.5,140.5,135.0,140.5,32
2014-12-24 00:00:00+05:30,143.25,143.25,143.25,143.25,25
2014-12-26 00:00:00+05:30,146.1,146.1,146.1,146.1,10
2014-12-31 00:00:00+05:30,143.19,149.0,143.19,149.0,11
2015-01-02 00:00:00+05:30,141.55,141.55,141.55,141.55,1
2015-01-06 00:00:00+05:30,134.5,134.5,134.5,134.5,1
2015-12-09 00:00:00+05:30,131.9,131.9,131.9,131.9,2
2015-12-14 00:00:00+05:30,129.3,129.3,129.3,129.3,2
2015-12-15 00:00:00+05:30,126.8,126.8,126.8,126.8,400
