date,open,high,low,close,volume
2025-06-12 00:00:00+05:30,1.8,1.8,1.8,1.8,7300
2025-06-16 00:00:00+05:30,1.89,1.89,1.89,1.89,500
2025-06-19 00:00:00+05:30,1.98,1.98,1.98,1.98,2500
2025-06-27 00:00:00+05:30,2.37,2.37,2.37,2.37,100
2025-07-02 00:00:00+05:30,2.84,2.84,2.84,2.84,50
2025-07-03 00:00:00+05:30,3.12,3.12,3.12,3.12,130
2025-07-07 00:00:00+05:30,3.27,3.27,3.27,3.27,1
2025-07-08 00:00:00+05:30,3.43,3.43,3.43,3.43,200
2025-07-10 00:00:00+05:30,3.6,3.6,3.6,3.6,300
2025-07-17 00:00:00+05:30,3.67,3.67,3.67,3.67,5100
2025-07-23 00:00:00+05:30,3.74,3.74,3.74,3.74,500
2025-07-29 00:00:00+05:30,3.81,3.81,3.81,3.81,100
2025-07-30 00:00:00+05:30,3.88,3.88,3.88,3.88,200
2025-08-08 00:00:00+05:30,3.87,3.87,3.87,3.87,1000
2025-08-11 00:00:00+05:30,3.94,3.94,3.94,3.94,100
2025-08-19 00:00:00+05:30,4.01,4.01,4.01,4.01,500
2025-08-22 00:00:00+05:30,4.09,4.09,4.09,4.09,24630
2025-08-29 00:00:00+05:30,4.29,4.29,4.29,4.29,200
2025-09-05 00:00:00+05:30,4.5,4.5,4.5,4.5,600
2025-09-11 00:00:00+05:30,4.72,4.72,4.72,4.72,1200
2025-09-12 00:00:00+05:30,4.95,4.95,4.95,4.95,200
