date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,69.59,74.8,69.45,69.59,3305
2008-01-02 00:00:00+05:30,71.0,71.95,66.15,68.59,5000
2008-01-03 00:00:00+05:30,67.0,70.0,65.2,65.59,4741
2008-01-04 00:00:00+05:30,65.5,68.84,62.35,64.0,12639
2008-01-07 00:00:00+05:30,60.85,67.2,60.85,67.2,2488
2008-01-08 00:00:00+05:30,70.55,70.55,70.55,70.55,251
2008-01-09 00:00:00+05:30,74.05,74.05,67.05,67.45,30845
2008-01-10 00:00:00+05:30,70.7,70.8,64.09,69.4,25460
2008-01-11 00:00:00+05:30,68.5,68.5,65.95,65.95,3750
2008-01-14 00:00:00+05:30,65.95,68.95,62.7,65.84,14880
2008-01-15 00:00:00+05:30,62.65,68.5,62.6,62.6,5975
2008-01-16 00:00:00+05:30,59.5,64.7,59.5,59.5,4930
2008-01-17 00:00:00+05:30,61.9,62.4,56.55,56.55,4264
2008-01-18 00:00:00+05:30,56.55,58.45,53.75,53.8,6985
2008-01-21 00:00:00+05:30,51.15,56.25,51.15,51.2,5450
2008-01-22 00:00:00+05:30,48.65,48.7,48.65,48.65,2225
2008-01-23 00:00:00+05:30,46.25,51.0,46.25,46.25,2821
2008-01-24 00:00:00+05:30,43.95,48.45,43.95,43.95,3875
2008-01-25 00:00:00+05:30,41.9,46.1,41.8,42.1,11300
2008-01-28 00:00:00+05:30,44.2,44.2,40.1,44.2,6426
2008-01-29 00:00:00+05:30,46.4,46.4,42.0,46.4,11915
2008-01-30 00:00:00+05:30,48.7,48.7,48.7,48.7,1025
2008-01-31 00:00:00+05:30,51.1,51.1,51.1,51.1,6921
2008-02-01 00:00:00+05:30,53.65,53.65,53.65,53.65,6824
2008-02-04 00:00:00+05:30,56.3,56.3,56.3,56.3,2750
2008-02-05 00:00:00+05:30,59.1,59.1,53.5,56.6,45696
2008-02-06 00:00:00+05:30,54.1,55.95,53.8,53.8,1510
2008-02-07 00:00:00+05:30,52.55,53.0,51.15,51.15,2376
2008-02-08 00:00:00+05:30,48.6,52.75,48.6,51.0,2118
2008-02-11 00:00:00+05:30,51.0,51.0,48.5,48.5,310
2008-02-12 00:00:00+05:30,46.1,46.15,46.1,46.1,151
2008-02-13 00:00:00+05:30,44.05,44.25,43.8,43.85,405
2008-02-14 00:00:00+05:30,43.1,46.0,41.7,41.95,941
2008-02-15 00:00:00+05:30,40.25,44.0,40.2,40.95,1108
2008-02-18 00:00:00+05:30,41.0,42.95,41.0,41.3,660
2008-02-19 00:00:00+05:30,40.5,43.35,40.5,41.3,732
2008-02-20 00:00:00+05:30,41.3,41.3,41.3,41.3,100
2008-02-21 00:00:00+05:30,43.3,43.3,41.3,42.1,2190
2008-02-22 00:00:00+05:30,41.7,44.1,41.7,44.1,782
2008-02-25 00:00:00+05:30,42.5,46.3,41.9,42.1,2640
2008-02-26 00:00:00+05:30,41.0,44.2,40.15,41.7,1350
2008-02-27 00:00:00+05:30,41.75,43.65,39.85,40.9,470
2008-02-28 00:00:00+05:30,39.25,42.55,39.25,39.35,1032
2008-02-29 00:00:00+05:30,38.0,41.2,38.0,38.1,401
2008-03-03 00:00:00+05:30,39.95,40.0,36.2,36.54,6402
2008-03-04 00:00:00+05:30,38.29,38.35,36.5,36.6,1190
2008-03-05 00:00:00+05:30,38.4,38.4,38.29,38.4,128
2008-03-07 00:00:00+05:30,40.29,40.29,36.79,40.29,2114
2008-03-10 00:00:00+05:30,38.29,41.85,38.29,41.0,712
2008-03-11 00:00:00+05:30,42.95,43.05,39.9,43.05,441
2008-03-12 00:00:00+05:30,41.2,41.2,41.2,41.2,10
