date,open,high,low,close,volume
2015-09-10 00:00:00+05:30,60.0,63.0,60.0,63.0,250449
2015-09-11 00:00:00+05:30,66.15,66.15,63.2,66.09,250158
2015-09-14 00:00:00+05:30,66.0,66.45,62.8,64.25,69469
2015-09-15 00:00:00+05:30,64.0,64.5,61.55,61.65,15488
2015-09-16 00:00:00+05:30,61.6,63.2,59.15,61.0,36019
2015-09-18 00:00:00+05:30,60.6,63.0,60.1,61.45,28163
2015-09-21 00:00:00+05:30,61.0,62.4,60.4,61.55,13215
2015-09-22 00:00:00+05:30,61.55,64.59,61.55,64.45,50348
2015-09-23 00:00:00+05:30,65.0,67.65,63.7,66.59,173763
2015-09-24 00:00:00+05:30,66.3,67.45,65.09,66.8,58998
2015-09-28 00:00:00+05:30,67.0,67.0,62.5,62.9,27133
2015-09-29 00:00:00+05:30,60.1,62.5,59.0,61.7,50575
2015-09-30 00:00:00+05:30,61.8,63.8,61.8,63.1,16918
2015-10-01 00:00:00+05:30,63.95,65.5,62.95,65.4,62390
2015-10-05 00:00:00+05:30,64.3,65.95,63.5,63.95,19873
2015-10-06 00:00:00+05:30,63.3,64.0,61.25,61.85,16725
2015-10-07 00:00:00+05:30,62.0,65.4,60.5,64.9,28844
2015-10-08 00:00:00+05:30,64.5,65.4,62.55,64.84,14595
2015-10-09 00:00:00+05:30,65.0,74.75,65.0,73.5,785531
2015-10-12 00:00:00+05:30,74.84,75.4,70.4,71.0,149758
2015-10-13 00:00:00+05:30,73.0,78.65,71.0,77.09,294092
2015-10-14 00:00:00+05:30,76.95,82.7,76.45,77.8,322903
2015-10-15 00:00:00+05:30,78.9,81.0,78.05,80.0,86212
2015-10-16 00:00:00+05:30,80.95,81.59,78.5,80.4,75576
2015-10-19 00:00:00+05:30,80.15,84.8,76.34,83.9,292392
2015-10-20 00:00:00+05:30,83.75,84.0,79.4,79.8,38697
2015-10-21 00:00:00+05:30,80.3,84.6,78.7,82.75,151714
2015-10-23 00:00:00+05:30,83.5,84.15,80.0,80.4,38764
2015-10-26 00:00:00+05:30,80.9,81.5,78.5,79.5,52944
2015-10-27 00:00:00+05:30,79.25,83.25,78.4,81.84,80493
2015-10-28 00:00:00+05:30,82.6,82.95,79.5,80.09,56979
2015-10-29 00:00:00+05:30,80.7,81.75,79.5,79.9,18105
2015-10-30 00:00:00+05:30,80.84,81.0,76.0,76.65,44843
2015-11-02 00:00:00+05:30,76.3,79.0,75.55,77.59,48603
2015-11-03 00:00:00+05:30,76.59,80.45,76.59,79.2,49402
2015-11-04 00:00:00+05:30,80.8,81.0,79.09,79.59,23171
2015-11-05 00:00:00+05:30,79.84,87.5,78.7,82.1,272629
2015-11-06 00:00:00+05:30,82.2,85.2,79.0,82.6,71375
2015-11-09 00:00:00+05:30,79.0,81.5,77.3,78.95,86607
2015-11-10 00:00:00+05:30,78.05,80.0,75.15,75.65,30036
2015-11-11 00:00:00+05:30,76.5,78.0,76.5,77.45,12559
2015-11-13 00:00:00+05:30,78.0,78.0,72.59,75.95,28680
2015-11-16 00:00:00+05:30,76.7,76.7,74.0,74.84,33837
2015-11-17 00:00:00+05:30,75.4,76.65,73.0,73.09,40075
2015-11-18 00:00:00+05:30,74.65,75.3,71.95,72.25,162735
2015-11-19 00:00:00+05:30,74.0,74.0,72.45,73.15,11199
2015-11-20 00:00:00+05:30,74.4,74.4,71.4,72.05,27378
2015-11-23 00:00:00+05:30,72.95,78.65,72.95,75.25,123074
2015-11-24 00:00:00+05:30,75.45,82.0,75.45,81.25,139958
2015-11-26 00:00:00+05:30,81.25,83.75,81.2,82.75,102138
2015-11-27 00:00:00+05:30,82.7,83.9,79.25,81.25,41405
2015-11-30 00:00:00+05:30,82.05,82.5,78.4,79.4,17895
2015-12-01 00:00:00+05:30,80.0,95.25,79.0,93.95,361870
2015-12-02 00:00:00+05:30,96.7,96.9,88.3,92.4,164154
2015-12-03 00:00:00+05:30,92.8,108.3,89.95,103.45,419636
2015-12-04 00:00:00+05:30,101.95,106.0,98.35,100.0,212806
2015-12-07 00:00:00+05:30,101.8,104.1,97.75,99.6,69186
2015-12-08 00:00:00+05:30,99.6,100.75,91.0,92.55,61521
2015-12-09 00:00:00+05:30,93.5,94.0,88.05,90.85,46400
2015-12-10 00:00:00+05:30,92.0,96.7,91.85,95.7,47735
2015-12-11 00:00:00+05:30,95.0,97.9,90.0,91.6,66920
2015-12-14 00:00:00+05:30,92.1,97.0,91.6,96.4,40351
2015-12-15 00:00:00+05:30,95.0,115.65,95.0,109.7,239832
2015-12-16 00:00:00+05:30,110.0,119.0,107.8,112.25,289816
2015-12-17 00:00:00+05:30,113.75,117.0,112.0,114.0,122675
2015-12-18 00:00:00+05:30,114.3,115.5,110.0,111.25,77825
2015-12-21 00:00:00+05:30,112.8,118.0,108.3,110.2,119251
2015-12-22 00:00:00+05:30,111.0,112.9,108.15,109.65,31881
2015-12-23 00:00:00+05:30,110.4,111.65,106.05,107.0,27206
2015-12-24 00:00:00+05:30,107.95,109.0,105.1,106.05,20204
2015-12-28 00:00:00+05:30,107.35,114.8,106.65,110.3,113559
2015-12-29 00:00:00+05:30,109.2,110.5,103.3,104.9,40854
2015-12-30 00:00:00+05:30,106.5,107.5,101.0,101.85,28850
2015-12-31 00:00:00+05:30,104.0,105.6,102.2,102.85,18565
2016-01-01 00:00:00+05:30,103.0,109.5,102.5,108.7,56779
2016-01-04 00:00:00+05:30,108.0,114.9,108.0,112.8,138069
2016-01-05 00:00:00+05:30,112.4,114.5,110.3,113.0,59972
2016-01-06 00:00:00+05:30,113.3,121.0,112.1,113.3,233320
2016-01-07 00:00:00+05:30,112.3,112.3,105.8,108.8,71568
2016-01-08 00:00:00+05:30,110.1,113.3,109.3,109.8,41824
2016-01-11 00:00:00+05:30,107.5,109.5,105.0,105.5,59777
2016-01-12 00:00:00+05:30,107.0,107.7,102.0,102.8,57959
2016-01-13 00:00:00+05:30,104.7,108.0,92.9,105.5,336362
2016-01-14 00:00:00+05:30,105.5,112.0,98.0,108.2,223938
2016-01-15 00:00:00+05:30,107.5,108.9,100.0,101.2,74069
2016-01-18 00:00:00+05:30,101.4,102.2,95.1,98.4,79460
2016-01-19 00:00:00+05:30,100.9,103.0,98.5,99.6,52794
2016-01-20 00:00:00+05:30,98.8,102.4,95.0,97.5,66603
2016-01-21 00:00:00+05:30,98.3,113.4,98.3,111.0,336452
2016-01-22 00:00:00+05:30,113.9,120.0,112.1,117.9,210101
2016-01-25 00:00:00+05:30,120.0,125.9,120.0,121.3,110391
2016-01-27 00:00:00+05:30,122.1,127.7,120.3,125.6,129787
2016-01-28 00:00:00+05:30,125.0,129.4,121.2,126.2,63525
2016-01-29 00:00:00+05:30,126.5,129.1,122.5,123.3,78866
2016-02-01 00:00:00+05:30,121.0,126.3,113.0,124.8,151872
2016-02-02 00:00:00+05:30,125.7,129.5,119.3,120.9,52926
2016-02-03 00:00:00+05:30,116.0,125.4,116.0,117.4,68597
2016-02-04 00:00:00+05:30,121.0,125.8,118.3,119.1,56870
2016-02-05 00:00:00+05:30,119.1,124.0,119.1,122.7,27484
2016-02-08 00:00:00+05:30,123.1,124.0,116.0,117.3,35359
2016-02-09 00:00:00+05:30,119.0,120.3,115.4,117.0,27621
2016-02-10 00:00:00+05:30,115.5,117.1,113.0,114.2,27809
2016-02-11 00:00:00+05:30,113.0,113.5,102.0,104.0,77500
2016-02-12 00:00:00+05:30,107.5,107.6,97.5,102.9,61191
2016-02-15 00:00:00+05:30,110.0,114.2,107.0,108.1,24896
2016-02-16 00:00:00+05:30,109.9,112.8,108.0,109.4,23909
2016-02-17 00:00:00+05:30,109.4,109.4,103.7,108.8,27000
2016-02-18 00:00:00+05:30,110.0,112.9,108.0,110.7,18849
2016-02-19 00:00:00+05:30,110.7,110.8,108.7,109.4,5203
