date,open,high,low,close,volume
2022-03-17 00:00:00+05:30,2.59,2.71,2.59,2.71,195
2022-03-28 00:00:00+05:30,2.84,2.84,2.84,2.84,2
2022-03-30 00:00:00+05:30,2.98,2.98,2.98,2.98,1
2022-04-01 00:00:00+05:30,3.12,3.12,3.12,3.12,1
2022-04-04 00:00:00+05:30,3.27,3.27,3.27,3.27,1
2022-04-05 00:00:00+05:30,3.43,3.43,3.43,3.43,1
2022-04-06 00:00:00+05:30,3.6,3.6,3.6,3.6,1
2022-04-07 00:00:00+05:30,3.78,3.78,3.78,3.78,1
2022-04-08 00:00:00+05:30,3.96,3.96,3.96,3.96,5
2022-04-21 00:00:00+05:30,4.15,4.15,4.15,4.15,100
2022-04-25 00:00:00+05:30,4.35,4.35,4.35,4.35,100
2022-04-28 00:00:00+05:30,4.56,4.56,4.56,4.56,100
2022-04-29 00:00:00+05:30,4.78,4.78,4.78,4.78,5
2022-05-02 00:00:00+05:30,5.01,5.01,5.01,5.01,5
2022-05-05 00:00:00+05:30,5.26,5.26,5.26,5.26,5
2022-05-06 00:00:00+05:30,5.52,5.52,5.52,5.52,5
2022-05-10 00:00:00+05:30,5.79,5.79,5.79,5.79,5
2022-05-11 00:00:00+05:30,6.07,6.07,6.07,6.07,100
2022-05-12 00:00:00+05:30,6.37,6.37,6.37,6.37,5
2022-05-13 00:00:00+05:30,6.68,6.68,6.68,6.68,5
2022-05-16 00:00:00+05:30,7.01,7.01,7.01,7.01,5
2022-05-17 00:00:00+05:30,7.36,7.36,7.36,7.36,5
2022-05-18 00:00:00+05:30,7.72,7.72,7.72,7.72,600
2022-05-19 00:00:00+05:30,8.1,8.1,8.1,8.1,5
2022-05-20 00:00:00+05:30,8.5,8.5,8.5,8.5,5
2022-05-23 00:00:00+05:30,8.92,8.92,8.92,8.92,5
2022-05-24 00:00:00+05:30,9.36,9.36,9.36,9.36,5
2022-05-25 00:00:00+05:30,9.82,9.82,9.82,9.82,5
2022-05-26 00:00:00+05:30,10.31,10.31,10.31,10.31,5
2022-05-27 00:00:00+05:30,10.82,10.82,10.82,10.82,5
2022-05-30 00:00:00+05:30,11.36,11.36,11.36,11.36,5
2022-05-31 00:00:00+05:30,11.92,11.92,11.92,11.92,205
2022-06-01 00:00:00+05:30,12.51,12.51,12.51,12.51,5
2022-06-02 00:00:00+05:30,13.13,13.13,13.13,13.13,5
2022-06-03 00:00:00+05:30,13.78,13.78,13.78,13.78,5
2022-06-06 00:00:00+05:30,14.46,14.46,14.46,14.46,5
2022-06-07 00:00:00+05:30,15.18,15.18,15.18,15.18,5
2022-06-08 00:00:00+05:30,15.93,15.93,15.93,15.93,5
2022-06-09 00:00:00+05:30,16.72,16.72,16.72,16.72,5
2022-06-10 00:00:00+05:30,17.55,17.55,17.55,17.55,5
2022-06-13 00:00:00+05:30,18.42,18.42,18.42,18.42,5
2022-06-14 00:00:00+05:30,19.34,19.34,19.34,19.34,5
2022-06-15 00:00:00+05:30,20.3,20.3,20.3,20.3,5
2022-06-16 00:00:00+05:30,21.31,21.31,21.31,21.31,5
2022-06-17 00:00:00+05:30,22.37,22.37,22.37,22.37,5
2022-06-20 00:00:00+05:30,23.48,23.48,23.48,23.48,50
