date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,12.67,12.67,12.67,12.67,6000
2008-01-02 00:00:00+05:30,13.3,13.3,13.3,13.3,6800
2008-01-03 00:00:00+05:30,13.96,13.96,13.96,13.96,7100
2008-01-04 00:00:00+05:30,14.65,14.65,14.65,14.65,4000
2008-01-07 00:00:00+05:30,15.38,15.38,15.38,15.38,6300
2008-01-08 00:00:00+05:30,16.14,16.14,14.62,14.62,13900
2008-01-09 00:00:00+05:30,13.89,13.89,13.89,13.89,1000
2008-01-10 00:00:00+05:30,13.2,13.2,13.2,13.2,4700
2008-01-11 00:00:00+05:30,12.55,12.95,12.55,12.55,13500
2008-01-14 00:00:00+05:30,12.55,12.55,11.93,11.93,2200
2008-01-15 00:00:00+05:30,11.35,11.5,11.34,11.34,8300
2008-01-16 00:00:00+05:30,10.78,10.78,10.78,10.78,700
2008-01-17 00:00:00+05:30,10.25,10.25,10.25,10.25,7400
2008-01-18 00:00:00+05:30,9.74,9.74,9.74,9.74,8600
2008-01-21 00:00:00+05:30,9.26,9.26,9.26,9.26,100
2008-01-23 00:00:00+05:30,8.8,8.8,8.8,8.8,100
2008-01-28 00:00:00+05:30,8.36,8.36,8.36,8.36,100
2008-01-29 00:00:00+05:30,7.96,7.96,7.96,7.96,1000
2008-01-30 00:00:00+05:30,7.57,8.05,7.57,8.0,5600
2008-01-31 00:00:00+05:30,8.01,8.01,8.0,8.0,1500
2008-02-01 00:00:00+05:30,7.68,7.68,7.68,7.68,500
2008-02-04 00:00:00+05:30,8.06,8.06,8.06,8.06,2700
2008-02-05 00:00:00+05:30,8.07,8.46,8.07,8.46,1600
2008-02-06 00:00:00+05:30,8.03,8.86,8.03,8.86,300
2008-02-07 00:00:00+05:30,8.5,9.31,8.43,8.5,2300
2008-02-08 00:00:00+05:30,8.52,8.55,8.52,8.55,400
2008-02-11 00:00:00+05:30,8.18,8.18,8.13,8.13,700
2008-02-12 00:00:00+05:30,8.3,8.52,7.73,7.73,800
2008-02-13 00:00:00+05:30,7.73,8.11,7.73,7.74,400
2008-02-14 00:00:00+05:30,7.5,7.5,7.36,7.36,500
2008-02-15 00:00:00+05:30,7.0,7.5,7.0,7.2,3400
2008-02-18 00:00:00+05:30,7.16,7.5,7.16,7.5,1300
2008-02-19 00:00:00+05:30,7.87,7.87,7.2,7.2,800
2008-02-20 00:00:00+05:30,7.2,7.2,7.2,7.2,100
2008-02-22 00:00:00+05:30,6.91,6.91,6.91,6.91,200
2008-02-25 00:00:00+05:30,7.25,7.25,7.25,7.25,300
2008-02-26 00:00:00+05:30,7.6,7.6,7.5,7.6,2100
2008-02-27 00:00:00+05:30,7.98,7.98,7.98,7.98,200
2008-02-28 00:00:00+05:30,8.36,8.36,7.6,7.6,2300
2008-03-03 00:00:00+05:30,7.98,7.98,7.5,7.5,400
2008-03-04 00:00:00+05:30,7.5,7.5,7.14,7.15,1900
2008-03-05 00:00:00+05:30,6.81,6.81,6.8,6.8,1000
2008-03-10 00:00:00+05:30,7.0,7.13,7.0,7.13,700
2008-03-11 00:00:00+05:30,7.0,7.48,6.78,6.91,1000
2008-03-12 00:00:00+05:30,6.95,7.0,6.95,7.0,700
2008-03-14 00:00:00+05:30,6.8,6.8,6.8,6.8,800
2008-03-17 00:00:00+05:30,6.47,6.95,6.47,6.95,1300
2008-03-18 00:00:00+05:30,6.61,6.75,6.61,6.75,700
2008-03-19 00:00:00+05:30,6.43,7.08,6.43,6.6,600
2008-03-24 00:00:00+05:30,6.3,6.3,6.3,6.3,600
2008-03-25 00:00:00+05:30,6.3,6.3,6.3,6.3,100
2008-03-26 00:00:00+05:30,6.61,6.61,6.61,6.61,300
2008-03-27 00:00:00+05:30,6.28,6.94,6.28,6.92,700
2008-03-28 00:00:00+05:30,7.26,7.26,6.58,6.58,700
2008-03-31 00:00:00+05:30,6.26,6.7,6.26,6.7,300
2008-04-01 00:00:00+05:30,6.7,6.7,6.7,6.7,300
2008-04-02 00:00:00+05:30,7.03,7.03,6.5,6.58,800
2008-04-03 00:00:00+05:30,6.9,6.9,6.4,6.4,800
2008-04-07 00:00:00+05:30,6.12,6.12,6.12,6.12,1000
2008-04-08 00:00:00+05:30,5.82,5.82,5.82,5.82,1300
2008-04-09 00:00:00+05:30,6.11,6.11,5.53,5.54,1200
2008-04-10 00:00:00+05:30,5.81,5.81,5.81,5.81,2000
2008-04-11 00:00:00+05:30,6.1,6.1,6.1,6.1,200
2008-04-15 00:00:00+05:30,6.0,6.4,5.85,5.85,800
2008-04-16 00:00:00+05:30,6.14,6.14,6.14,6.14,200
2008-04-17 00:00:00+05:30,6.44,6.44,6.44,6.44,200
2008-04-21 00:00:00+05:30,6.76,6.76,6.12,6.12,700
2008-04-23 00:00:00+05:30,6.39,6.4,5.95,5.95,1100
2008-04-24 00:00:00+05:30,5.95,5.97,5.95,5.97,900
2008-04-30 00:00:00+05:30,5.8,6.1,5.71,5.71,1000
2008-05-02 00:00:00+05:30,5.99,5.99,5.99,5.99,200
2008-05-05 00:00:00+05:30,6.28,6.28,5.8,5.8,2700
2008-05-07 00:00:00+05:30,5.53,5.53,5.53,5.53,300
2008-05-12 00:00:00+05:30,5.5,5.5,5.3,5.31,1700
2008-05-14 00:00:00+05:30,5.57,5.57,5.57,5.57,200
2008-05-16 00:00:00+05:30,5.3,5.3,5.3,5.3,200
2008-05-20 00:00:00+05:30,5.05,5.05,5.05,5.05,200
2008-05-22 00:00:00+05:30,5.05,5.05,5.05,5.05,200
2008-05-27 00:00:00+05:30,5.3,5.3,5.3,5.3,400
2008-05-28 00:00:00+05:30,5.55,5.56,5.55,5.56,600
2008-05-29 00:00:00+05:30,5.29,5.82,5.29,5.82,900
2008-05-30 00:00:00+05:30,6.1,6.11,5.55,5.55,1000
2008-06-02 00:00:00+05:30,5.3,5.3,5.3,5.3,500
2008-06-03 00:00:00+05:30,5.04,5.04,5.04,5.04,100
2008-06-04 00:00:00+05:30,4.79,5.17,4.79,5.17,500
2008-06-05 00:00:00+05:30,4.92,4.92,4.92,4.92,200
2008-06-06 00:00:00+05:30,4.68,4.68,4.68,4.68,300
2008-06-09 00:00:00+05:30,4.91,4.91,4.91,4.91,100
2008-06-10 00:00:00+05:30,5.15,5.15,4.67,4.67,1000
2008-06-11 00:00:00+05:30,4.44,4.44,4.44,4.44,500
2008-06-13 00:00:00+05:30,4.22,4.22,4.22,4.22,300
2008-06-17 00:00:00+05:30,4.23,4.23,4.22,4.22,2100
2008-06-18 00:00:00+05:30,4.2,4.2,4.2,4.2,300
2008-06-23 00:00:00+05:30,4.01,4.01,4.01,4.01,100
2008-06-24 00:00:00+05:30,4.09,4.09,4.09,4.09,500
2008-06-26 00:00:00+05:30,4.09,4.09,4.09,4.09,100
2008-06-27 00:00:00+05:30,3.95,3.95,3.89,3.89,500
2008-06-30 00:00:00+05:30,3.85,3.85,3.85,3.85,600
2008-07-01 00:00:00+05:30,3.7,3.7,3.7,3.7,200
2008-07-04 00:00:00+05:30,3.88,3.88,3.52,3.52,200
2008-07-10 00:00:00+05:30,3.37,3.37,3.35,3.35,1000
2008-07-11 00:00:00+05:30,3.19,3.19,3.19,3.19,3600
2008-07-14 00:00:00+05:30,3.34,3.34,3.34,3.34,300
2008-07-15 00:00:00+05:30,3.35,3.35,3.18,3.18,800
2008-07-16 00:00:00+05:30,3.33,3.33,3.18,3.18,1800
2008-07-17 00:00:00+05:30,3.19,3.33,3.18,3.33,600
2008-07-18 00:00:00+05:30,3.2,3.2,3.2,3.2,500
2008-07-21 00:00:00+05:30,3.11,3.35,3.05,3.35,1300
2008-07-22 00:00:00+05:30,3.25,3.25,3.2,3.2,200
2008-07-23 00:00:00+05:30,3.35,3.35,3.35,3.35,100
2008-07-25 00:00:00+05:30,3.2,3.49,3.2,3.49,1300
2008-07-28 00:00:00+05:30,3.32,3.32,3.32,3.32,300
2008-07-29 00:00:00+05:30,3.47,3.48,3.2,3.2,1600
2008-08-04 00:00:00+05:30,3.35,3.35,3.1,3.1,900
2008-08-05 00:00:00+05:30,3.25,3.25,3.25,3.25,400
2008-08-06 00:00:00+05:30,3.4,3.4,3.4,3.4,300
2008-08-08 00:00:00+05:30,3.57,3.57,3.55,3.55,800
2008-08-11 00:00:00+05:30,3.7,3.7,3.38,3.38,400
2008-08-12 00:00:00+05:30,3.22,3.5,3.22,3.38,500
2008-08-13 00:00:00+05:30,3.25,3.25,3.25,3.25,100
2008-08-18 00:00:00+05:30,3.15,3.15,3.1,3.1,300
2008-08-26 00:00:00+05:30,2.95,2.95,2.95,2.95,1000
2008-09-01 00:00:00+05:30,2.82,2.82,2.82,2.82,200
2008-09-08 00:00:00+05:30,2.7,2.7,2.68,2.68,600
2008-09-09 00:00:00+05:30,2.54,2.56,2.54,2.54,1100
2008-09-12 00:00:00+05:30,2.67,2.67,2.67,2.67,100
2008-09-15 00:00:00+05:30,2.54,2.8,2.54,2.8,1400
2008-09-16 00:00:00+05:30,2.94,2.94,2.94,2.94,500
2008-09-17 00:00:00+05:30,3.05,3.05,3.05,3.05,600
2008-09-18 00:00:00+05:30,2.9,3.2,2.9,3.2,1100
2008-09-19 00:00:00+05:30,3.36,3.36,3.36,3.36,100
2008-09-22 00:00:00+05:30,3.5,3.52,3.2,3.2,400
2008-09-23 00:00:00+05:30,3.1,3.36,3.1,3.36,1000
2008-09-24 00:00:00+05:30,3.5,3.52,3.5,3.52,400
