date,open,high,low,close,volume
2017-04-18 00:00:00+05:30,11.33,11.72,11.23,11.72,2801588
2017-04-19 00:00:00+05:30,11.82,11.82,11.43,11.53,291074
2017-04-20 00:00:00+05:30,11.38,11.87,11.33,11.68,315330
2017-04-21 00:00:00+05:30,11.72,12.02,11.72,11.87,121281
2017-04-24 00:00:00+05:30,11.72,12.02,11.58,11.72,121281
2017-04-25 00:00:00+05:30,11.92,11.92,11.53,11.68,36384
2017-04-26 00:00:00+05:30,11.72,11.72,11.63,11.72,48512
2017-04-27 00:00:00+05:30,11.43,11.82,11.43,11.82,72769
2017-04-28 00:00:00+05:30,11.63,11.82,11.63,11.82,36384
2017-05-02 00:00:00+05:30,11.77,11.82,11.43,11.68,654917
2017-05-03 00:00:00+05:30,12.17,13.9,12.17,13.41,1382602
2017-05-04 00:00:00+05:30,14.05,14.2,13.75,13.85,133409
2017-05-05 00:00:00+05:30,13.8,13.8,13.8,13.8,24256
2017-05-08 00:00:00+05:30,13.51,13.51,13.51,13.51,24256
2017-05-09 00:00:00+05:30,13.41,13.51,12.96,12.96,60640
2017-05-10 00:00:00+05:30,13.51,13.51,13.51,13.51,24256
2017-05-11 00:00:00+05:30,13.21,13.21,13.21,13.21,12128
2017-05-12 00:00:00+05:30,13.21,13.21,13.21,13.21,12128
2017-05-15 00:00:00+05:30,13.51,15.19,13.51,14.2,72769
2017-05-16 00:00:00+05:30,13.51,13.51,13.51,13.51,12128
2017-05-18 00:00:00+05:30,13.21,13.21,13.21,13.21,24256
2017-05-22 00:00:00+05:30,13.01,13.01,13.01,13.01,12128
2017-05-23 00:00:00+05:30,13.01,13.01,13.01,13.01,12128
2017-05-24 00:00:00+05:30,13.21,13.21,12.52,12.52,24256
2017-05-29 00:00:00+05:30,12.71,12.71,12.22,12.22,36384
2017-05-30 00:00:00+05:30,12.22,12.22,12.22,12.22,12128
2017-06-02 00:00:00+05:30,12.22,12.22,11.97,12.02,72769
2017-06-05 00:00:00+05:30,11.87,11.87,11.68,11.68,24256
2017-06-07 00:00:00+05:30,11.87,12.02,11.87,12.02,24256
2017-06-13 00:00:00+05:30,12.52,12.52,12.52,12.52,12128
2017-06-14 00:00:00+05:30,12.81,14.3,12.81,13.56,60640
2017-06-16 00:00:00+05:30,14.35,14.35,13.51,13.51,24256
2017-06-23 00:00:00+05:30,13.21,13.21,13.21,13.21,12128
2017-07-04 00:00:00+05:30,12.57,12.57,12.57,12.57,12128
2017-07-05 00:00:00+05:30,12.52,12.52,12.42,12.42,36384
2017-07-06 00:00:00+05:30,12.32,12.52,11.82,12.12,109153
