date,open,high,low,close,volume
2022-01-31 00:00:00+05:30,66.9,66.9,63.05,63.32,22955
2022-02-01 00:00:00+05:30,61.43,63.74,61.43,63.53,52468
2022-02-02 00:00:00+05:30,63.53,63.89,63.0,63.79,53284
2022-02-03 00:00:00+05:30,63.47,64.5,63.1,63.5,111531
2022-02-04 00:00:00+05:30,63.73,64.9,63.2,63.29,52134
2022-02-07 00:00:00+05:30,63.29,64.19,63.21,63.78,37399
2022-02-08 00:00:00+05:30,64.34,64.34,63.87,64.08,25600
2022-02-09 00:00:00+05:30,66.0,66.0,64.52,64.81,31108
2022-02-10 00:00:00+05:30,64.95,65.39,64.78,65.22,28266
2022-02-11 00:00:00+05:30,65.22,65.22,64.17,64.52,28091
2022-02-14 00:00:00+05:30,65.01,66.83,64.0,66.49,52542
2022-02-15 00:00:00+05:30,66.0,67.5,65.1,65.47,39492
2022-02-16 00:00:00+05:30,65.59,66.0,65.38,65.71,55276
2022-02-17 00:00:00+05:30,66.0,67.0,65.53,66.41,25836
2022-02-18 00:00:00+05:30,66.33,67.0,65.8,66.02,39932
2022-02-21 00:00:00+05:30,66.65,66.65,65.55,65.67,6029
2022-02-22 00:00:00+05:30,65.75,67.16,65.7,66.51,38153
2022-02-23 00:00:00+05:30,66.8,66.92,66.21,66.35,7087
2022-02-24 00:00:00+05:30,70.0,70.0,66.8,68.95,115178
2022-02-25 00:00:00+05:30,68.0,68.64,67.04,67.17,100012
2022-02-28 00:00:00+05:30,68.0,68.03,66.93,67.13,14314
2022-03-02 00:00:00+05:30,69.0,71.0,68.0,69.59,87584
2022-03-03 00:00:00+05:30,69.5,69.99,69.08,69.71,18722
2022-03-04 00:00:00+05:30,69.8,70.69,69.35,69.81,94523
2022-03-07 00:00:00+05:30,70.66,73.0,70.66,72.68,75600
2022-03-08 00:00:00+05:30,72.39,73.68,71.4,72.85,63012
2022-03-09 00:00:00+05:30,73.81,75.0,71.8,72.35,66149
2022-03-10 00:00:00+05:30,72.7,72.7,69.8,70.88,32746
2022-03-11 00:00:00+05:30,71.3,72.27,71.24,71.74,63705
2022-03-14 00:00:00+05:30,72.43,72.43,70.71,70.76,31052
2022-03-15 00:00:00+05:30,70.53,70.53,69.36,69.55,35342
2022-03-16 00:00:00+05:30,69.78,69.78,69.21,69.23,45577
2022-03-17 00:00:00+05:30,69.65,70.5,69.5,69.78,20177
2022-03-21 00:00:00+05:30,69.7,69.79,69.28,69.39,31874
2022-03-22 00:00:00+05:30,70.24,70.66,69.51,69.68,14746
2022-03-23 00:00:00+05:30,69.31,69.71,68.71,69.51,16183
2022-03-24 00:00:00+05:30,69.8,70.15,69.52,69.82,6487
2022-03-25 00:00:00+05:30,70.3,71.25,70.0,70.84,41412
2022-03-28 00:00:00+05:30,70.78,70.78,69.38,69.5,41646
2022-03-29 00:00:00+05:30,68.0,72.0,68.0,68.89,13940
2022-03-30 00:00:00+05:30,68.7,69.41,67.61,68.95,31258
2022-03-31 00:00:00+05:30,68.99,69.13,68.11,68.54,8832
2022-04-01 00:00:00+05:30,68.8,69.88,68.8,69.25,7290
2022-04-04 00:00:00+05:30,69.2,69.22,68.52,68.85,16443
2022-04-05 00:00:00+05:30,69.0,69.0,68.21,68.41,28850
2022-04-06 00:00:00+05:30,68.34,68.35,67.75,68.26,12162
2022-04-07 00:00:00+05:30,69.0,69.0,67.5,68.48,33732
2022-04-08 00:00:00+05:30,68.48,68.99,68.16,68.95,24992
2022-04-11 00:00:00+05:30,69.0,69.69,68.41,69.67,16826
2022-04-12 00:00:00+05:30,69.79,70.27,69.11,69.62,32240
2022-04-13 00:00:00+05:30,69.88,71.43,69.88,71.26,13679
2022-04-18 00:00:00+05:30,71.8,72.5,71.5,72.08,45978
2022-04-19 00:00:00+05:30,72.23,72.29,71.8,72.15,11411
2022-04-20 00:00:00+05:30,70.26,71.4,70.2,70.44,9494
2022-04-21 00:00:00+05:30,70.5,71.0,69.76,69.94,9956
2022-04-22 00:00:00+05:30,69.45,69.45,68.53,68.58,73912
2022-04-25 00:00:00+05:30,68.47,68.47,67.38,67.51,47793
2022-04-26 00:00:00+05:30,67.57,67.81,67.04,67.57,18591
2022-04-27 00:00:00+05:30,67.51,67.51,66.83,67.18,8521
2022-04-28 00:00:00+05:30,66.95,67.44,65.93,66.5,36296
2022-04-29 00:00:00+05:30,66.41,67.0,66.41,66.9,14307
2022-05-02 00:00:00+05:30,65.94,65.94,64.87,65.02,19013
2022-05-04 00:00:00+05:30,64.99,64.99,64.5,64.69,26298
2022-05-05 00:00:00+05:30,65.18,65.8,65.18,65.38,18398
2022-05-06 00:00:00+05:30,65.02,65.02,64.22,64.51,12907
2022-05-09 00:00:00+05:30,64.46,64.63,64.01,64.06,6429
2022-05-10 00:00:00+05:30,64.0,64.28,63.54,63.69,13175
2022-05-11 00:00:00+05:30,63.44,63.78,61.66,63.23,46167
2022-05-12 00:00:00+05:30,62.7,62.85,62.25,62.41,13062
2022-05-13 00:00:00+05:30,61.94,61.94,60.9,61.23,38968
2022-05-16 00:00:00+05:30,61.3,62.2,61.3,62.1,14408
2022-05-17 00:00:00+05:30,62.3,63.5,62.3,63.36,22352
2022-05-18 00:00:00+05:30,63.0,63.2,62.5,62.95,4864
2022-05-19 00:00:00+05:30,62.93,62.93,62.3,62.74,16004
2022-05-20 00:00:00+05:30,65.0,67.0,62.8,64.04,5002
2022-05-23 00:00:00+05:30,63.7,64.26,63.1,64.08,12239
2022-05-24 00:00:00+05:30,63.7,63.73,63.01,63.53,11435
2022-05-25 00:00:00+05:30,63.8,64.39,63.3,63.45,14875
2022-05-26 00:00:00+05:30,63.8,63.8,63.1,63.21,5261
2022-05-27 00:00:00+05:30,63.8,64.54,63.59,64.49,5294
2022-05-30 00:00:00+05:30,65.0,65.0,63.87,64.0,24776
2022-05-31 00:00:00+05:30,63.7,63.75,63.11,63.58,8310
2022-06-01 00:00:00+05:30,63.09,63.09,62.48,62.6,12740
2022-06-02 00:00:00+05:30,62.97,63.8,62.97,63.71,3229
2022-06-03 00:00:00+05:30,63.8,64.49,63.8,64.29,1835
2022-06-06 00:00:00+05:30,64.28,64.75,64.22,64.44,1470
2022-06-07 00:00:00+05:30,64.2,64.2,63.1,63.76,5605
2022-06-08 00:00:00+05:30,63.8,64.24,63.78,63.84,7132
2022-06-09 00:00:00+05:30,64.0,64.21,63.43,63.75,18498
2022-06-10 00:00:00+05:30,63.5,63.5,62.6,62.89,13934
2022-06-13 00:00:00+05:30,63.06,63.5,62.6,62.77,9259
2022-06-14 00:00:00+05:30,62.5,62.5,61.87,61.96,14389
2022-06-15 00:00:00+05:30,61.99,62.68,61.9,62.49,4298
2022-06-16 00:00:00+05:30,62.8,63.19,62.7,62.83,1657
2022-06-17 00:00:00+05:30,63.45,63.5,63.06,63.47,605
2022-06-20 00:00:00+05:30,64.0,64.0,62.5,62.68,13530
2022-06-21 00:00:00+05:30,63.0,63.22,62.67,63.12,6725
2022-06-22 00:00:00+05:30,62.72,62.72,62.13,62.18,3145
2022-06-23 00:00:00+05:30,62.6,62.6,62.0,62.2,2893
2022-06-24 00:00:00+05:30,61.75,61.93,61.3,61.46,9889
2022-06-27 00:00:00+05:30,61.8,62.73,61.8,62.59,5122
2022-06-28 00:00:00+05:30,62.94,62.94,62.13,62.57,1689
2022-06-29 00:00:00+05:30,62.24,62.24,61.3,61.46,21380
2022-06-30 00:00:00+05:30,61.4,61.54,61.0,61.01,11653
2022-07-01 00:00:00+05:30,61.3,61.3,59.93,60.02,10433
2022-07-04 00:00:00+05:30,59.7,60.33,59.52,60.14,13271
2022-07-05 00:00:00+05:30,60.3,60.73,60.0,60.01,12897
2022-07-06 00:00:00+05:30,59.49,59.49,57.89,58.7,24338
2022-07-07 00:00:00+05:30,58.8,59.23,58.33,59.07,8785
2022-07-08 00:00:00+05:30,59.0,59.08,58.6,58.62,18557
2022-07-11 00:00:00+05:30,60.0,61.0,58.17,58.83,8905
2022-07-12 00:00:00+05:30,58.75,58.75,58.1,58.21,14579
2022-07-13 00:00:00+05:30,59.15,59.3,58.1,58.24,13956
2022-07-14 00:00:00+05:30,58.33,58.84,57.9,57.92,27170
2022-07-15 00:00:00+05:30,57.49,57.49,56.49,56.62,121932
2022-07-18 00:00:00+05:30,57.06,58.04,56.84,57.8,22575
2022-07-19 00:00:00+05:30,57.4,57.93,56.41,57.48,24767
2022-07-20 00:00:00+05:30,57.5,57.7,57.25,57.53,9444
