date,open,high,low,close,volume
2024-08-16 00:00:00+05:30,3.28,3.44,3.28,3.44,182000
2024-08-19 00:00:00+05:30,3.61,3.61,3.61,3.61,58554
2024-08-20 00:00:00+05:30,3.79,3.79,3.79,3.79,53217
2024-08-21 00:00:00+05:30,3.97,3.97,3.97,3.97,25631
2024-08-22 00:00:00+05:30,4.16,4.16,4.16,4.16,20540
2024-08-23 00:00:00+05:30,4.36,4.36,4.36,4.36,100436
2024-08-26 00:00:00+05:30,4.57,4.57,4.57,4.57,38844
2024-08-27 00:00:00+05:30,4.79,4.79,4.79,4.79,76925
2024-08-28 00:00:00+05:30,5.02,5.02,5.02,5.02,38852
2024-08-29 00:00:00+05:30,5.27,5.27,5.27,5.27,42418
2024-08-30 00:00:00+05:30,5.79,5.79,5.79,5.79,27365
2024-09-02 00:00:00+05:30,6.36,6.36,6.36,6.36,295000
2024-09-03 00:00:00+05:30,6.99,6.99,6.99,6.99,107558
2024-09-04 00:00:00+05:30,7.33,7.33,7.33,7.33,109800
2024-09-05 00:00:00+05:30,7.69,7.69,7.69,7.69,29228
2024-09-06 00:00:00+05:30,8.07,8.07,8.07,8.07,39712
2024-09-09 00:00:00+05:30,8.47,8.47,8.47,8.47,104476
2024-09-10 00:00:00+05:30,8.89,8.89,8.89,8.89,22623
2024-09-11 00:00:00+05:30,9.33,9.33,9.33,9.33,110935
2024-09-12 00:00:00+05:30,9.79,9.79,9.79,9.79,110366
2024-09-13 00:00:00+05:30,9.98,9.98,9.98,9.98,235129
2024-09-16 00:00:00+05:30,10.17,10.17,10.17,10.17,139814
2024-09-17 00:00:00+05:30,10.37,10.37,10.37,10.37,82328
2024-09-18 00:00:00+05:30,10.57,10.57,10.57,10.57,69938
2024-09-19 00:00:00+05:30,10.78,10.78,10.78,10.78,115582
2024-09-20 00:00:00+05:30,10.99,10.99,10.99,10.99,115233
2024-09-23 00:00:00+05:30,11.2,11.2,11.2,11.2,46197
2024-09-24 00:00:00+05:30,11.42,11.42,11.42,11.42,72464
2024-09-25 00:00:00+05:30,11.64,11.64,11.64,11.64,48002
2024-09-26 00:00:00+05:30,11.87,11.87,11.87,11.87,69759
2024-09-27 00:00:00+05:30,12.1,12.1,12.1,12.1,74740
2024-09-30 00:00:00+05:30,12.34,12.34,12.34,12.34,76084
2024-10-01 00:00:00+05:30,12.58,12.58,12.58,12.58,46194
2024-10-03 00:00:00+05:30,12.83,12.83,12.83,12.83,87399
2024-10-04 00:00:00+05:30,13.08,13.08,13.08,13.08,109726
2024-10-07 00:00:00+05:30,13.34,13.34,13.34,13.34,415032
2024-10-08 00:00:00+05:30,13.6,13.6,13.6,13.6,67040
2024-10-09 00:00:00+05:30,13.87,13.87,13.87,13.87,77791
2024-10-10 00:00:00+05:30,14.14,14.14,14.14,14.14,44754
2024-10-11 00:00:00+05:30,14.42,14.42,14.42,14.42,37877
2024-10-14 00:00:00+05:30,14.7,14.7,14.7,14.7,46597
2024-10-15 00:00:00+05:30,14.99,14.99,14.99,14.99,70815
2024-10-16 00:00:00+05:30,15.28,15.28,15.28,15.28,72017
2024-10-17 00:00:00+05:30,15.58,15.58,15.58,15.58,56649
2024-10-18 00:00:00+05:30,15.89,15.89,15.89,15.89,90048
2024-10-21 00:00:00+05:30,16.2,16.2,16.2,16.2,42784
2024-10-22 00:00:00+05:30,16.39,16.52,16.39,16.52,1770500
2024-10-23 00:00:00+05:30,16.85,16.85,16.85,16.85,82222
2024-10-24 00:00:00+05:30,17.18,17.18,17.18,17.18,44179
2024-10-25 00:00:00+05:30,17.52,17.52,17.52,17.52,234677
2024-10-28 00:00:00+05:30,17.87,17.87,17.87,17.87,41145
2024-10-29 00:00:00+05:30,18.22,18.22,18.22,18.22,43559
2024-10-30 00:00:00+05:30,18.58,18.58,18.58,18.58,150170
2024-10-31 00:00:00+05:30,18.95,18.95,18.21,18.21,1684701
2024-11-04 00:00:00+05:30,17.85,18.57,17.85,18.57,1117367
2024-11-05 00:00:00+05:30,18.94,18.94,18.94,18.94,169355
2024-11-06 00:00:00+05:30,19.31,19.31,19.31,19.31,200506
2024-11-07 00:00:00+05:30,19.69,19.69,19.69,19.69,711654
2024-11-08 00:00:00+05:30,20.08,20.08,20.08,20.08,187840
2024-11-11 00:00:00+05:30,20.48,20.48,20.48,20.48,75113
2024-11-12 00:00:00+05:30,20.88,20.88,20.88,20.88,39938
2024-11-13 00:00:00+05:30,20.98,21.29,20.98,21.29,598638
2024-11-14 00:00:00+05:30,21.71,21.71,21.71,21.71,152137
2024-11-18 00:00:00+05:30,22.13,22.14,21.99,22.14,608269
2024-11-19 00:00:00+05:30,22.58,22.58,22.58,22.58,59134
2024-11-21 00:00:00+05:30,23.03,23.03,22.13,23.03,562800
2024-11-22 00:00:00+05:30,23.49,23.49,23.49,23.49,88393
2024-11-25 00:00:00+05:30,23.95,23.95,23.95,23.95,35694
2024-11-26 00:00:00+05:30,24.42,24.42,24.42,24.42,51835
2024-11-27 00:00:00+05:30,24.9,24.9,24.9,24.9,62808
2024-11-28 00:00:00+05:30,25.39,25.39,25.39,25.39,91685
2024-11-29 00:00:00+05:30,25.89,25.89,25.89,25.89,51519
2024-12-02 00:00:00+05:30,26.4,26.4,26.4,26.4,44056
2024-12-03 00:00:00+05:30,26.92,26.92,26.92,26.92,70895
2024-12-04 00:00:00+05:30,27.45,27.45,27.45,27.45,73636
2024-12-05 00:00:00+05:30,27.99,27.99,27.99,27.99,598391
2024-12-06 00:00:00+05:30,28.54,28.54,28.54,28.54,115464
2024-12-09 00:00:00+05:30,29.11,29.11,29.11,29.11,459641
2024-12-10 00:00:00+05:30,29.69,29.69,29.69,29.69,54368
2024-12-11 00:00:00+05:30,30.28,30.28,30.28,30.28,191228
2024-12-12 00:00:00+05:30,30.88,30.88,30.88,30.88,91160
2024-12-13 00:00:00+05:30,31.47,31.49,30.27,31.49,1044669
2024-12-16 00:00:00+05:30,30.87,32.11,30.87,32.11,577704
2024-12-17 00:00:00+05:30,32.75,32.75,31.47,31.47,459072
2024-12-18 00:00:00+05:30,30.85,30.85,30.85,30.85,120262
2024-12-19 00:00:00+05:30,30.24,30.24,30.24,30.24,38513
2024-12-20 00:00:00+05:30,29.64,29.64,29.64,29.64,21151
2024-12-23 00:00:00+05:30,29.05,29.05,29.05,29.05,15164
2024-12-24 00:00:00+05:30,28.47,28.47,28.47,28.47,18061
2024-12-26 00:00:00+05:30,27.91,27.91,27.91,27.91,13629
2024-12-27 00:00:00+05:30,27.36,27.36,27.36,27.36,7736
2024-12-30 00:00:00+05:30,26.82,26.82,26.82,26.82,7610
2024-12-31 00:00:00+05:30,26.29,26.29,26.29,26.29,14324
2025-01-01 00:00:00+05:30,25.77,25.77,25.77,25.77,10631
2025-01-02 00:00:00+05:30,25.26,25.26,25.26,25.26,9114
2025-01-03 00:00:00+05:30,24.76,24.76,24.76,24.76,8869
2025-01-06 00:00:00+05:30,23.53,23.53,23.53,23.53,27211
2025-01-07 00:00:00+05:30,22.36,22.36,22.36,22.36,24979
2025-01-08 00:00:00+05:30,21.25,21.25,21.25,21.25,27361
2025-01-09 00:00:00+05:30,20.19,22.31,20.19,22.31,1842225
2025-01-10 00:00:00+05:30,21.2,21.2,21.2,21.2,167562
2025-01-13 00:00:00+05:30,20.14,20.14,20.14,20.14,158964
2025-01-14 00:00:00+05:30,19.14,19.14,19.14,19.14,27936
2025-01-15 00:00:00+05:30,18.19,18.19,18.19,18.19,225324
2025-01-16 00:00:00+05:30,17.3,19.09,17.29,19.01,1570436
2025-01-17 00:00:00+05:30,18.21,18.75,18.06,18.06,465555
2025-01-20 00:00:00+05:30,17.16,18.7,17.16,18.17,1207127
2025-01-21 00:00:00+05:30,17.27,17.75,17.27,17.27,327163
2025-01-22 00:00:00+05:30,16.41,16.41,16.41,16.41,53682
2025-01-23 00:00:00+05:30,15.59,15.59,15.59,15.59,262968
2025-01-24 00:00:00+05:30,14.82,14.82,14.82,14.82,52683
2025-01-27 00:00:00+05:30,14.08,14.08,14.08,14.08,32251
2025-01-28 00:00:00+05:30,13.38,13.38,13.38,13.38,49241
2025-01-29 00:00:00+05:30,12.72,14.04,12.72,14.04,1144861
2025-01-30 00:00:00+05:30,14.73,14.74,14.5,14.71,538394
2025-01-31 00:00:00+05:30,15.39,15.44,14.5,15.44,443212
2025-02-01 00:00:00+05:30,15.98,15.98,14.67,15.33,303420
2025-02-03 00:00:00+05:30,14.57,14.57,14.57,14.57,147142
2025-02-04 00:00:00+05:30,13.85,14.45,13.85,13.92,467482
2025-02-05 00:00:00+05:30,13.37,14.12,13.23,13.3,424024
2025-02-06 00:00:00+05:30,13.3,13.96,13.3,13.88,255893
2025-02-07 00:00:00+05:30,14.56,14.56,13.91,14.27,144538
2025-02-10 00:00:00+05:30,14.94,14.94,13.56,13.56,143322
2025-02-11 00:00:00+05:30,13.7,13.7,12.89,12.9,138938
2025-02-12 00:00:00+05:30,13.0,13.0,12.26,12.3,117659
2025-02-13 00:00:00+05:30,12.0,12.35,11.69,11.7,166066
2025-02-14 00:00:00+05:30,11.15,11.59,11.12,11.12,112304
2025-02-17 00:00:00+05:30,10.57,11.0,10.57,10.57,55354
2025-02-18 00:00:00+05:30,10.05,10.57,10.05,10.05,155925
2025-02-19 00:00:00+05:30,9.55,10.55,9.55,10.55,199384
2025-02-20 00:00:00+05:30,11.07,11.07,11.07,11.07,47154
2025-02-21 00:00:00+05:30,11.62,11.62,10.61,11.62,111449
2025-02-24 00:00:00+05:30,12.2,12.2,11.61,12.2,232954
2025-02-25 00:00:00+05:30,12.8,12.81,12.8,12.81,33968
2025-02-27 00:00:00+05:30,13.06,13.06,13.06,13.06,33508
2025-02-28 00:00:00+05:30,13.32,13.32,13.32,13.32,208166
2025-03-03 00:00:00+05:30,13.06,13.06,13.06,13.06,40063
2025-03-04 00:00:00+05:30,12.8,12.8,12.8,12.8,16762
2025-03-05 00:00:00+05:30,12.55,13.05,12.55,13.05,126542
2025-03-06 00:00:00+05:30,12.79,13.05,12.79,12.79,71943
2025-03-07 00:00:00+05:30,12.54,12.54,12.54,12.54,58614
2025-03-10 00:00:00+05:30,12.29,12.29,12.29,12.29,21507
2025-03-11 00:00:00+05:30,12.05,12.05,12.05,12.05,12695
2025-03-12 00:00:00+05:30,11.81,11.81,11.81,11.81,29720
2025-03-13 00:00:00+05:30,11.58,11.67,11.58,11.58,96107
2025-03-17 00:00:00+05:30,11.35,11.4,11.35,11.35,85418
2025-03-18 00:00:00+05:30,11.35,11.35,11.28,11.35,62131
2025-03-19 00:00:00+05:30,11.57,11.57,11.57,11.57,62357
2025-03-20 00:00:00+05:30,11.8,11.8,11.8,11.8,59740
2025-03-21 00:00:00+05:30,12.03,12.03,12.03,12.03,36163
2025-03-24 00:00:00+05:30,12.27,12.27,12.27,12.27,101243
2025-03-25 00:00:00+05:30,12.25,12.25,12.03,12.03,44057
2025-03-26 00:00:00+05:30,11.84,11.85,11.79,11.79,87968
2025-03-27 00:00:00+05:30,11.9,11.9,11.56,11.56,98578
2025-03-28 00:00:00+05:30,11.33,11.56,11.33,11.35,39296
2025-04-01 00:00:00+05:30,11.64,11.91,11.35,11.91,71708
2025-04-02 00:00:00+05:30,12.49,12.5,12.49,12.5,31987
2025-04-03 00:00:00+05:30,13.12,13.12,13.12,13.12,19987
2025-04-04 00:00:00+05:30,13.77,13.77,13.05,13.29,164095
2025-04-07 00:00:00+05:30,12.63,12.63,12.63,12.63,23172
2025-04-08 00:00:00+05:30,12.05,13.19,12.05,12.6,150147
2025-04-09 00:00:00+05:30,12.6,12.93,12.12,12.38,27233
2025-04-11 00:00:00+05:30,12.99,12.99,12.0,12.34,69048
2025-04-15 00:00:00+05:30,12.32,12.94,12.22,12.49,105462
2025-04-16 00:00:00+05:30,12.79,12.79,12.26,12.48,34954
2025-04-17 00:00:00+05:30,12.79,12.8,12.3,12.55,28381
2025-04-21 00:00:00+05:30,12.51,12.69,12.24,12.32,97342
2025-04-22 00:00:00+05:30,12.33,12.93,11.75,12.92,155934
2025-04-23 00:00:00+05:30,12.97,13.55,12.34,13.11,101410
2025-04-24 00:00:00+05:30,13.24,13.4,12.46,12.49,194938
2025-04-25 00:00:00+05:30,12.5,12.5,11.88,12.04,66539
2025-04-28 00:00:00+05:30,12.4,12.4,11.45,11.49,140038
2025-04-29 00:00:00+05:30,11.49,11.95,10.92,11.24,174074
2025-04-30 00:00:00+05:30,10.68,11.22,10.68,10.93,52493
2025-05-02 00:00:00+05:30,10.52,11.24,10.52,11.08,30937
2025-05-05 00:00:00+05:30,11.35,11.35,10.72,11.17,22615
2025-05-06 00:00:00+05:30,11.17,11.46,10.8,10.85,57156
2025-05-07 00:00:00+05:30,10.32,10.84,10.32,10.69,42774
2025-05-08 00:00:00+05:30,10.84,10.84,10.4,10.6,27152
2025-05-09 00:00:00+05:30,10.4,10.76,10.17,10.3,18492
2025-05-12 00:00:00+05:30,10.5,10.81,10.5,10.64,28187
2025-05-13 00:00:00+05:30,10.8,11.17,10.25,11.17,51840
2025-05-14 00:00:00+05:30,11.15,11.72,10.7,11.72,80123
2025-05-15 00:00:00+05:30,12.25,12.3,11.85,12.23,215038
2025-05-16 00:00:00+05:30,11.96,12.84,11.96,12.84,89595
2025-05-19 00:00:00+05:30,12.59,12.59,12.59,12.59,68489
2025-05-20 00:00:00+05:30,12.34,12.34,12.34,12.34,40271
2025-05-21 00:00:00+05:30,12.1,12.1,12.1,12.1,14944
2025-05-22 00:00:00+05:30,11.86,11.99,11.86,11.99,16737
2025-05-23 00:00:00+05:30,11.76,11.84,11.76,11.82,21713
2025-05-26 00:00:00+05:30,11.61,11.61,11.59,11.59,39527
2025-05-27 00:00:00+05:30,11.37,11.38,11.37,11.38,15742
2025-05-28 00:00:00+05:30,11.4,11.41,11.21,11.21,25907
2025-05-29 00:00:00+05:30,11.2,11.2,11.06,11.06,22006
2025-05-30 00:00:00+05:30,11.07,11.15,11.0,11.0,23727
2025-06-02 00:00:00+05:30,10.98,10.98,10.81,10.84,20394
2025-06-03 00:00:00+05:30,10.84,10.84,10.84,10.84,10140
2025-06-04 00:00:00+05:30,10.63,10.71,10.63,10.71,63838
2025-06-05 00:00:00+05:30,10.92,10.92,10.92,10.92,14059
2025-06-06 00:00:00+05:30,11.13,11.13,11.13,11.13,25514
2025-06-09 00:00:00+05:30,11.35,11.35,11.35,11.35,32987
2025-06-10 00:00:00+05:30,11.57,11.57,11.57,11.57,43725
2025-06-11 00:00:00+05:30,11.8,11.8,11.8,11.8,27983
2025-06-12 00:00:00+05:30,12.03,12.03,12.03,12.03,22190
2025-06-13 00:00:00+05:30,12.27,12.27,12.27,12.27,35332
2025-06-16 00:00:00+05:30,12.51,12.51,12.51,12.51,59161
2025-06-17 00:00:00+05:30,12.76,12.76,12.76,12.76,35027
2025-06-18 00:00:00+05:30,13.01,13.01,13.01,13.01,60495
2025-06-19 00:00:00+05:30,12.75,12.75,12.75,12.75,85749
2025-06-20 00:00:00+05:30,12.5,12.5,12.5,12.5,69550
2025-06-23 00:00:00+05:30,11.88,12.68,11.88,11.88,123488
2025-06-24 00:00:00+05:30,12.12,12.35,11.29,12.06,153171
2025-06-25 00:00:00+05:30,12.2,12.2,11.57,11.74,39344
2025-06-26 00:00:00+05:30,11.74,11.99,11.3,11.55,48669
2025-06-27 00:00:00+05:30,11.9,11.95,11.5,11.59,51719
2025-06-30 00:00:00+05:30,11.99,12.14,11.35,11.69,72414
2025-07-01 00:00:00+05:30,11.74,11.82,11.41,11.62,41288
2025-07-02 00:00:00+05:30,11.32,11.84,11.2,11.4,81855
2025-07-03 00:00:00+05:30,11.69,11.69,11.34,11.36,31381
2025-07-04 00:00:00+05:30,11.18,11.39,11.17,11.26,29582
2025-07-07 00:00:00+05:30,11.1,11.82,11.1,11.82,58745
2025-07-08 00:00:00+05:30,12.41,12.41,12.41,12.41,100581
2025-07-09 00:00:00+05:30,13.03,13.03,13.03,13.03,297071
2025-07-10 00:00:00+05:30,13.68,13.68,13.68,13.68,103906
2025-07-11 00:00:00+05:30,14.36,14.36,13.95,14.36,658964
2025-07-14 00:00:00+05:30,14.64,14.64,14.64,14.64,255386
2025-07-15 00:00:00+05:30,14.93,14.93,14.93,14.93,94657
2025-07-16 00:00:00+05:30,15.22,15.22,15.17,15.17,817023
2025-07-17 00:00:00+05:30,15.47,15.47,15.47,15.47,88889
2025-07-18 00:00:00+05:30,15.77,15.77,15.17,15.17,1065532
2025-07-21 00:00:00+05:30,14.87,14.87,14.87,14.87,16973
2025-07-22 00:00:00+05:30,14.58,14.58,14.58,14.58,8794
2025-07-23 00:00:00+05:30,14.29,14.29,14.29,14.29,10101
2025-07-24 00:00:00+05:30,14.01,14.01,14.01,14.01,14213
2025-07-25 00:00:00+05:30,13.73,13.73,13.73,13.73,11457
2025-07-28 00:00:00+05:30,13.46,13.46,13.46,13.46,9349
2025-07-29 00:00:00+05:30,13.2,13.2,13.2,13.2,12225
2025-07-30 00:00:00+05:30,12.94,12.94,12.94,12.94,21609
2025-07-31 00:00:00+05:30,12.69,12.69,12.69,12.69,6001
2025-08-01 00:00:00+05:30,12.44,12.44,12.44,12.44,6559
2025-08-04 00:00:00+05:30,12.2,12.2,12.2,12.2,10382
2025-08-05 00:00:00+05:30,11.96,11.96,11.96,11.96,19201
2025-08-06 00:00:00+05:30,11.73,11.73,11.73,11.73,16328
2025-08-07 00:00:00+05:30,11.5,11.5,11.5,11.5,63205
2025-08-08 00:00:00+05:30,11.27,11.27,11.27,11.27,19768
