date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,26.1,26.1,23.7,25.2,76
2008-01-02 00:00:00+05:30,23.9,23.9,23.9,23.9,10
2008-01-03 00:00:00+05:30,22.7,24.3,22.7,24.3,334
2008-01-04 00:00:00+05:30,25.1,25.1,23.1,24.5,456
2008-01-07 00:00:00+05:30,23.3,24.9,23.3,23.55,490
2008-01-08 00:00:00+05:30,23.5,23.5,23.1,23.1,422
2008-01-09 00:00:00+05:30,23.9,24.0,22.0,24.0,404
2008-01-11 00:00:00+05:30,25.0,25.0,22.8,24.1,120
2008-01-14 00:00:00+05:30,23.0,25.2,22.9,24.7,310
2008-01-15 00:00:00+05:30,24.75,25.5,23.55,24.0,824
2008-01-16 00:00:00+05:30,25.2,25.2,23.1,24.4,1324
2008-01-17 00:00:00+05:30,24.95,25.0,23.2,25.0,42
2008-01-18 00:00:00+05:30,23.75,23.8,23.75,23.75,382
2008-01-23 00:00:00+05:30,24.0,24.0,24.0,24.0,600
2008-01-28 00:00:00+05:30,22.8,22.8,22.8,22.8,30
2008-01-29 00:00:00+05:30,21.65,21.65,21.65,21.65,20
2008-01-31 00:00:00+05:30,20.6,22.75,20.6,22.75,114
2008-02-01 00:00:00+05:30,21.6,21.6,21.6,21.6,30
2008-02-04 00:00:00+05:30,20.5,22.5,20.5,22.5,160
2008-02-06 00:00:00+05:30,23.0,23.0,22.5,22.5,202
2008-02-07 00:00:00+05:30,21.4,21.4,21.4,21.4,20
2008-02-11 00:00:00+05:30,20.3,20.3,20.3,20.3,2
2008-02-12 00:00:00+05:30,19.5,19.5,19.5,19.5,92
2008-02-13 00:00:00+05:30,18.65,18.65,18.6,18.6,200
2008-02-15 00:00:00+05:30,18.4,18.4,18.1,18.1,50
2008-02-20 00:00:00+05:30,17.2,17.2,17.2,17.2,14
2008-02-21 00:00:00+05:30,18.1,18.1,16.4,16.4,4
2008-02-25 00:00:00+05:30,15.8,15.8,15.8,15.8,4
2008-02-27 00:00:00+05:30,16.5,16.5,16.5,16.5,90
2008-03-05 00:00:00+05:30,15.8,17.3,15.8,17.3,210
2008-03-11 00:00:00+05:30,16.5,18.0,16.5,17.7,500
2008-03-12 00:00:00+05:30,18.0,18.0,18.0,18.0,4
2008-03-14 00:00:00+05:30,17.5,17.5,17.5,17.5,20
2008-03-17 00:00:00+05:30,17.6,17.6,16.6,16.6,112
2008-03-19 00:00:00+05:30,16.0,16.0,15.8,15.8,70
2008-03-24 00:00:00+05:30,15.0,15.0,15.0,15.0,8
2008-03-25 00:00:00+05:30,14.3,14.3,14.3,14.3,20
2008-03-27 00:00:00+05:30,13.6,14.8,13.6,13.9,1440
2008-03-28 00:00:00+05:30,13.4,14.4,13.4,14.4,20
2008-04-04 00:00:00+05:30,14.7,14.7,13.7,13.7,800
2008-04-11 00:00:00+05:30,14.0,14.0,14.0,14.0,10
2008-04-15 00:00:00+05:30,14.7,14.7,14.7,14.7,120
2008-04-16 00:00:00+05:30,15.4,15.4,15.4,15.4,10
2008-04-22 00:00:00+05:30,16.2,16.2,16.0,16.2,180
2008-04-24 00:00:00+05:30,17.0,17.0,17.0,17.0,32
2008-04-25 00:00:00+05:30,16.2,17.5,16.15,16.9,3246
2008-04-29 00:00:00+05:30,17.7,17.7,17.7,17.7,50
2008-04-30 00:00:00+05:30,18.0,18.6,18.0,18.0,18
2008-05-05 00:00:00+05:30,17.6,17.6,17.6,17.6,200
2008-05-07 00:00:00+05:30,17.1,17.1,17.1,17.1,200
