date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,3.6,3.6,3.4,3.6,239255
2008-01-02 00:00:00+05:30,3.8,3.8,3.45,3.8,668260
2008-01-03 00:00:00+05:30,3.8,4.0,3.65,3.75,640205
2008-01-04 00:00:00+05:30,3.7,3.75,3.55,3.55,435530
2008-01-07 00:00:00+05:30,3.45,3.75,3.4,3.4,354180
2008-01-08 00:00:00+05:30,3.25,3.55,3.25,3.25,190990
2008-01-09 00:00:00+05:30,3.1,3.1,3.1,3.1,83510
2008-01-10 00:00:00+05:30,2.95,3.1,2.95,2.95,218090
2008-01-11 00:00:00+05:30,2.9,2.9,2.8,2.8,24625
2008-01-14 00:00:00+05:30,2.65,2.9,2.65,2.7,100805
2008-01-15 00:00:00+05:30,2.65,2.7,2.55,2.55,87630
2008-01-16 00:00:00+05:30,2.45,2.65,2.45,2.55,87310
2008-01-17 00:00:00+05:30,2.45,2.7,2.45,2.7,55700
2008-01-18 00:00:00+05:30,2.55,2.8,2.55,2.55,128000
2008-01-21 00:00:00+05:30,2.45,2.45,2.45,2.45,25500
2008-01-22 00:00:00+05:30,2.35,2.35,2.35,2.35,15505
2008-01-23 00:00:00+05:30,2.2,2.2,2.2,2.2,34350
2008-01-24 00:00:00+05:30,2.3,2.35,2.1,2.1,58775
2008-01-25 00:00:00+05:30,2.0,2.2,2.0,2.05,70170
2008-01-28 00:00:00+05:30,1.95,2.15,1.95,2.15,64800
2008-01-29 00:00:00+05:30,2.05,2.25,2.05,2.2,110175
2008-01-30 00:00:00+05:30,2.35,2.35,2.2,2.35,200185
2008-01-31 00:00:00+05:30,2.45,2.45,2.2,2.35,113215
2008-02-01 00:00:00+05:30,2.4,2.4,2.25,2.25,96900
2008-02-04 00:00:00+05:30,2.2,2.35,2.2,2.3,55020
2008-02-05 00:00:00+05:30,2.2,2.35,2.2,2.35,57430
2008-02-06 00:00:00+05:30,2.2,2.4,2.2,2.4,27525
2008-02-07 00:00:00+05:30,2.4,2.5,2.25,2.25,67960
2008-02-08 00:00:00+05:30,2.15,2.2,2.15,2.15,22035
2008-02-11 00:00:00+05:30,2.1,2.1,2.05,2.05,28350
2008-02-12 00:00:00+05:30,2.05,2.05,1.95,2.0,18295
2008-02-13 00:00:00+05:30,1.9,1.9,1.9,1.9,40750
2008-02-14 00:00:00+05:30,1.9,1.95,1.8,1.95,75750
2008-02-15 00:00:00+05:30,1.85,2.0,1.85,2.0,31255
2008-02-18 00:00:00+05:30,2.05,2.1,1.9,1.9,36915
2008-02-19 00:00:00+05:30,1.8,2.0,1.8,1.95,33580
2008-02-20 00:00:00+05:30,1.9,1.95,1.85,1.85,28450
2008-02-21 00:00:00+05:30,1.95,1.95,1.8,1.95,26495
2008-02-22 00:00:00+05:30,1.85,2.0,1.85,1.85,35125
2008-02-25 00:00:00+05:30,1.75,1.9,1.75,1.8,18270
2008-02-26 00:00:00+05:30,1.8,1.85,1.75,1.8,14925
2008-02-27 00:00:00+05:30,1.75,1.9,1.75,1.8,12000
2008-02-28 00:00:00+05:30,1.75,1.85,1.75,1.85,23180
2008-02-29 00:00:00+05:30,1.85,1.95,1.8,1.8,17500
2008-03-03 00:00:00+05:30,1.9,1.9,1.75,1.8,24005
2008-03-04 00:00:00+05:30,1.8,1.8,1.7,1.75,11810
2008-03-05 00:00:00+05:30,1.7,1.8,1.7,1.75,36660
2008-03-07 00:00:00+05:30,1.8,1.8,1.65,1.65,23440
2008-03-10 00:00:00+05:30,1.5,1.6,1.5,1.6,52065
2008-03-11 00:00:00+05:30,1.45,1.65,1.45,1.55,123250
2008-03-12 00:00:00+05:30,1.7,1.7,1.4,1.45,23225
2008-03-13 00:00:00+05:30,1.55,1.55,1.4,1.4,2005
2008-03-14 00:00:00+05:30,1.3,1.55,1.3,1.5,34195
2008-03-17 00:00:00+05:30,1.45,1.55,1.35,1.35,48500
2008-03-18 00:00:00+05:30,1.25,1.4,1.2,1.35,106175
2008-03-19 00:00:00+05:30,1.35,1.4,1.25,1.25,76070
2008-03-24 00:00:00+05:30,1.3,1.3,1.2,1.2,92505
2008-03-25 00:00:00+05:30,1.2,1.35,1.2,1.35,418720
2008-03-26 00:00:00+05:30,1.45,1.45,1.25,1.45,425840
2008-03-27 00:00:00+05:30,1.35,1.6,1.35,1.45,50430
2008-03-28 00:00:00+05:30,1.35,1.6,1.35,1.6,39015
2008-03-31 00:00:00+05:30,1.7,1.7,1.65,1.7,50540
2008-04-01 00:00:00+05:30,1.7,1.75,1.7,1.7,46725
2008-04-02 00:00:00+05:30,1.7,1.8,1.7,1.7,30675
2008-04-03 00:00:00+05:30,1.8,1.8,1.8,1.8,11275
2008-04-04 00:00:00+05:30,1.9,1.9,1.7,1.85,16660
2008-04-07 00:00:00+05:30,1.9,1.9,1.75,1.8,22570
2008-04-08 00:00:00+05:30,1.85,1.85,1.7,1.7,9440
2008-04-09 00:00:00+05:30,1.8,1.8,1.65,1.7,11665
2008-04-10 00:00:00+05:30,1.6,1.75,1.6,1.65,8110
2008-04-11 00:00:00+05:30,1.7,1.75,1.65,1.7,25565
2008-04-15 00:00:00+05:30,1.8,1.8,1.8,1.8,1750
2008-04-16 00:00:00+05:30,1.85,1.85,1.7,1.75,11460
2008-04-17 00:00:00+05:30,1.8,1.8,1.65,1.75,18920
2008-04-21 00:00:00+05:30,1.75,1.85,1.7,1.8,31505
2008-04-22 00:00:00+05:30,1.85,1.85,1.75,1.75,12500
2008-04-23 00:00:00+05:30,1.75,1.8,1.7,1.7,19000
2008-04-24 00:00:00+05:30,1.75,1.8,1.7,1.75,21305
2008-04-25 00:00:00+05:30,1.8,1.8,1.65,1.7,60305
2008-04-28 00:00:00+05:30,1.75,1.75,1.6,1.65,102705
2008-04-29 00:00:00+05:30,1.75,1.75,1.6,1.6,37460
2008-04-30 00:00:00+05:30,1.55,1.7,1.55,1.65,21690
2008-05-02 00:00:00+05:30,1.6,1.7,1.6,1.65,35465
2008-05-05 00:00:00+05:30,1.65,1.65,1.6,1.65,34160
2008-05-06 00:00:00+05:30,1.65,1.7,1.65,1.7,13150
2008-05-07 00:00:00+05:30,1.7,1.7,1.65,1.65,15830
2008-05-08 00:00:00+05:30,1.65,1.8,1.65,1.75,8610
2008-05-09 00:00:00+05:30,1.6,1.9,1.6,1.75,116835
2008-05-12 00:00:00+05:30,1.7,1.7,1.65,1.7,1800
2008-05-13 00:00:00+05:30,1.75,1.75,1.65,1.65,34505
2008-05-14 00:00:00+05:30,1.65,1.75,1.6,1.65,3050
