date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,34.2,34.2,34.2,34.2,6528
2008-01-02 00:00:00+05:30,35.9,35.9,32.54,35.9,43248
2008-01-03 00:00:00+05:30,37.6,37.6,34.15,34.25,21809
2008-01-04 00:00:00+05:30,35.45,35.45,32.54,32.75,16585
2008-01-07 00:00:00+05:30,31.9,33.95,31.15,31.85,13578
2008-01-08 00:00:00+05:30,33.0,33.0,30.3,30.3,8650
2008-01-09 00:00:00+05:30,28.8,30.0,28.8,28.8,3630
2008-01-10 00:00:00+05:30,27.4,28.6,27.4,27.45,12331
2008-01-11 00:00:00+05:30,26.1,27.0,26.1,26.25,6677
2008-01-14 00:00:00+05:30,26.0,27.55,25.25,27.55,4693
2008-01-15 00:00:00+05:30,28.0,28.0,26.2,26.25,3405
2008-01-16 00:00:00+05:30,25.0,27.05,25.0,27.0,2144
2008-01-17 00:00:00+05:30,26.5,27.85,25.7,25.7,10535
2008-01-18 00:00:00+05:30,25.0,26.5,24.8,25.05,2800
2008-01-21 00:00:00+05:30,23.8,25.9,23.8,23.8,1775
2008-01-23 00:00:00+05:30,22.7,24.3,22.65,22.8,2200
2008-01-24 00:00:00+05:30,21.7,21.7,21.7,21.7,300
2008-01-25 00:00:00+05:30,21.45,22.7,20.65,20.95,4988
2008-01-28 00:00:00+05:30,20.1,21.6,20.0,21.6,1900
2008-01-29 00:00:00+05:30,22.5,22.6,20.65,21.35,2649
2008-01-30 00:00:00+05:30,22.3,22.3,20.6,21.0,310
2008-01-31 00:00:00+05:30,20.5,22.05,20.0,21.05,4177
2008-02-01 00:00:00+05:30,20.1,21.0,20.0,20.9,5384
2008-02-04 00:00:00+05:30,21.5,21.5,20.0,20.0,6598
2008-02-05 00:00:00+05:30,20.1,21.0,20.0,20.1,2500
2008-02-06 00:00:00+05:30,21.0,21.1,19.55,21.0,5650
2008-02-07 00:00:00+05:30,20.95,22.05,20.75,22.05,2820
2008-02-08 00:00:00+05:30,22.0,23.0,21.0,22.6,3531
2008-02-11 00:00:00+05:30,21.5,21.5,21.5,21.5,806
2008-02-12 00:00:00+05:30,20.45,22.5,20.45,21.65,1421
2008-02-13 00:00:00+05:30,21.7,21.7,20.6,20.6,1650
2008-02-14 00:00:00+05:30,19.6,21.0,19.6,20.9,5209
2008-02-15 00:00:00+05:30,20.1,21.5,19.89,21.4,1980
2008-02-18 00:00:00+05:30,21.9,22.0,21.0,22.0,3422
2008-02-19 00:00:00+05:30,21.15,22.0,21.0,21.0,851
2008-02-20 00:00:00+05:30,20.0,22.05,20.0,21.0,1970
2008-02-22 00:00:00+05:30,20.05,20.05,20.05,20.05,125
2008-02-25 00:00:00+05:30,19.1,20.8,19.05,20.5,2690
2008-02-26 00:00:00+05:30,20.2,20.2,20.05,20.1,400
2008-02-27 00:00:00+05:30,21.0,21.0,20.85,20.85,103
2008-02-28 00:00:00+05:30,20.14,20.2,19.85,19.85,1850
2008-02-29 00:00:00+05:30,19.3,20.8,19.3,20.5,1461
2008-03-03 00:00:00+05:30,19.6,19.6,19.55,19.55,200
2008-03-04 00:00:00+05:30,18.6,18.6,18.6,18.6,1425
2008-03-05 00:00:00+05:30,18.0,19.3,17.7,19.14,4408
2008-03-07 00:00:00+05:30,18.75,20.05,18.2,18.3,15549
2008-03-10 00:00:00+05:30,16.8,17.95,16.8,17.95,202
2008-03-11 00:00:00+05:30,16.55,19.7,16.55,18.05,2159
2008-03-12 00:00:00+05:30,17.3,19.3,17.3,19.14,2301
2008-03-13 00:00:00+05:30,18.1,20.0,18.05,19.55,9540
2008-03-14 00:00:00+05:30,18.0,21.0,18.0,18.7,24100
2008-03-17 00:00:00+05:30,18.25,19.3,18.25,18.8,520
2008-03-18 00:00:00+05:30,18.0,20.65,18.0,20.14,10890
2008-03-19 00:00:00+05:30,21.0,21.0,18.14,18.14,12450
2008-03-24 00:00:00+05:30,16.75,19.95,16.75,19.89,29971
2008-03-25 00:00:00+05:30,19.14,21.85,18.95,21.75,30490
2008-03-26 00:00:00+05:30,20.35,23.0,20.35,22.5,7953
2008-03-27 00:00:00+05:30,24.15,24.15,22.0,22.7,9981
2008-03-28 00:00:00+05:30,23.0,24.0,22.0,22.3,1978
2008-03-31 00:00:00+05:30,21.0,23.5,21.0,22.35,1583
2008-04-01 00:00:00+05:30,23.0,23.0,21.5,22.5,3102
2008-04-02 00:00:00+05:30,22.5,23.6,22.5,23.1,3880
2008-04-03 00:00:00+05:30,22.1,23.5,22.0,22.95,8404
2008-04-04 00:00:00+05:30,23.0,25.0,22.2,22.95,12500
2008-04-07 00:00:00+05:30,23.9,24.0,22.1,23.0,665
2008-04-08 00:00:00+05:30,24.0,24.0,22.5,23.35,1327
2008-04-09 00:00:00+05:30,23.0,24.5,23.0,24.2,4320
2008-04-10 00:00:00+05:30,24.5,25.95,24.05,24.65,11710
2008-04-11 00:00:00+05:30,24.25,25.45,23.65,25.3,2435
2008-04-15 00:00:00+05:30,24.5,26.4,24.5,25.5,3515
2008-04-16 00:00:00+05:30,25.05,26.1,25.05,26.0,2879
2008-04-17 00:00:00+05:30,26.95,27.0,25.55,26.35,3327
2008-04-21 00:00:00+05:30,26.5,26.5,25.6,25.6,1075
2008-04-22 00:00:00+05:30,26.0,26.0,25.1,25.25,1349
2008-04-23 00:00:00+05:30,25.35,26.45,25.3,25.3,1878
2008-04-24 00:00:00+05:30,25.45,25.45,24.8,25.2,555
2008-04-25 00:00:00+05:30,25.0,25.95,24.5,25.3,3193
2008-04-28 00:00:00+05:30,24.3,26.45,24.3,25.35,2500
2008-04-29 00:00:00+05:30,26.9,26.9,24.05,24.8,1978
2008-04-30 00:00:00+05:30,27.15,27.15,24.75,25.45,5866
2008-05-02 00:00:00+05:30,24.05,26.0,24.05,25.35,5706
2008-05-05 00:00:00+05:30,26.0,26.7,24.5,24.55,2516
2008-05-06 00:00:00+05:30,25.45,25.45,24.75,25.4,1726
2008-05-07 00:00:00+05:30,24.4,25.5,24.35,25.5,132
2008-05-08 00:00:00+05:30,24.0,25.95,23.6,24.45,2163
2008-05-09 00:00:00+05:30,24.25,25.0,23.6,24.4,2450
2008-05-12 00:00:00+05:30,24.45,25.6,24.4,25.6,600
2008-05-13 00:00:00+05:30,25.95,26.5,25.1,25.7,3400
2008-05-14 00:00:00+05:30,24.5,25.5,23.0,25.1,7161
2008-05-15 00:00:00+05:30,29.45,29.45,25.5,27.1,11938
2008-05-16 00:00:00+05:30,26.3,29.0,26.3,28.0,5270
2008-05-20 00:00:00+05:30,33.6,33.6,28.1,29.4,10655
2008-05-21 00:00:00+05:30,29.5,31.8,28.0,31.0,23278
2008-05-22 00:00:00+05:30,33.0,33.0,29.35,30.9,6428
2008-05-23 00:00:00+05:30,30.0,31.5,29.05,30.95,19229
2008-05-26 00:00:00+05:30,31.5,31.75,29.1,30.1,14256
2008-05-27 00:00:00+05:30,32.7,32.95,29.25,29.75,7934
2008-05-28 00:00:00+05:30,29.5,32.0,29.15,31.8,19350
2008-05-29 00:00:00+05:30,32.0,32.0,29.8,30.05,3924
2008-05-30 00:00:00+05:30,29.05,29.85,28.55,28.55,3852
2008-06-02 00:00:00+05:30,27.5,29.0,27.15,27.35,1850
