date,open,high,low,close,volume
2019-07-15 00:00:00+05:30,19.2,20.0,19.2,20.0,60000
2019-07-17 00:00:00+05:30,19.3,19.3,19.0,19.0,24000
2019-07-18 00:00:00+05:30,19.0,19.0,18.95,18.95,12000
2019-07-19 00:00:00+05:30,18.4,18.4,18.4,18.4,6000
2019-07-22 00:00:00+05:30,17.55,18.25,17.5,18.25,36000
2019-07-23 00:00:00+05:30,17.4,17.4,17.35,17.35,42000
2019-07-24 00:00:00+05:30,16.55,18.0,16.5,18.0,42000
2019-07-31 00:00:00+05:30,17.1,17.6,17.1,17.6,12000
2019-08-02 00:00:00+05:30,16.75,16.75,16.75,16.75,6000
2019-08-06 00:00:00+05:30,17.55,17.55,17.55,17.55,6000
2019-08-08 00:00:00+05:30,16.8,16.8,16.8,16.8,6000
2019-08-09 00:00:00+05:30,16.8,16.8,16.8,16.8,6000
2019-08-14 00:00:00+05:30,17.65,17.65,17.65,17.65,6000
2019-08-16 00:00:00+05:30,18.55,18.55,18.55,18.55,6000
2019-08-26 00:00:00+05:30,18.55,19.0,18.55,19.0,12000
2019-08-28 00:00:00+05:30,19.0,19.0,18.1,19.0,24000
2019-09-09 00:00:00+05:30,19.0,19.0,19.0,19.0,6000
2019-09-11 00:00:00+05:30,19.0,19.0,18.05,18.85,30000
2019-09-12 00:00:00+05:30,18.05,18.05,18.05,18.05,6000
2019-09-13 00:00:00+05:30,18.05,18.05,18.05,18.05,6000
2019-09-17 00:00:00+05:30,18.05,18.05,18.05,18.05,12000
2019-09-27 00:00:00+05:30,17.2,17.2,17.2,17.2,6000
2019-09-30 00:00:00+05:30,17.2,17.2,17.2,17.2,18000
2019-10-11 00:00:00+05:30,17.2,18.05,17.2,18.05,12000
2019-10-14 00:00:00+05:30,17.2,17.2,17.2,17.2,6000
2019-11-08 00:00:00+05:30,17.2,17.2,17.2,17.2,6000
2019-11-14 00:00:00+05:30,18.45,19.0,18.45,19.0,12000
2019-11-28 00:00:00+05:30,19.5,20.8,19.5,20.8,12000
2019-12-02 00:00:00+05:30,20.0,20.0,20.0,20.0,12000
2020-01-28 00:00:00+05:30,18.05,19.0,18.05,19.0,12000
2020-01-29 00:00:00+05:30,18.05,18.05,18.05,18.05,6000
2020-01-30 00:00:00+05:30,18.0,18.0,18.0,18.0,6000
2020-01-31 00:00:00+05:30,18.05,18.05,18.0,18.0,12000
2020-02-05 00:00:00+05:30,19.8,19.8,19.8,19.8,12000
2020-02-07 00:00:00+05:30,17.55,17.55,17.55,17.55,6000
2020-02-14 00:00:00+05:30,16.1,16.1,16.1,16.1,6000
2020-02-27 00:00:00+05:30,18.0,19.0,18.0,19.0,12000
2020-03-02 00:00:00+05:30,18.8,18.8,18.8,18.8,12000
2020-03-11 00:00:00+05:30,19.8,19.8,19.8,19.8,18000
2020-03-13 00:00:00+05:30,16.1,16.1,15.9,15.9,12000
2020-03-16 00:00:00+05:30,15.9,15.9,15.9,15.9,6000
2020-03-17 00:00:00+05:30,14.5,14.5,14.1,14.1,12000
2020-03-18 00:00:00+05:30,12.0,12.0,11.55,11.55,12000
2020-03-19 00:00:00+05:30,10.4,12.4,10.4,12.4,42000
2020-03-20 00:00:00+05:30,11.2,11.8,11.2,11.8,12000
2020-03-25 00:00:00+05:30,10.65,10.65,10.65,10.65,6000
2020-03-26 00:00:00+05:30,11.55,11.55,11.55,11.55,6000
2020-03-27 00:00:00+05:30,10.4,10.4,10.4,10.4,6000
2020-03-30 00:00:00+05:30,10.4,10.4,10.4,10.4,6000
2020-03-31 00:00:00+05:30,10.8,10.8,10.8,10.8,6000
2020-04-08 00:00:00+05:30,10.1,10.1,10.1,10.1,6000
2020-06-22 00:00:00+05:30,10.5,10.5,8.1,8.1,12000
2020-07-20 00:00:00+05:30,7.0,9.0,7.0,9.0,12000
2020-07-21 00:00:00+05:30,7.2,7.2,7.2,7.2,6000
2020-07-23 00:00:00+05:30,6.2,6.2,6.2,6.2,6000
2020-07-24 00:00:00+05:30,7.4,7.4,6.2,6.2,12000
2020-08-26 00:00:00+05:30,7.0,7.0,7.0,7.0,6000
2020-10-12 00:00:00+05:30,8.4,8.4,8.4,8.4,6000
2020-10-19 00:00:00+05:30,8.4,8.4,8.4,8.4,6000
2020-12-29 00:00:00+05:30,9.4,9.4,9.4,9.4,6000
2021-01-08 00:00:00+05:30,11.05,11.05,11.05,11.05,6000
2021-01-15 00:00:00+05:30,12.8,12.8,12.8,12.8,6000
2021-01-27 00:00:00+05:30,14.5,14.5,14.5,14.5,6000
2021-03-30 00:00:00+05:30,17.4,17.4,17.4,17.4,6000
2021-03-31 00:00:00+05:30,20.7,20.7,20.5,20.5,36000
2021-04-01 00:00:00+05:30,19.0,19.0,19.0,19.0,6000
2021-06-18 00:00:00+05:30,15.2,15.2,15.2,15.2,6000
2021-07-23 00:00:00+05:30,13.0,13.0,13.0,13.0,6000
2021-07-26 00:00:00+05:30,13.0,13.0,13.0,13.0,6000
2021-07-27 00:00:00+05:30,10.4,10.4,10.4,10.4,6000
2021-07-29 00:00:00+05:30,10.4,10.4,10.4,10.4,6000
2021-11-02 00:00:00+05:30,11.2,11.2,11.2,11.2,6000
2021-11-04 00:00:00+05:30,10.08,10.08,10.08,10.08,6000
2021-12-09 00:00:00+05:30,12.0,12.0,8.07,8.07,12000
2021-12-28 00:00:00+05:30,9.68,9.68,9.68,9.68,6000
2022-01-04 00:00:00+05:30,11.61,11.61,11.61,11.61,6000
2022-01-19 00:00:00+05:30,12.0,12.0,12.0,12.0,6000
2022-02-14 00:00:00+05:30,10.0,10.0,10.0,10.0,6000
2022-03-30 00:00:00+05:30,12.0,12.0,12.0,12.0,18000
2023-02-20 00:00:00+05:30,10.0,10.0,10.0,10.0,6000
2023-05-29 00:00:00+05:30,12.0,12.0,12.0,12.0,6000
2023-06-06 00:00:00+05:30,14.0,14.0,14.0,14.0,6000
2023-06-07 00:00:00+05:30,16.8,16.8,16.8,16.8,6000
2023-06-14 00:00:00+05:30,18.0,18.0,18.0,18.0,6000
2023-06-15 00:00:00+05:30,17.95,18.05,17.95,18.05,18000
2023-06-19 00:00:00+05:30,18.0,18.0,18.0,18.0,18000
2023-07-25 00:00:00+05:30,18.0,18.0,18.0,18.0,6000
2023-07-27 00:00:00+05:30,18.0,18.0,18.0,18.0,6000
2023-07-31 00:00:00+05:30,18.0,18.0,18.0,18.0,6000
2023-08-03 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2023-08-04 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2023-08-10 00:00:00+05:30,17.9,17.9,17.9,17.9,6000
2024-02-09 00:00:00+05:30,18.0,18.0,18.0,18.0,12000
2024-05-07 00:00:00+05:30,17.1,17.1,17.1,17.1,6000
2024-06-06 00:00:00+05:30,17.1,17.1,17.1,17.1,6000
2024-07-09 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2024-07-11 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2024-07-23 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2024-07-24 00:00:00+05:30,17.95,17.95,17.95,17.95,6000
2024-08-08 00:00:00+05:30,18.84,18.84,18.84,18.84,6000
2024-08-12 00:00:00+05:30,19.0,19.0,19.0,19.0,6000
2024-08-22 00:00:00+05:30,19.0,19.0,19.0,19.0,6000
2024-09-20 00:00:00+05:30,19.95,19.95,18.05,18.05,12000
2024-09-24 00:00:00+05:30,18.95,18.95,17.15,17.15,12000
2024-09-27 00:00:00+05:30,17.14,17.14,17.14,17.14,6000
2025-06-13 00:00:00+05:30,17.99,17.99,17.99,17.99,6000
2025-06-17 00:00:00+05:30,17.99,17.99,17.99,17.99,6000
2025-06-23 00:00:00+05:30,18.88,18.88,18.32,18.32,12000
2025-06-24 00:00:00+05:30,19.23,19.23,19.23,19.23,6000
2025-07-04 00:00:00+05:30,20.19,20.19,20.19,20.19,6000
2025-07-08 00:00:00+05:30,21.18,21.18,21.18,21.18,6000
2025-07-09 00:00:00+05:30,22.23,22.23,21.57,21.57,12000
2025-07-10 00:00:00+05:30,22.64,22.64,22.64,22.64,6000
2025-07-16 00:00:00+05:30,23.77,23.77,23.77,23.77,6000
2025-07-22 00:00:00+05:30,22.59,22.59,22.59,22.59,12000
2025-07-25 00:00:00+05:30,21.47,21.47,21.47,21.47,6000
