date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,102.0,102.0,97.2,100.45,55110
2008-01-02 00:00:00+05:30,103.0,103.0,96.8,100.4,50155
2008-01-03 00:00:00+05:30,98.2,100.2,98.2,98.55,8885
2008-01-04 00:00:00+05:30,103.0,109.5,98.0,99.2,16655
2008-01-07 00:00:00+05:30,102.0,102.0,97.0,100.0,78675
2008-01-08 00:00:00+05:30,98.6,100.0,97.2,98.75,20595
2008-01-09 00:00:00+05:30,96.0,109.0,96.0,100.85,82800
2008-01-10 00:00:00+05:30,101.45,104.4,101.4,103.2,106655
2008-01-11 00:00:00+05:30,103.25,104.0,99.0,102.25,25305
2008-01-14 00:00:00+05:30,106.0,106.0,100.0,102.85,15530
2008-01-15 00:00:00+05:30,98.2,104.75,98.0,103.0,22160
2008-01-16 00:00:00+05:30,100.2,103.85,100.2,103.2,18500
2008-01-17 00:00:00+05:30,106.0,106.0,101.8,103.8,42585
2008-01-18 00:00:00+05:30,103.8,105.0,103.2,104.35,28705
2008-01-21 00:00:00+05:30,100.0,103.4,88.0,95.05,179690
2008-01-22 00:00:00+05:30,76.2,94.0,76.2,85.35,29475
2008-01-23 00:00:00+05:30,90.0,90.0,84.8,88.1,15240
2008-01-24 00:00:00+05:30,91.0,91.0,82.0,84.45,10100
2008-01-25 00:00:00+05:30,84.4,87.8,84.4,86.6,21825
2008-01-28 00:00:00+05:30,86.0,89.75,84.0,88.8,4140
2008-01-29 00:00:00+05:30,90.4,91.6,88.0,89.95,7585
2008-01-30 00:00:00+05:30,89.05,92.0,88.4,91.35,9380
2008-01-31 00:00:00+05:30,93.0,93.0,88.0,89.2,5005
2008-02-01 00:00:00+05:30,89.2,92.0,89.2,89.4,17910
2008-02-04 00:00:00+05:30,89.2,93.0,89.2,91.05,2520
2008-02-05 00:00:00+05:30,91.0,95.9,91.0,93.8,3565
2008-02-06 00:00:00+05:30,90.0,95.9,90.0,94.05,4510
2008-02-07 00:00:00+05:30,93.0,94.6,92.2,93.6,5885
2008-02-08 00:00:00+05:30,91.0,94.0,91.0,93.7,6515
2008-02-11 00:00:00+05:30,90.4,93.0,90.0,92.0,14680
2008-02-12 00:00:00+05:30,90.0,96.8,88.0,91.25,8725
2008-02-13 00:00:00+05:30,90.0,92.0,88.0,90.45,17700
2008-02-14 00:00:00+05:30,92.0,92.0,90.0,90.6,3090
2008-02-15 00:00:00+05:30,87.0,92.0,87.0,92.0,1725
2008-02-18 00:00:00+05:30,90.2,94.2,90.2,93.95,9615
2008-02-19 00:00:00+05:30,92.65,94.6,92.65,94.0,1475
2008-02-20 00:00:00+05:30,93.0,94.6,93.0,94.05,2735
2008-02-21 00:00:00+05:30,93.8,95.6,93.4,94.65,5245
2008-02-22 00:00:00+05:30,92.0,95.6,92.0,94.95,22920
2008-02-25 00:00:00+05:30,95.85,95.85,93.4,95.7,2055
2008-02-26 00:00:00+05:30,95.0,101.0,95.0,98.35,5665
2008-02-27 00:00:00+05:30,97.95,97.95,95.2,95.7,3610
2008-02-28 00:00:00+05:30,95.0,97.15,94.4,95.15,1690
2008-02-29 00:00:00+05:30,96.9,97.8,94.2,96.8,3430
2008-03-03 00:00:00+05:30,93.05,95.8,93.0,93.95,7670
2008-03-04 00:00:00+05:30,90.0,109.8,88.2,89.8,13245
2008-03-05 00:00:00+05:30,87.0,90.85,84.0,84.8,60705
2008-03-07 00:00:00+05:30,84.0,84.0,78.0,81.7,17090
2008-03-10 00:00:00+05:30,73.0,88.2,72.4,79.8,33200
2008-03-11 00:00:00+05:30,80.0,83.6,80.0,82.55,4730
2008-03-12 00:00:00+05:30,86.0,86.0,82.05,83.0,4395
2008-03-13 00:00:00+05:30,80.0,83.2,80.0,80.6,19585
2008-03-14 00:00:00+05:30,80.0,82.0,79.0,79.6,26645
2008-03-17 00:00:00+05:30,71.0,79.2,70.2,77.65,7245
2008-03-18 00:00:00+05:30,76.8,76.8,63.0,65.75,8995
2008-03-19 00:00:00+05:30,66.8,70.8,59.1,68.8,13025
2008-03-24 00:00:00+05:30,71.4,72.8,66.0,67.8,6945
2008-03-25 00:00:00+05:30,69.0,74.0,68.0,73.8,4295
2008-03-26 00:00:00+05:30,79.0,79.0,75.0,78.8,1195
2008-03-27 00:00:00+05:30,76.0,79.8,76.0,77.75,6475
2008-03-28 00:00:00+05:30,80.0,84.0,80.0,81.7,58815
2008-03-31 00:00:00+05:30,84.4,85.6,81.0,85.5,12715
2008-04-01 00:00:00+05:30,87.5,87.5,85.0,87.35,1225
2008-04-02 00:00:00+05:30,86.0,90.2,86.0,88.05,2310
2008-04-03 00:00:00+05:30,89.6,89.8,87.8,89.15,2110
2008-04-04 00:00:00+05:30,88.0,91.2,87.4,88.6,5500
