date,open,high,low,close,volume
2014-11-18 00:00:00+05:30,12.5,12.5,12.5,12.5,100
2014-12-08 00:00:00+05:30,13.12,13.12,13.12,13.12,200
2014-12-10 00:00:00+05:30,13.77,13.77,13.77,13.77,200
2014-12-11 00:00:00+05:30,14.4,14.4,14.4,14.4,200
2014-12-12 00:00:00+05:30,15.12,15.12,15.12,15.12,200
2014-12-16 00:00:00+05:30,15.87,15.87,15.87,15.87,200
2014-12-22 00:00:00+05:30,15.1,15.1,15.1,15.1,200
2015-01-05 00:00:00+05:30,14.35,15.85,14.35,15.85,200
2015-01-08 00:00:00+05:30,16.6,16.6,16.6,16.6,100
2015-02-03 00:00:00+05:30,16.6,16.6,16.6,16.6,100
2015-03-05 00:00:00+05:30,17.39,17.39,17.39,17.39,200
2015-03-17 00:00:00+05:30,18.25,18.25,18.25,18.25,300
2015-04-07 00:00:00+05:30,19.14,19.14,19.14,19.14,100
2015-04-22 00:00:00+05:30,20.1,20.1,20.1,20.1,100
2015-04-23 00:00:00+05:30,21.1,21.1,21.1,21.1,200
2015-04-27 00:00:00+05:30,22.15,22.15,22.15,22.15,100
2015-04-30 00:00:00+05:30,23.25,23.25,23.25,23.25,300
2015-06-09 00:00:00+05:30,22.1,22.1,22.1,22.1,300
2015-06-12 00:00:00+05:30,21.0,21.0,21.0,21.0,1500
2015-06-15 00:00:00+05:30,19.95,19.95,19.95,19.95,200
2015-06-19 00:00:00+05:30,19.89,19.89,19.89,19.89,300
2015-06-24 00:00:00+05:30,20.0,20.0,20.0,20.0,500
2015-07-02 00:00:00+05:30,20.95,20.95,19.0,19.95,600
2015-07-03 00:00:00+05:30,20.9,20.9,20.9,20.9,200
2015-07-06 00:00:00+05:30,21.9,21.9,20.05,20.05,200
2015-07-07 00:00:00+05:30,20.95,20.95,20.95,20.95,100
2015-07-08 00:00:00+05:30,21.95,21.95,21.95,21.95,5300
2015-07-09 00:00:00+05:30,23.0,23.0,20.9,22.0,400
2015-07-10 00:00:00+05:30,23.0,23.1,23.0,23.1,5800
2015-07-13 00:00:00+05:30,24.25,24.25,24.25,24.25,14500
2015-07-14 00:00:00+05:30,25.45,25.45,25.4,25.45,44700
2015-07-15 00:00:00+05:30,26.7,26.7,26.7,26.7,29000
2015-07-16 00:00:00+05:30,28.0,28.0,28.0,28.0,100
2015-07-17 00:00:00+05:30,29.4,29.4,29.4,29.4,200
2015-07-20 00:00:00+05:30,30.85,30.85,28.0,30.85,14100
2015-07-21 00:00:00+05:30,32.35,32.35,32.35,32.35,1900
2015-07-22 00:00:00+05:30,33.95,33.95,33.95,33.95,300
2015-07-23 00:00:00+05:30,35.6,35.6,35.6,35.6,1400
2015-07-24 00:00:00+05:30,37.35,37.35,37.35,37.35,400
2015-07-27 00:00:00+05:30,39.2,39.2,39.2,39.2,5400
2015-07-28 00:00:00+05:30,39.95,39.95,38.45,38.65,7400
2015-07-29 00:00:00+05:30,39.4,39.4,39.4,39.4,4500
2015-07-30 00:00:00+05:30,40.15,40.15,40.1,40.15,7300
2015-07-31 00:00:00+05:30,40.95,40.95,40.9,40.95,2800
2015-08-04 00:00:00+05:30,40.15,40.15,40.15,40.15,1000
2015-08-05 00:00:00+05:30,39.35,39.35,39.35,39.35,500
2015-08-07 00:00:00+05:30,38.6,39.35,38.6,38.65,3300
2015-08-10 00:00:00+05:30,37.9,37.9,37.9,37.9,900
2015-08-13 00:00:00+05:30,37.5,37.5,37.5,37.5,2500
2015-08-14 00:00:00+05:30,36.75,36.75,36.75,36.75,100
2015-08-28 00:00:00+05:30,36.04,36.04,36.04,36.04,100
2015-09-02 00:00:00+05:30,35.35,35.35,35.35,35.35,100
2015-09-15 00:00:00+05:30,33.6,33.6,33.6,33.6,200
2015-09-18 00:00:00+05:30,31.95,31.95,31.95,31.95,100
2015-09-22 00:00:00+05:30,30.4,30.4,30.4,30.4,100
2015-09-24 00:00:00+05:30,28.9,28.9,28.9,28.9,100
2015-09-29 00:00:00+05:30,27.5,27.5,27.5,27.5,200
2015-10-01 00:00:00+05:30,26.2,26.2,26.2,26.2,200
2015-10-05 00:00:00+05:30,25.0,25.1,24.9,24.9,10800
2015-10-06 00:00:00+05:30,25.95,25.95,25.95,25.95,700
2015-10-08 00:00:00+05:30,24.75,24.75,24.75,24.75,200
2015-10-14 00:00:00+05:30,25.9,25.9,25.9,25.9,300
2015-10-19 00:00:00+05:30,26.7,26.75,24.65,24.65,1200
2015-10-28 00:00:00+05:30,25.85,25.85,25.85,25.85,100
2015-10-29 00:00:00+05:30,27.1,27.1,27.1,27.1,800
2015-10-30 00:00:00+05:30,28.45,28.45,28.45,28.45,100
2015-11-02 00:00:00+05:30,28.0,29.8,28.0,29.8,400
2015-11-03 00:00:00+05:30,31.25,31.25,31.25,31.25,200
2015-11-05 00:00:00+05:30,30.05,30.05,30.05,30.05,100
