date,open,high,low,close,volume
2016-09-14 00:00:00+05:30,0.72,0.72,0.65,0.65,9000000
2016-09-15 00:00:00+05:30,0.66,0.68,0.62,0.66,5200000
2016-09-16 00:00:00+05:30,0.65,0.65,0.65,0.65,200000
2016-09-19 00:00:00+05:30,0.64,0.65,0.64,0.64,4400000
2016-09-20 00:00:00+05:30,0.64,0.65,0.64,0.64,2600000
2016-09-21 00:00:00+05:30,0.64,0.64,0.64,0.64,400000
2016-09-23 00:00:00+05:30,0.64,0.64,0.64,0.64,600000
2016-09-27 00:00:00+05:30,0.62,0.64,0.62,0.64,600000
2016-10-03 00:00:00+05:30,0.61,0.62,0.61,0.62,400000
2016-10-05 00:00:00+05:30,0.62,0.64,0.62,0.64,400000
2016-10-10 00:00:00+05:30,0.64,0.71,0.64,0.68,600000
2016-10-13 00:00:00+05:30,0.68,0.68,0.68,0.68,200000
2016-10-17 00:00:00+05:30,0.65,0.65,0.65,0.65,200000
2016-11-01 00:00:00+05:30,0.65,0.71,0.65,0.71,400000
2016-11-10 00:00:00+05:30,0.64,0.65,0.64,0.65,400000
2016-11-15 00:00:00+05:30,0.64,0.64,0.64,0.64,200000
2016-11-16 00:00:00+05:30,0.64,0.64,0.64,0.64,200000
2016-12-05 00:00:00+05:30,0.65,0.65,0.65,0.65,200000
2016-12-19 00:00:00+05:30,0.6,0.6,0.6,0.6,200000
2016-12-21 00:00:00+05:30,0.71,0.71,0.71,0.71,200000
2016-12-22 00:00:00+05:30,0.69,0.69,0.69,0.69,200000
2016-12-26 00:00:00+05:30,0.64,0.64,0.64,0.64,200000
2017-01-09 00:00:00+05:30,0.6,0.6,0.6,0.6,200000
2017-01-17 00:00:00+05:30,0.61,0.65,0.61,0.65,400000
2017-01-18 11:00:00+05:30,0.65,0.65,0.65,0.65,600000
2017-01-25 00:00:00+05:30,0.69,0.69,0.69,0.69,400000
2017-02-03 00:00:00+05:30,0.66,0.66,0.66,0.66,200000
2017-02-13 00:00:00+05:30,0.69,0.69,0.69,0.69,600000
2017-02-17 00:00:00+05:30,0.69,0.69,0.69,0.69,200000
2017-02-21 00:00:00+05:30,0.7,0.7,0.69,0.69,400000
2017-03-15 00:00:00+05:30,0.65,0.65,0.65,0.65,600000
2017-03-24 00:00:00+05:30,0.68,0.68,0.68,0.68,200000
2017-03-27 00:00:00+05:30,0.68,0.68,0.68,0.68,600000
2017-03-28 00:00:00+05:30,0.7,0.7,0.69,0.69,600000
2017-03-29 00:00:00+05:30,0.7,0.7,0.7,0.7,600000
2017-03-31 00:00:00+05:30,0.71,0.71,0.71,0.71,600000
2017-04-07 00:00:00+05:30,0.72,0.72,0.69,0.69,400000
2017-04-10 00:00:00+05:30,0.79,0.79,0.72,0.74,600000
2017-04-18 00:00:00+05:30,0.74,0.75,0.74,0.74,800000
2017-04-20 00:00:00+05:30,0.7,0.7,0.7,0.7,200000
2017-05-05 00:00:00+05:30,0.69,0.69,0.66,0.68,600000
2017-05-08 00:00:00+05:30,0.69,0.69,0.69,0.69,400000
2017-05-17 00:00:00+05:30,0.71,0.71,0.71,0.71,400000
2017-05-24 00:00:00+05:30,0.74,0.74,0.68,0.74,600000
2017-05-25 00:00:00+05:30,0.75,0.75,0.75,0.75,400000
2017-05-29 00:00:00+05:30,0.74,0.74,0.74,0.74,200000
2017-05-30 00:00:00+05:30,0.7,0.72,0.7,0.72,800000
2017-06-02 00:00:00+05:30,0.7,0.7,0.7,0.7,200000
2017-06-12 00:00:00+05:30,0.72,0.72,0.72,0.72,200000
2017-06-13 00:00:00+05:30,0.74,0.74,0.74,0.74,1000000
2017-06-19 00:00:00+05:30,0.8,0.81,0.8,0.81,600000
2017-07-03 00:00:00+05:30,0.75,0.75,0.75,0.75,200000
2017-07-05 00:00:00+05:30,0.88,0.88,0.88,0.88,200000
2017-07-07 00:00:00+05:30,0.75,0.75,0.75,0.75,200000
2017-07-13 00:00:00+05:30,0.69,0.85,0.69,0.85,400000
2017-07-31 00:00:00+05:30,0.86,0.86,0.86,0.86,200000
2017-08-11 00:00:00+05:30,0.75,0.75,0.74,0.74,400000
2017-08-22 00:00:00+05:30,0.74,0.74,0.74,0.74,200000
2017-08-31 00:00:00+05:30,0.74,0.74,0.74,0.74,200000
2017-09-04 00:00:00+05:30,0.72,0.74,0.72,0.74,400000
2017-09-14 00:00:00+05:30,0.69,0.69,0.69,0.69,200000
2017-11-01 00:00:00+05:30,0.58,0.69,0.58,0.69,600000
2017-11-03 00:00:00+05:30,0.82,0.82,0.82,0.82,200000
2017-11-07 00:00:00+05:30,0.66,0.75,0.66,0.75,800000
2017-11-08 00:00:00+05:30,0.89,0.89,0.6,0.75,1600000
2017-11-09 00:00:00+05:30,0.88,0.88,0.84,0.84,800000
2017-11-21 00:00:00+05:30,0.7,0.7,0.7,0.7,400000
2017-12-12 00:00:00+05:30,0.69,0.69,0.69,0.69,200000
2017-12-13 00:00:00+05:30,0.68,0.68,0.68,0.68,400000
2017-12-20 00:00:00+05:30,0.65,0.65,0.65,0.65,200000
2017-12-26 00:00:00+05:30,0.62,0.62,0.62,0.62,200000
2018-02-05 00:00:00+05:30,0.64,0.64,0.64,0.64,200000
2018-02-15 00:00:00+05:30,0.75,0.75,0.75,0.75,600000
2018-02-16 00:00:00+05:30,0.8,0.8,0.79,0.79,400000
2018-02-21 00:00:00+05:30,0.76,0.89,0.76,0.78,1800000
2018-02-26 00:00:00+05:30,0.68,0.78,0.68,0.78,600000
2018-02-28 00:00:00+05:30,0.68,0.68,0.68,0.68,200000
2018-03-13 00:00:00+05:30,0.75,0.75,0.75,0.75,200000
2018-03-23 00:00:00+05:30,0.72,0.72,0.72,0.72,200000
2018-03-26 00:00:00+05:30,0.8,0.8,0.8,0.8,200000
2018-05-25 00:00:00+05:30,0.68,0.68,0.68,0.68,200000
2018-06-04 00:00:00+05:30,0.69,0.69,0.69,0.69,200000
2018-06-27 00:00:00+05:30,0.68,0.68,0.68,0.68,200000
2018-08-01 00:00:00+05:30,0.75,0.78,0.75,0.78,400000
2018-08-02 00:00:00+05:30,0.81,0.81,0.81,0.81,200000
2018-08-07 00:00:00+05:30,0.81,0.81,0.81,0.81,400000
2018-08-14 00:00:00+05:30,0.65,0.65,0.65,0.65,200000
2018-08-16 00:00:00+05:30,0.55,0.76,0.55,0.76,800000
2018-09-19 00:00:00+05:30,0.7,0.7,0.7,0.7,600000
2018-09-24 00:00:00+05:30,0.7,0.7,0.7,0.7,800000
2018-10-04 00:00:00+05:30,0.65,0.65,0.65,0.65,400000
