date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,10.31,10.31,9.86,10.11,18175
2008-01-02 00:00:00+05:30,10.19,10.19,9.61,9.93,16500
2008-01-03 00:00:00+05:30,9.86,10.42,9.56,10.0,8011
2008-01-04 00:00:00+05:30,10.5,10.5,9.71,10.38,29410
2008-01-07 00:00:00+05:30,10.89,10.89,9.86,10.0,50755
2008-01-08 00:00:00+05:30,10.5,10.5,9.51,9.61,27980
2008-01-09 00:00:00+05:30,9.81,9.81,9.13,9.13,18120
2008-01-10 00:00:00+05:30,8.69,9.0,8.68,8.68,10915
2008-01-11 00:00:00+05:30,8.25,8.55,8.25,8.36,32965
2008-01-14 00:00:00+05:30,8.55,8.77,8.1,8.1,1150
2008-01-15 00:00:00+05:30,8.0,8.01,7.86,8.01,3478
2008-01-16 00:00:00+05:30,8.4,8.4,7.8,7.8,400
2008-01-17 00:00:00+05:30,8.19,8.19,8.02,8.05,1800
2008-01-18 00:00:00+05:30,7.9,7.9,7.8,7.8,1100
2008-01-21 00:00:00+05:30,7.43,7.43,7.42,7.42,2950
2008-01-22 00:00:00+05:30,7.79,7.79,7.15,7.15,2001
2008-01-23 00:00:00+05:30,6.8,7.5,6.8,7.5,17200
2008-01-24 00:00:00+05:30,7.5,7.7,7.13,7.7,12250
2008-01-25 00:00:00+05:30,7.9,8.08,7.34,7.95,4600
2008-01-28 00:00:00+05:30,7.56,8.34,7.56,7.92,9500
2008-01-29 00:00:00+05:30,7.58,8.25,7.53,7.61,7650
2008-01-30 00:00:00+05:30,7.36,7.95,7.36,7.95,1635
2008-01-31 00:00:00+05:30,7.56,7.56,7.56,7.56,250
2008-02-01 00:00:00+05:30,7.19,7.3,7.19,7.3,11235
2008-02-04 00:00:00+05:30,7.65,7.65,7.6,7.6,2060
2008-02-05 00:00:00+05:30,7.6,7.6,7.6,7.6,200
2008-02-06 00:00:00+05:30,7.26,7.26,7.26,7.26,100
2008-02-07 00:00:00+05:30,7.6,7.62,7.5,7.5,5200
2008-02-08 00:00:00+05:30,7.45,7.45,7.25,7.25,5100
2008-02-11 00:00:00+05:30,7.05,7.6,7.0,7.1,8136
2008-02-12 00:00:00+05:30,7.4,7.45,6.8,7.27,10075
2008-02-13 00:00:00+05:30,6.91,6.91,6.91,6.91,1300
2008-02-14 00:00:00+05:30,6.9,6.9,6.9,6.9,600
2008-02-15 00:00:00+05:30,7.24,7.24,7.24,7.24,100
2008-02-18 00:00:00+05:30,7.6,7.6,7.4,7.4,1350
2008-02-19 00:00:00+05:30,7.7,7.7,7.7,7.7,500
2008-02-20 00:00:00+05:30,7.4,7.94,7.4,7.8,6486
2008-02-21 00:00:00+05:30,8.19,8.19,7.9,8.17,7102
2008-02-22 00:00:00+05:30,8.49,8.57,7.77,8.41,14991
2008-02-25 00:00:00+05:30,8.57,8.65,8.0,8.47,12900
2008-02-26 00:00:00+05:30,8.5,8.89,8.5,8.89,3809
2008-02-27 00:00:00+05:30,9.0,9.33,9.0,9.33,6645
2008-02-28 00:00:00+05:30,9.33,9.33,9.33,9.33,10
2008-02-29 00:00:00+05:30,8.9,9.05,8.9,8.97,1420
2008-03-03 00:00:00+05:30,9.15,9.41,8.75,8.81,6051
2008-03-04 00:00:00+05:30,8.81,8.81,8.81,8.81,4153
2008-03-05 00:00:00+05:30,8.51,8.9,8.51,8.9,5400
2008-03-07 00:00:00+05:30,8.46,8.47,8.46,8.46,6000
2008-03-10 00:00:00+05:30,8.46,8.88,8.46,8.88,18000
2008-03-11 00:00:00+05:30,9.19,9.32,9.0,9.32,12300
2008-03-12 00:00:00+05:30,9.32,9.4,9.32,9.32,3250
2008-03-13 00:00:00+05:30,8.9,8.9,8.86,8.86,8050
2008-03-14 00:00:00+05:30,8.86,9.0,8.42,8.42,6100
2008-03-17 00:00:00+05:30,8.5,8.5,8.5,8.5,10000
2008-03-18 00:00:00+05:30,8.6,8.6,8.5,8.5,3500
2008-03-19 00:00:00+05:30,8.1,8.1,8.1,8.1,1200
2008-03-24 00:00:00+05:30,8.05,8.05,8.05,8.05,200
2008-03-26 00:00:00+05:30,7.75,7.75,7.75,7.75,100
2008-03-27 00:00:00+05:30,7.4,7.4,7.4,7.4,2000
2008-03-28 00:00:00+05:30,7.75,7.75,7.1,7.6,2600
2008-03-31 00:00:00+05:30,7.5,7.9,7.5,7.5,720
2008-04-01 00:00:00+05:30,7.85,7.85,7.85,7.85,300
2008-04-03 00:00:00+05:30,7.85,7.85,7.5,7.5,2201
2008-04-04 00:00:00+05:30,7.6,7.6,7.6,7.6,1000
2008-04-07 00:00:00+05:30,7.3,7.94,7.23,7.94,10105
2008-04-08 00:00:00+05:30,8.27,8.33,7.56,8.33,5301
2008-04-09 00:00:00+05:30,8.69,8.74,8.5,8.5,3308
2008-04-10 00:00:00+05:30,8.5,8.92,8.5,8.92,5400
2008-04-11 00:00:00+05:30,9.35,9.36,9.35,9.36,2400
2008-04-15 00:00:00+05:30,9.36,9.6,9.11,9.35,2851
2008-04-16 00:00:00+05:30,9.0,9.0,8.91,8.91,633
2008-04-17 00:00:00+05:30,8.91,9.34,8.91,9.34,950
2008-04-21 00:00:00+05:30,9.26,9.8,9.26,9.8,600
2008-04-22 00:00:00+05:30,9.99,10.29,9.99,10.29,500
2008-04-23 00:00:00+05:30,10.0,10.0,10.0,10.0,2000
2008-04-24 00:00:00+05:30,9.55,9.55,9.55,9.55,50
2008-04-25 00:00:00+05:30,9.99,10.0,9.25,10.0,14650
2008-04-28 00:00:00+05:30,10.0,10.0,9.6,9.6,1700
2008-04-29 00:00:00+05:30,9.55,9.55,9.55,9.55,18
2008-04-30 00:00:00+05:30,9.11,9.11,9.1,9.1,136
2008-05-02 00:00:00+05:30,8.66,8.66,8.66,8.66,1
2008-05-05 00:00:00+05:30,8.32,9.07,8.32,9.07,3200
2008-05-06 00:00:00+05:30,9.52,9.52,9.52,9.52,35000
2008-05-07 00:00:00+05:30,9.05,9.9,9.05,9.9,200
2008-05-08 00:00:00+05:30,9.9,9.9,9.9,9.9,2300
2008-05-09 00:00:00+05:30,9.6,9.6,9.6,9.6,100
2008-05-14 00:00:00+05:30,9.13,9.13,9.13,9.13,200
2008-05-15 00:00:00+05:30,8.71,8.88,8.71,8.71,2834
2008-05-16 00:00:00+05:30,8.3,9.14,8.3,9.14,110
2008-05-20 00:00:00+05:30,9.58,9.58,9.58,9.58,100
2008-05-21 00:00:00+05:30,9.59,9.59,9.11,9.11,1100
2008-05-23 00:00:00+05:30,9.56,9.56,9.47,9.47,20
2008-05-26 00:00:00+05:30,9.83,9.83,9.83,9.83,1000
2008-06-04 00:00:00+05:30,9.34,9.5,9.34,9.5,10500
2008-06-09 00:00:00+05:30,9.02,9.02,9.02,9.02,1
2008-06-10 00:00:00+05:30,8.58,8.58,8.58,8.58,500
2008-06-11 00:00:00+05:30,8.16,8.16,8.16,8.16,250
2008-06-13 00:00:00+05:30,7.87,7.87,7.87,7.87,100
2008-06-16 00:00:00+05:30,7.5,7.8,7.5,7.8,600
2008-06-17 00:00:00+05:30,8.19,8.19,8.19,8.19,50
2008-06-18 00:00:00+05:30,8.59,8.59,8.01,8.01,150
2008-06-19 00:00:00+05:30,8.0,8.0,8.0,8.0,300
2008-06-20 00:00:00+05:30,7.75,8.0,7.75,8.0,1100
2008-06-24 00:00:00+05:30,8.0,8.0,8.0,8.0,200
2008-06-26 00:00:00+05:30,7.75,8.0,7.75,8.0,150
2008-06-30 00:00:00+05:30,7.8,7.8,7.8,7.8,5000
2008-07-02 00:00:00+05:30,7.5,7.6,7.5,7.6,4090
2008-07-03 00:00:00+05:30,7.97,7.98,7.97,7.98,755
