date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,49.45,50.85,47.8,50.0,3043888
2008-01-02 00:00:00+05:30,50.7,50.7,47.55,47.7,1422810
2008-01-03 00:00:00+05:30,46.9,48.0,45.5,46.2,656407
2008-01-04 00:00:00+05:30,46.3,47.9,44.6,45.25,1018191
2008-01-07 00:00:00+05:30,47.5,47.5,44.5,46.8,1319880
2008-01-08 00:00:00+05:30,47.1,48.0,44.5,44.5,823193
2008-01-09 00:00:00+05:30,42.3,42.85,42.3,42.3,555832
2008-01-10 00:00:00+05:30,40.2,42.75,40.2,40.2,397853
2008-01-11 00:00:00+05:30,38.2,39.79,38.2,38.65,467035
2008-01-14 00:00:00+05:30,39.9,40.54,37.75,40.5,729346
2008-01-15 00:00:00+05:30,42.0,42.5,39.6,40.45,555993
2008-01-16 00:00:00+05:30,38.5,39.7,38.45,38.5,331317
2008-01-17 00:00:00+05:30,39.4,40.4,38.15,40.4,543297
2008-01-18 00:00:00+05:30,39.6,40.29,38.4,38.4,478414
2008-01-21 00:00:00+05:30,36.7,36.7,36.5,36.5,42346
2008-01-22 00:00:00+05:30,34.7,34.7,34.7,34.7,8602
2008-01-23 00:00:00+05:30,33.0,33.0,33.0,33.0,56636
2008-01-24 00:00:00+05:30,31.4,31.4,31.4,31.4,39789
2008-01-25 00:00:00+05:30,29.85,29.85,29.85,29.85,72386
2008-01-28 00:00:00+05:30,28.4,28.4,28.4,28.4,62346
2008-01-29 00:00:00+05:30,27.0,29.5,27.0,27.65,954718
2008-01-30 00:00:00+05:30,28.0,28.65,26.3,26.35,539732
2008-01-31 00:00:00+05:30,25.05,27.2,25.05,26.25,391221
2008-02-01 00:00:00+05:30,27.2,27.55,25.5,27.55,289596
2008-02-04 00:00:00+05:30,28.4,28.9,28.35,28.9,51955
2008-02-05 00:00:00+05:30,29.9,30.3,29.6,30.3,182723
2008-02-06 00:00:00+05:30,29.0,31.8,28.8,31.8,482595
