date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,90.5,90.5,90.5,90.5,3897
2008-01-02 00:00:00+05:30,95.0,95.0,95.0,95.0,10078
2008-01-03 00:00:00+05:30,99.75,99.75,99.75,99.75,7422
2008-01-04 00:00:00+05:30,104.7,104.7,104.7,104.7,34407
2008-01-07 00:00:00+05:30,109.9,109.9,101.1,109.9,25087
2008-01-08 00:00:00+05:30,115.35,115.35,104.45,104.8,54137
2008-01-09 00:00:00+05:30,104.0,104.0,99.6,99.6,11850
2008-01-10 00:00:00+05:30,99.6,100.0,94.65,94.65,10765
2008-01-11 00:00:00+05:30,90.05,90.1,89.95,89.95,4223
2008-01-14 00:00:00+05:30,85.5,85.5,85.5,85.5,6551
2008-01-15 00:00:00+05:30,88.1,89.75,82.55,84.7,11245
2008-01-16 00:00:00+05:30,87.5,88.5,82.0,83.0,5654
2008-01-17 00:00:00+05:30,84.0,87.0,84.0,85.5,2007
2008-01-18 00:00:00+05:30,89.0,89.45,82.5,84.0,7546
2008-01-21 00:00:00+05:30,86.0,86.0,79.84,79.84,3145
2008-01-22 00:00:00+05:30,75.9,75.9,75.9,75.9,107
2008-01-23 00:00:00+05:30,73.0,75.0,72.15,72.15,3810
2008-01-24 00:00:00+05:30,69.0,69.0,68.55,68.55,500
2008-01-25 00:00:00+05:30,65.15,65.25,65.15,65.15,3066
2008-01-28 00:00:00+05:30,65.0,65.0,65.0,65.0,366
2008-01-29 00:00:00+05:30,61.8,68.0,61.8,65.0,3631
2008-01-31 00:00:00+05:30,68.0,68.0,61.8,61.8,245
2008-02-01 00:00:00+05:30,58.8,58.8,58.75,58.75,1375
2008-02-04 00:00:00+05:30,57.0,61.65,55.85,60.9,1719
2008-02-05 00:00:00+05:30,63.9,63.9,63.9,63.9,400
2008-02-06 00:00:00+05:30,67.05,67.05,65.0,67.05,3622
2008-02-07 00:00:00+05:30,70.0,70.4,69.0,69.0,2000
2008-02-08 00:00:00+05:30,65.59,69.9,65.59,67.15,2370
2008-02-11 00:00:00+05:30,63.8,63.8,63.8,63.8,1000
2008-02-13 00:00:00+05:30,60.65,60.65,60.65,60.65,1200
2008-02-14 00:00:00+05:30,57.65,63.0,57.65,62.0,5201
2008-02-15 00:00:00+05:30,59.05,65.09,59.05,65.05,1280
2008-02-18 00:00:00+05:30,62.0,63.5,62.0,63.5,735
2008-02-19 00:00:00+05:30,62.0,62.0,62.0,62.0,400
2008-02-20 00:00:00+05:30,59.0,60.0,59.0,59.5,1900
2008-02-21 00:00:00+05:30,58.0,58.0,57.0,57.0,2000
2008-02-22 00:00:00+05:30,55.5,57.0,55.5,56.1,1600
2008-02-25 00:00:00+05:30,56.0,56.0,54.0,54.0,2034
2008-02-26 00:00:00+05:30,56.7,56.7,56.7,56.7,200
2008-02-27 00:00:00+05:30,54.5,59.5,54.5,59.5,1961
2008-02-28 00:00:00+05:30,57.25,62.45,57.0,62.45,1601
2008-02-29 00:00:00+05:30,63.0,63.0,63.0,63.0,100
2008-03-03 00:00:00+05:30,60.5,60.5,59.9,59.9,4204
