date,open,high,low,close,volume
2021-03-22 00:00:00+05:30,35.15,36.9,34.55,36.7,1922400
2021-03-23 00:00:00+05:30,38.55,38.55,36.85,37.0,846000
2021-03-24 00:00:00+05:30,35.65,36.0,35.35,35.65,1033200
2021-03-25 00:00:00+05:30,35.65,36.3,35.55,35.8,352800
2021-03-26 00:00:00+05:30,35.75,36.8,35.5,36.2,86400
2021-03-30 00:00:00+05:30,36.15,36.35,35.65,36.3,32400
2021-03-31 00:00:00+05:30,36.5,37.0,36.45,36.6,25200
2021-04-01 00:00:00+05:30,36.65,36.65,36.65,36.65,7200
2021-04-05 00:00:00+05:30,36.65,36.65,36.15,36.65,57600
2021-04-06 00:00:00+05:30,36.15,36.75,36.15,36.75,21600
2021-04-07 00:00:00+05:30,37.3,37.45,36.8,36.9,25200
2021-04-08 00:00:00+05:30,36.8,37.8,36.8,37.8,39600
2021-04-09 00:00:00+05:30,37.8,38.05,37.0,37.65,36000
2021-04-12 00:00:00+05:30,35.5,36.15,35.15,36.15,43200
2021-04-13 00:00:00+05:30,36.3,36.65,36.2,36.65,18000
2021-04-15 00:00:00+05:30,36.8,38.4,36.65,37.95,54000
2021-04-16 00:00:00+05:30,38.3,39.15,36.8,39.1,86400
2021-04-19 00:00:00+05:30,37.15,39.5,37.15,39.3,36000
2021-04-20 00:00:00+05:30,37.9,40.25,37.9,39.5,72000
2021-04-22 00:00:00+05:30,38.5,40.8,38.5,40.5,32400
2021-04-23 00:00:00+05:30,39.5,41.15,39.5,41.15,50400
2021-04-26 00:00:00+05:30,40.0,41.8,40.0,41.7,50400
2021-04-27 00:00:00+05:30,41.0,42.3,41.0,42.3,25200
2021-04-28 00:00:00+05:30,41.3,43.15,41.3,43.15,21600
2021-04-29 00:00:00+05:30,43.8,50.7,42.9,48.95,154800
2021-04-30 00:00:00+05:30,52.4,58.55,52.15,57.65,259200
2021-05-03 00:00:00+05:30,56.65,63.65,56.65,63.15,129600
2021-05-04 00:00:00+05:30,63.65,66.65,63.65,66.35,216000
2021-05-05 00:00:00+05:30,69.95,69.95,65.8,66.8,176400
2021-05-06 00:00:00+05:30,67.5,68.3,66.85,67.3,64800
2021-05-07 00:00:00+05:30,67.8,68.15,67.3,67.5,72000
2021-05-10 00:00:00+05:30,67.65,68.3,67.0,67.3,100800
2021-05-11 00:00:00+05:30,67.5,70.8,67.4,67.75,75600
2021-05-12 00:00:00+05:30,67.8,73.3,67.8,71.65,93600
2021-05-14 00:00:00+05:30,76.8,78.05,70.85,72.35,126000
2021-05-17 00:00:00+05:30,74.05,74.05,69.5,71.65,36000
2021-05-18 00:00:00+05:30,74.0,74.0,70.15,72.75,68400
2021-05-19 00:00:00+05:30,73.65,73.7,72.5,73.3,43200
2021-05-20 00:00:00+05:30,73.3,75.8,73.2,74.4,54000
2021-05-21 00:00:00+05:30,75.3,75.8,74.2,75.0,54000
2021-05-24 00:00:00+05:30,78.3,78.3,75.65,78.0,46800
2021-05-25 00:00:00+05:30,80.3,81.5,78.5,81.5,39600
2021-05-26 00:00:00+05:30,81.65,85.3,81.5,83.5,115200
2021-05-27 00:00:00+05:30,86.65,86.65,84.0,86.25,57600
2021-05-28 00:00:00+05:30,87.0,94.15,87.0,94.05,90000
2021-05-31 00:00:00+05:30,100.0,103.5,91.65,103.45,277200
2021-06-01 00:00:00+05:30,107.3,108.6,105.8,108.6,129600
2021-06-02 00:00:00+05:30,113.15,113.9,109.4,111.3,93600
2021-06-03 00:00:00+05:30,112.15,113.3,106.0,106.0,223200
2021-06-04 00:00:00+05:30,102.15,105.8,101.8,104.7,190800
2021-06-07 00:00:00+05:30,105.8,109.9,105.8,109.85,180000
2021-06-08 00:00:00+05:30,111.5,115.35,111.5,111.95,288000
2021-06-09 00:00:00+05:30,113.3,116.4,108.85,108.85,93600
2021-06-10 00:00:00+05:30,111.0,112.0,108.5,108.5,46800
2021-06-11 00:00:00+05:30,113.15,113.15,108.65,110.0,61200
2021-06-14 00:00:00+05:30,110.9,113.5,108.8,112.75,86400
2021-06-15 00:00:00+05:30,113.35,118.3,113.35,118.3,90000
2021-06-16 00:00:00+05:30,120.0,122.65,118.0,120.3,72000
2021-06-17 00:00:00+05:30,120.8,123.3,120.05,120.5,111600
2021-06-18 00:00:00+05:30,121.65,122.15,121.0,121.95,72000
2021-06-21 00:00:00+05:30,122.0,123.15,122.0,122.5,57600
2021-06-22 00:00:00+05:30,123.3,128.6,123.3,128.6,61200
2021-06-23 00:00:00+05:30,135.0,135.05,131.65,135.05,46800
2021-06-24 00:00:00+05:30,140.0,141.8,128.3,128.3,205200
2021-06-25 00:00:00+05:30,128.5,134.7,128.5,133.3,144000
2021-06-28 00:00:00+05:30,140.0,140.0,135.8,139.7,144000
2021-06-29 00:00:00+05:30,141.65,145.8,140.85,145.15,68400
2021-06-30 00:00:00+05:30,146.65,149.15,146.5,148.8,50400
2021-07-01 00:00:00+05:30,149.15,151.15,149.15,150.15,50400
2021-07-02 00:00:00+05:30,150.0,152.5,146.5,147.05,158400
2021-07-05 00:00:00+05:30,148.0,150.0,145.0,145.0,46800
2021-07-06 00:00:00+05:30,143.3,147.15,139.5,140.25,97200
2021-07-07 00:00:00+05:30,135.0,137.5,133.65,133.7,75600
2021-07-08 00:00:00+05:30,129.15,133.35,128.15,128.25,122400
2021-07-09 00:00:00+05:30,128.3,129.15,128.3,129.0,25200
2021-07-12 00:00:00+05:30,128.3,133.3,122.8,123.05,79200
2021-07-13 00:00:00+05:30,123.05,123.05,117.75,117.8,54000
2021-07-14 00:00:00+05:30,116.65,116.65,112.15,112.4,129600
2021-07-15 00:00:00+05:30,111.0,111.0,107.3,107.45,57600
2021-07-16 00:00:00+05:30,108.3,112.8,107.5,107.9,165600
2021-07-19 00:00:00+05:30,108.3,108.8,108.0,108.3,21600
2021-07-20 00:00:00+05:30,106.65,108.65,106.65,108.65,10800
2021-07-22 00:00:00+05:30,108.3,108.5,104.1,104.15,25200
2021-07-23 00:00:00+05:30,104.15,109.15,103.3,103.5,28800
2021-07-26 00:00:00+05:30,104.15,105.0,99.65,99.7,50400
2021-07-27 00:00:00+05:30,101.65,104.7,100.8,104.7,21600
2021-07-28 00:00:00+05:30,102.5,104.8,101.8,104.8,10800
2021-07-29 00:00:00+05:30,105.0,105.0,103.3,103.3,18000
2021-07-30 00:00:00+05:30,104.15,104.15,102.5,103.3,10800
2021-08-02 00:00:00+05:30,103.5,104.15,99.85,104.15,43200
2021-08-03 00:00:00+05:30,104.15,104.15,100.65,104.15,14400
2021-08-04 00:00:00+05:30,104.0,104.3,103.3,104.15,21600
2021-08-05 00:00:00+05:30,103.35,104.3,102.65,102.65,39600
2021-08-06 00:00:00+05:30,103.4,103.5,103.4,103.5,10800
2021-08-09 00:00:00+05:30,116.65,116.65,104.15,108.3,25200
2021-08-10 00:00:00+05:30,109.15,119.8,108.3,117.7,82800
2021-08-11 00:00:00+05:30,123.3,130.8,120.0,130.8,140400
2021-08-12 00:00:00+05:30,133.3,143.3,130.85,134.25,100800
2021-08-13 00:00:00+05:30,137.5,145.65,137.5,144.65,97200
2021-08-16 00:00:00+05:30,152.4,153.35,145.9,153.35,122400
2021-08-17 00:00:00+05:30,161.65,161.65,155.8,160.3,104400
2021-08-18 00:00:00+05:30,160.3,167.5,160.3,162.3,64800
2021-08-20 00:00:00+05:30,160.0,164.15,158.15,158.15,97200
2021-08-23 00:00:00+05:30,159.15,165.0,151.65,151.65,50400
2021-08-24 00:00:00+05:30,151.8,153.3,148.55,148.55,57600
2021-08-25 00:00:00+05:30,150.0,154.15,146.65,146.65,36000
2021-08-26 00:00:00+05:30,145.8,148.0,138.3,138.3,36000
2021-08-27 00:00:00+05:30,138.3,141.65,138.3,141.65,14400
2021-08-30 00:00:00+05:30,141.65,142.65,141.65,142.65,10800
2021-08-31 00:00:00+05:30,143.3,145.0,134.15,134.75,25200
2021-09-01 00:00:00+05:30,135.6,136.5,133.3,136.5,25200
2021-09-02 00:00:00+05:30,136.65,136.8,135.0,135.0,10800
2021-09-03 00:00:00+05:30,135.15,136.65,135.15,136.65,10800
2021-09-06 00:00:00+05:30,137.5,144.5,129.5,131.85,46800
2021-09-07 00:00:00+05:30,135.0,143.85,133.3,143.85,28800
2021-09-08 00:00:00+05:30,147.5,147.5,133.35,136.5,50400
2021-09-09 00:00:00+05:30,136.65,136.8,136.3,136.3,10800
2021-09-13 00:00:00+05:30,136.65,144.55,134.65,140.8,32400
2021-09-14 00:00:00+05:30,141.65,151.5,137.05,148.95,93600
2021-09-15 00:00:00+05:30,151.65,158.65,150.15,157.55,61200
2021-09-16 00:00:00+05:30,163.3,165.15,159.15,164.8,72000
2021-09-17 00:00:00+05:30,167.8,167.8,162.5,164.8,36000
2021-09-20 00:00:00+05:30,165.0,166.65,164.3,164.3,32400
2021-09-21 00:00:00+05:30,165.0,166.65,165.0,166.5,25200
2021-09-22 00:00:00+05:30,166.65,171.65,159.15,159.15,21600
2021-09-23 00:00:00+05:30,168.5,175.05,168.15,173.5,183600
2021-09-24 00:00:00+05:30,186.5,186.5,175.0,175.75,165600
2021-09-27 00:00:00+05:30,175.9,177.3,168.5,168.5,93600
2021-09-28 00:00:00+05:30,166.65,167.5,154.15,154.3,50400
2021-09-29 00:00:00+05:30,154.5,168.3,146.65,154.3,32400
2021-09-30 00:00:00+05:30,161.65,161.65,148.35,150.3,50400
2021-10-01 00:00:00+05:30,145.0,150.0,145.0,150.0,21600
2021-10-04 00:00:00+05:30,150.0,151.0,140.0,140.2,54000
2021-10-05 00:00:00+05:30,140.3,140.3,133.3,135.0,50400
2021-10-06 00:00:00+05:30,135.8,144.15,129.3,130.7,75600
2021-10-07 00:00:00+05:30,131.5,141.05,129.3,130.3,72000
2021-10-08 00:00:00+05:30,139.0,139.0,121.65,122.35,136800
2021-10-11 00:00:00+05:30,111.15,111.15,110.1,110.1,43200
2021-10-12 00:00:00+05:30,104.6,104.6,104.6,104.6,10800
