date,open,high,low,close,volume
2010-04-15 00:00:00+05:30,46.0,46.0,25.25,26.6,35625
2010-04-16 00:00:00+05:30,22.0,27.85,21.5,25.32,2278
2010-04-19 00:00:00+05:30,22.01,23.85,21.0,21.69,5976
2010-04-20 00:00:00+05:30,23.49,23.49,21.13,23.15,2302
2010-04-21 00:00:00+05:30,21.56,23.14,21.0,21.97,560
2010-04-22 00:00:00+05:30,21.01,23.0,21.01,23.0,1936
2010-04-23 00:00:00+05:30,23.5,23.94,21.15,22.9,1905
2010-04-26 00:00:00+05:30,21.02,22.95,21.01,22.95,400
2010-04-28 00:00:00+05:30,20.0,23.0,20.0,22.29,3467
2010-04-29 00:00:00+05:30,23.8,24.5,22.0,22.45,2460
2010-05-03 00:00:00+05:30,22.45,23.6,20.3,20.8,460
2010-05-05 00:00:00+05:30,18.3,21.4,18.0,18.35,1713
2010-05-06 00:00:00+05:30,21.9,21.9,19.8,20.75,1152
2010-05-07 00:00:00+05:30,20.5,20.5,18.45,19.75,505
2010-05-10 00:00:00+05:30,16.1,21.8,16.0,20.45,528
2010-05-11 00:00:00+05:30,22.0,22.0,19.0,19.2,255
2010-05-12 00:00:00+05:30,21.8,21.8,16.1,16.75,1066
2010-05-13 00:00:00+05:30,19.2,20.1,18.3,20.1,1397
2010-05-14 00:00:00+05:30,24.1,24.1,21.05,24.1,7631
2010-05-17 00:00:00+05:30,28.9,28.9,22.0,28.9,3685
2010-05-18 00:00:00+05:30,31.75,31.75,31.5,31.75,3261
2010-05-19 00:00:00+05:30,34.9,34.9,34.79,34.9,6101
2010-05-20 00:00:00+05:30,35.0,38.35,31.45,31.45,13696
2010-05-21 00:00:00+05:30,28.35,34.4,28.35,28.35,17822
2010-05-24 00:00:00+05:30,28.85,28.85,25.55,25.55,33835
2010-05-25 00:00:00+05:30,25.15,25.15,23.0,23.0,4560
2010-05-26 00:00:00+05:30,24.0,24.0,21.9,22.45,855
2010-05-27 00:00:00+05:30,21.35,23.3,21.35,22.6,1540
2010-05-28 00:00:00+05:30,23.7,23.7,23.6,23.65,1054
2010-05-31 00:00:00+05:30,22.5,24.0,22.5,23.45,546
2010-06-01 00:00:00+05:30,23.8,23.8,23.45,23.8,323
2010-06-03 00:00:00+05:30,23.8,23.8,23.7,23.7,125
2010-06-10 00:00:00+05:30,22.55,22.55,22.55,22.55,1
2010-06-11 00:00:00+05:30,22.55,22.55,21.45,21.45,105
2010-06-14 00:00:00+05:30,20.39,21.35,20.39,20.39,50
2010-06-15 00:00:00+05:30,20.3,20.3,19.39,19.95,830
2010-06-16 00:00:00+05:30,19.5,20.9,19.0,20.9,1405
2010-06-17 00:00:00+05:30,20.0,21.9,20.0,21.9,1596
2010-06-18 00:00:00+05:30,20.85,22.5,20.85,22.0,1180
2010-06-21 00:00:00+05:30,23.1,23.1,22.75,22.75,50
2010-06-23 00:00:00+05:30,23.25,23.25,23.25,23.25,25
2010-06-24 00:00:00+05:30,24.4,24.4,23.5,23.75,1025
2010-06-28 00:00:00+05:30,23.7,23.7,23.7,23.7,50
2010-06-30 00:00:00+05:30,24.85,24.85,22.55,24.4,56
2010-07-01 00:00:00+05:30,25.6,25.6,23.2,25.3,44
2010-07-02 00:00:00+05:30,24.1,24.1,24.05,24.05,15
2010-07-05 00:00:00+05:30,22.85,22.85,22.85,22.85,5
2010-07-06 00:00:00+05:30,23.95,23.95,21.75,21.75,82
2010-07-07 00:00:00+05:30,21.75,22.8,20.7,22.8,204
2010-07-08 00:00:00+05:30,21.7,21.95,21.7,21.7,3
2010-07-09 00:00:00+05:30,20.7,20.7,20.7,20.7,150
2010-07-12 00:00:00+05:30,20.7,20.7,20.7,20.7,66
2010-07-13 00:00:00+05:30,19.7,19.7,19.7,19.7,13
2010-07-14 00:00:00+05:30,19.5,20.65,19.5,20.3,2646
2010-07-16 00:00:00+05:30,19.5,19.5,19.5,19.5,590
2010-07-20 00:00:00+05:30,18.6,20.39,18.6,20.39,730
2010-07-21 00:00:00+05:30,21.4,21.4,21.4,21.4,40
2010-07-28 00:00:00+05:30,20.35,20.35,20.35,20.35,85
2010-09-01 00:00:00+05:30,19.35,19.35,19.35,19.35,25
2010-09-29 00:00:00+05:30,20.3,20.3,20.3,20.3,9
2010-09-30 00:00:00+05:30,19.3,19.3,19.3,19.3,5
2010-10-01 00:00:00+05:30,20.25,20.25,18.35,18.35,15
2010-10-04 00:00:00+05:30,17.45,17.45,17.45,17.45,5
2010-10-05 00:00:00+05:30,18.3,18.3,16.6,16.6,110
2010-10-06 00:00:00+05:30,15.8,15.8,15.8,15.8,5
2010-10-07 00:00:00+05:30,15.05,15.05,15.05,15.05,911
2010-10-08 00:00:00+05:30,14.3,15.05,14.3,14.3,165
2010-10-11 00:00:00+05:30,13.6,13.6,13.6,13.6,522
2010-10-13 00:00:00+05:30,14.25,14.25,14.25,14.25,3
2010-10-14 00:00:00+05:30,14.5,14.5,14.25,14.25,200
2010-10-15 00:00:00+05:30,14.25,14.95,13.55,14.9,823
2010-10-18 00:00:00+05:30,14.9,15.6,14.2,14.95,710
2010-10-19 00:00:00+05:30,15.0,15.0,15.0,15.0,350
2010-10-22 00:00:00+05:30,14.3,14.3,14.3,14.3,100
2010-10-25 00:00:00+05:30,13.6,13.6,13.6,13.6,590
2010-10-26 00:00:00+05:30,12.95,12.95,12.95,12.95,55
2010-10-27 00:00:00+05:30,13.0,13.0,12.35,12.45,62
2010-10-28 00:00:00+05:30,12.45,13.0,11.85,12.25,725
2010-10-29 00:00:00+05:30,12.0,12.85,12.0,12.85,630
2010-11-01 00:00:00+05:30,13.49,13.49,13.45,13.45,525
2010-11-02 00:00:00+05:30,12.78,13.45,12.78,13.45,250
