date,open,high,low,close,volume
2008-05-22 00:00:00+05:30,14.86,78.22,14.86,17.5,66475
2008-06-02 00:00:00+05:30,16.62,16.62,16.62,16.62,1023
2008-12-31 00:00:00+05:30,15.79,15.79,15.79,15.79,1023
2009-01-01 00:00:00+05:30,15.01,15.01,15.01,15.01,1023
2009-01-02 00:00:00+05:30,14.28,14.28,14.28,14.28,1023
2009-01-06 00:00:00+05:30,13.54,13.54,13.54,13.54,1023
2009-01-07 00:00:00+05:30,12.91,12.91,12.91,12.91,1023
2009-01-15 00:00:00+05:30,12.27,12.27,12.27,12.27,1023
2009-01-20 00:00:00+05:30,11.64,11.64,11.64,11.64,1023
2009-01-21 00:00:00+05:30,11.05,11.05,11.05,11.05,1023
2009-01-28 00:00:00+05:30,10.51,10.51,10.51,10.51,3068
2009-01-29 00:00:00+05:30,9.97,9.97,9.97,9.97,1023
2009-02-02 00:00:00+05:30,9.48,9.48,9.48,9.48,1023
2009-02-03 00:00:00+05:30,9.0,9.0,9.0,9.0,1023
2009-02-04 00:00:00+05:30,8.56,8.56,8.56,8.56,1023
2009-02-05 00:00:00+05:30,8.12,8.12,8.12,8.12,1023
2009-02-06 00:00:00+05:30,7.72,7.72,7.72,7.72,1023
2009-02-09 00:00:00+05:30,7.33,7.33,7.33,7.33,1023
2009-02-10 00:00:00+05:30,6.99,6.99,6.99,6.99,1023
2009-02-11 00:00:00+05:30,6.65,6.65,6.65,6.65,1023
2009-02-12 00:00:00+05:30,6.31,6.31,6.31,6.31,1023
2009-02-13 00:00:00+05:30,6.01,6.01,6.01,6.01,1023
2009-02-18 00:00:00+05:30,5.43,5.43,5.43,5.43,1023
2009-02-20 00:00:00+05:30,5.13,5.13,5.13,5.13,1023
2009-02-25 00:00:00+05:30,4.89,4.89,4.89,4.89,1023
2009-02-26 00:00:00+05:30,4.64,4.64,4.64,4.64,1023
2009-02-27 00:00:00+05:30,4.4,4.4,4.4,4.4,1023
2009-03-02 00:00:00+05:30,4.2,4.2,4.2,4.2,1023
2009-03-03 00:00:00+05:30,4.01,4.01,4.01,4.01,1023
2009-03-04 00:00:00+05:30,3.81,3.81,3.81,3.81,1023
2009-03-05 00:00:00+05:30,3.62,3.62,3.62,3.62,1023
2009-03-06 00:00:00+05:30,3.42,3.42,3.42,3.42,1023
2009-03-12 00:00:00+05:30,3.28,3.28,3.28,3.28,1023
