date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,7.3,7.3,6.75,6.75,2167
2015-01-02 00:00:00+05:30,7.95,7.95,6.4,7.3,24036
2015-01-05 00:00:00+05:30,7.5,7.5,6.75,6.8,7431
2015-01-06 00:00:00+05:30,6.7,7.2,6.7,6.75,3019
2015-01-07 00:00:00+05:30,6.8,7.0,6.4,6.6,4930
2015-01-08 00:00:00+05:30,6.5,7.1,6.5,7.0,7749
2015-01-09 00:00:00+05:30,7.0,7.4,6.6,6.7,1927
2015-01-12 00:00:00+05:30,6.05,6.95,6.05,6.7,1427
2015-01-13 00:00:00+05:30,8.0,8.0,6.8,7.0,7954
2015-01-14 00:00:00+05:30,7.6,7.6,6.85,6.95,968
2015-01-15 00:00:00+05:30,6.85,7.3,6.6,7.0,10825
2015-01-16 00:00:00+05:30,8.4,8.4,6.45,6.8,11070
2015-01-19 00:00:00+05:30,7.75,7.75,6.7,6.8,4829
2015-01-20 00:00:00+05:30,7.65,7.65,6.6,6.75,1152
2015-01-21 00:00:00+05:30,7.9,7.9,6.35,6.95,4893
2015-01-22 00:00:00+05:30,7.2,7.2,6.65,6.85,2805
2015-01-23 00:00:00+05:30,6.65,7.5,6.65,7.05,7558
2015-01-27 00:00:00+05:30,6.8,7.3,6.65,7.05,3761
2015-01-28 00:00:00+05:30,7.0,7.0,6.7,6.95,757
2015-01-29 00:00:00+05:30,6.8,6.8,6.3,6.75,7961
2015-01-30 00:00:00+05:30,6.6,6.95,6.2,6.95,4089
2015-02-02 00:00:00+05:30,6.8,7.4,6.45,6.85,11999
2015-02-03 00:00:00+05:30,6.75,6.75,6.6,6.6,1079
2015-02-04 00:00:00+05:30,6.65,6.85,6.65,6.7,585
2015-02-05 00:00:00+05:30,6.8,6.8,6.45,6.7,16839
2015-02-06 00:00:00+05:30,6.45,6.8,6.4,6.45,2142
2015-02-09 00:00:00+05:30,6.35,6.4,6.35,6.4,405
2015-02-10 00:00:00+05:30,6.3,6.95,6.2,6.2,425
2015-02-11 00:00:00+05:30,6.2,6.2,6.1,6.1,3400
2015-02-12 00:00:00+05:30,6.4,6.55,6.1,6.25,5230
2015-02-13 00:00:00+05:30,6.45,6.5,5.95,6.0,2709
2015-02-16 00:00:00+05:30,6.75,6.95,6.05,6.1,4191
2015-02-18 00:00:00+05:30,6.15,6.85,6.15,6.35,9570
2015-02-19 00:00:00+05:30,6.05,6.45,6.05,6.25,2100
2015-02-20 00:00:00+05:30,6.0,6.7,6.0,6.5,4111
2015-02-23 00:00:00+05:30,6.9,6.9,6.25,6.35,5018
2015-02-24 00:00:00+05:30,7.25,7.3,6.15,6.3,5753
2015-02-25 00:00:00+05:30,6.3,6.7,6.15,6.2,1961
2015-02-26 00:00:00+05:30,6.2,6.5,6.2,6.45,142
2015-02-27 00:00:00+05:30,6.5,6.8,6.2,6.4,13022
2015-03-02 00:00:00+05:30,6.2,6.6,6.05,6.1,1716
2015-03-03 00:00:00+05:30,6.15,6.6,6.15,6.4,1814
2015-03-04 00:00:00+05:30,6.75,6.8,6.15,6.25,5272
2015-03-05 00:00:00+05:30,6.85,6.85,6.15,6.3,1262
2015-03-09 00:00:00+05:30,6.15,6.5,6.15,6.15,3850
2015-03-10 00:00:00+05:30,6.1,6.35,6.0,6.15,3403
