date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,21.5,21.5,21.5,21.5,8400
2008-01-02 00:00:00+05:30,22.55,22.55,21.0,21.0,18500
2008-01-03 00:00:00+05:30,21.75,22.0,20.0,20.0,4100
2008-01-07 00:00:00+05:30,19.05,19.8,19.05,19.05,7600
2008-01-08 00:00:00+05:30,18.25,20.0,18.1,18.1,3600
2008-01-09 00:00:00+05:30,17.2,18.39,17.2,18.39,1800
2008-01-10 00:00:00+05:30,17.5,17.5,17.5,17.5,3000
2008-01-11 00:00:00+05:30,16.64,17.0,16.64,16.64,12000
2008-01-14 00:00:00+05:30,15.85,17.45,15.85,16.6,3500
2008-01-15 00:00:00+05:30,17.39,17.39,17.39,17.39,1700
2008-01-16 00:00:00+05:30,18.25,18.25,18.25,18.25,1800
2008-01-17 00:00:00+05:30,19.14,19.14,18.95,19.14,2200
2008-01-18 00:00:00+05:30,19.7,20.1,18.2,18.2,5600
2008-01-21 00:00:00+05:30,17.3,17.3,17.3,17.3,100
2008-02-01 00:00:00+05:30,16.45,16.45,16.45,16.45,200
2008-02-04 00:00:00+05:30,17.25,17.25,17.25,17.25,100
2008-02-05 00:00:00+05:30,18.1,18.1,18.1,18.1,100
2008-02-06 00:00:00+05:30,17.2,19.0,17.2,19.0,300
2008-05-12 00:00:00+05:30,21.55,47.0,21.55,28.25,3000
2008-05-13 00:00:00+05:30,29.0,29.0,28.0,28.0,1900
2008-05-14 00:00:00+05:30,28.0,28.0,26.65,26.65,4300
2008-05-15 00:00:00+05:30,25.35,27.55,25.35,25.35,2100
2008-05-16 00:00:00+05:30,24.1,24.1,24.1,24.1,300
2008-05-20 00:00:00+05:30,23.5,23.5,23.5,23.5,100
2008-05-21 00:00:00+05:30,22.7,22.7,22.7,22.7,100
2008-05-22 00:00:00+05:30,23.8,23.8,23.8,23.8,100
2008-05-26 00:00:00+05:30,23.05,24.9,23.0,24.9,400
2008-05-27 00:00:00+05:30,24.0,25.4,24.0,25.4,300
2008-05-28 00:00:00+05:30,24.2,24.2,24.15,24.15,200
2008-05-29 00:00:00+05:30,22.95,22.95,22.95,22.95,600
2008-05-30 00:00:00+05:30,24.0,24.0,21.9,21.9,500
2008-06-03 00:00:00+05:30,20.85,20.85,20.85,20.85,500
2008-06-05 00:00:00+05:30,19.85,19.85,19.85,19.85,100
2008-06-06 00:00:00+05:30,18.89,18.89,18.89,18.89,200
2008-06-13 00:00:00+05:30,18.1,19.8,18.0,18.0,600
2008-06-16 00:00:00+05:30,17.14,17.14,17.14,17.14,100
2008-06-17 00:00:00+05:30,16.35,16.35,16.35,16.35,100
