date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,207.15,209.95,197.8,205.95,176835
2008-01-02 00:00:00+05:30,207.75,216.2,207.75,216.2,11529
2008-01-03 00:00:00+05:30,222.4,227.0,216.35,217.4,22802
2008-01-04 00:00:00+05:30,220.7,222.4,210.25,214.9,6928
2008-01-07 00:00:00+05:30,212.45,215.5,207.2,210.05,9868
2008-01-08 00:00:00+05:30,209.95,216.85,201.95,209.9,40221
2008-01-09 00:00:00+05:30,211.35,220.4,210.0,219.3,35851
2008-01-10 00:00:00+05:30,210.55,223.75,208.35,208.35,15978
2008-01-11 00:00:00+05:30,200.3,209.95,200.3,209.95,5839
2008-01-14 00:00:00+05:30,209.4,218.25,209.4,211.6,11030
2008-01-15 00:00:00+05:30,211.35,222.2,201.65,205.3,55011
2008-01-16 00:00:00+05:30,197.5,212.45,195.0,200.55,14747
2008-01-17 00:00:00+05:30,193.7,203.6,191.2,197.9,9100
2008-01-18 00:00:00+05:30,195.6,199.45,189.25,197.0,3642
2008-01-21 00:00:00+05:30,189.9,189.9,187.15,187.15,21137
2008-01-22 00:00:00+05:30,177.8,177.8,177.8,177.8,10954
2008-01-23 00:00:00+05:30,168.95,184.55,168.95,169.1,23070
2008-01-24 00:00:00+05:30,175.15,175.15,160.65,160.65,8814
2008-01-25 00:00:00+05:30,165.75,168.5,157.45,168.15,3403
2008-01-28 00:00:00+05:30,160.25,162.7,159.75,159.75,1376
2008-01-29 00:00:00+05:30,153.6,165.45,152.75,165.0,5839
2008-01-30 00:00:00+05:30,165.75,165.75,158.85,158.85,5998
2008-01-31 00:00:00+05:30,158.85,161.6,154.75,154.75,1546
2008-02-01 00:00:00+05:30,151.95,158.85,151.95,154.4,3421
2008-02-04 00:00:00+05:30,151.95,157.2,151.95,153.6,4362
2008-02-05 00:00:00+05:30,150.7,156.65,149.2,150.65,2925
2008-02-06 00:00:00+05:30,150.55,154.15,145.15,154.15,2769
