date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,42.85,42.85,41.0,42.85,576063
2008-01-02 00:00:00+05:30,44.9,44.95,40.75,44.75,1237539
2008-01-03 00:00:00+05:30,45.0,46.95,43.0,46.4,1095514
2008-01-04 00:00:00+05:30,47.0,48.25,44.1,44.25,693701
2008-01-07 00:00:00+05:30,44.95,46.4,42.25,44.45,525376
2008-01-08 00:00:00+05:30,45.8,46.65,42.25,42.25,271823
2008-01-09 00:00:00+05:30,40.15,42.0,40.15,40.15,124423
2008-01-10 00:00:00+05:30,39.0,41.25,38.15,38.15,319102
2008-01-11 00:00:00+05:30,38.0,39.9,36.25,38.25,235947
2008-01-14 00:00:00+05:30,39.95,40.15,38.2,40.04,164221
2008-01-15 00:00:00+05:30,42.05,42.05,38.04,38.15,157670
2008-01-16 00:00:00+05:30,36.29,39.0,36.25,37.29,125961
2008-01-17 00:00:00+05:30,38.75,39.15,37.5,38.65,182766
2008-01-18 00:00:00+05:30,38.95,39.5,36.75,36.75,141220
2008-01-21 00:00:00+05:30,35.75,36.0,34.95,34.95,113131
2008-01-22 00:00:00+05:30,33.25,33.25,33.25,33.25,13828
2008-01-23 00:00:00+05:30,32.5,34.9,31.6,31.6,202944
2008-01-24 00:00:00+05:30,32.6,32.9,30.05,30.05,88321
2008-01-25 00:00:00+05:30,28.55,31.0,28.55,29.3,224696
2008-01-28 00:00:00+05:30,29.1,30.75,28.35,30.5,70412
2008-01-29 00:00:00+05:30,30.5,32.0,30.3,31.55,77787
2008-01-30 00:00:00+05:30,32.0,32.95,30.05,30.2,48338
2008-01-31 00:00:00+05:30,30.6,31.7,28.75,29.9,62428
2008-02-01 00:00:00+05:30,29.95,30.55,28.45,29.05,86397
2008-02-04 00:00:00+05:30,30.25,30.5,29.5,30.3,79204
2008-02-05 00:00:00+05:30,31.0,31.4,30.0,30.85,40417
2008-02-06 00:00:00+05:30,30.5,30.85,29.35,30.2,56757
2008-02-07 00:00:00+05:30,30.1,31.5,29.05,29.55,59928
2008-02-08 00:00:00+05:30,29.0,30.3,28.1,28.85,49443
2008-02-11 00:00:00+05:30,27.55,29.4,27.45,27.45,81784
2008-02-12 00:00:00+05:30,26.55,28.0,26.1,26.15,54134
2008-02-13 00:00:00+05:30,26.05,26.95,24.85,24.9,69297
2008-02-14 00:00:00+05:30,26.1,26.1,25.1,26.1,95773
2008-02-15 00:00:00+05:30,26.0,27.4,25.3,27.4,44712
2008-02-18 00:00:00+05:30,28.75,28.75,27.35,28.75,52098
2008-02-19 00:00:00+05:30,30.05,30.15,28.15,29.0,49368
2008-02-20 00:00:00+05:30,28.7,29.3,27.75,28.05,41925
2008-02-21 00:00:00+05:30,29.25,29.45,29.25,29.45,28711
2008-02-22 00:00:00+05:30,30.9,30.9,29.9,30.65,108859
2008-02-25 00:00:00+05:30,30.15,30.15,29.15,29.4,25492
2008-02-26 00:00:00+05:30,29.5,30.0,29.0,29.25,31348
2008-02-27 00:00:00+05:30,29.1,30.25,29.0,29.2,40618
2008-02-28 00:00:00+05:30,29.15,30.25,29.0,29.3,53434
2008-02-29 00:00:00+05:30,29.6,30.25,27.85,29.65,63122
2008-03-03 00:00:00+05:30,29.0,29.7,28.2,28.25,49666
2008-03-04 00:00:00+05:30,28.3,28.3,26.85,26.85,50543
2008-03-05 00:00:00+05:30,26.0,26.55,25.55,25.55,77144
2008-03-07 00:00:00+05:30,25.45,25.45,24.3,24.3,59115
2008-03-10 00:00:00+05:30,22.15,23.5,22.15,22.95,113205
2008-03-11 00:00:00+05:30,22.65,25.0,22.55,24.9,95403
2008-03-12 00:00:00+05:30,26.65,26.7,23.2,23.45,66702
2008-03-13 00:00:00+05:30,23.2,23.8,22.05,22.7,167391
2008-03-14 00:00:00+05:30,22.9,23.3,21.9,22.45,98655
2008-03-17 00:00:00+05:30,20.35,21.85,20.25,20.55,136566
2008-03-18 00:00:00+05:30,21.05,21.05,19.25,19.64,64400
2008-03-19 00:00:00+05:30,20.9,21.45,18.5,18.95,168502
2008-03-24 00:00:00+05:30,19.0,19.0,17.1,17.14,165321
2008-03-25 00:00:00+05:30,17.89,18.0,17.14,18.0,37509
2008-03-26 00:00:00+05:30,18.8,18.89,18.0,18.89,212408
2008-03-27 00:00:00+05:30,19.5,19.8,19.1,19.8,150694
2008-03-28 00:00:00+05:30,20.75,20.75,20.25,20.75,23803
2008-03-31 00:00:00+05:30,21.2,21.75,20.75,21.25,108782
2008-04-01 00:00:00+05:30,22.3,22.3,20.2,21.25,88555
2008-04-02 00:00:00+05:30,22.15,22.2,21.0,21.8,41555
2008-04-03 00:00:00+05:30,21.7,21.7,21.15,21.25,25281
2008-04-04 00:00:00+05:30,21.0,21.45,20.5,20.6,17860
2008-04-07 00:00:00+05:30,20.5,20.95,20.3,20.9,29385
2008-04-08 00:00:00+05:30,20.39,20.9,20.39,20.7,19484
2008-04-09 00:00:00+05:30,21.0,21.05,19.7,20.2,59895
2008-04-10 00:00:00+05:30,20.5,21.2,20.39,21.2,20671
2008-04-11 00:00:00+05:30,22.0,22.25,21.6,22.25,39532
2008-04-15 00:00:00+05:30,23.25,23.25,21.25,22.1,30382
2008-04-16 00:00:00+05:30,23.0,23.0,21.4,22.05,31929
2008-04-17 00:00:00+05:30,22.85,23.1,21.65,22.8,46139
2008-04-21 00:00:00+05:30,23.0,23.9,23.0,23.9,40110
2008-04-22 00:00:00+05:30,24.25,24.95,24.05,24.45,57672
2008-04-23 00:00:00+05:30,25.0,25.0,23.35,23.9,38410
2008-04-24 00:00:00+05:30,24.5,24.5,23.0,23.1,31297
2008-04-25 00:00:00+05:30,23.45,23.65,22.75,23.0,24564
2008-04-28 00:00:00+05:30,23.25,23.25,22.55,22.65,18972
2008-04-29 00:00:00+05:30,23.0,23.7,22.6,23.45,13525
2008-04-30 00:00:00+05:30,23.4,24.0,23.0,23.8,32243
2008-05-02 00:00:00+05:30,23.35,24.4,23.25,23.7,27955
2008-05-05 00:00:00+05:30,23.9,23.95,23.35,23.5,59639
2008-05-06 00:00:00+05:30,23.95,24.65,23.45,23.95,105349
2008-05-07 00:00:00+05:30,23.5,24.45,23.4,23.85,54428
2008-05-08 00:00:00+05:30,23.25,23.5,21.65,22.55,96388
2008-05-09 00:00:00+05:30,22.35,23.45,22.2,22.45,20381
2008-05-12 00:00:00+05:30,23.5,23.7,21.15,22.05,23214
2008-05-13 00:00:00+05:30,22.95,22.95,22.0,22.05,34148
2008-05-14 00:00:00+05:30,22.1,22.3,21.7,21.95,20761
2008-05-15 00:00:00+05:30,22.0,22.6,22.0,22.2,34765
2008-05-16 00:00:00+05:30,21.3,22.6,21.3,22.45,15173
2008-05-20 00:00:00+05:30,22.6,23.95,22.6,23.0,49374
2008-05-21 00:00:00+05:30,23.0,25.3,22.8,25.3,179743
2008-05-22 00:00:00+05:30,26.9,27.8,24.9,25.35,480038
2008-05-23 00:00:00+05:30,25.5,26.7,24.0,24.2,105366
2008-05-26 00:00:00+05:30,24.5,24.5,22.65,23.0,55441
2008-05-27 00:00:00+05:30,23.95,24.0,23.0,23.15,57887
2008-05-28 00:00:00+05:30,22.9,23.5,22.5,23.15,38770
2008-05-29 00:00:00+05:30,23.45,23.7,23.0,23.1,33924
2008-05-30 00:00:00+05:30,23.75,23.85,22.1,22.3,29598
2008-06-02 00:00:00+05:30,22.8,23.0,21.75,22.0,20931
2008-06-03 00:00:00+05:30,21.7,21.95,20.65,21.35,42997
2008-06-04 00:00:00+05:30,21.4,21.75,20.9,21.05,23623
2008-06-05 00:00:00+05:30,21.0,21.3,20.35,20.75,26335
2008-06-06 00:00:00+05:30,21.25,21.25,20.5,20.55,21641
2008-06-09 00:00:00+05:30,20.05,20.9,19.3,19.55,54603
2008-06-10 00:00:00+05:30,19.25,19.7,18.75,19.2,38309
2008-06-11 00:00:00+05:30,19.8,20.3,19.0,19.14,26308
2008-06-12 00:00:00+05:30,18.5,20.55,18.5,20.1,32514
2008-06-13 00:00:00+05:30,20.6,20.6,19.85,19.95,15504
2008-06-16 00:00:00+05:30,20.8,20.9,20.39,20.7,14882
2008-06-17 00:00:00+05:30,20.05,20.5,19.25,19.45,89010
2008-06-18 00:00:00+05:30,19.89,20.45,19.5,19.64,42234
2008-06-19 00:00:00+05:30,20.0,21.05,19.55,20.45,90539
2008-06-20 00:00:00+05:30,20.3,20.8,19.25,19.8,47239
2008-06-23 00:00:00+05:30,19.25,19.5,18.05,18.45,58726
2008-06-24 00:00:00+05:30,18.5,18.8,16.64,16.89,118073
2008-06-26 00:00:00+05:30,19.0,19.0,17.5,17.85,51136
2008-06-27 00:00:00+05:30,17.14,17.8,17.0,17.35,20791
2008-06-30 00:00:00+05:30,17.14,17.55,16.45,16.5,29971
2008-07-01 00:00:00+05:30,16.7,16.7,15.3,15.7,56290
2008-07-02 00:00:00+05:30,15.7,17.25,15.0,16.6,60798
2008-07-03 00:00:00+05:30,16.39,16.5,15.75,15.95,23977
2008-07-04 00:00:00+05:30,15.75,16.75,15.75,16.35,23106
2008-07-07 00:00:00+05:30,17.0,17.75,16.6,17.0,29545
2008-07-08 00:00:00+05:30,16.75,16.75,16.0,16.1,15610
2008-07-09 00:00:00+05:30,17.95,17.95,16.75,17.25,23489
2008-07-10 00:00:00+05:30,17.25,18.0,17.14,17.55,23490
2008-07-11 00:00:00+05:30,17.8,17.89,16.75,16.89,21826
2008-07-14 00:00:00+05:30,16.95,17.3,16.35,16.85,12821
2008-07-15 00:00:00+05:30,17.0,17.3,16.39,16.55,22805
2008-07-16 00:00:00+05:30,16.8,17.0,16.3,16.5,12918
2008-07-17 00:00:00+05:30,16.5,16.8,15.65,16.14,27466
2008-07-18 00:00:00+05:30,15.65,16.55,15.55,16.3,28153
2008-07-21 00:00:00+05:30,16.3,16.5,16.0,16.1,16105
2008-07-22 00:00:00+05:30,17.7,17.7,15.6,17.14,20214
2008-07-23 00:00:00+05:30,17.5,18.7,17.3,18.3,60652
2008-07-24 00:00:00+05:30,18.0,18.5,17.39,18.05,34900
2008-07-25 00:00:00+05:30,17.55,19.89,17.55,18.25,51080
2008-07-28 00:00:00+05:30,18.0,19.75,18.0,19.14,63698
2008-07-29 00:00:00+05:30,19.7,19.89,18.25,18.39,60077
2008-07-30 00:00:00+05:30,18.95,19.6,18.7,18.89,36467
2008-07-31 00:00:00+05:30,18.7,18.89,18.39,18.6,14601
2008-08-01 00:00:00+05:30,18.95,19.25,18.2,19.0,35048
2008-08-04 00:00:00+05:30,19.2,20.95,19.1,20.2,87780
