date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,77.2,81.9,76.7,77.45,169700
2008-01-02 00:00:00+05:30,78.8,78.8,74.8,75.65,65730
2008-01-03 00:00:00+05:30,76.0,76.5,72.5,73.15,78490
2008-01-04 00:00:00+05:30,75.0,75.0,69.5,70.45,99830
2008-01-07 00:00:00+05:30,71.75,74.5,70.0,71.1,91150
2008-01-08 00:00:00+05:30,72.4,73.2,67.5,69.95,146480
2008-01-09 00:00:00+05:30,69.2,71.0,67.5,70.05,72270
2008-01-10 00:00:00+05:30,69.35,70.9,66.0,66.6,47070
2008-01-11 00:00:00+05:30,67.0,68.3,65.0,66.45,44810
2008-01-14 00:00:00+05:30,66.0,67.8,65.1,66.15,104740
2008-01-15 00:00:00+05:30,65.55,67.0,65.0,65.25,46120
2008-01-16 00:00:00+05:30,65.0,67.45,63.9,66.9,68080
2008-01-17 00:00:00+05:30,67.5,69.4,67.0,68.25,63300
2008-01-18 00:00:00+05:30,68.9,69.0,62.5,63.5,64140
2008-01-21 00:00:00+05:30,62.0,63.35,57.5,57.8,83160
2008-01-22 00:00:00+05:30,55.0,57.7,51.0,54.7,358820
2008-01-23 00:00:00+05:30,51.0,60.9,51.0,60.0,49050
2008-01-24 00:00:00+05:30,60.0,62.0,59.1,59.15,99040
2008-01-25 00:00:00+05:30,61.3,61.4,60.0,60.95,18060
2008-01-28 00:00:00+05:30,60.9,60.9,59.7,60.1,71400
2008-01-29 00:00:00+05:30,60.0,60.7,60.0,60.05,19150
2008-01-30 00:00:00+05:30,60.35,60.5,59.0,59.05,82970
2008-01-31 00:00:00+05:30,58.2,60.3,58.2,59.5,59810
2008-02-01 00:00:00+05:30,60.0,60.0,57.5,58.25,21970
2008-02-04 00:00:00+05:30,57.0,65.95,57.0,58.85,14270
2008-02-05 00:00:00+05:30,63.9,63.9,57.0,58.5,19580
2008-02-06 00:00:00+05:30,57.2,61.0,56.5,56.95,138420
2008-02-07 00:00:00+05:30,57.5,57.5,55.0,55.05,46480
2008-02-08 00:00:00+05:30,55.5,55.7,55.0,55.1,46970
2008-02-11 00:00:00+05:30,55.05,56.0,53.0,53.2,188370
2008-02-12 00:00:00+05:30,53.0,53.9,51.0,53.3,49830
2008-02-13 00:00:00+05:30,53.5,54.2,53.3,54.0,54030
2008-02-14 00:00:00+05:30,51.6,56.5,51.6,55.45,24310
2008-02-15 00:00:00+05:30,55.0,55.5,54.9,55.15,7650
2008-02-18 00:00:00+05:30,56.75,56.75,55.5,55.8,27550
2008-02-19 00:00:00+05:30,56.05,57.15,56.0,56.5,3600
2008-02-20 00:00:00+05:30,57.0,57.0,55.6,55.8,7080
2008-02-21 00:00:00+05:30,55.8,56.3,55.25,55.5,31490
2008-02-22 00:00:00+05:30,63.25,63.25,52.7,55.55,14550
2008-02-25 00:00:00+05:30,55.5,56.0,55.5,55.65,18890
2008-02-26 00:00:00+05:30,59.9,59.9,53.5,55.4,12710
2008-02-27 00:00:00+05:30,56.0,56.2,54.5,56.05,24140
2008-02-28 00:00:00+05:30,56.1,56.8,55.5,56.55,33090
2008-02-29 00:00:00+05:30,53.5,57.8,53.5,57.05,192310
2008-03-03 00:00:00+05:30,54.1,56.0,54.1,55.05,19540
2008-03-04 00:00:00+05:30,56.7,56.7,53.0,53.3,62160
2008-03-05 00:00:00+05:30,53.2,55.0,53.1,54.05,7470
2008-03-07 00:00:00+05:30,54.1,54.1,52.7,52.9,78940
2008-03-10 00:00:00+05:30,52.5,53.5,52.0,53.0,66420
2008-03-11 00:00:00+05:30,55.0,55.5,52.55,55.2,28370
2008-03-12 00:00:00+05:30,56.0,57.75,55.2,57.2,44180
2008-03-13 00:00:00+05:30,54.9,55.5,53.1,53.15,18310
2008-03-14 00:00:00+05:30,54.0,55.0,53.5,54.25,18990
2008-03-17 00:00:00+05:30,53.2,53.7,52.5,52.7,67840
2008-03-18 00:00:00+05:30,50.5,54.5,50.5,53.05,22710
2008-03-19 00:00:00+05:30,55.5,55.5,51.8,52.9,15930
2008-03-24 00:00:00+05:30,50.2,54.3,50.0,50.85,336270
2008-03-25 00:00:00+05:30,51.0,52.7,50.15,51.15,32000
2008-03-26 00:00:00+05:30,52.45,52.45,50.3,50.7,23740
2008-03-27 00:00:00+05:30,50.7,51.8,50.05,51.25,103630
2008-03-28 00:00:00+05:30,51.5,61.0,50.8,53.55,148630
2008-03-31 00:00:00+05:30,51.9,53.0,51.5,52.5,146510
2008-04-01 00:00:00+05:30,52.0,52.7,51.5,51.75,950
2008-04-02 00:00:00+05:30,53.3,53.3,52.5,52.6,2240
2008-04-03 00:00:00+05:30,51.25,53.85,51.25,51.55,9250
2008-04-04 00:00:00+05:30,48.9,51.55,47.7,49.85,17700
2008-04-07 00:00:00+05:30,50.0,50.6,49.55,49.75,14060
2008-04-08 00:00:00+05:30,51.8,51.8,49.5,49.65,27970
2008-04-09 00:00:00+05:30,49.15,50.5,49.15,49.95,23440
2008-04-10 00:00:00+05:30,49.8,50.0,49.55,50.0,13280
2008-04-11 00:00:00+05:30,49.1,49.95,49.1,49.85,18740
2008-04-15 00:00:00+05:30,50.0,51.2,50.0,51.0,17590
2008-04-16 00:00:00+05:30,51.5,51.5,50.1,51.45,16500
2008-04-17 00:00:00+05:30,51.5,53.1,51.35,52.15,13240
2008-04-21 00:00:00+05:30,53.0,54.0,51.2,52.85,7850
2008-04-22 00:00:00+05:30,53.0,54.3,53.0,53.95,15040
2008-04-23 00:00:00+05:30,53.55,54.0,53.1,53.6,3340
2008-04-24 00:00:00+05:30,53.5,54.0,53.0,53.35,8160
2008-04-25 00:00:00+05:30,53.1,53.85,53.0,53.5,8000
2008-04-28 00:00:00+05:30,53.5,54.0,53.0,53.35,15290
2008-04-29 00:00:00+05:30,53.3,54.0,52.5,53.5,6400
2008-04-30 00:00:00+05:30,52.1,53.8,52.1,52.6,73730
2008-05-02 00:00:00+05:30,54.0,54.0,53.0,53.4,482350
2008-05-05 00:00:00+05:30,53.6,54.35,53.5,54.0,14390
2008-05-06 00:00:00+05:30,53.9,54.5,53.65,53.9,5100
2008-05-07 00:00:00+05:30,54.9,54.9,53.0,53.7,10690
2008-05-08 00:00:00+05:30,52.6,53.9,52.5,53.45,15760
2008-05-09 00:00:00+05:30,53.5,53.9,52.5,52.5,9630
2008-05-12 00:00:00+05:30,52.5,54.2,52.5,53.45,11650
2008-05-13 00:00:00+05:30,52.0,55.0,52.0,53.75,31740
2008-05-14 00:00:00+05:30,53.2,53.5,52.3,52.65,2590
2008-05-15 00:00:00+05:30,52.5,53.05,52.2,52.45,16220
2008-05-16 00:00:00+05:30,52.45,52.45,51.5,51.7,21310
2008-05-20 00:00:00+05:30,51.9,52.4,51.5,51.75,13390
2008-05-21 00:00:00+05:30,51.1,54.0,49.0,52.4,25940
2008-05-22 00:00:00+05:30,51.3,52.75,51.3,52.7,6420
2008-05-23 00:00:00+05:30,52.0,52.5,50.3,50.7,25290
2008-05-26 00:00:00+05:30,51.45,51.45,49.5,50.2,6680
2008-05-27 00:00:00+05:30,50.0,50.75,49.5,49.85,7740
2008-05-28 00:00:00+05:30,50.4,52.0,50.0,50.35,6010
2008-05-29 00:00:00+05:30,53.3,53.3,50.5,50.8,19100
2008-05-30 00:00:00+05:30,51.0,51.7,50.5,51.55,41800
2008-06-02 00:00:00+05:30,49.55,52.0,49.55,50.9,10190
2008-06-03 00:00:00+05:30,54.4,54.4,50.0,50.5,3660
2008-06-04 00:00:00+05:30,50.0,51.0,49.1,49.9,17170
2008-06-05 00:00:00+05:30,48.5,49.7,48.5,49.5,2450
2008-06-06 00:00:00+05:30,49.5,49.7,49.0,49.4,8880
2008-06-09 00:00:00+05:30,48.05,48.5,47.1,47.4,23810
2008-06-10 00:00:00+05:30,47.5,47.8,46.4,46.95,12660
2008-06-11 00:00:00+05:30,48.25,48.9,48.0,48.15,10110
2008-06-12 00:00:00+05:30,48.5,49.0,47.75,47.9,9220
2008-06-13 00:00:00+05:30,48.6,48.6,47.6,47.9,2970
2008-06-16 00:00:00+05:30,47.8,49.0,47.8,47.85,16540
2008-06-17 00:00:00+05:30,48.0,49.9,48.0,49.1,11570
2008-06-18 00:00:00+05:30,49.9,49.9,48.8,49.35,5890
2008-06-19 00:00:00+05:30,49.75,54.7,48.0,52.25,96460
2008-06-20 00:00:00+05:30,52.0,52.0,50.0,50.15,27350
2008-06-23 00:00:00+05:30,49.15,49.85,47.5,48.55,15590
2008-06-24 00:00:00+05:30,49.3,49.7,47.7,47.95,14580
2008-06-26 00:00:00+05:30,46.9,48.0,46.9,47.05,5460
2008-06-27 00:00:00+05:30,47.5,48.0,47.5,47.7,33330
2008-06-30 00:00:00+05:30,47.0,47.5,45.0,47.35,42160
2008-07-01 00:00:00+05:30,47.5,47.5,44.0,44.2,8710
2008-07-02 00:00:00+05:30,43.2,45.9,42.0,43.5,40270
2008-07-03 00:00:00+05:30,43.5,44.85,42.2,42.8,34510
2008-07-04 00:00:00+05:30,42.6,44.0,42.6,43.65,4040
2008-07-07 00:00:00+05:30,44.1,46.0,44.1,45.45,11980
2008-07-08 00:00:00+05:30,45.7,45.7,44.0,44.75,2040
2008-07-09 00:00:00+05:30,46.0,47.4,45.0,46.45,6400
2008-07-10 00:00:00+05:30,46.9,47.8,46.4,46.85,512660
2008-07-11 00:00:00+05:30,46.9,47.5,46.6,46.8,758230
2008-07-14 00:00:00+05:30,47.0,47.4,45.6,47.0,3680
2008-07-15 00:00:00+05:30,46.0,47.0,45.3,45.9,4700
2008-07-16 00:00:00+05:30,46.0,47.0,44.5,44.6,7240
2008-07-17 00:00:00+05:30,45.6,48.5,45.0,48.05,43820
2008-07-18 00:00:00+05:30,47.0,50.0,46.3,48.5,11440
2008-07-21 00:00:00+05:30,46.8,49.0,46.8,48.3,8560
2008-07-22 00:00:00+05:30,46.6,49.85,46.6,49.4,12020
2008-07-23 00:00:00+05:30,50.0,50.05,47.1,49.65,109480
2008-07-24 00:00:00+05:30,49.0,49.2,47.8,48.3,18640
2008-07-25 00:00:00+05:30,46.25,50.45,46.2,48.1,16600
2008-07-28 00:00:00+05:30,47.5,48.0,47.0,47.5,10520
2008-07-29 00:00:00+05:30,47.5,48.0,47.3,47.5,55820
2008-07-30 00:00:00+05:30,48.9,48.9,47.1,47.45,234820
2008-07-31 00:00:00+05:30,48.0,48.0,47.1,47.3,6350
2008-08-01 00:00:00+05:30,48.0,48.0,47.2,47.95,4990
2008-08-04 00:00:00+05:30,47.7,48.7,47.7,48.6,680
2008-08-05 00:00:00+05:30,48.7,48.95,48.0,48.7,7460
2008-08-06 00:00:00+05:30,49.5,49.5,48.6,49.3,3800
2008-08-07 00:00:00+05:30,49.0,50.5,48.8,50.0,196720
2008-08-08 00:00:00+05:30,48.1,50.0,48.1,49.55,8880
2008-08-11 00:00:00+05:30,50.0,50.0,49.0,49.6,10740
2008-08-12 00:00:00+05:30,49.4,58.7,49.2,54.6,1940030
2008-08-13 00:00:00+05:30,54.8,56.3,53.3,53.7,480140
2008-08-14 00:00:00+05:30,52.9,53.3,51.75,52.05,588930
2008-08-18 00:00:00+05:30,51.2,52.75,50.7,51.3,34710
2008-08-19 00:00:00+05:30,50.1,51.7,50.1,51.05,18690
2008-08-20 00:00:00+05:30,51.2,52.8,50.6,51.5,19840
2008-08-21 00:00:00+05:30,50.8,51.8,50.8,50.9,18090
2008-08-22 00:00:00+05:30,50.0,51.8,50.0,51.55,17780
2008-08-25 00:00:00+05:30,53.0,53.0,50.4,51.45,15700
2008-08-26 00:00:00+05:30,51.5,53.0,50.6,50.85,5650
2008-08-27 00:00:00+05:30,50.35,57.45,48.2,51.95,20030
2008-08-28 00:00:00+05:30,51.45,52.2,51.0,51.15,16980
2008-08-29 00:00:00+05:30,51.3,52.0,51.0,51.15,13880
2008-09-01 00:00:00+05:30,50.15,52.9,50.15,51.6,8570
2008-09-02 00:00:00+05:30,51.15,51.9,51.15,51.75,14260
2008-09-04 00:00:00+05:30,55.0,55.0,51.6,52.0,11280
2008-09-05 00:00:00+05:30,52.05,52.15,51.0,51.8,6780
2008-09-08 00:00:00+05:30,51.6,52.0,51.5,51.55,2320
2008-09-09 00:00:00+05:30,51.5,52.2,51.0,51.25,7590
2008-09-10 00:00:00+05:30,51.3,51.3,50.75,50.9,5110
2008-09-11 00:00:00+05:30,51.4,51.4,50.0,50.05,22190
2008-09-12 00:00:00+05:30,51.0,51.0,50.4,50.4,4020
2008-09-15 00:00:00+05:30,48.1,49.8,48.0,48.1,9970
2008-09-16 00:00:00+05:30,46.6,48.7,46.0,48.5,18920
2008-09-17 00:00:00+05:30,49.95,50.5,48.5,49.95,30130
2008-09-18 00:00:00+05:30,47.05,49.45,46.6,49.0,5520
2008-09-19 00:00:00+05:30,48.4,50.0,48.2,48.55,325250
2008-09-22 00:00:00+05:30,50.0,50.0,47.9,48.3,10950
2008-09-23 00:00:00+05:30,48.8,48.9,47.1,48.15,6620
2008-09-24 00:00:00+05:30,48.35,49.5,48.3,48.55,2910
2008-09-25 00:00:00+05:30,47.5,48.5,47.5,47.8,4170
2008-09-26 00:00:00+05:30,49.4,49.4,47.5,48.05,4980
2008-09-29 00:00:00+05:30,46.95,47.8,45.5,45.75,2740
2008-09-30 00:00:00+05:30,43.05,45.5,43.0,44.65,20410
2008-10-01 00:00:00+05:30,46.0,46.0,45.2,45.35,5880
