date,open,high,low,close,volume
2012-12-06 00:00:00+05:30,2.55,2.7,2.5,2.7,86140
2012-12-07 00:00:00+05:30,2.85,2.85,2.85,2.85,6815
2012-12-10 00:00:00+05:30,2.95,2.95,2.95,2.95,2485
2012-12-11 00:00:00+05:30,3.1,3.1,3.1,3.1,4305
2012-12-12 00:00:00+05:30,3.25,3.25,3.25,3.25,29310
2012-12-13 00:00:00+05:30,3.45,3.45,3.45,3.45,645
2012-12-14 00:00:00+05:30,3.6,3.6,3.6,3.6,11700
2012-12-17 00:00:00+05:30,3.8,3.8,3.4,3.4,101855
2012-12-18 00:00:00+05:30,3.25,3.25,3.25,3.25,37735
2012-12-19 00:00:00+05:30,3.1,3.1,3.1,3.1,9155
2012-12-20 00:00:00+05:30,2.9,2.95,2.5,2.5,70510
2012-12-21 00:00:00+05:30,2.4,2.4,2.0,2.0,220795
2012-12-24 00:00:00+05:30,1.8,2.05,1.8,1.9,127185
2012-12-26 00:00:00+05:30,1.9,1.9,1.75,1.85,84260
2012-12-27 00:00:00+05:30,1.75,1.85,1.65,1.7,350185
2012-12-28 00:00:00+05:30,1.65,1.85,1.6,1.8,165600
2012-12-31 00:00:00+05:30,1.7,1.7,1.7,1.7,15805
2013-01-01 00:00:00+05:30,1.7,1.85,1.65,1.7,14955
2013-01-02 00:00:00+05:30,1.7,1.85,1.7,1.8,95560
2013-01-03 00:00:00+05:30,1.85,1.9,1.8,1.9,24130
2013-01-04 00:00:00+05:30,1.8,2.05,1.8,2.05,46510
2013-01-07 00:00:00+05:30,2.25,2.3,1.95,2.3,49185
2013-01-08 00:00:00+05:30,2.4,2.4,2.3,2.4,16310
2013-01-09 00:00:00+05:30,2.5,2.5,2.35,2.5,9955
2013-01-10 00:00:00+05:30,2.65,2.65,2.4,2.5,48025
2013-01-11 00:00:00+05:30,2.55,2.55,2.5,2.5,14275
2013-01-14 00:00:00+05:30,2.45,2.6,2.4,2.4,101330
2013-01-15 00:00:00+05:30,2.35,2.55,2.3,2.35,15795
2013-01-16 00:00:00+05:30,2.45,2.45,2.2,2.3,21015
2013-01-17 00:00:00+05:30,2.4,2.4,2.2,2.4,7090
2013-01-18 00:00:00+05:30,2.5,2.5,2.25,2.25,32380
2013-01-21 00:00:00+05:30,2.2,2.4,2.2,2.2,198345
2013-01-22 00:00:00+05:30,2.25,2.25,2.1,2.1,176670
2013-01-23 00:00:00+05:30,2.05,2.2,2.05,2.15,161920
2013-01-24 00:00:00+05:30,2.15,2.3,2.15,2.25,189680
2013-01-25 00:00:00+05:30,2.3,2.4,2.3,2.35,10825
2013-01-28 00:00:00+05:30,2.45,2.45,2.25,2.4,144205
2013-01-30 00:00:00+05:30,2.35,2.5,2.35,2.4,121120
2013-01-31 00:00:00+05:30,2.35,2.5,2.35,2.5,121535
2013-02-01 00:00:00+05:30,2.6,2.65,2.4,2.6,154375
