date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,33.75,36.6,33.45,33.75,344575
2008-01-02 00:00:00+05:30,35.45,35.75,30.35,33.55,141150
2008-01-03 00:00:00+05:30,33.75,34.25,32.3,32.45,87075
2008-01-04 00:00:00+05:30,35.25,35.25,31.45,31.6,81610
2008-01-07 00:00:00+05:30,29.7,32.2,29.6,31.0,64425
2008-01-08 00:00:00+05:30,32.6,32.65,28.05,28.5,61420
2008-01-09 00:00:00+05:30,27.4,28.4,26.45,27.6,33190
2008-01-10 00:00:00+05:30,26.75,29.35,26.45,26.9,37438
2008-01-11 00:00:00+05:30,25.55,26.55,25.15,25.95,27627
2008-01-14 00:00:00+05:30,25.45,27.1,25.45,26.9,24253
2008-01-15 00:00:00+05:30,28.0,28.05,26.6,26.7,13621
2008-01-16 00:00:00+05:30,25.95,26.45,25.0,25.45,18909
2008-01-17 00:00:00+05:30,25.55,27.0,24.45,25.8,14507
2008-01-18 00:00:00+05:30,24.55,26.45,24.55,25.0,6980
2008-01-21 00:00:00+05:30,23.5,24.7,20.35,21.95,24184
2008-01-22 00:00:00+05:30,19.85,19.85,17.65,19.35,6054
2008-01-23 00:00:00+05:30,22.45,22.7,18.7,22.45,9212
2008-01-24 00:00:00+05:30,22.55,23.1,19.1,20.0,14196
2008-01-25 00:00:00+05:30,19.6,20.55,18.75,20.2,12689
2008-01-28 00:00:00+05:30,18.8,23.4,18.8,20.9,12111
2008-01-29 00:00:00+05:30,20.3,21.5,20.15,20.2,9241
2008-01-30 00:00:00+05:30,22.3,22.3,20.2,20.35,3633
2008-01-31 00:00:00+05:30,20.25,21.5,20.25,21.1,5113
2008-02-01 00:00:00+05:30,20.8,21.05,19.25,20.05,23291
2008-02-04 00:00:00+05:30,19.7,22.5,19.65,21.25,13513
2008-02-05 00:00:00+05:30,21.05,21.75,20.75,21.5,6250
2008-02-06 00:00:00+05:30,20.55,21.4,19.2,20.15,19373
2008-02-07 00:00:00+05:30,20.8,20.95,19.8,20.0,15355
2008-02-08 00:00:00+05:30,16.05,20.55,16.05,19.05,12984
2008-02-11 00:00:00+05:30,19.45,19.45,18.1,18.15,55059
