date,open,high,low,close,volume
2018-05-22 00:00:00+05:30,16.2,16.2,15.4,15.4,65000
2018-05-23 00:00:00+05:30,14.65,14.65,14.65,14.65,465000
2018-05-24 11:00:00+05:30,13.9,13.9,13.9,13.9,960000
2018-05-25 00:00:00+05:30,13.25,14.6,13.25,14.5,805000
2018-05-28 00:00:00+05:30,14.1,14.95,13.6,14.95,545000
2018-05-29 00:00:00+05:30,14.85,15.65,14.85,15.65,65000
2018-05-30 00:00:00+05:30,16.2,16.45,16.2,16.45,255000
2018-05-31 00:00:00+05:30,17.2,17.25,16.8,16.8,40000
2018-06-01 00:00:00+05:30,17.3,17.95,16.85,17.95,45000
2018-06-04 00:00:00+05:30,17.15,18.0,16.7,18.0,35000
2018-06-05 00:00:00+05:30,18.05,18.5,18.05,18.05,25000
2018-06-06 00:00:00+05:30,18.0,18.05,18.0,18.05,15000
2018-06-07 00:00:00+05:30,18.0,18.75,18.0,18.75,10000
2018-06-11 00:00:00+05:30,18.3,19.3,18.3,19.3,15000
2018-06-12 00:00:00+05:30,18.95,18.95,18.95,18.95,25000
2018-06-13 00:00:00+05:30,18.95,19.0,18.3,18.7,110000
2018-06-14 00:00:00+05:30,18.0,18.85,18.0,18.3,140000
2018-06-18 00:00:00+05:30,17.4,17.4,15.3,16.95,90000
2018-06-20 00:00:00+05:30,16.45,16.65,16.2,16.65,300000
2018-06-21 00:00:00+05:30,16.2,16.2,16.2,16.2,30000
2018-06-22 00:00:00+05:30,16.2,16.2,15.75,15.75,35000
2018-06-26 00:00:00+05:30,15.3,15.3,13.1,13.3,90000
2018-06-28 00:00:00+05:30,13.75,13.75,13.75,13.75,25000
2018-06-29 00:00:00+05:30,13.5,15.0,13.5,14.25,270000
2018-07-03 00:00:00+05:30,13.8,14.3,13.35,14.3,30000
2018-07-04 00:00:00+05:30,13.6,13.65,12.9,12.9,25000
2018-07-05 00:00:00+05:30,13.5,13.5,13.2,13.2,10000
2018-07-06 00:00:00+05:30,12.45,12.45,12.0,12.25,15000
2018-07-09 00:00:00+05:30,12.3,12.3,12.3,12.3,15000
2018-07-10 00:00:00+05:30,11.6,12.4,11.6,12.4,10000
2018-07-11 00:00:00+05:30,12.05,12.05,12.05,12.05,5000
2018-07-12 00:00:00+05:30,12.05,12.05,12.05,12.05,65000
2018-07-17 00:00:00+05:30,11.55,11.55,10.15,10.45,30000
2018-07-18 00:00:00+05:30,10.5,10.8,10.5,10.5,160000
2018-07-20 00:00:00+05:30,10.2,10.2,9.75,9.9,15000
2018-07-25 00:00:00+05:30,9.15,9.15,9.15,9.15,5000
2018-07-30 00:00:00+05:30,9.0,9.0,9.0,9.0,305000
2018-07-31 00:00:00+05:30,9.0,9.3,9.0,9.0,100000
2018-08-14 00:00:00+05:30,8.7,8.7,8.4,8.4,20000
2018-08-16 00:00:00+05:30,6.7,8.55,6.7,8.55,20000
2018-08-17 00:00:00+05:30,8.85,8.85,8.85,8.85,5000
2018-08-27 00:00:00+05:30,8.55,8.55,8.55,8.55,5000
2018-08-28 00:00:00+05:30,8.25,8.25,8.25,8.25,5000
2018-09-04 00:00:00+05:30,8.45,8.45,8.45,8.45,15000
2018-09-05 00:00:00+05:30,8.25,8.4,8.25,8.4,10000
2018-09-06 00:00:00+05:30,8.25,8.25,8.25,8.25,10000
2018-09-21 00:00:00+05:30,7.95,8.1,7.95,8.1,10000
2018-09-25 10:00:00+05:30,7.95,7.95,7.35,7.8,30000
2018-09-26 00:00:00+05:30,7.55,7.65,7.55,7.65,10000
2018-09-27 00:00:00+05:30,7.2,7.35,6.9,7.35,65000
2018-09-28 00:00:00+05:30,6.6,6.6,6.6,6.6,15000
2018-10-01 00:00:00+05:30,6.7,6.7,6.7,6.7,90000
2018-10-03 00:00:00+05:30,6.3,6.35,5.95,6.3,30000
2018-10-05 00:00:00+05:30,6.45,6.45,6.45,6.45,390000
2018-10-08 00:00:00+05:30,6.0,6.0,5.7,5.95,370000
2018-10-11 00:00:00+05:30,6.1,6.1,6.1,6.1,10000
2018-10-12 00:00:00+05:30,6.0,6.0,6.0,6.0,5000
2018-10-15 00:00:00+05:30,6.05,6.05,6.05,6.05,5000
2018-10-23 00:00:00+05:30,5.8,5.9,5.8,5.9,10000
2018-11-01 00:00:00+05:30,6.0,6.2,6.0,6.2,10000
2018-11-06 00:00:00+05:30,6.2,6.2,6.2,6.2,5000
2018-11-09 00:00:00+05:30,6.2,6.2,6.2,6.2,5000
2018-11-29 00:00:00+05:30,6.55,6.55,6.55,6.55,5000
2018-12-26 00:00:00+05:30,6.6,6.6,6.6,6.6,50000
2019-01-09 00:00:00+05:30,6.75,7.9,6.75,7.75,45000
2019-02-06 00:00:00+05:30,7.0,7.05,7.0,7.05,20000
2019-02-14 00:00:00+05:30,6.75,6.75,6.75,6.75,5000
2019-02-18 00:00:00+05:30,6.8,6.8,6.8,6.8,5000
