date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,23.4,23.4,21.2,23.1,7400
2008-01-02 00:00:00+05:30,24.15,24.2,21.9,23.5,6200
2008-01-03 00:00:00+05:30,22.5,24.6,22.4,22.65,6800
2008-01-04 00:00:00+05:30,21.6,22.7,21.5,22.7,1200
2008-01-07 00:00:00+05:30,22.0,22.0,21.6,21.6,7200
2008-01-08 00:00:00+05:30,20.5,20.5,20.5,20.5,2600
2008-01-09 00:00:00+05:30,19.5,19.5,19.5,19.5,1400
2008-01-10 00:00:00+05:30,18.55,18.55,18.55,18.55,2200
2008-01-11 00:00:00+05:30,17.6,19.4,17.6,18.8,1400
2008-01-14 00:00:00+05:30,17.9,17.9,17.9,17.9,600
2008-01-15 00:00:00+05:30,17.0,17.05,17.0,17.05,1000
2008-01-16 00:00:00+05:30,16.2,17.65,16.2,17.65,1000
2008-01-17 00:00:00+05:30,16.8,17.65,16.75,16.75,5400
2008-01-18 00:00:00+05:30,15.95,17.6,15.95,17.6,14400
2008-01-25 00:00:00+05:30,16.7,16.7,16.7,16.7,200
2008-01-28 00:00:00+05:30,15.9,15.9,15.9,15.9,200
2008-01-29 00:00:00+05:30,15.1,16.6,15.1,16.6,7000
2008-01-31 00:00:00+05:30,15.8,15.8,15.8,15.8,200
2008-02-01 00:00:00+05:30,15.0,15.0,15.0,15.0,2200
2008-02-04 00:00:00+05:30,14.3,15.75,14.3,14.3,4800
2008-02-05 00:00:00+05:30,13.6,13.6,13.6,13.6,1800
2008-02-06 00:00:00+05:30,12.9,12.9,12.9,12.9,1400
2008-02-07 00:00:00+05:30,12.3,12.3,12.3,12.3,800
2008-02-08 00:00:00+05:30,11.7,11.7,11.7,11.7,400
2008-02-11 00:00:00+05:30,11.1,11.1,11.1,11.1,200
2008-02-12 00:00:00+05:30,10.55,10.55,10.55,10.55,4200
2008-02-13 00:00:00+05:30,10.0,10.0,10.0,10.0,200
2008-02-14 00:00:00+05:30,9.5,9.5,9.5,9.5,600
2008-02-15 00:00:00+05:30,9.05,9.05,9.05,9.05,6000
2008-02-18 00:00:00+05:30,8.6,8.6,8.6,8.6,3400
2008-02-19 00:00:00+05:30,8.2,8.5,8.2,8.4,5000
2008-02-20 00:00:00+05:30,8.15,8.15,8.1,8.1,1400
2008-02-21 00:00:00+05:30,8.5,8.5,8.5,8.5,800
2008-02-22 00:00:00+05:30,8.2,8.2,8.2,8.2,1000
2008-02-25 00:00:00+05:30,8.0,8.0,7.85,7.85,400
2008-02-26 00:00:00+05:30,8.0,8.0,8.0,8.0,200
2008-02-27 00:00:00+05:30,7.6,8.4,7.6,8.4,5200
2008-02-28 00:00:00+05:30,8.8,8.8,8.8,8.8,1600
2008-03-05 00:00:00+05:30,8.4,8.4,8.4,8.4,200
2008-03-07 00:00:00+05:30,8.0,8.0,8.0,8.0,200
2008-03-13 00:00:00+05:30,7.6,7.6,7.6,7.6,400
2008-03-19 00:00:00+05:30,7.3,7.3,7.3,7.3,2000
2008-03-24 00:00:00+05:30,7.0,7.0,7.0,7.0,800
2008-03-26 00:00:00+05:30,6.7,6.7,6.7,6.7,800
2008-03-27 00:00:00+05:30,6.7,7.0,6.7,7.0,1600
2008-03-31 00:00:00+05:30,7.35,7.35,7.35,7.35,200
2008-04-01 00:00:00+05:30,7.0,7.0,7.0,7.0,21400
2008-04-02 00:00:00+05:30,7.35,7.35,7.35,7.35,600
2008-04-03 00:00:00+05:30,7.7,7.7,7.7,7.7,200
