date,open,high,low,close,volume
2025-07-07 00:00:00+05:30,125.0,125.0,118.75,118.75,456000
2025-07-08 00:00:00+05:30,112.85,112.85,112.85,112.85,1200
2025-07-14 00:00:00+05:30,107.25,107.25,107.25,107.25,1200
2025-07-15 00:00:00+05:30,101.9,101.9,101.9,101.9,1200
2025-07-16 00:00:00+05:30,96.85,96.85,96.85,96.85,1200
2025-07-21 00:00:00+05:30,77.5,81.0,77.5,77.5,94800
2025-07-22 00:00:00+05:30,62.6,65.05,62.0,62.0,204000
2025-07-23 00:00:00+05:30,55.8,59.9,55.8,55.8,247200
2025-07-24 00:00:00+05:30,50.35,51.5,50.25,50.25,193200
2025-07-25 00:00:00+05:30,48.0,49.25,47.75,47.75,112800
2025-07-28 00:00:00+05:30,50.05,50.05,45.4,45.4,160800
2025-07-29 00:00:00+05:30,43.15,44.0,43.15,43.15,45600
2025-07-30 00:00:00+05:30,41.0,42.0,41.0,41.0,56400
2025-07-31 00:00:00+05:30,38.95,38.95,38.95,38.95,14400
2025-08-01 00:00:00+05:30,37.26,40.0,37.01,37.45,236400
2025-08-04 00:00:00+05:30,35.67,36.0,35.58,35.58,84000
2025-08-05 00:00:00+05:30,34.1,35.0,33.81,33.81,62400
2025-08-06 00:00:00+05:30,32.31,35.5,32.12,35.5,80400
2025-08-07 00:00:00+05:30,36.75,37.27,33.73,35.81,298800
2025-08-08 00:00:00+05:30,34.12,37.6,34.03,37.6,117600
2025-08-11 00:00:00+05:30,39.4,39.48,39.4,39.48,43200
2025-08-12 00:00:00+05:30,41.45,41.45,41.35,41.45,76800
2025-08-13 00:00:00+05:30,42.75,43.52,42.28,43.52,37200
2025-08-14 00:00:00+05:30,44.99,45.69,44.99,45.68,139200
2025-08-18 00:00:00+05:30,47.0,47.0,43.4,43.4,27600
2025-08-19 00:00:00+05:30,41.23,41.23,41.23,41.23,9600
2025-08-20 00:00:00+05:30,39.17,39.17,39.17,39.17,8400
2025-08-21 00:00:00+05:30,37.22,37.22,37.22,37.22,12000
2025-08-22 00:00:00+05:30,35.65,39.08,35.65,39.08,62400
2025-08-25 00:00:00+05:30,39.8,40.24,37.13,39.62,92400
2025-08-26 00:00:00+05:30,40.0,40.0,37.64,37.93,26400
2025-08-28 00:00:00+05:30,37.05,37.93,36.37,37.55,10800
2025-08-29 00:00:00+05:30,37.55,39.42,37.55,39.22,39600
2025-09-01 00:00:00+05:30,39.22,41.18,38.0,41.18,44400
2025-09-02 00:00:00+05:30,43.23,43.23,41.18,43.23,52800
2025-09-03 00:00:00+05:30,42.38,45.39,42.38,45.39,49200
2025-09-04 00:00:00+05:30,47.5,47.65,46.0,47.65,84000
2025-09-05 00:00:00+05:30,50.03,50.03,49.95,50.03,39600
2025-09-08 00:00:00+05:30,52.5,52.5,47.53,47.53,118800
2025-09-09 00:00:00+05:30,49.0,49.9,48.0,49.9,54000
2025-09-10 00:00:00+05:30,52.2,52.25,48.0,50.91,49200
2025-09-11 00:00:00+05:30,50.66,50.66,48.37,50.2,37200
2025-09-12 00:00:00+05:30,50.2,51.0,49.0,49.1,12000
2025-09-15 00:00:00+05:30,49.0,49.7,46.7,49.7,67200
2025-09-16 00:00:00+05:30,49.69,49.7,48.25,48.55,18000
2025-09-17 00:00:00+05:30,49.74,49.74,48.3,48.55,24000
2025-09-18 00:00:00+05:30,48.5,48.5,46.26,46.71,37200
2025-09-19 00:00:00+05:30,46.48,46.71,44.38,45.49,30000
