date,open,high,low,close,volume
2015-08-27 00:00:00+05:30,10.0,10.5,10.0,10.5,2
2015-08-28 00:00:00+05:30,11.02,11.02,11.02,11.02,1
2015-08-31 00:00:00+05:30,11.57,11.57,11.57,11.57,1
2015-09-01 00:00:00+05:30,12.14,12.14,12.14,12.14,1
2015-09-02 00:00:00+05:30,12.74,12.74,12.74,12.74,10
2015-09-03 00:00:00+05:30,13.37,13.37,13.37,13.37,1
2015-09-04 00:00:00+05:30,14.03,14.03,14.03,14.03,951
2015-09-07 00:00:00+05:30,14.73,14.73,14.73,14.73,2
2015-09-08 00:00:00+05:30,15.46,15.46,15.46,15.46,1952
2015-09-09 00:00:00+05:30,16.23,16.23,16.23,16.23,1
2015-09-10 00:00:00+05:30,17.04,17.04,17.04,17.04,1
2015-09-11 00:00:00+05:30,17.89,17.89,17.89,17.89,1101
2015-09-14 00:00:00+05:30,18.78,18.78,18.78,18.78,1
2015-09-16 00:00:00+05:30,19.71,19.71,19.71,19.71,1
2015-09-18 00:00:00+05:30,20.69,20.69,20.69,20.69,250
2015-09-21 00:00:00+05:30,21.72,21.72,21.72,21.72,50
2015-09-22 00:00:00+05:30,22.15,22.15,22.15,22.15,1
2015-09-23 00:00:00+05:30,22.59,22.59,22.59,22.59,1
2015-09-24 00:00:00+05:30,23.04,23.04,23.04,23.04,1
2015-09-28 00:00:00+05:30,23.5,23.5,23.5,23.5,50
2015-09-29 00:00:00+05:30,23.97,23.97,23.97,23.97,1
2015-09-30 00:00:00+05:30,24.44,24.44,24.44,24.44,1
2015-10-01 00:00:00+05:30,24.9,24.9,24.9,24.9,50
2015-10-05 00:00:00+05:30,25.35,25.35,25.35,25.35,1
2015-10-06 00:00:00+05:30,25.85,25.85,25.85,25.85,1
2015-10-07 00:00:00+05:30,26.35,26.35,26.35,26.35,1
2015-10-08 00:00:00+05:30,26.85,26.85,26.85,26.85,1
2015-10-09 00:00:00+05:30,27.35,27.35,27.35,27.35,1
2015-10-20 00:00:00+05:30,27.85,27.85,26.85,27.1,500
2015-10-21 00:00:00+05:30,27.2,27.2,26.9,27.0,300
2015-10-23 00:00:00+05:30,26.8,26.8,26.8,26.8,10
2015-10-26 00:00:00+05:30,26.3,26.3,26.3,26.3,10
2015-10-27 00:00:00+05:30,26.8,26.8,26.6,26.7,50
2015-10-29 00:00:00+05:30,27.2,27.2,27.0,27.1,50
2015-10-30 00:00:00+05:30,27.6,27.6,27.0,27.3,50
2015-11-02 00:00:00+05:30,27.5,27.5,27.0,27.25,50
2015-11-03 00:00:00+05:30,27.7,27.7,27.7,27.7,20
2015-11-04 00:00:00+05:30,27.7,27.7,27.7,27.7,181
2015-11-06 00:00:00+05:30,28.0,28.0,28.0,28.0,50
2015-11-16 00:00:00+05:30,29.0,29.0,28.5,28.85,76
2015-11-17 00:00:00+05:30,30.0,30.0,30.0,30.0,50
2015-11-18 00:00:00+05:30,31.0,31.0,31.0,31.0,10
2015-11-19 00:00:00+05:30,32.5,32.5,32.25,32.4,40
2015-11-20 00:00:00+05:30,33.5,33.5,33.0,33.0,176
2015-11-24 00:00:00+05:30,34.5,34.5,34.25,34.4,50
2015-11-26 00:00:00+05:30,35.0,35.0,35.0,35.0,25
2015-11-27 00:00:00+05:30,35.25,35.25,35.25,35.25,25
2015-11-30 00:00:00+05:30,35.25,35.25,35.0,35.15,50
2015-12-02 00:00:00+05:30,36.5,36.5,36.0,36.25,50
2015-12-03 00:00:00+05:30,38.0,38.0,36.0,37.0,50
2015-12-04 00:00:00+05:30,38.5,38.5,38.5,38.5,1
2015-12-07 00:00:00+05:30,38.54,38.54,38.5,38.5,50
2015-12-08 00:00:00+05:30,38.5,38.5,38.0,38.25,50
2015-12-09 00:00:00+05:30,38.0,38.0,37.0,37.5,50
