date,open,high,low,close,volume
2008-02-01 00:00:00+05:30,2.35,2.35,2.35,2.35,200
2008-02-08 00:00:00+05:30,2.46,2.46,2.46,2.46,200
2008-08-06 00:00:00+05:30,2.58,2.58,2.58,2.58,1000
2008-08-08 00:00:00+05:30,2.7,2.7,2.7,2.7,50
2009-03-27 00:00:00+05:30,2.7,2.7,2.7,2.7,200
2009-11-19 00:00:00+05:30,2.7,2.7,2.7,2.7,200
2010-12-01 00:00:00+05:30,2.7,2.7,2.7,2.7,200
2021-04-15 00:00:00+05:30,1.7,1.7,1.7,1.7,300
2024-05-06 00:00:00+05:30,1.78,1.78,1.78,1.78,1
2024-05-08 00:00:00+05:30,1.86,1.86,1.86,1.86,1
2024-06-10 00:00:00+05:30,1.95,1.95,1.95,1.95,10
2024-06-19 00:00:00+05:30,2.04,2.04,2.04,2.04,10
2024-07-29 00:00:00+05:30,2.14,2.14,2.14,2.14,25
2024-08-12 00:00:00+05:30,2.24,2.24,2.24,2.24,5
2024-08-13 00:00:00+05:30,2.35,2.35,2.35,2.35,10
2024-08-16 00:00:00+05:30,2.46,2.46,2.46,2.46,2
2024-08-19 00:00:00+05:30,2.58,2.58,2.58,2.58,5
2024-08-20 00:00:00+05:30,2.7,2.7,2.7,2.7,10
2024-08-21 00:00:00+05:30,2.83,2.83,2.83,2.83,2
2024-08-22 00:00:00+05:30,2.97,2.97,2.97,2.97,3
2024-08-29 00:00:00+05:30,3.11,3.11,3.11,3.11,6
2024-08-30 00:00:00+05:30,3.26,3.26,3.26,3.26,5
2024-09-02 00:00:00+05:30,3.42,3.42,3.42,3.42,7
2024-09-05 00:00:00+05:30,3.59,3.59,3.59,3.59,10
2024-09-06 00:00:00+05:30,3.76,3.76,3.76,3.76,5
2024-09-09 00:00:00+05:30,3.94,3.94,3.94,3.94,7
2024-09-11 00:00:00+05:30,4.13,4.13,4.13,4.13,8
2024-09-16 00:00:00+05:30,4.21,4.21,4.21,4.21,5
2024-09-17 00:00:00+05:30,4.29,4.29,4.29,4.29,7
2024-09-18 00:00:00+05:30,4.37,4.37,4.37,4.37,10
2024-09-19 00:00:00+05:30,4.45,4.45,4.45,4.45,5
2024-09-20 00:00:00+05:30,4.53,4.53,4.53,4.53,5
2024-09-23 00:00:00+05:30,4.62,4.62,4.62,4.62,5
2024-09-25 00:00:00+05:30,4.71,4.71,4.71,4.71,5
2024-09-26 00:00:00+05:30,4.8,4.8,4.8,4.8,10
2024-09-27 00:00:00+05:30,4.89,4.89,4.89,4.89,4
2024-09-30 00:00:00+05:30,4.98,4.98,4.98,4.98,5
2024-10-01 00:00:00+05:30,5.07,5.07,5.07,5.07,7
2024-10-04 00:00:00+05:30,5.17,5.17,5.17,5.17,5
2024-10-07 00:00:00+05:30,5.27,5.27,5.27,5.27,6
2024-10-08 00:00:00+05:30,5.37,5.37,5.37,5.37,5
2024-10-09 00:00:00+05:30,5.47,5.47,5.47,5.47,7
2024-10-10 00:00:00+05:30,5.57,5.57,5.57,5.57,6
2024-10-11 00:00:00+05:30,5.68,5.68,5.68,5.68,6
2024-10-14 00:00:00+05:30,5.79,5.79,5.79,5.79,9
2024-10-15 00:00:00+05:30,5.9,5.9,5.9,5.9,5
2024-10-16 00:00:00+05:30,6.01,6.01,6.01,6.01,7
2024-10-17 00:00:00+05:30,6.13,6.13,6.13,6.13,4
2024-10-18 00:00:00+05:30,6.25,6.25,6.25,6.25,6
2024-10-21 00:00:00+05:30,6.37,6.37,6.37,6.37,5
