date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,10.24,10.24,9.75,10.24,74047
2008-01-02 00:00:00+05:30,10.75,10.75,10.51,10.75,89294
2008-01-03 00:00:00+05:30,11.25,11.28,10.75,11.28,32485
2008-01-04 00:00:00+05:30,11.84,11.84,11.84,11.84,17327
2008-01-07 00:00:00+05:30,12.43,12.43,12.43,12.43,31925
2008-01-08 00:00:00+05:30,12.95,13.05,11.81,11.81,66000
2008-01-09 00:00:00+05:30,11.22,11.22,11.22,11.22,6505
2008-01-10 00:00:00+05:30,10.66,10.66,10.66,10.66,2800
2008-01-11 00:00:00+05:30,10.13,10.13,10.13,10.13,1200
2008-01-14 00:00:00+05:30,9.63,9.63,9.63,9.63,360
2008-01-15 00:00:00+05:30,9.15,9.15,9.15,9.15,205
2008-01-16 00:00:00+05:30,8.69,8.69,8.69,8.69,1860
2008-01-17 00:00:00+05:30,8.27,8.3,8.27,8.27,29060
2008-01-18 00:00:00+05:30,8.28,8.6,7.86,7.9,22950
2008-01-21 00:00:00+05:30,7.51,7.51,7.51,7.51,1450
2008-01-23 00:00:00+05:30,7.15,7.7,7.15,7.6,2341
2008-01-24 00:00:00+05:30,7.23,7.94,7.23,7.23,3833
2008-01-25 00:00:00+05:30,6.91,6.91,6.89,6.9,3800
2008-01-28 00:00:00+05:30,6.56,6.99,6.56,6.99,3951
2008-01-29 00:00:00+05:30,6.65,7.33,6.65,6.65,6882
2008-01-30 00:00:00+05:30,6.32,6.5,6.32,6.32,7166
2008-01-31 00:00:00+05:30,6.01,6.01,6.01,6.01,9539
2008-02-01 00:00:00+05:30,6.31,6.31,5.71,5.76,6465
2008-02-04 00:00:00+05:30,5.48,6.04,5.48,6.04,4675
2008-02-05 00:00:00+05:30,6.04,6.34,6.04,6.34,3020
2008-02-06 00:00:00+05:30,6.65,6.65,6.05,6.65,4420
2008-02-07 00:00:00+05:30,6.65,6.98,6.6,6.8,7180
2008-02-08 00:00:00+05:30,6.6,6.6,6.47,6.47,7700
2008-02-11 00:00:00+05:30,6.25,6.6,6.15,6.15,4191
2008-02-12 00:00:00+05:30,6.0,6.0,5.85,5.85,1200
2008-02-13 00:00:00+05:30,5.6,5.6,5.56,5.56,1700
2008-02-14 00:00:00+05:30,5.4,5.83,5.35,5.82,2019
2008-02-15 00:00:00+05:30,6.0,6.0,5.85,6.0,2457
