date,open,high,low,close,volume
2019-08-02 00:00:00+05:30,9.0,9.45,9.0,9.45,380110
2020-10-19 00:00:00+05:30,9.6,9.6,9.6,9.6,25
2020-10-20 00:00:00+05:30,9.75,9.75,9.75,9.75,35
2020-10-21 00:00:00+05:30,9.92,9.92,9.92,9.92,10
2020-10-22 00:00:00+05:30,10.1,10.1,10.1,10.1,15
2020-10-23 00:00:00+05:30,10.28,10.28,10.28,10.28,25
2020-10-26 00:00:00+05:30,10.4,10.4,10.4,10.4,25
2020-10-27 00:00:00+05:30,10.58,10.58,10.58,10.58,15
2020-10-28 00:00:00+05:30,10.75,10.75,10.75,10.75,15
2020-10-29 00:00:00+05:30,10.95,10.95,10.95,10.95,25
2020-10-30 00:00:00+05:30,11.15,11.15,11.15,11.15,45
2020-11-02 00:00:00+05:30,11.35,11.35,11.35,11.35,10
2020-11-04 00:00:00+05:30,11.55,11.55,11.55,11.55,90
2020-11-05 00:00:00+05:30,11.75,11.75,11.75,11.75,25
2020-11-09 00:00:00+05:30,11.95,11.95,11.95,11.95,50
2020-11-13 00:00:00+05:30,12.15,12.15,12.15,12.15,10
2021-01-21 00:00:00+05:30,12.39,12.39,11.91,12.35,368954
2021-01-22 00:00:00+05:30,12.59,12.59,12.59,12.59,101
2021-01-25 00:00:00+05:30,12.84,12.84,12.84,12.84,11
2021-01-27 00:00:00+05:30,13.09,13.09,13.09,13.09,40111
2021-01-28 00:00:00+05:30,13.35,13.35,13.35,13.35,18828
2021-01-29 00:00:00+05:30,13.61,13.61,13.61,13.61,101
2021-02-01 00:00:00+05:30,13.88,13.88,13.88,13.88,27286
2021-02-02 00:00:00+05:30,14.15,14.15,14.1,14.13,23891
2021-02-03 00:00:00+05:30,14.41,14.41,14.41,14.41,2410
2021-02-04 00:00:00+05:30,14.69,14.69,14.69,14.69,227818
2021-02-05 00:00:00+05:30,14.98,14.98,14.98,14.98,255391
2021-02-08 00:00:00+05:30,15.27,15.27,15.27,15.27,353455
2021-02-09 00:00:00+05:30,15.57,15.57,15.57,15.57,313157
2021-02-10 00:00:00+05:30,15.88,15.88,15.88,15.88,270004
2021-02-11 00:00:00+05:30,16.19,16.19,16.19,16.19,352508
2021-02-12 00:00:00+05:30,16.51,16.51,16.51,16.51,305017
2021-02-15 00:00:00+05:30,16.84,16.84,16.84,16.84,16379
2021-02-16 00:00:00+05:30,17.17,17.17,17.17,17.17,22915
2021-02-17 00:00:00+05:30,17.51,17.51,17.51,17.51,33
2021-02-18 00:00:00+05:30,17.86,17.86,17.86,17.86,18
2021-02-19 00:00:00+05:30,18.21,18.21,18.21,18.21,1
2021-02-22 00:00:00+05:30,18.57,18.57,18.57,18.57,1
2021-02-23 00:00:00+05:30,18.94,18.94,18.94,18.94,207
2021-02-24 00:00:00+05:30,19.31,19.31,18.57,18.72,83161
2021-02-25 00:00:00+05:30,19.09,19.09,19.09,19.09,850
2021-02-26 00:00:00+05:30,19.47,19.47,19.47,19.47,1013
2021-03-01 00:00:00+05:30,19.85,19.85,19.85,19.85,139
2021-03-02 00:00:00+05:30,20.2,20.2,20.2,20.2,1
2021-03-03 00:00:00+05:30,20.6,20.6,20.6,20.6,1
2021-03-04 00:00:00+05:30,21.0,21.0,21.0,21.0,1255
2021-03-05 00:00:00+05:30,21.4,21.4,21.4,21.4,980
2021-03-08 00:00:00+05:30,21.8,21.8,21.8,21.8,10520
2021-03-09 00:00:00+05:30,22.2,22.2,22.2,22.2,502
2021-03-10 00:00:00+05:30,22.6,22.6,22.6,22.6,1000
2021-03-12 00:00:00+05:30,23.05,23.05,23.05,23.05,3620
2021-03-15 00:00:00+05:30,23.5,23.5,23.5,23.5,612
2021-03-16 00:00:00+05:30,23.95,23.95,23.95,23.95,6103
2021-03-17 00:00:00+05:30,24.4,24.4,24.4,24.4,451
2021-03-18 00:00:00+05:30,24.85,24.85,24.85,24.85,203
2021-03-19 00:00:00+05:30,25.3,25.3,25.3,25.3,358
2021-03-22 00:00:00+05:30,25.8,25.8,25.8,25.8,305
2021-03-23 00:00:00+05:30,26.3,26.3,26.3,26.3,333
2021-03-24 00:00:00+05:30,26.8,26.8,26.8,26.8,531
2021-03-25 00:00:00+05:30,27.3,27.3,27.3,27.3,1316
2021-03-26 00:00:00+05:30,27.8,27.8,27.8,27.8,328
2021-03-30 00:00:00+05:30,28.35,28.35,28.35,28.35,433
2021-03-31 00:00:00+05:30,28.9,28.9,28.9,28.9,246
2021-04-01 00:00:00+05:30,29.45,29.45,29.45,29.45,608
2021-04-05 00:00:00+05:30,30.0,30.0,30.0,30.0,3891
2021-04-06 00:00:00+05:30,30.6,30.6,30.6,30.6,3169
2021-04-07 00:00:00+05:30,31.2,31.2,31.2,31.2,2638
2021-04-08 00:00:00+05:30,31.8,31.8,31.8,31.8,2008
2021-04-09 00:00:00+05:30,32.4,32.4,32.4,32.4,1338
2021-04-12 00:00:00+05:30,33.0,33.0,33.0,33.0,1650
2021-04-13 00:00:00+05:30,33.65,33.65,33.65,33.65,898
2021-04-15 00:00:00+05:30,34.3,34.3,34.3,34.3,858
2021-04-16 00:00:00+05:30,34.95,34.95,34.95,34.95,8332
2021-04-19 00:00:00+05:30,35.6,35.6,34.3,35.6,19123
2021-04-20 00:00:00+05:30,36.3,36.3,36.3,36.3,258
2021-04-22 00:00:00+05:30,37.0,37.0,37.0,37.0,4106
2021-04-23 00:00:00+05:30,37.7,37.7,37.7,37.7,438
2021-04-26 00:00:00+05:30,38.45,38.45,38.45,38.45,283
2021-04-27 00:00:00+05:30,39.2,39.2,38.45,39.2,11205
2021-04-28 00:00:00+05:30,39.95,39.95,39.95,39.95,4638
2021-04-29 00:00:00+05:30,40.7,40.7,39.2,40.65,41892
2021-04-30 00:00:00+05:30,40.9,41.45,40.5,41.45,8789
2021-05-03 00:00:00+05:30,41.9,42.25,41.45,42.25,24058
2021-05-04 00:00:00+05:30,43.05,43.05,43.05,43.05,19239
2021-05-05 00:00:00+05:30,43.9,43.9,43.9,43.9,339
2021-05-06 00:00:00+05:30,44.75,44.75,44.75,44.75,6783
2021-05-07 00:00:00+05:30,45.6,45.6,45.6,45.6,6503
2021-05-10 00:00:00+05:30,46.5,46.5,46.45,46.5,2872
2021-05-11 00:00:00+05:30,47.4,47.4,47.4,47.4,104293
2021-05-12 00:00:00+05:30,48.3,48.3,48.3,48.3,12725
2021-05-14 00:00:00+05:30,49.25,49.25,47.9,49.25,7938
2021-05-17 00:00:00+05:30,50.2,50.2,50.2,50.2,4538
2021-05-18 00:00:00+05:30,51.2,51.2,49.2,50.35,8067
2021-05-19 00:00:00+05:30,51.35,51.35,49.35,49.5,9132
2021-05-20 00:00:00+05:30,50.0,50.0,48.55,48.55,5981
