date,open,high,low,close,volume
2009-11-04 00:00:00+05:30,6.39,6.39,6.39,6.39,156
2010-06-02 00:00:00+05:30,6.33,6.33,6.33,6.33,156
2010-06-11 00:00:00+05:30,6.64,6.64,6.64,6.64,313
2010-06-15 00:00:00+05:30,6.97,6.97,6.97,6.97,156
2010-06-29 00:00:00+05:30,7.32,7.32,7.32,7.32,156
2010-07-01 00:00:00+05:30,7.68,7.68,7.68,7.68,156
2010-07-02 00:00:00+05:30,8.06,8.06,8.06,8.06,156
2010-07-05 00:00:00+05:30,8.47,8.47,8.47,8.47,156
2010-07-06 00:00:00+05:30,8.89,8.89,8.89,8.89,156
2010-07-07 00:00:00+05:30,9.33,9.33,9.33,9.33,156
2010-07-08 00:00:00+05:30,9.79,9.79,9.79,9.79,1564
2010-07-12 00:00:00+05:30,10.28,10.28,10.28,10.28,156
2010-07-13 00:00:00+05:30,10.79,10.79,10.79,10.79,156
2010-07-14 00:00:00+05:30,11.32,11.32,11.32,11.32,156
2010-07-15 00:00:00+05:30,11.89,11.89,11.89,11.89,156
2010-07-16 00:00:00+05:30,12.48,12.48,12.48,12.48,156
2010-07-19 00:00:00+05:30,13.1,13.1,13.1,13.1,156
2010-07-20 00:00:00+05:30,13.75,13.75,13.75,13.75,313
2010-07-21 00:00:00+05:30,14.43,14.43,14.43,14.43,156
2010-07-22 00:00:00+05:30,15.15,15.15,15.15,15.15,156
2010-07-23 00:00:00+05:30,15.9,15.9,15.9,15.9,156
2010-07-26 00:00:00+05:30,16.7,16.7,16.7,16.7,156
2010-07-27 00:00:00+05:30,17.53,17.53,17.53,17.53,156
2010-07-28 00:00:00+05:30,18.4,18.4,18.4,18.4,156
2010-07-29 00:00:00+05:30,19.32,19.32,19.32,19.32,156
2010-07-30 00:00:00+05:30,20.28,20.28,20.28,20.28,156
2010-08-03 00:00:00+05:30,21.26,21.26,21.26,21.26,156
2010-08-04 00:00:00+05:30,22.32,22.32,22.32,22.32,156
2010-08-05 00:00:00+05:30,23.4,23.4,23.4,23.4,156
2010-08-06 00:00:00+05:30,24.55,24.55,24.55,24.55,156
2010-08-09 00:00:00+05:30,25.76,25.76,25.76,25.76,156
2010-08-10 00:00:00+05:30,27.05,27.05,27.05,27.05,156
2010-08-11 00:00:00+05:30,28.39,28.39,25.7,25.7,3597
2010-08-18 00:00:00+05:30,24.43,24.43,24.43,24.43,1564
2010-08-19 00:00:00+05:30,23.2,23.2,23.2,23.2,313
2010-12-23 00:00:00+05:30,22.06,22.06,22.06,22.06,156
2011-01-04 00:00:00+05:30,20.97,20.97,20.97,20.97,156
2011-01-05 00:00:00+05:30,19.95,19.95,19.95,19.95,156
2011-01-10 00:00:00+05:30,18.96,20.91,18.96,20.91,2189
2011-01-11 00:00:00+05:30,20.91,21.93,19.89,21.1,2502
2011-01-12 00:00:00+05:30,20.08,20.08,20.08,20.08,626
2011-01-13 00:00:00+05:30,19.09,21.07,19.09,21.07,469
2011-01-14 00:00:00+05:30,21.07,22.09,20.11,22.0,2346
2011-01-17 00:00:00+05:30,20.91,23.02,20.91,21.96,1877
2011-01-18 00:00:00+05:30,23.02,23.02,20.88,22.64,2033
2011-01-19 00:00:00+05:30,23.02,23.75,23.02,23.75,938
2011-01-20 00:00:00+05:30,24.94,24.94,23.08,24.94,2033
2011-01-21 00:00:00+05:30,26.18,26.18,26.18,26.18,469
2011-01-24 00:00:00+05:30,24.94,27.46,24.94,27.46,2189
2011-01-25 00:00:00+05:30,27.53,28.81,27.53,28.81,2189
2011-01-27 00:00:00+05:30,30.24,30.24,30.24,30.24,156
2011-01-28 00:00:00+05:30,28.77,31.75,28.77,31.75,469
