date,open,high,low,close,volume
2023-09-04 00:00:00+05:30,2.1,2.1,2.1,2.1,100
2024-12-02 00:00:00+05:30,2.2,2.2,2.2,2.2,1
2024-12-03 00:00:00+05:30,2.31,2.31,2.31,2.31,1
2024-12-04 00:00:00+05:30,2.42,2.42,2.42,2.42,5
2024-12-05 00:00:00+05:30,2.54,2.54,2.54,2.54,5
2024-12-06 00:00:00+05:30,2.66,2.66,2.66,2.66,1
2024-12-09 00:00:00+05:30,2.79,2.79,2.79,2.79,5
2024-12-10 00:00:00+05:30,2.92,2.92,2.92,2.92,1
2024-12-11 00:00:00+05:30,3.06,3.06,3.06,3.06,5
2024-12-12 00:00:00+05:30,3.21,3.21,3.21,3.21,5
2024-12-13 00:00:00+05:30,3.37,3.37,3.37,3.37,1
2024-12-16 00:00:00+05:30,3.53,3.53,3.53,3.53,5
2024-12-17 00:00:00+05:30,3.7,3.7,3.7,3.7,5
2024-12-18 00:00:00+05:30,3.88,3.88,3.88,3.88,1
2024-12-19 00:00:00+05:30,4.07,4.07,4.07,4.07,5
2024-12-20 00:00:00+05:30,4.27,4.27,4.27,4.27,1
2024-12-23 00:00:00+05:30,4.48,4.48,4.48,4.48,5
2024-12-24 00:00:00+05:30,4.7,4.7,4.7,4.7,4
2024-12-26 00:00:00+05:30,4.93,4.93,4.93,4.93,5
2024-12-27 00:00:00+05:30,5.17,5.17,5.17,5.17,1
2024-12-30 00:00:00+05:30,5.42,5.42,5.42,5.42,5
2024-12-31 00:00:00+05:30,5.69,5.69,5.69,5.69,1
2025-01-01 00:00:00+05:30,5.8,5.8,5.8,5.8,5
2025-01-02 00:00:00+05:30,5.91,5.91,5.91,5.91,5
2025-01-03 00:00:00+05:30,6.02,6.02,6.02,6.02,1
2025-01-06 00:00:00+05:30,6.14,6.14,6.14,6.14,5
2025-01-08 00:00:00+05:30,6.26,6.26,6.26,6.26,1
2025-01-09 00:00:00+05:30,6.38,6.38,6.38,6.38,1
2025-01-10 00:00:00+05:30,6.5,6.5,6.5,6.5,1
2025-01-13 00:00:00+05:30,6.63,6.63,6.63,6.63,1
2025-01-14 00:00:00+05:30,6.76,6.76,6.76,6.76,1
2025-01-15 00:00:00+05:30,6.89,6.89,6.89,6.89,1
2025-01-16 00:00:00+05:30,7.02,7.02,7.02,7.02,1
2025-01-17 00:00:00+05:30,7.16,7.16,7.16,7.16,1
2025-01-20 00:00:00+05:30,7.3,7.3,7.3,7.3,1
2025-01-21 00:00:00+05:30,7.44,7.44,7.44,7.44,1
2025-01-22 00:00:00+05:30,7.58,7.58,7.58,7.58,1
2025-01-23 00:00:00+05:30,7.73,7.73,7.73,7.73,1
2025-01-24 00:00:00+05:30,7.88,7.88,7.88,7.88,1
2025-01-27 00:00:00+05:30,8.03,8.03,8.03,8.03,1
2025-01-28 00:00:00+05:30,8.19,8.19,8.19,8.19,1
2025-01-29 00:00:00+05:30,8.35,8.35,8.35,8.35,1
2025-01-30 00:00:00+05:30,8.51,8.51,8.51,8.51,1
2025-02-01 00:00:00+05:30,8.68,8.68,8.68,8.68,1
2025-02-03 00:00:00+05:30,8.85,8.85,8.85,8.85,1
2025-02-04 00:00:00+05:30,9.02,9.02,9.02,9.02,1
